"Status","Year","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Legal","Intellectual Property Office","SEO/HEO","35","30","41020","41420"
"In post","2022","Legal","Legal Aid Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Maritime and Coastguard Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Maritime and Coastguard Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Maritime and Coastguard Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Medicines and Healthcare Products Regulatory Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Medicines and Healthcare Products Regulatory Agency","G6/G7","5","5","[c]","[c]"
"In post","2022","Legal","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Legal","Met Office","G6/G7","5","5","[c]","[c]"
"In post","2022","Legal","Met Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Defence (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","Legal","Ministry of Defence (excl. agencies)","G6/G7","30","25","63670","67550"
"In post","2022","Legal","Ministry of Defence (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Defence (excl. agencies)","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Legal","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Justice (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","National Crime Agency","EO","15","15","32450","32260"
"In post","2022","Legal","National Crime Agency","G6/G7","35","30","64060","60960"
"In post","2022","Legal","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Legal","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","G6/G7","15","10","67060","62810"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Gas and Electricity Markets","G6/G7","70","70","62470","63740"
"In post","2022","Legal","Office of Gas and Electricity Markets","SCS level","5","5","[c]","[c]"
"In post","2022","Legal","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","G6/G7","10","10","[c]","[c]"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Rail and Road","G6/G7","10","10","65590","67750"
"In post","2022","Legal","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Registers of Scotland","G6/G7","10","10","61220","62000"
"In post","2022","Legal","Registers of Scotland","SEO/HEO","10","10","44820","47490"
"In post","2022","Legal","Scottish Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Scottish Courts and Tribunals Service","G6/G7","5","5","[c]","[c]"
"In post","2022","Legal","Scottish Courts and Tribunals Service","SEO/HEO","25","25","44560","46100"
"In post","2022","Legal","Scottish Prison Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Scottish Prison Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Scottish Prison Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Scottish Prison Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Serious Fraud Office","G6/G7","55","55","58000","55340"
"In post","2022","Legal","Serious Fraud Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","The Insolvency Service","EO","10","10","27530","26500"
"In post","2022","Legal","The Insolvency Service","G6/G7","30","25","61440","57980"
"In post","2022","Legal","The Insolvency Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Legal","The Insolvency Service","SEO/HEO","20","20","40890","40220"
"In post","2022","Legal","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Export Finance","EO","5","5","[c]","[c]"
"In post","2022","Legal","UK Export Finance","G6/G7","20","20","75830","76000"
"In post","2022","Legal","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Health Security Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Health Security Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Health Security Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","EO","15","10","28130","28810"
"In post","2022","Legal","UK Supreme Court","G6/G7","5","5","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","SEO/HEO","10","10","36030","37230"
"In post","2022","Legal","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Water Services Regulation Authority","G6/G7","10","10","[c]","[c]"
"In post","2022","Legal","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Welsh Revenue Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Advisory, Conciliation and Arbitration Service","AA/AO","40","35","20920","21100"
"In post","2022","No function","Advisory, Conciliation and Arbitration Service","EO","285","270","24890","24250"
"In post","2022","No function","Advisory, Conciliation and Arbitration Service","G6/G7","20","15","57480","55470"
"In post","2022","No function","Advisory, Conciliation and Arbitration Service","SEO/HEO","460","425","34670","34500"
"In post","2022","No function","Animal and Plant Health Agency","AA/AO","800","750","22120","21300"
"In post","2022","No function","Animal and Plant Health Agency","EO","780","740","26410","25540"
"In post","2022","No function","Animal and Plant Health Agency","G6/G7","215","210","54700","54070"
"In post","2022","No function","Animal and Plant Health Agency","SCS level","5","5","[c]","[c]"
"In post","2022","No function","Animal and Plant Health Agency","SEO/HEO","905","865","35550","35900"
"In post","2022","No function","Cabinet Office (excl. agencies)","AA/AO","80","80","24180","24490"
"In post","2022","No function","Cabinet Office (excl. agencies)","EO","270","270","27830","27500"
"In post","2022","No function","Cabinet Office (excl. agencies)","G6/G7","950","935","58270","54700"
"In post","2022","No function","Cabinet Office (excl. agencies)","SCS level","235","235","87090","78000"
"In post","2022","No function","Cabinet Office (excl. agencies)","SEO/HEO","2475","2465","32060","32000"
"In post","2022","No function","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Centre for Environment, Fisheries and Aquaculture Science","EO","5","5","[c]","[c]"
"In post","2022","No function","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","5","5","[c]","[c]"
"In post","2022","No function","Charity Commission","AA/AO","25","20","18600","17140"
"In post","2022","No function","Charity Commission","EO","90","85","25110","24440"
"In post","2022","No function","Charity Commission","G6/G7","25","25","52950","51070"
"In post","2022","No function","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","No function","Charity Commission","SEO/HEO","165","160","31850","29160"
"In post","2022","No function","Companies House","AA/AO","315","275","21710","22740"
"In post","2022","No function","Companies House","EO","130","125","25800","25100"
"In post","2022","No function","Companies House","G6/G7","30","30","56250","51480"
"In post","2022","No function","Companies House","SCS level","5","5","[c]","[c]"
"In post","2022","No function","Companies House","SEO/HEO","60","60","36140","38030"
"In post","2022","No function","Criminal Injuries Compensation Authority","AA/AO","125","110","21010","20970"
"In post","2022","No function","Criminal Injuries Compensation Authority","EO","80","80","25360","25120"
"In post","2022","No function","Criminal Injuries Compensation Authority","G6/G7","15","10","58380","59000"
"In post","2022","No function","Criminal Injuries Compensation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","No function","Criminal Injuries Compensation Authority","SEO/HEO","95","95","31630","30450"
"In post","2022","No function","Crown Commercial Service","AA/AO","30","30","20880","20330"
"In post","2022","No function","Crown Commercial Service","EO","35","30","25150","25520"
"In post","2022","No function","Crown Commercial Service","G6/G7","85","85","55770","55000"
"In post","2022","No function","Crown Commercial Service","SCS level","5","5","[c]","[c]"
"In post","2022","No function","Crown Commercial Service","SEO/HEO","50","50","35270","38330"
"In post","2022","No function","Crown Office and Procurator Fiscal Service","AA/AO","770","705","22510","23230"
"In post","2022","No function","Crown Office and Procurator Fiscal Service","EO","295","280","28480","27940"
"In post","2022","No function","Crown Office and Procurator Fiscal Service","G6/G7","20","20","64100","63720"
"In post","2022","No function","Crown Office and Procurator Fiscal Service","SCS level","5","5","[c]","[c]"
"In post","2022","No function","Crown Office and Procurator Fiscal Service","SEO/HEO","400","380","35470","34600"
"In post","2022","No function","Defence Electronics and Components Agency","AA/AO","85","85","20740","20550"
"In post","2022","No function","Defence Electronics and Components Agency","EO","220","210","29160","29470"
"In post","2022","No function","Defence Electronics and Components Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","No function","Defence Electronics and Components Agency","SEO/HEO","50","45","36450","33670"
"In post","2022","No function","Defence Equipment and Support","EO","15","15","21580","21210"
"In post","2022","No function","Defence Equipment and Support","G6/G7","20","20","54530","53720"
"In post","2022","No function","Defence Equipment and Support","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","No function","Defence Equipment and Support","SEO/HEO","75","70","34150","33500"
"In post","2022","No function","Defence Science and Technology Laboratory","AA/AO","130","130","19920","18330"
"In post","2022","No function","Defence Science and Technology Laboratory","EO","100","95","25320","23490"
"In post","2022","No function","Defence Science and Technology Laboratory","G6/G7","1165","1115","52560","47760"
"In post","2022","No function","Defence Science and Technology Laboratory","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","No function","Defence Science and Technology Laboratory","SEO/HEO","1340","1315","34220","38070"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","45","45","24060","24900"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","340","330","27740","27680"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","2315","2260","58070","55500"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","295","280","87580","79500"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","2130","2105","38000","38720"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","AA/AO","5","5","[c]","[c]"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","EO","145","140","26830","26180"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","G6/G7","725","710","55570","52250"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","SCS level","100","95","83910","75840"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","SEO/HEO","615","605","34930","34020"
"In post","2022","No function","Department for Education (excl. agencies)","AA/AO","25","25","23030","24250"
"In post","2022","No function","Department for Education (excl. agencies)","EO","305","295","26580","26000"
"In post","2022","No function","Department for Education (excl. agencies)","G6/G7","1245","1185","55910","53600"
"In post","2022","No function","Department for Education (excl. agencies)","SCS level","180","170","83950","74100"
"In post","2022","No function","Department for Education (excl. agencies)","SEO/HEO","1550","1490","35870","36500"
"In post","2022","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","85","80","23640","24370"
"In post","2022","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","355","345","27130","27960"
"In post","2022","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","1320","1265","54960","53410"
"In post","2022","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","140","135","82890","76570"
"In post","2022","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","2175","2110","35230","35890"
"In post","2022","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","30","30","[c]","[c]"
"In post","2022","No function","Department for International Trade","AA/AO","20","20","24940","25140"
"In post","2022","No function","Department for International Trade","EO","160","155","27500","26510"
"In post","2022","No function","Department for International Trade","G6/G7","805","800","56290","53380"
"In post","2022","No function","Department for International Trade","SCS level","145","140","86680","75570"
"In post","2022","No function","Department for International Trade","SEO/HEO","885","880","36340","38160"
"In post","2022","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","40","40","25240","26870"
"In post","2022","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","265","260","27780","27850"
"In post","2022","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","945","920","56180","53130"
"In post","2022","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","140","135","85540","76190"
"In post","2022","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","1055","1035","35720","35780"
"In post","2022","No function","Department for Transport (excl. agencies)","AA/AO","125","105","29320","33390"
"In post","2022","No function","Department for Transport (excl. agencies)","EO","255","250","28760","29970"
"In post","2022","No function","Department for Transport (excl. agencies)","G6/G7","800","785","60530","54870"
"In post","2022","No function","Department for Transport (excl. agencies)","SCS level","150","140","88790","78980"
"In post","2022","No function","Department for Transport (excl. agencies)","SEO/HEO","780","765","38480","37660"
"In post","2022","No function","Department for Work and Pensions (excl. agencies)","AA/AO","24275","20950","21330","21260"
"In post","2022","No function","Department for Work and Pensions (excl. agencies)","EO","41295","37325","28110","27570"
"In post","2022","No function","Department for Work and Pensions (excl. agencies)","G6/G7","690","670","53860","49170"
"In post","2022","No function","Department for Work and Pensions (excl. agencies)","SCS level","100","100","89190","77800"
"In post","2022","No function","Department for Work and Pensions (excl. agencies)","SEO/HEO","4380","4115","34210","33650"
"In post","2022","No function","Department of Health and Social Care (excl. agencies)","AA/AO","20","20","21720","22020"
"In post","2022","No function","Department of Health and Social Care (excl. agencies)","EO","180","170","26920","27270"
"In post","2022","No function","Department of Health and Social Care (excl. agencies)","G6/G7","810","770","57670","54230"
"In post","2022","No function","Department of Health and Social Care (excl. agencies)","SCS level","165","165","92930","90390"
"In post","2022","No function","Department of Health and Social Care (excl. agencies)","SEO/HEO","715","690","35910","34790"
"In post","2022","No function","Driver and Vehicle Licensing Agency","AA/AO","3895","3295","20830","21840"
"In post","2022","No function","Driver and Vehicle Licensing Agency","EO","560","525","26580","26580"
"In post","2022","No function","Driver and Vehicle Licensing Agency","G6/G7","70","65","73540","83320"
"In post","2022","No function","Driver and Vehicle Licensing Agency","SEO/HEO","210","200","34200","32180"
"In post","2022","No function","Driver and Vehicle Standards Agency","AA/AO","1045","975","24720","23940"
"In post","2022","No function","Driver and Vehicle Standards Agency","EO","2470","2300","28200","26780"
"In post","2022","No function","Driver and Vehicle Standards Agency","G6/G7","40","40","52980","51680"
"In post","2022","No function","Driver and Vehicle Standards Agency","SCS level","5","5","[c]","[c]"
"In post","2022","No function","Driver and Vehicle Standards Agency","SEO/HEO","535","525","34440","33350"
"In post","2022","No function","Education and Skills Funding Agency","AA/AO","10","10","22070","21250"
"In post","2022","No function","Education and Skills Funding Agency","EO","100","100","25990","26000"
"In post","2022","No function","Education and Skills Funding Agency","G6/G7","380","370","55490","53420"
"In post","2022","No function","Education and Skills Funding Agency","SCS level","30","30","83930","74110"
"In post","2022","No function","Education and Skills Funding Agency","SEO/HEO","565","540","34720","36500"
"In post","2022","No function","Food Standards Agency","AA/AO","5","5","[c]","[c]"
"In post","2022","No function","Food Standards Agency","EO","395","380","27150","26750"
"In post","2022","No function","Food Standards Agency","G6/G7","150","145","55270","55300"
"In post","2022","No function","Food Standards Agency","SCS level","15","15","86520","80200"
"In post","2022","No function","Food Standards Agency","SEO/HEO","495","485","35610","37350"
"In post","2022","No function","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","265","255","26410","25000"
"In post","2022","No function","Foreign, Commonwealth and Development Office (excl. agencies)","EO","370","365","30720","30510"
"In post","2022","No function","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","1190","1170","60120","58600"
"In post","2022","No function","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","355","355","87170","78010"
"In post","2022","No function","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","1415","1405","37330","36550"
"In post","2022","No function","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Government Internal Audit Agency","G6/G7","10","10","[c]","[c]"
"In post","2022","No function","Government Internal Audit Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","No function","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Health and Safety Executive","AA/AO","235","210","22260","22410"
"In post","2022","No function","Health and Safety Executive","EO","410","390","27570","26410"
"In post","2022","No function","Health and Safety Executive","G6/G7","420","405","61390","58500"
"In post","2022","No function","Health and Safety Executive","SCS level","25","25","86640","84000"
"In post","2022","No function","Health and Safety Executive","SEO/HEO","1150","1090","45150","41480"
"In post","2022","No function","HM Courts and Tribunals Service","AA/AO","9765","8575","21360","20970"
"In post","2022","No function","HM Courts and Tribunals Service","EO","2590","2445","26280","25120"
"In post","2022","No function","HM Courts and Tribunals Service","G6/G7","510","495","57860","57540"
"In post","2022","No function","HM Courts and Tribunals Service","SCS level","50","50","81860","76960"
"In post","2022","No function","HM Courts and Tribunals Service","SEO/HEO","2365","2225","36720","35700"
"In post","2022","No function","HM Courts and Tribunals Service","Unknown","5","5","[c]","[c]"
"In post","2022","No function","HM Land Registry","AA/AO","1650","1550","22710","22600"
"In post","2022","No function","HM Land Registry","EO","2040","1805","27250","27130"
"In post","2022","No function","HM Land Registry","G6/G7","45","45","60700","56750"
"In post","2022","No function","HM Land Registry","SCS level","5","5","[c]","[c]"
"In post","2022","No function","HM Land Registry","SEO/HEO","1480","1295","36100","33840"
"In post","2022","No function","HM Prison and Probation Service","AA/AO","28065","26540","26370","25700"
"In post","2022","No function","HM Prison and Probation Service","EO","6305","6025","30920","31610"
"In post","2022","No function","HM Prison and Probation Service","G6/G7","735","715","72840","70450"
"In post","2022","No function","HM Prison and Probation Service","SCS level","80","80","97300","97720"
"In post","2022","No function","HM Prison and Probation Service","SEO/HEO","6335","6045","40590","38160"
"In post","2022","No function","HM Prison and Probation Service","Unknown","19150","17725","30060","28200"
"In post","2022","No function","HM Revenue and Customs (excl. agencies)","AA/AO","13610","11800","21570","21250"
"In post","2022","No function","HM Revenue and Customs (excl. agencies)","EO","6775","6245","27160","26820"
"In post","2022","No function","HM Revenue and Customs (excl. agencies)","G6/G7","2985","2875","59590","55210"
"In post","2022","No function","HM Revenue and Customs (excl. agencies)","SCS level","125","125","83680","78420"
"In post","2022","No function","HM Revenue and Customs (excl. agencies)","SEO/HEO","10315","9910","35820","33370"
"In post","2022","No function","HM Treasury (excl. agencies)","AA/AO","20","20","23100","23250"
"In post","2022","No function","HM Treasury (excl. agencies)","EO","160","160","27000","26750"
"In post","2022","No function","HM Treasury (excl. agencies)","G6/G7","790","765","57880","55500"
"In post","2022","No function","HM Treasury (excl. agencies)","SCS level","140","135","85100","78000"
"In post","2022","No function","HM Treasury (excl. agencies)","SEO/HEO","670","665","33890","32320"
"In post","2022","No function","Institute for Apprenticeships and Technical Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Institute for Apprenticeships and Technical Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Institute for Apprenticeships and Technical Education","G6/G7","110","105","54350","52900"
"In post","2022","No function","Institute for Apprenticeships and Technical Education","SCS level","5","5","[c]","[c]"
"In post","2022","No function","Institute for Apprenticeships and Technical Education","SEO/HEO","55","55","36580","36570"
"In post","2022","No function","Intellectual Property Office","AA/AO","205","190","21600","21810"
"In post","2022","No function","Intellectual Property Office","EO","410","385","26240","24030"
"In post","2022","No function","Intellectual Property Office","G6/G7","240","225","60920","60790"
"In post","2022","No function","Intellectual Property Office","SCS level","15","15","76960","73480"
"In post","2022","No function","Intellectual Property Office","SEO/HEO","295","285","38390","41260"
"In post","2022","No function","Legal Aid Agency","AA/AO","430","390","21040","20970"
"In post","2022","No function","Legal Aid Agency","EO","325","300","25790","25120"
"In post","2022","No function","Legal Aid Agency","G6/G7","90","85","60560","58390"
"In post","2022","No function","Legal Aid Agency","SCS level","10","10","86010","76910"
"In post","2022","No function","Legal Aid Agency","SEO/HEO","295","285","36630","36050"
"In post","2022","No function","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Maritime and Coastguard Agency","AA/AO","265","250","24970","26840"
"In post","2022","No function","Maritime and Coastguard Agency","EO","165","165","29510","31130"
"In post","2022","No function","Maritime and Coastguard Agency","G6/G7","125","120","60810","60690"
"In post","2022","No function","Maritime and Coastguard Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","No function","Maritime and Coastguard Agency","SEO/HEO","420","415","41040","38650"
"In post","2022","No function","Medicines and Healthcare Products Regulatory Agency","AA/AO","15","15","23360","23690"
"In post","2022","No function","Medicines and Healthcare Products Regulatory Agency","EO","110","105","27810","27510"
"In post","2022","No function","Medicines and Healthcare Products Regulatory Agency","G6/G7","305","290","60850","57540"
"In post","2022","No function","Medicines and Healthcare Products Regulatory Agency","SCS level","100","95","86310","84060"
"In post","2022","No function","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","305","300","38310","40450"
"In post","2022","No function","Ministry of Justice (excl. agencies)","AA/AO","195","190","22220","21490"
"In post","2022","No function","Ministry of Justice (excl. agencies)","EO","320","310","28140","28310"
"In post","2022","No function","Ministry of Justice (excl. agencies)","G6/G7","515","500","58190","56440"
"In post","2022","No function","Ministry of Justice (excl. agencies)","SCS level","85","80","84220","77300"
"In post","2022","No function","Ministry of Justice (excl. agencies)","SEO/HEO","1010","985","38050","36720"
"In post","2022","No function","Ministry of Justice (excl. agencies)","Unknown","10","10","46280","45700"
"In post","2022","No function","National Crime Agency","AA/AO","205","190","24130","24470"
"In post","2022","No function","National Crime Agency","EO","2320","2265","34470","34140"
"In post","2022","No function","National Crime Agency","G6/G7","250","245","66890","65940"
"In post","2022","No function","National Crime Agency","SCS level","25","25","107100","95500"
"In post","2022","No function","National Crime Agency","SEO/HEO","1980","1945","44810","43710"
"In post","2022","No function","National Infrastructure Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","National Infrastructure Commission","G6/G7","25","25","57660","53550"
"In post","2022","No function","National Infrastructure Commission","SCS level","5","5","[c]","[c]"
"In post","2022","No function","National Infrastructure Commission","SEO/HEO","10","10","36190","35500"
"In post","2022","No function","National Savings and Investments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","National Savings and Investments","EO","5","5","[c]","[c]"
"In post","2022","No function","National Savings and Investments","G6/G7","10","10","60930","58850"
"In post","2022","No function","National Savings and Investments","SCS level","10","10","113680","110000"
"In post","2022","No function","National Savings and Investments","SEO/HEO","25","25","39870","40290"
"In post","2022","No function","Northern Ireland Office","AA/AO","5","5","[c]","[c]"
"In post","2022","No function","Northern Ireland Office","EO","10","10","28360","28310"
"In post","2022","No function","Northern Ireland Office","G6/G7","35","35","55070","54850"
"In post","2022","No function","Northern Ireland Office","SCS level","15","15","87170","77440"
"In post","2022","No function","Northern Ireland Office","SEO/HEO","55","55","37870","36720"
"In post","2022","No function","Office for Budget Responsibility","EO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office for Budget Responsibility","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office for Budget Responsibility","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office for Standards in Education, Children's Services and Skills","AA/AO","175","155","21290","21410"
"In post","2022","No function","Office for Standards in Education, Children's Services and Skills","EO","145","135","26470","25880"
"In post","2022","No function","Office for Standards in Education, Children's Services and Skills","G6/G7","525","515","74420","75500"
"In post","2022","No function","Office for Standards in Education, Children's Services and Skills","SCS level","20","20","113690","113510"
"In post","2022","No function","Office for Standards in Education, Children's Services and Skills","SEO/HEO","550","530","46210","51360"
"In post","2022","No function","Office of Gas and Electricity Markets","AA/AO","45","45","19490","19750"
"In post","2022","No function","Office of Gas and Electricity Markets","EO","270","265","25640","25150"
"In post","2022","No function","Office of Gas and Electricity Markets","G6/G7","245","240","57490","55280"
"In post","2022","No function","Office of Gas and Electricity Markets","SCS level","35","35","98080","91270"
"In post","2022","No function","Office of Gas and Electricity Markets","SEO/HEO","275","270","35370","34240"
"In post","2022","No function","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of Qualifications and Examinations Regulation","EO","20","15","23960","23140"
"In post","2022","No function","Office of Qualifications and Examinations Regulation","G6/G7","85","85","52810","48350"
"In post","2022","No function","Office of Qualifications and Examinations Regulation","SCS level","15","15","100880","103720"
"In post","2022","No function","Office of Qualifications and Examinations Regulation","SEO/HEO","100","95","35550","36540"
"In post","2022","No function","Office of Rail and Road","AA/AO","10","10","23630","23510"
"In post","2022","No function","Office of Rail and Road","EO","10","10","28590","29510"
"In post","2022","No function","Office of Rail and Road","G6/G7","145","140","61410","60260"
"In post","2022","No function","Office of Rail and Road","SCS level","10","10","112560","111520"
"In post","2022","No function","Office of Rail and Road","SEO/HEO","60","60","39380","38650"
"In post","2022","No function","Office of the Public Guardian","AA/AO","865","780","21010","20970"
"In post","2022","No function","Office of the Public Guardian","EO","380","365","25200","25120"
"In post","2022","No function","Office of the Public Guardian","G6/G7","20","20","53350","50430"
"In post","2022","No function","Office of the Public Guardian","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of the Public Guardian","SEO/HEO","165","155","32480","30450"
"In post","2022","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","EO","5","5","[c]","[c]"
"In post","2022","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","G6/G7","10","10","57380","55800"
"In post","2022","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","SCS level","5","5","[c]","[c]"
"In post","2022","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","SEO/HEO","15","15","37370","34260"
