"Status","Year","Ethnicity","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Mixed","Department for Environment, Food and Rural Affairs","Female","LGBO","20","15","[c]","[c]"
"In post","2022","Mixed","Department for Environment, Food and Rural Affairs","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","Department for Environment, Food and Rural Affairs","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Environment, Food and Rural Affairs","Male","Heterosexual / straight","75","70","39470","36970"
"In post","2022","Mixed","Department for Environment, Food and Rural Affairs","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Mixed","Department for Environment, Food and Rural Affairs","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","Department for Environment, Food and Rural Affairs","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Environment, Food and Rural Affairs","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for International Trade","Female","Heterosexual / straight","40","40","43750","38830"
"In post","2022","Mixed","Department for International Trade","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for International Trade","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for International Trade","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for International Trade","Male","Heterosexual / straight","40","40","50670","51970"
"In post","2022","Mixed","Department for International Trade","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Department for International Trade","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for International Trade","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for International Trade","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities","Female","Heterosexual / straight","45","45","43560","36610"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities","Male","Heterosexual / straight","35","35","41850","36700"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Levelling Up, Housing and Communities","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Transport","Female","Heterosexual / straight","85","85","36680","34710"
"In post","2022","Mixed","Department for Transport","Female","LGBO","15","10","[c]","[c]"
"In post","2022","Mixed","Department for Transport","Female","Undeclared","15","10","[c]","[c]"
"In post","2022","Mixed","Department for Transport","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Transport","Male","Heterosexual / straight","100","100","37760","34710"
"In post","2022","Mixed","Department for Transport","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Department for Transport","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Mixed","Department for Transport","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Transport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Transport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Transport","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Transport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Work and Pensions","Female","Heterosexual / straight","840","770","28360","27570"
"In post","2022","Mixed","Department for Work and Pensions","Female","LGBO","80","75","29700","27570"
"In post","2022","Mixed","Department for Work and Pensions","Female","Undeclared","75","70","27600","27570"
"In post","2022","Mixed","Department for Work and Pensions","Female","Unknown","95","75","26540","27570"
"In post","2022","Mixed","Department for Work and Pensions","Male","Heterosexual / straight","430","420","29250","27570"
"In post","2022","Mixed","Department for Work and Pensions","Male","LGBO","70","70","31480","27570"
"In post","2022","Mixed","Department for Work and Pensions","Male","Undeclared","45","45","30600","27570"
"In post","2022","Mixed","Department for Work and Pensions","Male","Unknown","60","55","26630","27570"
"In post","2022","Mixed","Department for Work and Pensions","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Work and Pensions","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department for Work and Pensions","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department of Health and Social Care","Female","Heterosexual / straight","145","135","39900","33330"
"In post","2022","Mixed","Department of Health and Social Care","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Mixed","Department of Health and Social Care","Female","Undeclared","20","15","[c]","[c]"
"In post","2022","Mixed","Department of Health and Social Care","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Mixed","Department of Health and Social Care","Male","Heterosexual / straight","75","70","45540","40470"
"In post","2022","Mixed","Department of Health and Social Care","Male","LGBO","15","10","[c]","[c]"
"In post","2022","Mixed","Department of Health and Social Care","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","Department of Health and Social Care","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department of Health and Social Care","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department of Health and Social Care","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department of Health and Social Care","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Department of Health and Social Care","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Estyn","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Estyn","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Estyn","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Estyn","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Estyn","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Estyn","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Estyn","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Estyn","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Estyn","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Estyn","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Estyn","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Estyn","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Food Standards Agency","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Mixed","Food Standards Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Food Standards Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Food Standards Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Food Standards Agency","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Mixed","Food Standards Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Food Standards Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Food Standards Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Food Standards Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Food Standards Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Food Standards Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Food Standards Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office","Female","Heterosexual / straight","120","120","45160","38600"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office","Female","Unknown","10","5","[c]","[c]"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office","Male","Heterosexual / straight","90","90","49720","52400"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Foreign, Commonwealth and Development Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","Female","Heterosexual / straight","35","35","29380","27130"
"In post","2022","Mixed","HM Land Registry","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Land Registry","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Revenue and Customs","Female","Heterosexual / straight","380","360","33730","31210"
"In post","2022","Mixed","HM Revenue and Customs","Female","LGBO","35","35","34810","33080"
"In post","2022","Mixed","HM Revenue and Customs","Female","Undeclared","35","30","35600","32700"
"In post","2022","Mixed","HM Revenue and Customs","Female","Unknown","60","55","33140","31010"
"In post","2022","Mixed","HM Revenue and Customs","Male","Heterosexual / straight","305","300","37680","33370"
"In post","2022","Mixed","HM Revenue and Customs","Male","LGBO","40","40","32950","26820"
"In post","2022","Mixed","HM Revenue and Customs","Male","Undeclared","30","25","[c]","[c]"
"In post","2022","Mixed","HM Revenue and Customs","Male","Unknown","50","45","39550","33370"
"In post","2022","Mixed","HM Revenue and Customs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Revenue and Customs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Revenue and Customs","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Revenue and Customs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Treasury","Female","Heterosexual / straight","45","45","42220","38000"
"In post","2022","Mixed","HM Treasury","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","HM Treasury","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Treasury","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Treasury","Male","Heterosexual / straight","45","40","49220","52530"
"In post","2022","Mixed","HM Treasury","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Treasury","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Treasury","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Treasury","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Treasury","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Treasury","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","HM Treasury","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Home Office","Female","Heterosexual / straight","360","335","34900","29370"
"In post","2022","Mixed","Home Office","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Mixed","Home Office","Female","Undeclared","30","25","[c]","[c]"
"In post","2022","Mixed","Home Office","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","Home Office","Male","Heterosexual / straight","215","210","34230","29610"
"In post","2022","Mixed","Home Office","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Mixed","Home Office","Male","Undeclared","30","30","29500","28040"
"In post","2022","Mixed","Home Office","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Home Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Home Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Home Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Home Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Ministry of Defence","Female","Heterosexual / straight","240","230","35920","33000"
"In post","2022","Mixed","Ministry of Defence","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Mixed","Ministry of Defence","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Mixed","Ministry of Defence","Female","Unknown","25","20","[c]","[c]"
"In post","2022","Mixed","Ministry of Defence","Male","Heterosexual / straight","265","260","35400","33000"
"In post","2022","Mixed","Ministry of Defence","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Mixed","Ministry of Defence","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Mixed","Ministry of Defence","Male","Unknown","45","45","38450","38070"
"In post","2022","Mixed","Ministry of Defence","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Ministry of Defence","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Ministry of Justice","Female","Heterosexual / straight","965","910","31350","28310"
"In post","2022","Mixed","Ministry of Justice","Female","LGBO","105","100","29710","26850"
"In post","2022","Mixed","Ministry of Justice","Female","Undeclared","85","75","33260","27990"
"In post","2022","Mixed","Ministry of Justice","Female","Unknown","30","30","30020","26590"
"In post","2022","Mixed","Ministry of Justice","Male","Heterosexual / straight","575","565","31470","29580"
"In post","2022","Mixed","Ministry of Justice","Male","LGBO","65","65","35360","32430"
"In post","2022","Mixed","Ministry of Justice","Male","Undeclared","50","45","33610","31650"
"In post","2022","Mixed","Ministry of Justice","Male","Unknown","30","30","35630","31650"
"In post","2022","Mixed","Ministry of Justice","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Ministry of Justice","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Ministry of Justice","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Ministry of Justice","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","Female","Heterosexual / straight","45","45","39700","37560"
"In post","2022","Mixed","National Crime Agency","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","Male","Heterosexual / straight","45","45","41970","40210"
"In post","2022","Mixed","National Crime Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","National Crime Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office for Standards in Education, Children's Services and Skills","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","Female","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Gas and Electricity Markets","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Qualifications and Examinations Regulation","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of Rail and Road","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Office of the Secretary of State for Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Scottish Government","Female","Heterosexual / straight","65","60","40310","35540"
"In post","2022","Mixed","Scottish Government","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Scottish Government","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","Scottish Government","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Scottish Government","Male","Heterosexual / straight","50","50","40550","36130"
"In post","2022","Mixed","Scottish Government","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Scottish Government","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Mixed","Scottish Government","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Scottish Government","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Scottish Government","Unknown","LGBO","[c]","[c]","[c]","[c]"
