"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Wales","West Wales and The Valleys","SCS level","SCS level","50","45","87640","79600"
"In post","2022","Wales","West Wales and The Valleys","SEO/HEO","HEO","1990","1885","34630","33840"
"In post","2022","Wales","West Wales and The Valleys","SEO/HEO","SEO","1420","1365","43430","42630"
"In post","2022","Wales","West Wales and The Valleys","Unknown","Unknown","810","765","29220","28200"
"In post","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AA/AO","AA","315","290","20510","20890"
"In post","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AA/AO","AO","1420","1320","24030","21680"
"In post","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","EO","EO","1135","1060","27230","27570"
"In post","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","G6/G7","G6","60","55","69250","63900"
"In post","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","G6/G7","G7","130","125","54630","51300"
"In post","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SCS level","SCS level","15","15","87080","82500"
"In post","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","HEO","430","410","32700","31990"
"In post","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","SEO","290","280","42350","40610"
"In post","2022","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Unknown","Unknown","395","365","29910","28200"
"In post","2022","West Midlands (England)","Shropshire and Staffordshire","AA/AO","AA","515","480","20470","20890"
"In post","2022","West Midlands (England)","Shropshire and Staffordshire","AA/AO","AO","2660","2445","23630","21960"
"In post","2022","West Midlands (England)","Shropshire and Staffordshire","EO","EO","2525","2345","27850","27570"
"In post","2022","West Midlands (England)","Shropshire and Staffordshire","G6/G7","G6","160","155","72070","67910"
"In post","2022","West Midlands (England)","Shropshire and Staffordshire","G6/G7","G7","485","470","55820","55210"
"In post","2022","West Midlands (England)","Shropshire and Staffordshire","SCS level","SCS level","45","45","96080","92640"
"In post","2022","West Midlands (England)","Shropshire and Staffordshire","SEO/HEO","HEO","1145","1085","33800","33300"
"In post","2022","West Midlands (England)","Shropshire and Staffordshire","SEO/HEO","SEO","855","825","42240","40580"
"In post","2022","West Midlands (England)","Shropshire and Staffordshire","Unknown","Unknown","520","465","29690","28200"
"In post","2022","West Midlands (England)","West Midlands","AA/AO","AA","370","330","19760","19200"
"In post","2022","West Midlands (England)","West Midlands","AA/AO","AO","5050","4495","21610","21260"
"In post","2022","West Midlands (England)","West Midlands","EO","EO","6190","5720","27120","27570"
"In post","2022","West Midlands (England)","West Midlands","G6/G7","G6","465","450","67260","66610"
"In post","2022","West Midlands (England)","West Midlands","G6/G7","G7","1565","1510","53070","51460"
"In post","2022","West Midlands (England)","West Midlands","SCS level","SCS level","155","150","98420","89500"
"In post","2022","West Midlands (England)","West Midlands","SEO/HEO","HEO","3145","3020","32780","33080"
"In post","2022","West Midlands (England)","West Midlands","SEO/HEO","SEO","1950","1880","40120","40170"
"In post","2022","West Midlands (England)","West Midlands","Unknown","Unknown","1175","1080","29290","28200"
"In post","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AA/AO","AA","305","285","20950","20890"
"In post","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AA/AO","AO","1830","1655","24610","23140"
"In post","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","EO","EO","1640","1500","27800","27570"
"In post","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","G6/G7","G6","30","30","67490","61680"
"In post","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","G6/G7","G7","105","100","56310","54700"
"In post","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SEO/HEO","HEO","435","405","33660","33370"
"In post","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SEO/HEO","SEO","205","195","43980","41100"
"In post","2022","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Unknown","Unknown","395","365","30020","28200"
"In post","2022","Yorkshire and The Humber","North Yorkshire","AA/AO","AA","270","255","19540","19810"
"In post","2022","Yorkshire and The Humber","North Yorkshire","AA/AO","AO","1040","970","23620","21300"
"In post","2022","Yorkshire and The Humber","North Yorkshire","EO","EO","1040","985","27130","26670"
"In post","2022","Yorkshire and The Humber","North Yorkshire","G6/G7","G6","145","140","67100","63860"
"In post","2022","Yorkshire and The Humber","North Yorkshire","G6/G7","G7","455","440","53710","50850"
"In post","2022","Yorkshire and The Humber","North Yorkshire","SCS level","SCS level","30","30","93150","88750"
"In post","2022","Yorkshire and The Humber","North Yorkshire","SEO/HEO","HEO","855","825","32830","32750"
"In post","2022","Yorkshire and The Humber","North Yorkshire","SEO/HEO","SEO","575","555","39330","38180"
"In post","2022","Yorkshire and The Humber","North Yorkshire","Unknown","Unknown","240","220","29520","28200"
"In post","2022","Yorkshire and The Humber","South Yorkshire","AA/AO","AA","280","250","20190","20890"
"In post","2022","Yorkshire and The Humber","South Yorkshire","AA/AO","AO","2600","2290","22610","21680"
"In post","2022","Yorkshire and The Humber","South Yorkshire","EO","EO","2855","2575","27060","27570"
"In post","2022","Yorkshire and The Humber","South Yorkshire","G6/G7","G6","355","345","64600","63260"
"In post","2022","Yorkshire and The Humber","South Yorkshire","G6/G7","G7","980","945","52570","50630"
"In post","2022","Yorkshire and The Humber","South Yorkshire","SCS level","SCS level","85","80","80490","75040"
"In post","2022","Yorkshire and The Humber","South Yorkshire","SEO/HEO","HEO","1505","1415","32150","31990"
"In post","2022","Yorkshire and The Humber","South Yorkshire","SEO/HEO","SEO","1270","1215","38980","37450"
"In post","2022","Yorkshire and The Humber","South Yorkshire","Unknown","Unknown","540","495","29640","28200"
"In post","2022","Yorkshire and The Humber","West Yorkshire","AA/AO","AA","430","390","20600","20890"
"In post","2022","Yorkshire and The Humber","West Yorkshire","AA/AO","AO","4535","4060","22690","21260"
"In post","2022","Yorkshire and The Humber","West Yorkshire","EO","EO","5455","5060","27300","27570"
"In post","2022","Yorkshire and The Humber","West Yorkshire","G6/G7","G6","630","605","66280","65470"
"In post","2022","Yorkshire and The Humber","West Yorkshire","G6/G7","G7","1800","1735","53360","52150"
"In post","2022","Yorkshire and The Humber","West Yorkshire","SCS level","SCS level","165","160","86190","78280"
"In post","2022","Yorkshire and The Humber","West Yorkshire","SEO/HEO","HEO","3145","3000","32770","33080"
"In post","2022","Yorkshire and The Humber","West Yorkshire","SEO/HEO","SEO","2075","1995","39930","39940"
"In post","2022","Yorkshire and The Humber","West Yorkshire","Unknown","Unknown","915","840","29830","28200"
"Leaver CS","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","AA","50","[c]","18420","17760"
"Leaver CS","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","AO","410","[c]","21170","21260"
"Leaver CS","2022","East Midlands (England)","Derbyshire and Nottinghamshire","EO","EO","310","[c]","27090","27570"
"Leaver CS","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","G6","15","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","G7","40","[c]","57680","57510"
"Leaver CS","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","HEO","90","[c]","32750","33300"
"Leaver CS","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","SEO","85","[c]","42670","42120"
"Leaver CS","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Unknown","65","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","AA","90","[c]","18840","19010"
"Leaver CS","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","AO","470","[c]","21020","21010"
"Leaver CS","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","EO","195","[c]","27410","27570"
"Leaver CS","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","G7","20","[c]","57690","55610"
"Leaver CS","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","HEO","50","[c]","34700","33840"
"Leaver CS","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","SEO","45","[c]","42240","40310"
"Leaver CS","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Lincolnshire","AA/AO","AA","45","[c]","19460","19560"
"Leaver CS","2022","East Midlands (England)","Lincolnshire","AA/AO","AO","95","[c]","21180","21170"
"Leaver CS","2022","East Midlands (England)","Lincolnshire","EO","EO","80","[c]","27660","27570"
"Leaver CS","2022","East Midlands (England)","Lincolnshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Lincolnshire","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Lincolnshire","SEO/HEO","HEO","25","[c]","33300","33300"
"Leaver CS","2022","East Midlands (England)","Lincolnshire","SEO/HEO","SEO","20","[c]","42250","41610"
"Leaver CS","2022","East Midlands (England)","Lincolnshire","Unknown","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Bedfordshire and Hertfordshire","AA/AO","AA","55","[c]","18920","19200"
"Leaver CS","2022","East of England","Bedfordshire and Hertfordshire","AA/AO","AO","175","[c]","22520","21830"
"Leaver CS","2022","East of England","Bedfordshire and Hertfordshire","EO","EO","195","[c]","28650","28550"
"Leaver CS","2022","East of England","Bedfordshire and Hertfordshire","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Bedfordshire and Hertfordshire","G6/G7","G7","20","[c]","59530","57820"
"Leaver CS","2022","East of England","Bedfordshire and Hertfordshire","SEO/HEO","HEO","65","[c]","35440","33300"
"Leaver CS","2022","East of England","Bedfordshire and Hertfordshire","SEO/HEO","SEO","30","[c]","42000","40850"
"Leaver CS","2022","East of England","Bedfordshire and Hertfordshire","Unknown","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2022","East of England","East Anglia","AA/AO","AA","130","[c]","18970","19050"
"Leaver CS","2022","East of England","East Anglia","AA/AO","AO","580","[c]","21940","21260"
"Leaver CS","2022","East of England","East Anglia","EO","EO","315","[c]","27200","27570"
"Leaver CS","2022","East of England","East Anglia","G6/G7","G6","30","[c]","71920","64580"
"Leaver CS","2022","East of England","East Anglia","G6/G7","G7","65","[c]","56770","54540"
"Leaver CS","2022","East of England","East Anglia","SCS level","SCS level","10","[c]","109460","107900"
"Leaver CS","2022","East of England","East Anglia","SEO/HEO","HEO","130","[c]","32810","32490"
"Leaver CS","2022","East of England","East Anglia","SEO/HEO","SEO","105","[c]","40760","40070"
"Leaver CS","2022","East of England","East Anglia","Unknown","Unknown","90","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Essex","AA/AO","AA","40","[c]","18900","18980"
"Leaver CS","2022","East of England","Essex","AA/AO","AO","180","[c]","23610","22980"
"Leaver CS","2022","East of England","Essex","EO","EO","225","[c]","29000","29290"
"Leaver CS","2022","East of England","Essex","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Essex","G6/G7","G7","20","[c]","56360","53220"
"Leaver CS","2022","East of England","Essex","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Essex","SEO/HEO","HEO","45","[c]","37300","35300"
"Leaver CS","2022","East of England","Essex","SEO/HEO","SEO","50","[c]","43730","40070"
"Leaver CS","2022","East of England","Essex","Unknown","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","London","Inner London - East","AA/AO","AA","40","[c]","20590","20600"
"Leaver CS","2022","London","Inner London - East","AA/AO","AO","375","[c]","22980","23460"
"Leaver CS","2022","London","Inner London - East","EO","EO","590","[c]","29380","31060"
"Leaver CS","2022","London","Inner London - East","G6/G7","G6","165","[c]","70680","68430"
"Leaver CS","2022","London","Inner London - East","G6/G7","G7","425","[c]","55570","54470"
"Leaver CS","2022","London","Inner London - East","SCS level","SCS level","155","[c]","100820","95610"
"Leaver CS","2022","London","Inner London - East","SEO/HEO","HEO","400","[c]","33720","32960"
"Leaver CS","2022","London","Inner London - East","SEO/HEO","SEO","360","[c]","41320","40450"
"Leaver CS","2022","London","Inner London - East","Unknown","Unknown","100","[c]","[c]","[c]"
"Leaver CS","2022","London","Inner London - West","AA/AO","AA","145","[c]","20710","21650"
"Leaver CS","2022","London","Inner London - West","AA/AO","AO","595","[c]","23950","23720"
"Leaver CS","2022","London","Inner London - West","EO","EO","785","[c]","28440","28500"
"Leaver CS","2022","London","Inner London - West","G6/G7","G6","415","[c]","69610","67800"
"Leaver CS","2022","London","Inner London - West","G6/G7","G7","940","[c]","55990","54700"
"Leaver CS","2022","London","Inner London - West","SCS level","SCS level","265","[c]","95400","87400"
"Leaver CS","2022","London","Inner London - West","SEO/HEO","HEO","1015","[c]","34670","34550"
"Leaver CS","2022","London","Inner London - West","SEO/HEO","SEO","665","[c]","42330","41950"
"Leaver CS","2022","London","Inner London - West","Unknown","Unknown","110","[c]","[c]","[c]"
"Leaver CS","2022","London","Outer London - East and North East","AA/AO","AA","35","[c]","20370","21650"
"Leaver CS","2022","London","Outer London - East and North East","AA/AO","AO","135","[c]","24620","25110"
"Leaver CS","2022","London","Outer London - East and North East","EO","EO","180","[c]","30660","31060"
"Leaver CS","2022","London","Outer London - East and North East","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","London","Outer London - East and North East","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","London","Outer London - East and North East","SEO/HEO","HEO","20","[c]","35570","34820"
"Leaver CS","2022","London","Outer London - East and North East","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2022","London","Outer London - East and North East","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","London","Outer London - South","AA/AO","AA","40","[c]","21780","22210"
"Leaver CS","2022","London","Outer London - South","AA/AO","AO","155","[c]","24520","25110"
"Leaver CS","2022","London","Outer London - South","EO","EO","250","[c]","30200","30600"
"Leaver CS","2022","London","Outer London - South","G6/G7","G6","30","[c]","72140","69460"
"Leaver CS","2022","London","Outer London - South","G6/G7","G7","55","[c]","60360","60070"
"Leaver CS","2022","London","Outer London - South","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","London","Outer London - South","SEO/HEO","HEO","120","[c]","36020","35200"
"Leaver CS","2022","London","Outer London - South","SEO/HEO","SEO","75","[c]","44530","44350"
"Leaver CS","2022","London","Outer London - South","Unknown","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","London","Outer London - West and North West","AA/AO","AA","65","[c]","20710","21650"
"Leaver CS","2022","London","Outer London - West and North West","AA/AO","AO","180","[c]","24100","23780"
"Leaver CS","2022","London","Outer London - West and North West","EO","EO","395","[c]","30110","31060"
"Leaver CS","2022","London","Outer London - West and North West","G6/G7","G6","20","[c]","59180","57700"
"Leaver CS","2022","London","Outer London - West and North West","G6/G7","G7","30","[c]","54860","53620"
"Leaver CS","2022","London","Outer London - West and North West","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","London","Outer London - West and North West","SEO/HEO","HEO","115","[c]","33700","33330"
"Leaver CS","2022","London","Outer London - West and North West","SEO/HEO","SEO","55","[c]","42440","41510"
"Leaver CS","2022","London","Outer London - West and North West","Unknown","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Northumberland, and Tyne and Wear","AA/AO","AA","70","[c]","19040","19200"
"Leaver CS","2022","North East (England)","Northumberland, and Tyne and Wear","AA/AO","AO","1015","[c]","21170","21260"
"Leaver CS","2022","North East (England)","Northumberland, and Tyne and Wear","EO","EO","360","[c]","26860","27570"
"Leaver CS","2022","North East (England)","Northumberland, and Tyne and Wear","G6/G7","G6","25","[c]","71590","68780"
"Leaver CS","2022","North East (England)","Northumberland, and Tyne and Wear","G6/G7","G7","90","[c]","53930","53220"
"Leaver CS","2022","North East (England)","Northumberland, and Tyne and Wear","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Northumberland, and Tyne and Wear","SEO/HEO","HEO","155","[c]","32820","32780"
"Leaver CS","2022","North East (England)","Northumberland, and Tyne and Wear","SEO/HEO","SEO","95","[c]","40130","39630"
"Leaver CS","2022","North East (England)","Northumberland, and Tyne and Wear","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Tees Valley and Durham","AA/AO","AA","80","[c]","19820","20830"
"Leaver CS","2022","North East (England)","Tees Valley and Durham","AA/AO","AO","370","[c]","21380","21260"
"Leaver CS","2022","North East (England)","Tees Valley and Durham","EO","EO","130","[c]","26940","27570"
"Leaver CS","2022","North East (England)","Tees Valley and Durham","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Tees Valley and Durham","G6/G7","G7","15","[c]","57980","55610"
"Leaver CS","2022","North East (England)","Tees Valley and Durham","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Tees Valley and Durham","SEO/HEO","HEO","40","[c]","32590","33090"
"Leaver CS","2022","North East (England)","Tees Valley and Durham","SEO/HEO","SEO","35","[c]","41650","40330"
"Leaver CS","2022","North East (England)","Tees Valley and Durham","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Cheshire","AA/AO","AA","35","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Cheshire","AA/AO","AO","125","[c]","21350","21170"
"Leaver CS","2022","North West (England)","Cheshire","EO","EO","100","[c]","28670","27570"
"Leaver CS","2022","North West (England)","Cheshire","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Cheshire","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Cheshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Cheshire","SEO/HEO","HEO","35","[c]","35990","34290"
"Leaver CS","2022","North West (England)","Cheshire","SEO/HEO","SEO","25","[c]","44000","45480"
"Leaver CS","2022","North West (England)","Cheshire","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Cumbria","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Cumbria","AA/AO","AO","80","[c]","22360","21300"
"Leaver CS","2022","North West (England)","Cumbria","EO","EO","45","[c]","26980","27570"
"Leaver CS","2022","North West (England)","Cumbria","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Cumbria","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Cumbria","SEO/HEO","HEO","15","[c]","33340","33770"
"Leaver CS","2022","North West (England)","Cumbria","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Cumbria","Unknown","Unknown","40","[c]","39470","40430"
"Leaver CS","2022","North West (England)","Greater Manchester","AA/AO","AA","55","[c]","18260","18160"
"Leaver CS","2022","North West (England)","Greater Manchester","AA/AO","AO","625","[c]","20950","21260"
"Leaver CS","2022","North West (England)","Greater Manchester","EO","EO","410","[c]","26830","27570"
"Leaver CS","2022","North West (England)","Greater Manchester","G6/G7","G6","50","[c]","71190","70880"
"Leaver CS","2022","North West (England)","Greater Manchester","G6/G7","G7","95","[c]","54090","52050"
"Leaver CS","2022","North West (England)","Greater Manchester","SCS level","SCS level","25","[c]","90890","87650"
"Leaver CS","2022","North West (England)","Greater Manchester","SEO/HEO","HEO","160","[c]","32060","31990"
"Leaver CS","2022","North West (England)","Greater Manchester","SEO/HEO","SEO","120","[c]","39610","38170"
"Leaver CS","2022","North West (England)","Greater Manchester","Unknown","Unknown","65","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Lancashire","AA/AO","AA","70","[c]","19290","19560"
"Leaver CS","2022","North West (England)","Lancashire","AA/AO","AO","630","[c]","21130","21260"
"Leaver CS","2022","North West (England)","Lancashire","EO","EO","235","[c]","27250","27570"
"Leaver CS","2022","North West (England)","Lancashire","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Lancashire","G6/G7","G7","30","[c]","54310","53790"
"Leaver CS","2022","North West (England)","Lancashire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Lancashire","SEO/HEO","HEO","55","[c]","33740","33840"
"Leaver CS","2022","North West (England)","Lancashire","SEO/HEO","SEO","55","[c]","41120","40530"
"Leaver CS","2022","North West (England)","Lancashire","Unknown","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Merseyside","AA/AO","AA","55","[c]","18210","18240"
"Leaver CS","2022","North West (England)","Merseyside","AA/AO","AO","575","[c]","21320","21260"
"Leaver CS","2022","North West (England)","Merseyside","EO","EO","390","[c]","26350","26370"
"Leaver CS","2022","North West (England)","Merseyside","G6/G7","G6","25","[c]","72680","70030"
"Leaver CS","2022","North West (England)","Merseyside","G6/G7","G7","60","[c]","56870","54080"
"Leaver CS","2022","North West (England)","Merseyside","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Merseyside","SEO/HEO","HEO","105","[c]","32290","31710"
"Leaver CS","2022","North West (England)","Merseyside","SEO/HEO","SEO","90","[c]","41810","40530"
"Leaver CS","2022","North West (England)","Merseyside","Unknown","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Northern Ireland","AA/AO","AA","25","[c]","19850","20310"
"Leaver CS","2022","Northern Ireland","Northern Ireland","AA/AO","AO","110","[c]","22160","21680"
"Leaver CS","2022","Northern Ireland","Northern Ireland","EO","EO","55","[c]","27530","24890"
"Leaver CS","2022","Northern Ireland","Northern Ireland","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Northern Ireland","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Northern Ireland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Northern Ireland","SEO/HEO","HEO","30","[c]","34160","33380"
"Leaver CS","2022","Northern Ireland","Northern Ireland","SEO/HEO","SEO","15","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Overseas","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Overseas","G6/G7","G6","15","[c]","72280","71830"
"Leaver CS","2022","Overseas","Overseas","G6/G7","G7","20","[c]","59750","54540"
"Leaver CS","2022","Overseas","Overseas","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Overseas","SEO/HEO","HEO","55","[c]","39560","39030"
"Leaver CS","2022","Overseas","Overseas","SEO/HEO","SEO","20","[c]","45880","44990"
"Leaver CS","2022","Overseas","Overseas","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Eastern Scotland","AA/AO","AA","135","[c]","22090","21050"
"Leaver CS","2022","Scotland","Eastern Scotland","AA/AO","AO","660","[c]","23050","21260"
"Leaver CS","2022","Scotland","Eastern Scotland","EO","EO","340","[c]","29550","27570"
"Leaver CS","2022","Scotland","Eastern Scotland","G6/G7","G6","55","[c]","75420","75340"
"Leaver CS","2022","Scotland","Eastern Scotland","G6/G7","G7","85","[c]","57540","57190"
"Leaver CS","2022","Scotland","Eastern Scotland","SCS level","SCS level","20","[c]","90930","82500"
"Leaver CS","2022","Scotland","Eastern Scotland","SEO/HEO","HEO","185","[c]","35410","36130"
"Leaver CS","2022","Scotland","Eastern Scotland","SEO/HEO","SEO","160","[c]","44870","46020"
"Leaver CS","2022","Scotland","Eastern Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Highlands and Islands","AA/AO","AA","25","[c]","20790","19930"
"Leaver CS","2022","Scotland","Highlands and Islands","AA/AO","AO","75","[c]","22690","21640"
"Leaver CS","2022","Scotland","Highlands and Islands","EO","EO","60","[c]","29420","27570"
"Leaver CS","2022","Scotland","Highlands and Islands","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Highlands and Islands","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Highlands and Islands","SEO/HEO","HEO","15","[c]","35800","36130"
"Leaver CS","2022","Scotland","Highlands and Islands","SEO/HEO","SEO","10","[c]","43660","45350"
"Leaver CS","2022","Scotland","Highlands and Islands","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","North Eastern Scotland","AA/AO","AA","10","[c]","21550","21340"
"Leaver CS","2022","Scotland","North Eastern Scotland","AA/AO","AO","50","[c]","25910","23780"
"Leaver CS","2022","Scotland","North Eastern Scotland","EO","EO","55","[c]","28990","27570"
"Leaver CS","2022","Scotland","North Eastern Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","North Eastern Scotland","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","North Eastern Scotland","SEO/HEO","HEO","15","[c]","33830","32980"
"Leaver CS","2022","Scotland","North Eastern Scotland","SEO/HEO","SEO","20","[c]","54760","47490"
"Leaver CS","2022","Scotland","Southern Scotland","AA/AO","AA","15","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Southern Scotland","AA/AO","AO","260","[c]","23540","22700"
"Leaver CS","2022","Scotland","Southern Scotland","EO","EO","160","[c]","27790","27570"
"Leaver CS","2022","Scotland","Southern Scotland","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Southern Scotland","G6/G7","G7","15","[c]","53370","51440"
"Leaver CS","2022","Scotland","Southern Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Southern Scotland","SEO/HEO","HEO","50","[c]","33990","33930"
"Leaver CS","2022","Scotland","Southern Scotland","SEO/HEO","SEO","25","[c]","40080","39190"
"Leaver CS","2022","Scotland","West Central Scotland","AA/AO","AA","65","[c]","21140","21050"
"Leaver CS","2022","Scotland","West Central Scotland","AA/AO","AO","515","[c]","23540","21260"
"Leaver CS","2022","Scotland","West Central Scotland","EO","EO","325","[c]","28530","27570"
"Leaver CS","2022","Scotland","West Central Scotland","G6/G7","G6","30","[c]","72270","75340"
"Leaver CS","2022","Scotland","West Central Scotland","G6/G7","G7","50","[c]","56680","55540"
"Leaver CS","2022","Scotland","West Central Scotland","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","West Central Scotland","SEO/HEO","HEO","120","[c]","34930","33950"
"Leaver CS","2022","Scotland","West Central Scotland","SEO/HEO","SEO","95","[c]","43590","42170"
"Leaver CS","2022","Scotland","West Central Scotland","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AA","145","[c]","19250","19050"
"Leaver CS","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AO","525","[c]","24080","21490"
