"Status","Year","Age","Disability","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared non-disabled","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","16-19","Undeclared","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Debt","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","No function","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","No function","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Property","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Communications","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Counter Fraud","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Debt","Operational Delivery","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Debt","Tax","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Digital, Data & Technology","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Finance","Finance","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","Human Resources","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Legal","Operational Delivery","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Operational Delivery","200","190","21550","21250"
"In post","2022","16-19","Unknown","No function","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Policy","20","20","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Tax","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Project Delivery","Other","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Project Delivery","Science and Engineering","40","40","17290","17140"
"In post","2022","16-19","Unknown","Property","Property","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Security","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Operational Delivery","40","40","23310","21680"
"In post","2022","16-19","Unknown","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Other","40","40","18800","16720"
"In post","2022","16-19","Unknown","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","30","30","22340","21050"
"In post","2022","20-29","Declared disabled","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Economics","40","40","37020","34260"
"In post","2022","20-29","Declared disabled","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Geography","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Operational Delivery","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Operational Research","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Other","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Policy","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Science and Engineering","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Social Research","35","35","37450","37110"
"In post","2022","20-29","Declared disabled","Analysis","Statistics","80","80","34110","33290"
"In post","2022","20-29","Declared disabled","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Analysis","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Commercial","55","55","30270","26670"
"In post","2022","20-29","Declared disabled","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Operational Delivery","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Unknown","5","5","[c]","[c]"
