"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Debt","West Midlands (England)","West Midlands","Outside London","625","560","22690","21250"
"In post","2022","Debt","Yorkshire and The Humber","South Yorkshire","Outside London","255","220","22630","21260"
"In post","2022","Debt","Yorkshire and The Humber","West Yorkshire","Outside London","710","620","23900","21260"
"In post","2022","Digital, Data & Technology","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","265","260","38990","34100"
"In post","2022","Digital, Data & Technology","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","95","90","35960","35600"
"In post","2022","Digital, Data & Technology","East Midlands (England)","Lincolnshire","Outside London","100","100","29360","27570"
"In post","2022","Digital, Data & Technology","East of England","Bedfordshire and Hertfordshire","Outside London","175","175","36400","35960"
"In post","2022","Digital, Data & Technology","East of England","East Anglia","Outside London","345","335","33630","31990"
"In post","2022","Digital, Data & Technology","East of England","Essex","Outside London","295","280","37870","35300"
"In post","2022","Digital, Data & Technology","London","Inner London - East","London","1550","1525","51180","54700"
"In post","2022","Digital, Data & Technology","London","Inner London - West","London","2380","2340","48400","44550"
"In post","2022","Digital, Data & Technology","London","Outer London - East and North East","London","30","30","36340","34660"
"In post","2022","Digital, Data & Technology","London","Outer London - South","London","100","95","44610","37930"
"In post","2022","Digital, Data & Technology","London","Outer London - West and North West","London","250","240","39340","36690"
"In post","2022","Digital, Data & Technology","North East (England)","Northumberland, and Tyne and Wear","Outside London","2165","2085","41980","38480"
"In post","2022","Digital, Data & Technology","North East (England)","Tees Valley and Durham","Outside London","175","165","37350","36490"
"In post","2022","Digital, Data & Technology","North West (England)","Cheshire","Outside London","240","230","39030","36740"
"In post","2022","Digital, Data & Technology","North West (England)","Cumbria","Outside London","25","25","32190","29180"
"In post","2022","Digital, Data & Technology","North West (England)","Greater Manchester","Outside London","1185","1165","43400","38880"
"In post","2022","Digital, Data & Technology","North West (England)","Lancashire","Outside London","975","935","41650","36540"
"In post","2022","Digital, Data & Technology","North West (England)","Merseyside","Outside London","480","465","36620","33300"
"In post","2022","Digital, Data & Technology","Northern Ireland","Northern Ireland","Outside London","75","75","33630","33080"
"In post","2022","Digital, Data & Technology","Overseas","Overseas","Overseas","70","70","32450","33170"
"In post","2022","Digital, Data & Technology","Scotland","Eastern Scotland","Outside London","350","345","38550","35540"
"In post","2022","Digital, Data & Technology","Scotland","Highlands and Islands","Outside London","35","35","31190","30930"
"In post","2022","Digital, Data & Technology","Scotland","North Eastern Scotland","Outside London","35","30","35370","37420"
"In post","2022","Digital, Data & Technology","Scotland","Southern Scotland","Outside London","255","245","40250","38500"
"In post","2022","Digital, Data & Technology","Scotland","West Central Scotland","Outside London","265","260","36660","33300"
"In post","2022","Digital, Data & Technology","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","360","350","40260","37420"
"In post","2022","Digital, Data & Technology","South East (England)","Hampshire and Isle of Wight","Outside London","690","675","35410","33300"
"In post","2022","Digital, Data & Technology","South East (England)","Kent","Outside London","30","30","37260","33700"
"In post","2022","Digital, Data & Technology","South East (England)","Surrey, East and West Sussex","Outside London","315","300","39230","34680"
"In post","2022","Digital, Data & Technology","South West (England)","Cornwall and Isles of Scilly","Outside London","25","25","33720","29340"
"In post","2022","Digital, Data & Technology","South West (England)","Devon","Outside London","1645","1565","38700","38450"
"In post","2022","Digital, Data & Technology","South West (England)","Dorset and Somerset","Outside London","310","305","37430","34570"
"In post","2022","Digital, Data & Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","1745","1695","38750","36250"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","Unknown","60","60","40530","37300"
"In post","2022","Digital, Data & Technology","Wales","East Wales","Outside London","1110","1080","41290","38000"
"In post","2022","Digital, Data & Technology","Wales","West Wales and The Valleys","Outside London","990","970","39260","37800"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","145","140","30860","26670"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Shropshire and Staffordshire","Outside London","570","550","41060","40180"
"In post","2022","Digital, Data & Technology","West Midlands (England)","West Midlands","Outside London","600","585","40190","36500"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","30","30","32900","31270"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","North Yorkshire","Outside London","200","195","38420","36810"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","South Yorkshire","Outside London","485","470","43520","40160"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","West Yorkshire","Outside London","825","800","42080","38500"
"In post","2022","Finance","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","240","230","37780","33370"
"In post","2022","Finance","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","30","30","37210","32000"
"In post","2022","Finance","East Midlands (England)","Lincolnshire","Outside London","35","35","26800","26670"
"In post","2022","Finance","East of England","Bedfordshire and Hertfordshire","Outside London","95","90","44680","40740"
"In post","2022","Finance","East of England","East Anglia","Outside London","170","160","35260","33000"
"In post","2022","Finance","East of England","Essex","Outside London","70","60","32030","28920"
"In post","2022","Finance","London","Inner London - East","London","565","545","45670","41750"
"In post","2022","Finance","London","Inner London - West","London","2255","2205","49450","44500"
"In post","2022","Finance","London","Outer London - East and North East","London","5","5","[c]","[c]"
"In post","2022","Finance","London","Outer London - South","London","125","125","46870","42100"
"In post","2022","Finance","London","Outer London - West and North West","London","45","45","42280","40790"
"In post","2022","Finance","North East (England)","Northumberland, and Tyne and Wear","Outside London","690","655","38480","34290"
"In post","2022","Finance","North East (England)","Tees Valley and Durham","Outside London","185","175","38910","36500"
"In post","2022","Finance","North West (England)","Cheshire","Outside London","45","45","38930","35900"
"In post","2022","Finance","North West (England)","Cumbria","Outside London","10","10","37150","35490"
"In post","2022","Finance","North West (England)","Greater Manchester","Outside London","520","500","39970","36500"
"In post","2022","Finance","North West (England)","Lancashire","Outside London","470","435","36190","34290"
"In post","2022","Finance","North West (England)","Merseyside","Outside London","340","315","33120","27570"
"In post","2022","Finance","Northern Ireland","Northern Ireland","Outside London","40","40","41150","38940"
"In post","2022","Finance","Overseas","Overseas","Overseas","35","35","35090","33300"
"In post","2022","Finance","Scotland","Eastern Scotland","Outside London","175","170","37550","35000"
"In post","2022","Finance","Scotland","Highlands and Islands","Outside London","5","5","[c]","[c]"
"In post","2022","Finance","Scotland","North Eastern Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Finance","Scotland","Southern Scotland","Outside London","235","220","32190","26590"
"In post","2022","Finance","Scotland","West Central Scotland","Outside London","610","515","26340","22080"
"In post","2022","Finance","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","295","290","38060","35000"
"In post","2022","Finance","South East (England)","Hampshire and Isle of Wight","Outside London","400","385","38170","33300"
"In post","2022","Finance","South East (England)","Kent","Outside London","25","25","37720","38530"
"In post","2022","Finance","South East (England)","Surrey, East and West Sussex","Outside London","305","275","33600","29970"
"In post","2022","Finance","South West (England)","Cornwall and Isles of Scilly","Outside London","10","10","32190","33150"
"In post","2022","Finance","South West (England)","Devon","Outside London","130","120","39060","35310"
"In post","2022","Finance","South West (England)","Dorset and Somerset","Outside London","45","45","34480","30450"
"In post","2022","Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","1065","1020","39150","34540"
"In post","2022","Finance","Unknown","Unknown","Unknown","15","15","41340","35310"
"In post","2022","Finance","Wales","East Wales","Outside London","225","210","35900","31990"
"In post","2022","Finance","Wales","West Wales and The Valleys","Outside London","230","215","35160","31990"
"In post","2022","Finance","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","45","40","36260","34110"
"In post","2022","Finance","West Midlands (England)","Shropshire and Staffordshire","Outside London","165","155","40860","40180"
"In post","2022","Finance","West Midlands (England)","West Midlands","Outside London","655","635","37910","36500"
"In post","2022","Finance","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","15","15","45440","37870"
"In post","2022","Finance","Yorkshire and The Humber","North Yorkshire","Outside London","120","115","38840","36790"
"In post","2022","Finance","Yorkshire and The Humber","South Yorkshire","Outside London","530","500","38120","35310"
"In post","2022","Finance","Yorkshire and The Humber","West Yorkshire","Outside London","1100","1000","34390","29720"
"In post","2022","Grants Management","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","90","85","24240","21300"
"In post","2022","Grants Management","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","East Midlands (England)","Lincolnshire","Outside London","5","5","[c]","[c]"
"In post","2022","Grants Management","East of England","East Anglia","Outside London","55","50","24810","21300"
"In post","2022","Grants Management","East of England","Essex","Outside London","5","5","[c]","[c]"
