"Status","Year","Disability","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","London","Heterosexual / straight","110","105","44380","38990"
"In post","2022","Declared disabled","Property","London","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Property","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Property","London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Property","Outside London","Heterosexual / straight","480","460","34890","32890"
"In post","2022","Declared disabled","Property","Outside London","LGBO","40","35","34730","33300"
"In post","2022","Declared disabled","Property","Outside London","Undeclared","65","60","35250","33300"
"In post","2022","Declared disabled","Property","Outside London","Unknown","35","35","32080","31270"
"In post","2022","Declared disabled","Property","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Property","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","London","Heterosexual / straight","140","135","41240","37660"
"In post","2022","Declared disabled","Security","London","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Security","London","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Security","London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Security","Outside London","Heterosexual / straight","520","500","30400","27920"
"In post","2022","Declared disabled","Security","Outside London","LGBO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Security","Outside London","Undeclared","70","70","32260","33100"
"In post","2022","Declared disabled","Security","Outside London","Unknown","40","35","31720","28790"
"In post","2022","Declared disabled","Security","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Security","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","London","Heterosexual / straight","1110","1040","39530","35070"
"In post","2022","Declared disabled","Unknown","London","LGBO","115","110","44890","38070"
"In post","2022","Declared disabled","Unknown","London","Undeclared","205","190","39190","35070"
"In post","2022","Declared disabled","Unknown","London","Unknown","30","30","40730","35050"
