"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Economics","Overseas","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","Economics","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","London","AA/AO","Female","45","45","25110","25330"
"In post","2022","Finance","London","AA/AO","Male","40","40","24580","24280"
"In post","2022","Finance","London","EO","Female","200","195","29440","29620"
"In post","2022","Finance","London","EO","Male","140","140","29430","29560"
"In post","2022","Finance","London","G6/G7","Female","460","440","61090","59730"
"In post","2022","Finance","London","G6/G7","Male","550","545","62330","61470"
"In post","2022","Finance","London","SCS level","Female","70","70","86470","81600"
"In post","2022","Finance","London","SCS level","Male","100","100","90140","80350"
"In post","2022","Finance","London","SEO/HEO","Female","655","635","40070","40650"
"In post","2022","Finance","London","SEO/HEO","Male","650","645","40870","40940"
"In post","2022","Finance","Outside London","AA/AO","Female","610","525","21750","21260"
"In post","2022","Finance","Outside London","AA/AO","Male","285","270","21670","21260"
"In post","2022","Finance","Outside London","EO","Female","1300","1210","26550","26670"
"In post","2022","Finance","Outside London","EO","Male","710","695","26430","26670"
"In post","2022","Finance","Outside London","G6/G7","Female","890","860","56600","55210"
"In post","2022","Finance","Outside London","G6/G7","Male","825","810","57880","55870"
"In post","2022","Finance","Outside London","SCS level","Female","70","65","86540","78500"
"In post","2022","Finance","Outside London","SCS level","Male","95","95","89290","83120"
"In post","2022","Finance","Outside London","SEO/HEO","Female","2495","2370","36420","35310"
"In post","2022","Finance","Outside London","SEO/HEO","Male","1960","1925","36950","36240"
"In post","2022","Finance","Outside London","Unknown","Female","30","30","46940","42340"
"In post","2022","Finance","Outside London","Unknown","Male","40","40","51680","45010"
"In post","2022","Finance","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","EO","Female","15","15","[c]","[c]"
"In post","2022","Finance","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Finance","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2022","Finance","Overseas","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2022","Finance","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Finance","Unknown","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Geography","London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","AA/AO","Female","25","25","[c]","[c]"
"In post","2022","Geography","Outside London","AA/AO","Male","45","45","20310","20420"
"In post","2022","Geography","Outside London","EO","Female","65","60","27500","26740"
"In post","2022","Geography","Outside London","EO","Male","95","90","27560","26740"
"In post","2022","Geography","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Geography","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","SEO/HEO","Female","80","70","35810","33290"
"In post","2022","Geography","Outside London","SEO/HEO","Male","165","160","35570","33290"
"In post","2022","Geography","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","London","AA/AO","Female","60","55","25010","25030"
"In post","2022","Human Resources","London","AA/AO","Male","35","35","24410","23990"
"In post","2022","Human Resources","London","EO","Female","305","290","29010","28650"
