"Status","Year","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","65","[c]","35420","34020"
"Leaver CS","2022","Department for Education","AA/AO","AO","15","[c]","22310","21250"
"Leaver CS","2022","Department for Education","EO","EO","110","[c]","26470","25000"
"Leaver CS","2022","Department for Education","G6/G7","G6","40","[c]","66190","66410"
"Leaver CS","2022","Department for Education","G6/G7","G7","95","[c]","53260","53420"
"Leaver CS","2022","Department for Education","SCS level","SCS level","20","[c]","89160","81150"
"Leaver CS","2022","Department for Education","SEO/HEO","HEO","75","[c]","32590","32300"
"Leaver CS","2022","Department for Education","SEO/HEO","SEO","100","[c]","38780","37100"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","AA/AO","AO","240","[c]","21680","21300"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","EO","EO","175","[c]","25670","25180"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","G6/G7","G6","25","[c]","62960","63150"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","G6/G7","G7","90","[c]","53380","53620"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","SCS level","SCS level","20","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","230","[c]","31040","30730"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","155","[c]","39880","38210"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","EO","EO","80","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","G6/G7","G6","15","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","G6/G7","G7","45","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","SEO/HEO","HEO","40","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","SEO/HEO","SEO","25","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","AA/AO","AA","15","[c]","18200","18200"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","AA/AO","AO","30","[c]","22060","21520"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","EO","EO","30","[c]","28240","27850"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","G6/G7","G6","30","[c]","67790","67600"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","G6/G7","G7","55","[c]","52740","53130"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","SCS level","SCS level","10","[c]","89020","82990"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","35","[c]","33990","33210"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","35","[c]","40750","39990"
"Leaver CS","2022","Department for Transport","AA/AO","AA","115","[c]","18400","18310"
"Leaver CS","2022","Department for Transport","AA/AO","AO","390","[c]","22760","21840"
"Leaver CS","2022","Department for Transport","EO","EO","375","[c]","27540","26780"
"Leaver CS","2022","Department for Transport","G6/G7","G6","35","[c]","70730","66230"
"Leaver CS","2022","Department for Transport","G6/G7","G7","75","[c]","57150","54760"
"Leaver CS","2022","Department for Transport","SCS level","SCS level","15","[c]","86040","77890"
"Leaver CS","2022","Department for Transport","SEO/HEO","HEO","160","[c]","33700","34060"
"Leaver CS","2022","Department for Transport","SEO/HEO","SEO","125","[c]","44200","42890"
"Leaver CS","2022","Department for Transport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","AA/AO","AA","15","[c]","20630","20480"
"Leaver CS","2022","Department for Work and Pensions","AA/AO","AO","3385","[c]","21410","21260"
"Leaver CS","2022","Department for Work and Pensions","EO","EO","4520","[c]","28230","27570"
"Leaver CS","2022","Department for Work and Pensions","G6/G7","G6","70","[c]","68080","68000"
"Leaver CS","2022","Department for Work and Pensions","G6/G7","G7","175","[c]","55680","55000"
"Leaver CS","2022","Department for Work and Pensions","SCS level","SCS level","20","[c]","88380","80910"
"Leaver CS","2022","Department for Work and Pensions","SEO/HEO","HEO","405","[c]","34000","34290"
"Leaver CS","2022","Department for Work and Pensions","SEO/HEO","SEO","280","[c]","41940","40390"
"Leaver CS","2022","Department of Health and Social Care","AA/AO","AA","45","[c]","19930","19100"
"Leaver CS","2022","Department of Health and Social Care","AA/AO","AO","250","[c]","21310","20400"
"Leaver CS","2022","Department of Health and Social Care","EO","EO","520","[c]","25740","25700"
"Leaver CS","2022","Department of Health and Social Care","G6/G7","G6","230","[c]","69810","66270"
"Leaver CS","2022","Department of Health and Social Care","G6/G7","G7","595","[c]","52970","53100"
"Leaver CS","2022","Department of Health and Social Care","SCS level","SCS level","225","[c]","98990","95140"
"Leaver CS","2022","Department of Health and Social Care","SEO/HEO","HEO","605","[c]","31830","32330"
"Leaver CS","2022","Department of Health and Social Care","SEO/HEO","SEO","675","[c]","39830","40060"
"Leaver CS","2022","Department of Health and Social Care","Unknown","Unknown","65","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","EO","EO","30","[c]","26840","26750"
"Leaver CS","2022","Food Standards Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","SEO/HEO","HEO","20","[c]","31640","30810"
"Leaver CS","2022","Food Standards Agency","SEO/HEO","SEO","15","[c]","39600","37910"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","AA/AO","AA","30","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","AA/AO","AO","50","[c]","23530","22170"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","EO","EO","45","[c]","27660","26360"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","G6/G7","G6","45","[c]","70210","70460"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","G6/G7","G7","75","[c]","54710","55060"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","SCS level","SCS level","30","[c]","99010","87590"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","90","[c]","34970","33930"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","50","[c]","42730","41160"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","AA/AO","AO","105","[c]","22990","22600"
"Leaver CS","2022","HM Land Registry","EO","EO","120","[c]","27750","27130"
"Leaver CS","2022","HM Land Registry","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","G6/G7","G7","25","[c]","59860","57650"
"Leaver CS","2022","HM Land Registry","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","SEO/HEO","HEO","95","[c]","34940","33840"
"Leaver CS","2022","HM Land Registry","SEO/HEO","SEO","55","[c]","43270","43160"
"Leaver CS","2022","HM Revenue and Customs","AA/AO","AA","145","[c]","21080","20830"
"Leaver CS","2022","HM Revenue and Customs","AA/AO","AO","2630","[c]","21960","22040"
"Leaver CS","2022","HM Revenue and Customs","EO","EO","950","[c]","27250","27000"
"Leaver CS","2022","HM Revenue and Customs","G6/G7","G6","105","[c]","70010","67960"
"Leaver CS","2022","HM Revenue and Customs","G6/G7","G7","225","[c]","58710","58180"
"Leaver CS","2022","HM Revenue and Customs","SCS level","SCS level","40","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","SEO/HEO","HEO","585","[c]","34730","34150"
"Leaver CS","2022","HM Revenue and Customs","SEO/HEO","SEO","290","[c]","44000","44740"
"Leaver CS","2022","HM Revenue and Customs","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","AA/AO","AO","45","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","EO","EO","25","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","G6/G7","G6","30","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","G6/G7","G7","45","[c]","56580","54000"
"Leaver CS","2022","HM Treasury","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","SEO/HEO","HEO","70","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","SEO/HEO","SEO","30","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","AA/AO","AA","120","[c]","20450","22210"
"Leaver CS","2022","Home Office","AA/AO","AO","450","[c]","22400","21680"
"Leaver CS","2022","Home Office","EO","EO","850","[c]","27470","27240"
"Leaver CS","2022","Home Office","G6/G7","G6","65","[c]","69840","68770"
"Leaver CS","2022","Home Office","G6/G7","G7","120","[c]","57860","57460"
"Leaver CS","2022","Home Office","SCS level","SCS level","25","[c]","98590","94380"
"Leaver CS","2022","Home Office","SEO/HEO","HEO","275","[c]","34400","35050"
"Leaver CS","2022","Home Office","SEO/HEO","SEO","170","[c]","42090","41970"
"Leaver CS","2022","Home Office","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Ministry of Defence","AA/AO","AA","555","[c]","19710","19560"
"Leaver CS","2022","Ministry of Defence","AA/AO","AO","1115","[c]","24940","21780"
"Leaver CS","2022","Ministry of Defence","EO","EO","985","[c]","26470","26670"
"Leaver CS","2022","Ministry of Defence","G6/G7","G6","115","[c]","71460","67810"
"Leaver CS","2022","Ministry of Defence","G6/G7","G7","270","[c]","55110","54540"
"Leaver CS","2022","Ministry of Defence","SCS level","SCS level","30","[c]","99230","90030"
"Leaver CS","2022","Ministry of Defence","SEO/HEO","HEO","960","[c]","33970","33300"
"Leaver CS","2022","Ministry of Defence","SEO/HEO","SEO","620","[c]","42350","40980"
"Leaver CS","2022","Ministry of Defence","Unknown","Unknown","390","[c]","36800","33570"
"Leaver CS","2022","Ministry of Justice","AA/AO","AA","1430","[c]","18770","19060"
"Leaver CS","2022","Ministry of Justice","AA/AO","AO","4820","[c]","21170","20970"
"Leaver CS","2022","Ministry of Justice","EO","EO","775","[c]","25530","25120"
"Leaver CS","2022","Ministry of Justice","G6/G7","G6","60","[c]","66940","67450"
"Leaver CS","2022","Ministry of Justice","G6/G7","G7","135","[c]","57670","56200"
"Leaver CS","2022","Ministry of Justice","SCS level","SCS level","25","[c]","97010","92900"
"Leaver CS","2022","Ministry of Justice","SEO/HEO","HEO","385","[c]","31990","30850"
"Leaver CS","2022","Ministry of Justice","SEO/HEO","SEO","350","[c]","41800","41750"
"Leaver CS","2022","Ministry of Justice","Unknown","Unknown","1805","[c]","36380","31470"
"Leaver CS","2022","National Crime Agency","AA/AO","AO","30","[c]","23670","23100"
"Leaver CS","2022","National Crime Agency","EO","EO","130","[c]","33820","34140"
"Leaver CS","2022","National Crime Agency","G6/G7","G6","15","[c]","77540","76310"
"Leaver CS","2022","National Crime Agency","G6/G7","G7","20","[c]","62490","63150"
"Leaver CS","2022","National Crime Agency","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","National Crime Agency","SEO/HEO","HEO","75","[c]","42140","43180"
"Leaver CS","2022","National Crime Agency","SEO/HEO","SEO","45","[c]","48650","48310"
"Leaver CS","2022","Northern Ireland Office","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","25","[c]","21480","21410"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","G6/G7","G6","10","[c]","84530","85550"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","G6/G7","G7","55","[c]","73240","75500"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","SEO/HEO","HEO","15","[c]","32910","32010"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","SEO/HEO","SEO","65","[c]","47960","51360"
"Leaver CS","2022","Office of Gas and Electricity Markets","AA/AO","AO","25","[c]","20040","19750"
"Leaver CS","2022","Office of Gas and Electricity Markets","EO","EO","45","[c]","25700","25600"
"Leaver CS","2022","Office of Gas and Electricity Markets","G6/G7","G6","15","[c]","78210","78220"
"Leaver CS","2022","Office of Gas and Electricity Markets","G6/G7","G7","55","[c]","56830","54490"
"Leaver CS","2022","Office of Gas and Electricity Markets","SCS level","SCS level","15","[c]","101390","99990"
"Leaver CS","2022","Office of Gas and Electricity Markets","SEO/HEO","HEO","45","[c]","34650","34540"
"Leaver CS","2022","Office of Gas and Electricity Markets","SEO/HEO","SEO","35","[c]","40970","40000"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","G6/G7","G7","15","[c]","57760","58930"
"Leaver CS","2022","Office of Rail and Road","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Government","AA/AO","AA","185","[c]","22060","21560"
"Leaver CS","2022","Scottish Government","AA/AO","AO","375","[c]","24650","24020"
"Leaver CS","2022","Scottish Government","EO","EO","325","[c]","31450","30450"
"Leaver CS","2022","Scottish Government","G6/G7","G6","70","[c]","74320","75340"
"Leaver CS","2022","Scottish Government","G6/G7","G7","80","[c]","58160","59590"
"Leaver CS","2022","Scottish Government","SCS level","SCS level","25","[c]","91820","83230"
"Leaver CS","2022","Scottish Government","SEO/HEO","HEO","175","[c]","35910","36130"
"Leaver CS","2022","Scottish Government","SEO/HEO","SEO","200","[c]","45570","46100"
"Leaver CS","2022","The National Archives","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","AA/AO","AO","15","[c]","21000","20510"
"Leaver CS","2022","The National Archives","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","SEO/HEO","HEO","20","[c]","30270","28970"
"Leaver CS","2022","The National Archives","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","SEO/HEO","SEO","20","[c]","46870","47000"
"Leaver CS","2022","UK Statistics Authority","AA/AO","AA","80","[c]","19400","19050"
"Leaver CS","2022","UK Statistics Authority","AA/AO","AO","185","[c]","20100","19610"
"Leaver CS","2022","UK Statistics Authority","EO","EO","75","[c]","24050","23630"
"Leaver CS","2022","UK Statistics Authority","G6/G7","G6","10","[c]","61510","60340"
"Leaver CS","2022","UK Statistics Authority","G6/G7","G7","30","[c]","53540","50640"
"Leaver CS","2022","UK Statistics Authority","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","UK Statistics Authority","SEO/HEO","HEO","110","[c]","30940","30210"
"Leaver CS","2022","UK Statistics Authority","SEO/HEO","SEO","80","[c]","37600","36840"
"Leaver CS","2022","UK Supreme Court","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Supreme Court","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Supreme Court","SEO/HEO","SEO","15","[c]","37230","37230"
"Leaver CS","2022","Water Services Regulation Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","SEO/HEO","HEO","20","[c]","41660","40460"
"Leaver CS","2022","Water Services Regulation Authority","SEO/HEO","SEO","15","[c]","59320","61510"
"Leaver CS","2022","Welsh Government","AA/AO","AO","60","[c]","23130","23830"
"Leaver CS","2022","Welsh Government","EO","EO","35","[c]","28410","28850"
"Leaver CS","2022","Welsh Government","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government","G6/G7","G7","30","[c]","60700","60830"
"Leaver CS","2022","Welsh Government","SCS level","SCS level","20","[c]","101050","101020"
"Leaver CS","2022","Welsh Government","SEO/HEO","HEO","55","[c]","36010","37410"
"Leaver CS","2022","Welsh Government","SEO/HEO","SEO","40","[c]","45340","47000"
"Leaver Dept.","2022","Attorney General's Departments","AA/AO","AO","45","[c]","23240","23750"
"Leaver Dept.","2022","Attorney General's Departments","EO","EO","60","[c]","27210","27050"
"Leaver Dept.","2022","Attorney General's Departments","G6/G7","G6","35","[c]","68250","66290"
"Leaver Dept.","2022","Attorney General's Departments","G6/G7","G7","60","[c]","54600","52070"
"Leaver Dept.","2022","Attorney General's Departments","SCS level","SCS level","10","[c]","88000","82880"
"Leaver Dept.","2022","Attorney General's Departments","SEO/HEO","HEO","40","[c]","31900","31560"
"Leaver Dept.","2022","Attorney General's Departments","SEO/HEO","SEO","25","[c]","40830","40170"
"Leaver Dept.","2022","Cabinet Office","AA/AO","AO","50","[c]","21850","21050"
"Leaver Dept.","2022","Cabinet Office","EO","EO","180","[c]","27290","27500"
"Leaver Dept.","2022","Cabinet Office","G6/G7","G6","140","[c]","66180","64500"
"Leaver Dept.","2022","Cabinet Office","G6/G7","G7","355","[c]","54760","54700"
"Leaver Dept.","2022","Cabinet Office","SCS level","SCS level","100","[c]","87900","77820"
"Leaver Dept.","2022","Cabinet Office","SEO/HEO","HEO","890","[c]","32470","32000"
"Leaver Dept.","2022","Cabinet Office","SEO/HEO","SEO","155","[c]","40040","40600"
"Leaver Dept.","2022","Chancellor's other departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Chancellor's other departments","EO","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Chancellor's other departments","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Chancellor's other departments","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","EO","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","SEO/HEO","HEO","15","[c]","29470","29160"
"Leaver Dept.","2022","Charity Commission","SEO/HEO","SEO","15","[c]","38220","37910"
"Leaver Dept.","2022","Competition and Markets Authority","AA/AO","AO","10","[c]","22900","22860"
"Leaver Dept.","2022","Competition and Markets Authority","EO","EO","10","[c]","27880","27920"
"Leaver Dept.","2022","Competition and Markets Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","SEO/HEO","HEO","10","[c]","34940","34570"
"Leaver Dept.","2022","Competition and Markets Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","AA/AO","AO","55","[c]","21550","21130"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","EO","EO","115","[c]","26070","24780"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","G6/G7","G6","50","[c]","65990","64990"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","G6/G7","G7","195","[c]","53740","53380"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","35","[c]","86920","79160"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","200","[c]","32980","33570"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","145","[c]","40440","40050"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","EO","EO","15","[c]","27560","26180"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","G6/G7","G6","15","[c]","64180","64380"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","G6/G7","G7","60","[c]","54160","52980"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","SCS level","SCS level","15","[c]","73730","73500"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","100","[c]","35010","34020"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Education","EO","EO","75","[c]","26520","25000"
"Leaver Dept.","2022","Department for Education","G6/G7","G6","40","[c]","64810","65070"
"Leaver Dept.","2022","Department for Education","G6/G7","G7","110","[c]","52630","53420"
"Leaver Dept.","2022","Department for Education","SCS level","SCS level","20","[c]","84470","75690"
"Leaver Dept.","2022","Department for Education","SEO/HEO","HEO","120","[c]","32190","32940"
"Leaver Dept.","2022","Department for Education","SEO/HEO","SEO","135","[c]","39600","39490"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","AA/AO","AO","60","[c]","21240","21300"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","EO","EO","60","[c]","25550","25190"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","G6/G7","G6","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","G6/G7","G7","85","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","170","[c]","30500","30040"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","105","[c]","37680","36970"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for International Trade","EO","EO","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for International Trade","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for International Trade","G6/G7","G7","55","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for International Trade","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for International Trade","SEO/HEO","HEO","75","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for International Trade","SEO/HEO","SEO","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities","AA/AO","AO","20","[c]","22810","21520"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities","EO","EO","55","[c]","27200","27850"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities","G6/G7","G6","35","[c]","64730","63470"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities","G6/G7","G7","80","[c]","52680","53130"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities","SCS level","SCS level","10","[c]","76550","77040"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","110","[c]","32690","33210"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","65","[c]","40470","39990"
