"Status","Year","Function_of_post","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Male","50","50","46400","39850"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","55","55","57010","55000"
"In post","2022","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","15","15","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Rail and Road","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Rail and Road","Office of Rail and Road","Male","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Female","15","15","[c]","[c]"
"In post","2022","Digital, Data & Technology","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Male","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Registers of Scotland","Scottish Government","Female","25","25","[c]","[c]"
"In post","2022","Digital, Data & Technology","Registers of Scotland","Scottish Government","Male","50","50","40560","37710"
"In post","2022","Digital, Data & Technology","Scottish Courts and Tribunals Service","Scottish Government","Female","25","25","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scottish Courts and Tribunals Service","Scottish Government","Male","50","50","35450","31230"
"In post","2022","Digital, Data & Technology","Scottish Prison Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scottish Prison Service","Scottish Government","Male","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Serious Fraud Office","Attorney General's Departments","Female","15","15","[c]","[c]"
"In post","2022","Digital, Data & Technology","Serious Fraud Office","Attorney General's Departments","Male","40","40","44710","40540"
"In post","2022","Digital, Data & Technology","Submarine Delivery Agency","Ministry of Defence","Female","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","Submarine Delivery Agency","Ministry of Defence","Male","40","40","35580","35290"
"In post","2022","Digital, Data & Technology","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","15","15","[c]","[c]"
"In post","2022","Digital, Data & Technology","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","40","40","41590","36480"
"In post","2022","Digital, Data & Technology","The National Archives","The National Archives","Female","60","55","39910","38250"
"In post","2022","Digital, Data & Technology","The National Archives","The National Archives","Male","70","70","40870","40130"
"In post","2022","Digital, Data & Technology","UK Debt Management Office","HM Treasury","Female","10","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Debt Management Office","HM Treasury","Male","25","25","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Export Finance","UK Export Finance","Female","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Export Finance","UK Export Finance","Male","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Health Security Agency","Department of Health and Social Care","Female","55","55","43500","33950"
"In post","2022","Digital, Data & Technology","UK Health Security Agency","Department of Health and Social Care","Male","100","95","43870","39780"
"In post","2022","Digital, Data & Technology","UK Hydrographic Office","Ministry of Defence","Female","35","30","39380","42510"
"In post","2022","Digital, Data & Technology","UK Hydrographic Office","Ministry of Defence","Male","155","150","40850","42510"
"In post","2022","Digital, Data & Technology","UK Space Agency","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Space Agency","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Statistics Authority","UK Statistics Authority","Female","230","220","41890","37360"
"In post","2022","Digital, Data & Technology","UK Statistics Authority","UK Statistics Authority","Male","435","425","41910","37570"
"In post","2022","Digital, Data & Technology","UK Supreme Court","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Supreme Court","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Valuation Office Agency","HM Revenue and Customs","Female","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","Valuation Office Agency","HM Revenue and Customs","Male","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","Vehicle Certification Agency","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Vehicle Certification Agency","Department for Transport","Male","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Water Services Regulation Authority","Water Services Regulation Authority","Female","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Water Services Regulation Authority","Water Services Regulation Authority","Male","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","Welsh Revenue Authority","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Welsh Revenue Authority","Welsh Government","Male","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wilton Park","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wilton Park","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2022","Finance","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2022","Finance","Cabinet Office (excl. agencies)","Cabinet Office","Female","45","40","44070","38580"
"In post","2022","Finance","Cabinet Office (excl. agencies)","Cabinet Office","Male","65","65","49310","49700"
"In post","2022","Finance","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","10","5","[c]","[c]"
"In post","2022","Finance","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Charity Commission","Charity Commission","Female","5","5","[c]","[c]"
"In post","2022","Finance","Charity Commission","Charity Commission","Male","5","5","[c]","[c]"
"In post","2022","Finance","Companies House","Department for Business, Energy and Industrial Strategy","Female","45","35","30010","26100"
"In post","2022","Finance","Companies House","Department for Business, Energy and Industrial Strategy","Male","25","25","[c]","[c]"
"In post","2022","Finance","Competition and Markets Authority","Competition and Markets Authority","Female","5","5","[c]","[c]"
"In post","2022","Finance","Competition and Markets Authority","Competition and Markets Authority","Male","10","10","[c]","[c]"
"In post","2022","Finance","Crown Commercial Service","Cabinet Office","Female","15","15","[c]","[c]"
"In post","2022","Finance","Crown Commercial Service","Cabinet Office","Male","20","20","[c]","[c]"
"In post","2022","Finance","Crown Office and Procurator Fiscal Service","Scottish Government","Female","15","10","[c]","[c]"
"In post","2022","Finance","Crown Office and Procurator Fiscal Service","Scottish Government","Male","5","5","[c]","[c]"
"In post","2022","Finance","Crown Prosecution Service","Attorney General's Departments","Female","50","45","29160","25480"
"In post","2022","Finance","Crown Prosecution Service","Attorney General's Departments","Male","40","35","34430","26220"
"In post","2022","Finance","Defence Electronics and Components Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Defence Electronics and Components Agency","Ministry of Defence","Male","5","5","[c]","[c]"
"In post","2022","Finance","Defence Equipment and Support","Ministry of Defence","Female","165","150","34960","30670"
"In post","2022","Finance","Defence Equipment and Support","Ministry of Defence","Male","155","150","32750","25940"
"In post","2022","Finance","Defence Science and Technology Laboratory","Ministry of Defence","Female","45","40","40890","38520"
"In post","2022","Finance","Defence Science and Technology Laboratory","Ministry of Defence","Male","20","20","[c]","[c]"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","70","70","54680","57870"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","70","70","52870","52710"
"In post","2022","Finance","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","30","30","52230","52860"
"In post","2022","Finance","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","45","45","52090","56360"
"In post","2022","Finance","Department for Education (excl. agencies)","Department for Education","Female","280","265","41250","36820"
"In post","2022","Finance","Department for Education (excl. agencies)","Department for Education","Male","200","195","42550","38270"
"In post","2022","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","235","220","39160","36970"
"In post","2022","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","205","200","44750","40270"
"In post","2022","Finance","Department for International Trade","Department for International Trade","Female","45","40","46020","44720"
"In post","2022","Finance","Department for International Trade","Department for International Trade","Male","50","50","48930","47600"
"In post","2022","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Female","70","65","50720","53130"
"In post","2022","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Male","50","50","51510","53130"
"In post","2022","Finance","Department for Transport (excl. agencies)","Department for Transport","Female","75","75","47610","46300"
"In post","2022","Finance","Department for Transport (excl. agencies)","Department for Transport","Male","110","105","50870","54110"
"In post","2022","Finance","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","1015","925","36290","34290"
"In post","2022","Finance","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","910","875","39900","35310"
"In post","2022","Finance","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","325","315","40200","36840"
"In post","2022","Finance","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","180","180","45490","40650"
"In post","2022","Finance","Driver and Vehicle Licensing Agency","Department for Transport","Female","80","75","31220","26780"
"In post","2022","Finance","Driver and Vehicle Licensing Agency","Department for Transport","Male","60","60","35600","32020"
"In post","2022","Finance","Driver and Vehicle Standards Agency","Department for Transport","Female","55","50","38090","33750"
"In post","2022","Finance","Driver and Vehicle Standards Agency","Department for Transport","Male","45","45","37880","36350"
"In post","2022","Finance","Education and Skills Funding Agency","Department for Education","Female","380","360","38530","36500"
"In post","2022","Finance","Education and Skills Funding Agency","Department for Education","Male","410","405","41210","36960"
"In post","2022","Finance","Estyn","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Estyn","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","FCDO Services","Foreign, Commonwealth and Development Office","Female","25","25","[c]","[c]"
"In post","2022","Finance","FCDO Services","Foreign, Commonwealth and Development Office","Male","30","30","[c]","[c]"
"In post","2022","Finance","Food Standards Agency","Food Standards Agency","Female","25","25","[c]","[c]"
"In post","2022","Finance","Food Standards Agency","Food Standards Agency","Male","25","25","[c]","[c]"
"In post","2022","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","140","135","44740","39440"
"In post","2022","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","120","115","47160","44290"
"In post","2022","Finance","Government Actuary's Department","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Government Actuary's Department","Chancellor's other departments","Male","5","5","[c]","[c]"
"In post","2022","Finance","Government Internal Audit Agency","HM Treasury","Female","10","10","[c]","[c]"
"In post","2022","Finance","Government Internal Audit Agency","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Government Legal Department","Attorney General's Departments","Female","20","20","[c]","[c]"
"In post","2022","Finance","Government Legal Department","Attorney General's Departments","Male","20","20","[c]","[c]"
"In post","2022","Finance","Health and Safety Executive","Department for Work and Pensions","Female","20","20","[c]","[c]"
"In post","2022","Finance","Health and Safety Executive","Department for Work and Pensions","Male","15","15","[c]","[c]"
"In post","2022","Finance","HM Courts and Tribunals Service","Ministry of Justice","Female","100","90","38400","34380"
"In post","2022","Finance","HM Courts and Tribunals Service","Ministry of Justice","Male","65","65","42550","41420"
"In post","2022","Finance","HM Land Registry","HM Land Registry","Female","30","25","[c]","[c]"
"In post","2022","Finance","HM Land Registry","HM Land Registry","Male","20","20","[c]","[c]"
"In post","2022","Finance","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","1545","1335","32580","26820"
"In post","2022","Finance","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","1145","1100","36730","33370"
"In post","2022","Finance","HM Treasury (excl. agencies)","HM Treasury","Female","50","45","49900","52770"
"In post","2022","Finance","HM Treasury (excl. agencies)","HM Treasury","Male","50","50","50520","55840"
"In post","2022","Finance","Institute for Apprenticeships and Technical Education","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Institute for Apprenticeships and Technical Education","Department for Education","Male","5","5","[c]","[c]"
"In post","2022","Finance","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","15","15","[c]","[c]"
"In post","2022","Finance","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2022","Finance","Legal Aid Agency","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Legal Aid Agency","Ministry of Justice","Male","5","5","[c]","[c]"
"In post","2022","Finance","Maritime and Coastguard Agency","Department for Transport","Female","20","20","[c]","[c]"
"In post","2022","Finance","Maritime and Coastguard Agency","Department for Transport","Male","15","15","[c]","[c]"
"In post","2022","Finance","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","20","20","[c]","[c]"
"In post","2022","Finance","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","15","15","[c]","[c]"
"In post","2022","Finance","Met Office","Department for Business, Energy and Industrial Strategy","Female","15","10","[c]","[c]"
"In post","2022","Finance","Met Office","Department for Business, Energy and Industrial Strategy","Male","15","15","[c]","[c]"
"In post","2022","Finance","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","975","925","36120","33000"
"In post","2022","Finance","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","645","635","41610","37640"
"In post","2022","Finance","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","295","285","41940","41100"
"In post","2022","Finance","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","240","235","45570","41750"
"In post","2022","Finance","National Crime Agency","National Crime Agency","Female","40","40","36250","36740"
"In post","2022","Finance","National Crime Agency","National Crime Agency","Male","15","15","[c]","[c]"
"In post","2022","Finance","National Savings and Investments","Chancellor's other departments","Female","15","10","[c]","[c]"
"In post","2022","Finance","National Savings and Investments","Chancellor's other departments","Male","10","10","[c]","[c]"
"In post","2022","Finance","Northern Ireland Office","Northern Ireland Office","Female","10","10","[c]","[c]"
"In post","2022","Finance","Northern Ireland Office","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Office for Budget Responsibility","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Office for Budget Responsibility","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Female","15","15","[c]","[c]"
"In post","2022","Finance","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Male","20","20","[c]","[c]"
"In post","2022","Finance","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","20","20","[c]","[c]"
"In post","2022","Finance","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","10","10","[c]","[c]"
"In post","2022","Finance","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","10","10","[c]","[c]"
"In post","2022","Finance","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Office of Rail and Road","Office of Rail and Road","Female","5","5","[c]","[c]"
"In post","2022","Finance","Office of Rail and Road","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Female","10","10","[c]","[c]"
"In post","2022","Finance","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Male","5","5","[c]","[c]"
"In post","2022","Finance","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Registers of Scotland","Scottish Government","Female","20","15","[c]","[c]"
"In post","2022","Finance","Registers of Scotland","Scottish Government","Male","10","10","[c]","[c]"
"In post","2022","Finance","Scottish Courts and Tribunals Service","Scottish Government","Female","25","25","[c]","[c]"
"In post","2022","Finance","Scottish Courts and Tribunals Service","Scottish Government","Male","10","10","[c]","[c]"
"In post","2022","Finance","Scottish Prison Service","Scottish Government","Female","55","50","33960","29540"
"In post","2022","Finance","Scottish Prison Service","Scottish Government","Male","15","15","[c]","[c]"
"In post","2022","Finance","Serious Fraud Office","Attorney General's Departments","Female","5","5","[c]","[c]"
"In post","2022","Finance","Serious Fraud Office","Attorney General's Departments","Male","10","10","[c]","[c]"
"In post","2022","Finance","Submarine Delivery Agency","Ministry of Defence","Female","25","25","[c]","[c]"
"In post","2022","Finance","Submarine Delivery Agency","Ministry of Defence","Male","25","25","[c]","[c]"
"In post","2022","Finance","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","20","20","[c]","[c]"
"In post","2022","Finance","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","20","20","[c]","[c]"
"In post","2022","Finance","The National Archives","The National Archives","Female","5","5","[c]","[c]"
"In post","2022","Finance","The National Archives","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","UK Debt Management Office","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","UK Debt Management Office","HM Treasury","Male","10","10","[c]","[c]"
"In post","2022","Finance","UK Export Finance","UK Export Finance","Female","25","25","[c]","[c]"
"In post","2022","Finance","UK Export Finance","UK Export Finance","Male","35","35","50580","43000"
"In post","2022","Finance","UK Health Security Agency","Department of Health and Social Care","Female","55","55","35850","31330"
"In post","2022","Finance","UK Health Security Agency","Department of Health and Social Care","Male","50","50","49650","48860"
"In post","2022","Finance","UK Hydrographic Office","Ministry of Defence","Female","10","10","[c]","[c]"
"In post","2022","Finance","UK Hydrographic Office","Ministry of Defence","Male","5","5","[c]","[c]"
"In post","2022","Finance","UK Space Agency","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2022","Finance","UK Space Agency","Department for Business, Energy and Industrial Strategy","Male","5","5","[c]","[c]"
"In post","2022","Finance","UK Statistics Authority","UK Statistics Authority","Female","35","30","31990","26550"
"In post","2022","Finance","UK Statistics Authority","UK Statistics Authority","Male","20","20","[c]","[c]"
"In post","2022","Finance","UK Supreme Court","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","UK Supreme Court","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Valuation Office Agency","HM Revenue and Customs","Female","35","30","42720","36120"
"In post","2022","Finance","Valuation Office Agency","HM Revenue and Customs","Male","40","40","43450","40160"
"In post","2022","Finance","Vehicle Certification Agency","Department for Transport","Female","10","5","[c]","[c]"
"In post","2022","Finance","Vehicle Certification Agency","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Female","5","5","[c]","[c]"
"In post","2022","Finance","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Water Services Regulation Authority","Water Services Regulation Authority","Female","15","15","[c]","[c]"
"In post","2022","Finance","Water Services Regulation Authority","Water Services Regulation Authority","Male","15","15","[c]","[c]"
"In post","2022","Finance","Welsh Revenue Authority","Welsh Government","Female","5","5","[c]","[c]"
"In post","2022","Finance","Welsh Revenue Authority","Welsh Government","Male","5","5","[c]","[c]"
"In post","2022","Finance","Wilton Park","Foreign, Commonwealth and Development Office","Female","5","5","[c]","[c]"
"In post","2022","Finance","Wilton Park","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","1350","1190","24830","21300"
"In post","2022","Grants Management","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","965","940","25640","21300"
"In post","2022","Grants Management","The National Archives","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","The National Archives","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","25","25","[c]","[c]"
"In post","2022","Human Resources","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","5","5","[c]","[c]"
"In post","2022","Human Resources","Cabinet Office (excl. agencies)","Cabinet Office","Female","745","700","38830","34550"
"In post","2022","Human Resources","Cabinet Office (excl. agencies)","Cabinet Office","Male","405","395","40830","37300"
"In post","2022","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","10","10","[c]","[c]"
"In post","2022","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Charity Commission","Charity Commission","Female","15","15","[c]","[c]"
"In post","2022","Human Resources","Charity Commission","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Companies House","Department for Business, Energy and Industrial Strategy","Female","45","40","36740","33000"
"In post","2022","Human Resources","Companies House","Department for Business, Energy and Industrial Strategy","Male","15","15","[c]","[c]"
"In post","2022","Human Resources","Competition and Markets Authority","Competition and Markets Authority","Female","30","30","[c]","[c]"
"In post","2022","Human Resources","Competition and Markets Authority","Competition and Markets Authority","Male","10","10","[c]","[c]"
"In post","2022","Human Resources","Crown Commercial Service","Cabinet Office","Female","30","30","39430","37120"
"In post","2022","Human Resources","Crown Commercial Service","Cabinet Office","Male","5","5","[c]","[c]"
"In post","2022","Human Resources","Crown Office and Procurator Fiscal Service","Scottish Government","Female","35","30","33370","30040"
"In post","2022","Human Resources","Crown Office and Procurator Fiscal Service","Scottish Government","Male","10","10","[c]","[c]"
"In post","2022","Human Resources","Crown Prosecution Service","Attorney General's Departments","Female","130","125","40550","33930"
"In post","2022","Human Resources","Crown Prosecution Service","Attorney General's Departments","Male","50","50","43820","38180"
"In post","2022","Human Resources","Defence Electronics and Components Agency","Ministry of Defence","Female","5","5","[c]","[c]"
"In post","2022","Human Resources","Defence Electronics and Components Agency","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Defence Equipment and Support","Ministry of Defence","Female","180","165","36310","32160"
"In post","2022","Human Resources","Defence Equipment and Support","Ministry of Defence","Male","50","50","41310","37620"
"In post","2022","Human Resources","Defence Science and Technology Laboratory","Ministry of Defence","Female","70","65","34960","29230"
"In post","2022","Human Resources","Defence Science and Technology Laboratory","Ministry of Defence","Male","15","15","[c]","[c]"
"In post","2022","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","75","75","46350","47520"
"In post","2022","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","35","35","49180","45900"
"In post","2022","Human Resources","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","55","55","43250","34990"
"In post","2022","Human Resources","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","20","20","[c]","[c]"
"In post","2022","Human Resources","Department for Education (excl. agencies)","Department for Education","Female","115","105","34590","30200"
"In post","2022","Human Resources","Department for Education (excl. agencies)","Department for Education","Male","35","30","37640","29360"
"In post","2022","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","225","210","41010","37280"
"In post","2022","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","85","85","42900","39590"
"In post","2022","Human Resources","Department for International Trade","Department for International Trade","Female","90","90","45390","45380"
"In post","2022","Human Resources","Department for International Trade","Department for International Trade","Male","35","35","42740","36540"
"In post","2022","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Female","60","60","40840","33620"
"In post","2022","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Male","20","20","[c]","[c]"
"In post","2022","Human Resources","Department for Transport (excl. agencies)","Department for Transport","Female","70","70","43860","38650"
"In post","2022","Human Resources","Department for Transport (excl. agencies)","Department for Transport","Male","25","25","[c]","[c]"
"In post","2022","Human Resources","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","965","885","34870","31990"
"In post","2022","Human Resources","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","545","530","33060","27780"
"In post","2022","Human Resources","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","105","105","39360","32790"
"In post","2022","Human Resources","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","50","50","36950","32790"
"In post","2022","Human Resources","Driver and Vehicle Licensing Agency","Department for Transport","Female","150","140","31390","30730"
"In post","2022","Human Resources","Driver and Vehicle Licensing Agency","Department for Transport","Male","40","40","33070","30890"
"In post","2022","Human Resources","Driver and Vehicle Standards Agency","Department for Transport","Female","70","65","36190","34290"
"In post","2022","Human Resources","Driver and Vehicle Standards Agency","Department for Transport","Male","55","55","35000","33350"
"In post","2022","Human Resources","Education and Skills Funding Agency","Department for Education","Female","5","5","[c]","[c]"
"In post","2022","Human Resources","Education and Skills Funding Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Estyn","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Estyn","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","FCDO Services","Foreign, Commonwealth and Development Office","Female","35","35","39500","33050"
"In post","2022","Human Resources","FCDO Services","Foreign, Commonwealth and Development Office","Male","5","5","[c]","[c]"
"In post","2022","Human Resources","Food Standards Agency","Food Standards Agency","Female","30","25","[c]","[c]"
"In post","2022","Human Resources","Food Standards Agency","Food Standards Agency","Male","10","10","[c]","[c]"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","180","170","44390","38060"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","115","115","52260","52460"
"In post","2022","Human Resources","Government Actuary's Department","Chancellor's other departments","Female","10","10","[c]","[c]"
