"Status","Year","Disability","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","SEO","45","40","39230","40650"
"In post","2022","Declared disabled","Disclosure Scotland","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","AA","180","135","18370","18310"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","AO","300","245","21890","21840"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","EO","95","85","26610","26700"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","HEO","35","30","32480","32020"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","SEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","AO","80","75","23700","21840"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","EO","255","225","28160","26780"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","HEO","70","65","32430","31860"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","SEO","35","35","41460","41090"
