"Status","Year","Function_of_post","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA/AO","20","15","24880","23710"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","EO","35","30","29140","29300"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6/G7","110","105","60460","58850"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SCS level","25","25","77460","77060"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SEO/HEO","110","105","37850","37560"
"In post","2022","Human Resources","Government Actuary's Department","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Government Actuary's Department","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Government Actuary's Department","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Government Actuary's Department","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Government Internal Audit Agency","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Government Internal Audit Agency","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Government Internal Audit Agency","HM Treasury","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Human Resources","Government Legal Department","Attorney General's Departments","AA/AO","15","10","23710","23570"
"In post","2022","Human Resources","Government Legal Department","Attorney General's Departments","EO","15","15","27310","26950"
"In post","2022","Human Resources","Government Legal Department","Attorney General's Departments","G6/G7","20","20","56680","51250"
"In post","2022","Human Resources","Government Legal Department","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Government Legal Department","Attorney General's Departments","SEO/HEO","20","20","33760","32250"
"In post","2022","Human Resources","Health and Safety Executive","Department for Work and Pensions","AA/AO","20","15","21290","20730"
"In post","2022","Human Resources","Health and Safety Executive","Department for Work and Pensions","EO","10","10","26970","26990"
"In post","2022","Human Resources","Health and Safety Executive","Department for Work and Pensions","G6/G7","35","30","56310","54710"
"In post","2022","Human Resources","Health and Safety Executive","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Health and Safety Executive","Department for Work and Pensions","SEO/HEO","45","45","36250","35950"
"In post","2022","Human Resources","HM Courts and Tribunals Service","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","HM Courts and Tribunals Service","Ministry of Justice","EO","15","15","25860","25120"
"In post","2022","Human Resources","HM Courts and Tribunals Service","Ministry of Justice","G6/G7","20","20","55470","54560"
"In post","2022","Human Resources","HM Courts and Tribunals Service","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","HM Courts and Tribunals Service","Ministry of Justice","SEO/HEO","30","30","35460","36050"
"In post","2022","Human Resources","HM Land Registry","HM Land Registry","AA/AO","5","5","[c]","[c]"
"In post","2022","Human Resources","HM Land Registry","HM Land Registry","EO","25","25","27130","27130"
"In post","2022","Human Resources","HM Land Registry","HM Land Registry","G6/G7","10","10","61860","60080"
"In post","2022","Human Resources","HM Land Registry","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","HM Land Registry","HM Land Registry","SEO/HEO","55","50","40140","38550"
"In post","2022","Human Resources","HM Prison and Probation Service","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","HM Prison and Probation Service","Ministry of Justice","EO","20","20","31150","30780"
"In post","2022","Human Resources","HM Prison and Probation Service","Ministry of Justice","G6/G7","35","35","66700","65330"
"In post","2022","Human Resources","HM Prison and Probation Service","Ministry of Justice","SEO/HEO","100","100","44500","46080"
"In post","2022","Human Resources","HM Prison and Probation Service","Ministry of Justice","Unknown","5","5","[c]","[c]"
"In post","2022","Human Resources","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","AA/AO","285","245","21780","21680"
"In post","2022","Human Resources","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","EO","380","350","27160","26820"
"In post","2022","Human Resources","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","G6/G7","315","305","58870","55210"
"In post","2022","Human Resources","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SCS level","30","30","89150","81230"
"In post","2022","Human Resources","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SEO/HEO","670","635","36230","33430"
"In post","2022","Human Resources","HM Treasury (excl. agencies)","HM Treasury","AA/AO","15","10","21100","20750"
"In post","2022","Human Resources","HM Treasury (excl. agencies)","HM Treasury","EO","25","20","25050","24050"
"In post","2022","Human Resources","HM Treasury (excl. agencies)","HM Treasury","G6/G7","40","35","56950","52840"
"In post","2022","Human Resources","HM Treasury (excl. agencies)","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","HM Treasury (excl. agencies)","HM Treasury","SEO/HEO","20","20","37860","37900"
"In post","2022","Human Resources","Institute for Apprenticeships and Technical Education","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Institute for Apprenticeships and Technical Education","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Institute for Apprenticeships and Technical Education","Department for Education","G6/G7","5","5","[c]","[c]"
"In post","2022","Human Resources","Institute for Apprenticeships and Technical Education","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","AA/AO","10","5","[c]","[c]"
"In post","2022","Human Resources","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","EO","15","10","25430","24030"
"In post","2022","Human Resources","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","G6/G7","15","15","59160","57380"
"In post","2022","Human Resources","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SEO/HEO","25","20","35660","36000"
"In post","2022","Human Resources","Maritime and Coastguard Agency","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Maritime and Coastguard Agency","Department for Transport","EO","10","10","26290","26130"
"In post","2022","Human Resources","Maritime and Coastguard Agency","Department for Transport","G6/G7","5","5","[c]","[c]"
"In post","2022","Human Resources","Maritime and Coastguard Agency","Department for Transport","SEO/HEO","15","15","35230","33350"
"In post","2022","Human Resources","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","EO","5","5","[c]","[c]"
"In post","2022","Human Resources","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","G6/G7","10","10","58120","53870"
"In post","2022","Human Resources","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","SEO/HEO","10","10","36720","36770"
"In post","2022","Human Resources","Met Office","Department for Business, Energy and Industrial Strategy","EO","10","5","[c]","[c]"
"In post","2022","Human Resources","Met Office","Department for Business, Energy and Industrial Strategy","G6/G7","25","20","50220","47960"
"In post","2022","Human Resources","Met Office","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Met Office","Department for Business, Energy and Industrial Strategy","SEO/HEO","40","40","34580","33350"
"In post","2022","Human Resources","Ministry of Defence (excl. agencies)","Ministry of Defence","AA/AO","755","685","21550","21280"
"In post","2022","Human Resources","Ministry of Defence (excl. agencies)","Ministry of Defence","EO","325","305","27300","26670"
"In post","2022","Human Resources","Ministry of Defence (excl. agencies)","Ministry of Defence","G6/G7","155","150","59900","59580"
"In post","2022","Human Resources","Ministry of Defence (excl. agencies)","Ministry of Defence","SCS level","25","25","89990","80000"
"In post","2022","Human Resources","Ministry of Defence (excl. agencies)","Ministry of Defence","SEO/HEO","560","535","37260","36460"
"In post","2022","Human Resources","Ministry of Justice (excl. agencies)","Ministry of Justice","AA/AO","25","20","21190","21310"
"In post","2022","Human Resources","Ministry of Justice (excl. agencies)","Ministry of Justice","EO","75","75","27080","26900"
"In post","2022","Human Resources","Ministry of Justice (excl. agencies)","Ministry of Justice","G6/G7","170","170","59700","59000"
"In post","2022","Human Resources","Ministry of Justice (excl. agencies)","Ministry of Justice","SCS level","15","15","89000","86370"
"In post","2022","Human Resources","Ministry of Justice (excl. agencies)","Ministry of Justice","SEO/HEO","650","625","35660","34260"
"In post","2022","Human Resources","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","National Crime Agency","National Crime Agency","AA/AO","15","15","23320","23410"
"In post","2022","Human Resources","National Crime Agency","National Crime Agency","EO","35","30","30850","28840"
"In post","2022","Human Resources","National Crime Agency","National Crime Agency","G6/G7","20","20","59980","58470"
"In post","2022","Human Resources","National Crime Agency","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","National Crime Agency","National Crime Agency","SEO/HEO","105","100","41570","40170"
"In post","2022","Human Resources","National Savings and Investments","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","National Savings and Investments","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","National Savings and Investments","Chancellor's other departments","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Human Resources","Northern Ireland Office","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Northern Ireland Office","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Northern Ireland Office","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","AA/AO","10","10","20200","21410"
"In post","2022","Human Resources","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","EO","10","10","[c]","[c]"
"In post","2022","Human Resources","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","G6/G7","15","15","63580","59810"
"In post","2022","Human Resources","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","SEO/HEO","25","25","35550","32010"
"In post","2022","Human Resources","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","AA/AO","5","5","[c]","[c]"
"In post","2022","Human Resources","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","EO","5","5","[c]","[c]"
"In post","2022","Human Resources","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G6/G7","15","15","57590","55000"
"In post","2022","Human Resources","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SEO/HEO","15","15","38210","36900"
"In post","2022","Human Resources","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Human Resources","Office of Rail and Road","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office of Rail and Road","Office of Rail and Road","G6/G7","5","5","[c]","[c]"
"In post","2022","Human Resources","Office of Rail and Road","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Planning Inspectorate","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Planning Inspectorate","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Planning Inspectorate","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Planning Inspectorate","Department for Levelling Up, Housing and Communities","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Human Resources","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Registers of Scotland","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Registers of Scotland","Scottish Government","EO","10","10","30410","30840"
"In post","2022","Human Resources","Registers of Scotland","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Registers of Scotland","Scottish Government","SEO/HEO","25","25","40410","37710"
"In post","2022","Human Resources","Scottish Courts and Tribunals Service","Scottish Government","AA/AO","5","5","[c]","[c]"
"In post","2022","Human Resources","Scottish Courts and Tribunals Service","Scottish Government","EO","5","5","[c]","[c]"
"In post","2022","Human Resources","Scottish Courts and Tribunals Service","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Scottish Courts and Tribunals Service","Scottish Government","SEO/HEO","15","15","38380","36360"
"In post","2022","Human Resources","Scottish Prison Service","Scottish Government","AA/AO","40","35","23910","23330"
"In post","2022","Human Resources","Scottish Prison Service","Scottish Government","EO","30","30","34280","35000"
"In post","2022","Human Resources","Scottish Prison Service","Scottish Government","G6/G7","10","10","56710","54170"
"In post","2022","Human Resources","Scottish Prison Service","Scottish Government","SEO/HEO","50","45","40930","40290"
"In post","2022","Human Resources","Serious Fraud Office","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Serious Fraud Office","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Serious Fraud Office","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Serious Fraud Office","Attorney General's Departments","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Human Resources","Submarine Delivery Agency","Ministry of Defence","Unknown","30","30","42850","41040"
"In post","2022","Human Resources","The Insolvency Service","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","The Insolvency Service","Department for Business, Energy and Industrial Strategy","G6/G7","10","10","[c]","[c]"
"In post","2022","Human Resources","The Insolvency Service","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","The Insolvency Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","35","35","38820","40790"
"In post","2022","Human Resources","The National Archives","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","The National Archives","The National Archives","EO","5","5","[c]","[c]"
"In post","2022","Human Resources","The National Archives","The National Archives","G6/G7","5","5","[c]","[c]"
"In post","2022","Human Resources","The National Archives","The National Archives","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Human Resources","UK Debt Management Office","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","UK Export Finance","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","UK Export Finance","UK Export Finance","EO","5","5","[c]","[c]"
"In post","2022","Human Resources","UK Export Finance","UK Export Finance","G6/G7","10","5","[c]","[c]"
"In post","2022","Human Resources","UK Export Finance","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","UK Export Finance","UK Export Finance","SEO/HEO","15","10","40480","41000"
"In post","2022","Human Resources","UK Health Security Agency","Department of Health and Social Care","AA/AO","15","15","23040","23780"
"In post","2022","Human Resources","UK Health Security Agency","Department of Health and Social Care","EO","55","55","26590","26880"
"In post","2022","Human Resources","UK Health Security Agency","Department of Health and Social Care","G6/G7","90","85","58500","59140"
"In post","2022","Human Resources","UK Health Security Agency","Department of Health and Social Care","SCS level","15","10","86910","79530"
"In post","2022","Human Resources","UK Health Security Agency","Department of Health and Social Care","SEO/HEO","100","100","35540","35530"
"In post","2022","Human Resources","UK Hydrographic Office","Ministry of Defence","AA/AO","5","5","[c]","[c]"
"In post","2022","Human Resources","UK Hydrographic Office","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","UK Hydrographic Office","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","UK Hydrographic Office","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","UK Hydrographic Office","Ministry of Defence","SEO/HEO","10","10","37480","33290"
"In post","2022","Human Resources","UK Space Agency","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","UK Space Agency","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","UK Space Agency","Department for Business, Energy and Industrial Strategy","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Human Resources","UK Statistics Authority","UK Statistics Authority","AA/AO","10","10","[c]","[c]"
"In post","2022","Human Resources","UK Statistics Authority","UK Statistics Authority","EO","20","15","24540","24180"
"In post","2022","Human Resources","UK Statistics Authority","UK Statistics Authority","G6/G7","35","35","54150","51210"
"In post","2022","Human Resources","UK Statistics Authority","UK Statistics Authority","SCS level","5","5","[c]","[c]"
"In post","2022","Human Resources","UK Statistics Authority","UK Statistics Authority","SEO/HEO","75","70","33400","31700"
"In post","2022","Human Resources","UK Supreme Court","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","UK Supreme Court","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Valuation Office Agency","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Valuation Office Agency","HM Revenue and Customs","EO","15","10","27860","26950"
"In post","2022","Human Resources","Valuation Office Agency","HM Revenue and Customs","G6/G7","20","20","61820","58050"
"In post","2022","Human Resources","Valuation Office Agency","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Valuation Office Agency","HM Revenue and Customs","SEO/HEO","55","55","37190","34000"
"In post","2022","Human Resources","Vehicle Certification Agency","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Vehicle Certification Agency","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Water Services Regulation Authority","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Water Services Regulation Authority","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Water Services Regulation Authority","Water Services Regulation Authority","SEO/HEO","10","5","[c]","[c]"
"In post","2022","Human Resources","Welsh Revenue Authority","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Welsh Revenue Authority","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Welsh Revenue Authority","Welsh Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Welsh Revenue Authority","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Wilton Park","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Wilton Park","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Food Standards Agency","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Food Standards Agency","Food Standards Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6/G7","15","15","53490","50490"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SEO/HEO","30","30","38030","38500"
"In post","2022","Internal Audit","Government Internal Audit Agency","HM Treasury","AA/AO","5","5","[c]","[c]"
"In post","2022","Internal Audit","Government Internal Audit Agency","HM Treasury","EO","15","10","28470","28300"
"In post","2022","Internal Audit","Government Internal Audit Agency","HM Treasury","G6/G7","130","125","57410","56370"
"In post","2022","Internal Audit","Government Internal Audit Agency","HM Treasury","SCS level","20","20","91110","87740"
"In post","2022","Internal Audit","Government Internal Audit Agency","HM Treasury","SEO/HEO","195","180","41070","40960"
"In post","2022","Internal Audit","HM Land Registry","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Land Registry","HM Land Registry","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Internal Audit","HM Prison and Probation Service","Ministry of Justice","AA/AO","10","10","34840","35900"
"In post","2022","Internal Audit","HM Prison and Probation Service","Ministry of Justice","G6/G7","10","10","[c]","[c]"
"In post","2022","Internal Audit","HM Prison and Probation Service","Ministry of Justice","SEO/HEO","40","40","46590","50190"
"In post","2022","Internal Audit","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","G6/G7","15","15","58310","55220"
"In post","2022","Internal Audit","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SEO/HEO","45","40","41290","42520"
"In post","2022","Internal Audit","Institute for Apprenticeships and Technical Education","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Maritime and Coastguard Agency","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Maritime and Coastguard Agency","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Maritime and Coastguard Agency","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Maritime and Coastguard Agency","Department for Transport","SEO/HEO","15","10","35790","38650"
"In post","2022","Internal Audit","Met Office","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Met Office","Department for Business, Energy and Industrial Strategy","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Defence (excl. agencies)","Ministry of Defence","AA/AO","5","5","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Defence (excl. agencies)","Ministry of Defence","EO","25","25","27320","26670"
"In post","2022","Internal Audit","Ministry of Defence (excl. agencies)","Ministry of Defence","G6/G7","15","15","60240","58550"
"In post","2022","Internal Audit","Ministry of Defence (excl. agencies)","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Defence (excl. agencies)","Ministry of Defence","SEO/HEO","90","85","38310","37000"
"In post","2022","Internal Audit","Registers of Scotland","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Registers of Scotland","Scottish Government","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Internal Audit","Scottish Prison Service","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Scottish Prison Service","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Scottish Prison Service","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Debt Management Office","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Export Finance","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Export Finance","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Hydrographic Office","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Hydrographic Office","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Hydrographic Office","Ministry of Defence","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Internal Audit","UK Statistics Authority","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Statistics Authority","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Vehicle Certification Agency","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Vehicle Certification Agency","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Attorney General's Office","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Attorney General's Office","Attorney General's Departments","G6/G7","15","15","58910","57000"
"In post","2022","Legal","Attorney General's Office","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Attorney General's Office","Attorney General's Departments","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Legal","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Cabinet Office (excl. agencies)","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","50","50","85440","79760"
"In post","2022","Legal","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Charity Commission","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Charity Commission","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Charity Commission","Charity Commission","G6/G7","20","20","55400","51930"
"In post","2022","Legal","Charity Commission","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
