"Status","Year","Age","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","40-49","Communications","Office of Rail and Road","10","5","[c]","[c]"
"In post","2022","40-49","Communications","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Communications","Scottish Government","10","10","38330","37710"
"In post","2022","40-49","Communications","The National Archives","5","5","[c]","[c]"
"In post","2022","40-49","Communications","UK Export Finance","15","15","61230","52900"
"In post","2022","40-49","Communications","UK Statistics Authority","20","15","46330","39540"
"In post","2022","40-49","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Counter Fraud","Attorney General's Departments","50","45","50270","44240"
"In post","2022","40-49","Counter Fraud","Cabinet Office","30","30","53220","54020"
"In post","2022","40-49","Counter Fraud","Department for Business, Energy and Industrial Strategy","125","115","34070","34500"
"In post","2022","40-49","Counter Fraud","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2022","40-49","Counter Fraud","Department for Transport","15","15","31360","30730"
"In post","2022","40-49","Counter Fraud","Department for Work and Pensions","1330","1215","27740","27570"
"In post","2022","40-49","Counter Fraud","Food Standards Agency","10","10","[c]","[c]"
"In post","2022","40-49","Counter Fraud","HM Revenue and Customs","2205","2110","35950","33370"
"In post","2022","40-49","Counter Fraud","HM Treasury","10","10","[c]","[c]"
"In post","2022","40-49","Counter Fraud","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Debt","Department for Work and Pensions","550","460","22710","21260"
"In post","2022","40-49","Debt","HM Revenue and Customs","755","685","24820","22080"
"In post","2022","40-49","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","Attorney General's Departments","65","65","45310","41030"
"In post","2022","40-49","Digital, Data & Technology","Cabinet Office","340","335","54000","54700"
"In post","2022","40-49","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","Charity Commission","25","25","36870","29160"
"In post","2022","40-49","Digital, Data & Technology","Competition and Markets Authority","20","20","64650","60230"
"In post","2022","40-49","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","555","530","44400","40500"
"In post","2022","40-49","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","Department for Education","255","245","45210","46060"
"In post","2022","40-49","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","300","295","44140","47550"
"In post","2022","40-49","Digital, Data & Technology","Department for International Trade","40","35","54570","55000"
"In post","2022","40-49","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","55","50","47090","41950"
"In post","2022","40-49","Digital, Data & Technology","Department for Transport","390","380","41770","39370"
"In post","2022","40-49","Digital, Data & Technology","Department for Work and Pensions","1175","1145","44910","39450"
"In post","2022","40-49","Digital, Data & Technology","Department of Health and Social Care","115","115","50000","48810"
"In post","2022","40-49","Digital, Data & Technology","Food Standards Agency","20","15","42360","38340"
"In post","2022","40-49","Digital, Data & Technology","Foreign, Commonwealth and Development Office","105","105","45110","42890"
"In post","2022","40-49","Digital, Data & Technology","HM Land Registry","195","185","41340","38450"
"In post","2022","40-49","Digital, Data & Technology","HM Revenue and Customs","750","735","45570","40520"
"In post","2022","40-49","Digital, Data & Technology","HM Treasury","25","20","53900","53360"
"In post","2022","40-49","Digital, Data & Technology","Ministry of Defence","735","725","36390","33300"
"In post","2022","40-49","Digital, Data & Technology","Ministry of Justice","365","360","49070","50240"
"In post","2022","40-49","Digital, Data & Technology","National Crime Agency","80","80","44900","43480"
"In post","2022","40-49","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","30","30","48230","42850"
"In post","2022","40-49","Digital, Data & Technology","Office of Gas and Electricity Markets","20","20","55320","51310"
"In post","2022","40-49","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","5","5","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","Scottish Government","70","70","41700","38150"
"In post","2022","40-49","Digital, Data & Technology","The National Archives","45","45","42770","44670"
"In post","2022","40-49","Digital, Data & Technology","UK Export Finance","10","10","59250","63810"
"In post","2022","40-49","Digital, Data & Technology","UK Statistics Authority","175","170","46170","50210"
"In post","2022","40-49","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Attorney General's Departments","35","35","35630","31570"
"In post","2022","40-49","Finance","Cabinet Office","35","35","50990","54700"
"In post","2022","40-49","Finance","Chancellor's other departments","10","10","50770","46850"
"In post","2022","40-49","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Department for Business, Energy and Industrial Strategy","90","90","46370","44790"
"In post","2022","40-49","Finance","Department for Digital, Culture, Media and Sport","15","15","58560","59320"
"In post","2022","40-49","Finance","Department for Education","370","355","43920","40300"
"In post","2022","40-49","Finance","Department for Environment, Food and Rural Affairs","155","145","44420","38060"
"In post","2022","40-49","Finance","Department for International Trade","20","20","52620","51970"
"In post","2022","40-49","Finance","Department for Levelling Up, Housing and Communities","50","50","52510","53130"
"In post","2022","40-49","Finance","Department for Transport","130","125","41370","40280"
"In post","2022","40-49","Finance","Department for Work and Pensions","505","480","38590","35310"
"In post","2022","40-49","Finance","Department of Health and Social Care","150","145","46650","46910"
"In post","2022","40-49","Finance","Food Standards Agency","15","15","43050","44330"
"In post","2022","40-49","Finance","Foreign, Commonwealth and Development Office","90","85","48970","46130"
"In post","2022","40-49","Finance","HM Land Registry","15","15","56310","49420"
"In post","2022","40-49","Finance","HM Revenue and Customs","620","580","38530","33370"
"In post","2022","40-49","Finance","HM Treasury","25","25","62000","59840"
"In post","2022","40-49","Finance","Ministry of Defence","460","445","40600","35300"
"In post","2022","40-49","Finance","Ministry of Justice","220","215","44660","41750"
"In post","2022","40-49","Finance","National Crime Agency","10","10","41160","36740"
"In post","2022","40-49","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Office for Standards in Education, Children's Services and Skills","10","10","40040","32010"
"In post","2022","40-49","Finance","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2022","40-49","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Scottish Government","40","40","37280","35000"
"In post","2022","40-49","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","UK Export Finance","20","20","51200","38580"
"In post","2022","40-49","Finance","UK Statistics Authority","15","15","44330","33520"
"In post","2022","40-49","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Water Services Regulation Authority","15","15","67670","63990"
"In post","2022","40-49","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","Department for Environment, Food and Rural Affairs","685","620","25650","21300"
"In post","2022","40-49","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Attorney General's Departments","55","55","44540","44660"
"In post","2022","40-49","Human Resources","Cabinet Office","295","280","43100","38890"
"In post","2022","40-49","Human Resources","Chancellor's other departments","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Competition and Markets Authority","15","15","56010","54070"
"In post","2022","40-49","Human Resources","Department for Business, Energy and Industrial Strategy","115","110","45830","42700"
"In post","2022","40-49","Human Resources","Department for Digital, Culture, Media and Sport","15","15","54230","60700"
"In post","2022","40-49","Human Resources","Department for Education","35","35","42220","37750"
"In post","2022","40-49","Human Resources","Department for Environment, Food and Rural Affairs","115","110","42090","37360"
"In post","2022","40-49","Human Resources","Department for International Trade","20","20","48260","51840"
"In post","2022","40-49","Human Resources","Department for Levelling Up, Housing and Communities","20","20","43140","36190"
"In post","2022","40-49","Human Resources","Department for Transport","115","110","35970","33350"
"In post","2022","40-49","Human Resources","Department for Work and Pensions","395","380","35870","31990"
"In post","2022","40-49","Human Resources","Department of Health and Social Care","90","85","46330","48860"
"In post","2022","40-49","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Food Standards Agency","15","15","41230","35060"
"In post","2022","40-49","Human Resources","Foreign, Commonwealth and Development Office","105","100","49490","44230"
"In post","2022","40-49","Human Resources","HM Land Registry","35","35","44160","39710"
"In post","2022","40-49","Human Resources","HM Revenue and Customs","425","405","38940","33370"
"In post","2022","40-49","Human Resources","HM Treasury","25","20","48090","49220"
"In post","2022","40-49","Human Resources","Ministry of Defence","480","450","36120","33000"
"In post","2022","40-49","Human Resources","Ministry of Justice","355","350","43010","39880"
"In post","2022","40-49","Human Resources","National Crime Agency","45","45","44100","41650"
"In post","2022","40-49","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Office for Standards in Education, Children's Services and Skills","15","15","46330","39850"
"In post","2022","40-49","Human Resources","Office of Gas and Electricity Markets","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Scottish Government","55","55","37170","35000"
"In post","2022","40-49","Human Resources","The National Archives","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","UK Export Finance","10","5","[c]","[c]"
"In post","2022","40-49","Human Resources","UK Statistics Authority","40","35","42980","36840"
"In post","2022","40-49","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","Department for Transport","5","5","[c]","[c]"
"In post","2022","40-49","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","Foreign, Commonwealth and Development Office","10","10","48000","43300"
"In post","2022","40-49","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","HM Revenue and Customs","15","15","45440","43710"
"In post","2022","40-49","Internal Audit","HM Treasury","90","90","51310","48780"
"In post","2022","40-49","Internal Audit","Ministry of Defence","30","30","39940","33300"
"In post","2022","40-49","Internal Audit","Ministry of Justice","20","20","49220","50190"
"In post","2022","40-49","Internal Audit","Scottish Government","5","5","[c]","[c]"
"In post","2022","40-49","Legal","Attorney General's Departments","2505","2275","49160","52040"
"In post","2022","40-49","Legal","Cabinet Office","15","15","81020","79760"
"In post","2022","40-49","Legal","Charity Commission","15","10","54540","53630"
"In post","2022","40-49","Legal","Competition and Markets Authority","45","40","85140","79980"
"In post","2022","40-49","Legal","Department for Business, Energy and Industrial Strategy","35","35","50770","51510"
"In post","2022","40-49","Legal","Department for Education","25","20","60150","61180"
"In post","2022","40-49","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal","Department for Work and Pensions","15","10","38900","31990"
"In post","2022","40-49","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","40-49","Legal","Foreign, Commonwealth and Development Office","25","20","65210","71390"
"In post","2022","40-49","Legal","HM Land Registry","60","60","52140","60520"
"In post","2022","40-49","Legal","HM Revenue and Customs","310","290","45380","40180"
"In post","2022","40-49","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal","Ministry of Defence","20","20","66260","74000"
"In post","2022","40-49","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal","National Crime Agency","15","10","67240","60960"
"In post","2022","40-49","Legal","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","40-49","Legal","Office of Gas and Electricity Markets","30","25","68020","68500"
"In post","2022","40-49","Legal","Office of Qualifications and Examinations Regulation","5","5","[c]","[c]"
"In post","2022","40-49","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal","Scottish Government","210","190","59380","62170"
"In post","2022","40-49","Legal","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal","UK Export Finance","10","10","[c]","[c]"
"In post","2022","40-49","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2022","40-49","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","40-49","No function","Attorney General's Departments","15","15","51250","51320"
"In post","2022","40-49","No function","Cabinet Office","485","475","56990","54700"
"In post","2022","40-49","No function","Chancellor's other departments","20","20","58960","48660"
"In post","2022","40-49","No function","Charity Commission","80","80","33870","29160"
"In post","2022","40-49","No function","Department for Business, Energy and Industrial Strategy","1885","1780","45650","40570"
"In post","2022","40-49","No function","Department for Digital, Culture, Media and Sport","230","220","57430","54700"
"In post","2022","40-49","No function","Department for Education","1250","1170","48740","49860"
"In post","2022","40-49","No function","Department for Environment, Food and Rural Affairs","1560","1470","41720","37530"
"In post","2022","40-49","No function","Department for International Trade","325","320","54580","51970"
"In post","2022","40-49","No function","Department for Levelling Up, Housing and Communities","705","675","48990","47660"
"In post","2022","40-49","No function","Department for Transport","2815","2630","32230","26780"
"In post","2022","40-49","No function","Department for Work and Pensions","16840","15100","27310","27570"
"In post","2022","40-49","No function","Department of Health and Social Care","2125","1975","49900","48860"
"In post","2022","40-49","No function","Food Standards Agency","270","265","40680","37910"
"In post","2022","40-49","No function","Foreign, Commonwealth and Development Office","990","970","53540","54470"
"In post","2022","40-49","No function","HM Land Registry","895","825","29520","27130"
"In post","2022","40-49","No function","HM Revenue and Customs","7080","6555","31440","26820"
"In post","2022","40-49","No function","HM Treasury","195","185","63760","64300"
"In post","2022","40-49","No function","Ministry of Defence","795","765","43230","47010"
"In post","2022","40-49","No function","Ministry of Justice","17320","16235","31640","28700"
"In post","2022","40-49","No function","National Crime Agency","1130","1090","42500","40210"
"In post","2022","40-49","No function","Northern Ireland Office","15","15","49520","50430"
"In post","2022","40-49","No function","Office for Standards in Education, Children's Services and Skills","435","425","53910","51360"
"In post","2022","40-49","No function","Office of Gas and Electricity Markets","175","175","50710","45070"
"In post","2022","40-49","No function","Office of Qualifications and Examinations Regulation","80","80","50530","46930"
"In post","2022","40-49","No function","Office of Rail and Road","60","60","57310","55420"
"In post","2022","40-49","No function","Office of the Secretary of State for Scotland","5","5","[c]","[c]"
"In post","2022","40-49","No function","Office of the Secretary of State for Wales","5","5","[c]","[c]"
"In post","2022","40-49","No function","Scottish Government","1460","1390","31810","30840"
"In post","2022","40-49","No function","The National Archives","85","80","38750","34580"
"In post","2022","40-49","No function","UK Statistics Authority","440","380","30190","24500"
"In post","2022","40-49","No function","Water Services Regulation Authority","40","40","62350","59730"
"In post","2022","40-49","No function","Welsh Government","15","15","44460","40100"
"In post","2022","40-49","Project Delivery","Attorney General's Departments","15","15","49600","44340"
"In post","2022","40-49","Project Delivery","Cabinet Office","50","50","64450","60500"
"In post","2022","40-49","Project Delivery","Chancellor's other departments","10","10","51070","54100"
"In post","2022","40-49","Project Delivery","Charity Commission","5","5","[c]","[c]"
"In post","2022","40-49","Project Delivery","Competition and Markets Authority","105","100","74730","75140"
"In post","2022","40-49","Project Delivery","Department for Business, Energy and Industrial Strategy","205","195","46490","45150"
"In post","2022","40-49","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Department for Education","25","25","46970","49860"
"In post","2022","40-49","Project Delivery","Department for Environment, Food and Rural Affairs","95","90","34980","35900"
"In post","2022","40-49","Project Delivery","Department for International Trade","15","15","52900","52060"
"In post","2022","40-49","Project Delivery","Department for Levelling Up, Housing and Communities","50","45","50360","51110"
"In post","2022","40-49","Project Delivery","Department for Transport","160","155","50320","48770"
"In post","2022","40-49","Project Delivery","Department for Work and Pensions","350","315","35350","32100"
"In post","2022","40-49","Project Delivery","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2022","40-49","Project Delivery","Estyn","25","25","61460","75480"
"In post","2022","40-49","Project Delivery","Food Standards Agency","10","10","39200","34080"
"In post","2022","40-49","Project Delivery","Foreign, Commonwealth and Development Office","520","495","57520","58030"
"In post","2022","40-49","Project Delivery","HM Land Registry","45","45","42740","38550"
"In post","2022","40-49","Project Delivery","HM Revenue and Customs","1330","1285","47230","40520"
"In post","2022","40-49","Project Delivery","HM Treasury","10","10","46310","43160"
"In post","2022","40-49","Project Delivery","Ministry of Defence","3015","2925","42760","40580"
"In post","2022","40-49","Project Delivery","Ministry of Justice","70","70","44430","41750"
"In post","2022","40-49","Project Delivery","National Crime Agency","35","35","49740","48900"
"In post","2022","40-49","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Office for Standards in Education, Children's Services and Skills","15","15","43170","39850"
"In post","2022","40-49","Project Delivery","Office of Gas and Electricity Markets","5","5","[c]","[c]"
"In post","2022","40-49","Project Delivery","Scottish Government","10","10","[c]","[c]"
"In post","2022","40-49","Project Delivery","UK Export Finance","5","5","[c]","[c]"
"In post","2022","40-49","Project Delivery","UK Statistics Authority","70","65","42360","36840"
"In post","2022","40-49","Project Delivery","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2022","40-49","Project Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","40-49","Property","Cabinet Office","120","120","53690","54700"
"In post","2022","40-49","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Department for Business, Energy and Industrial Strategy","20","20","36760","34420"
"In post","2022","40-49","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Department for Education","165","165","54720","54210"
"In post","2022","40-49","Property","Department for Environment, Food and Rural Affairs","120","120","41280","36970"
"In post","2022","40-49","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Department for Transport","30","30","35070","32950"
"In post","2022","40-49","Property","Department for Work and Pensions","45","45","44620","41620"
"In post","2022","40-49","Property","Department of Health and Social Care","20","20","40170","38080"
"In post","2022","40-49","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Foreign, Commonwealth and Development Office","90","90","43460","39640"
"In post","2022","40-49","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","HM Revenue and Customs","785","740","34960","31900"
"In post","2022","40-49","Property","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Ministry of Defence","480","470","33300","33300"
"In post","2022","40-49","Property","Ministry of Justice","140","135","42860","38370"
"In post","2022","40-49","Property","National Crime Agency","5","5","[c]","[c]"
"In post","2022","40-49","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Scottish Government","40","40","33420","30450"
"In post","2022","40-49","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Attorney General's Departments","20","20","33640","29630"
"In post","2022","40-49","Security","Cabinet Office","200","190","38940","33300"
"In post","2022","40-49","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Department for Business, Energy and Industrial Strategy","10","10","49680","42450"
"In post","2022","40-49","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Department for Education","10","10","44930","49860"
"In post","2022","40-49","Security","Department for International Trade","5","5","[c]","[c]"
"In post","2022","40-49","Security","Department for Transport","65","65","40550","38850"
"In post","2022","40-49","Security","Department for Work and Pensions","35","30","31050","31990"
"In post","2022","40-49","Security","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Foreign, Commonwealth and Development Office","130","125","43420","38210"
"In post","2022","40-49","Security","HM Revenue and Customs","55","55","47180","40910"
"In post","2022","40-49","Security","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Ministry of Defence","1395","1380","32450","33200"
"In post","2022","40-49","Security","Ministry of Justice","215","210","41590","38220"
"In post","2022","40-49","Security","National Crime Agency","15","10","35240","33400"
"In post","2022","40-49","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","UK Statistics Authority","10","10","42670","43520"
"In post","2022","40-49","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Attorney General's Departments","50","50","47670","50850"
"In post","2022","40-49","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","40-49","Unknown","Department for Environment, Food and Rural Affairs","50","50","44710","52290"
"In post","2022","40-49","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Department for Work and Pensions","395","375","40950","35310"
"In post","2022","40-49","Unknown","Department of Health and Social Care","40","40","58310","53360"
"In post","2022","40-49","Unknown","Foreign, Commonwealth and Development Office","40","40","50530","46410"
"In post","2022","40-49","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Home Office","9225","8690","34590","29080"
"In post","2022","40-49","Unknown","Ministry of Defence","3880","3720","34370","29200"
"In post","2022","40-49","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Office of the Secretary of State for Scotland","10","10","58770","62170"
"In post","2022","40-49","Unknown","Scottish Government","3925","3745","44830","40130"
"In post","2022","40-49","Unknown","Welsh Government","1770","1685","44640","40100"
"In post","2022","50-59","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Chancellor's other departments","20","20","87870","88600"
"In post","2022","50-59","Analysis","Competition and Markets Authority","20","20","70000","59140"
"In post","2022","50-59","Analysis","Department for Business, Energy and Industrial Strategy","45","40","44740","39820"
"In post","2022","50-59","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Department for Education","25","25","48020","46170"
"In post","2022","50-59","Analysis","Department for Environment, Food and Rural Affairs","110","105","39750","37280"
"In post","2022","50-59","Analysis","Department for International Trade","15","15","53290","50290"
"In post","2022","50-59","Analysis","Department for Levelling Up, Housing and Communities","30","25","51790","56950"
"In post","2022","50-59","Analysis","Department for Transport","50","45","42340","33350"
"In post","2022","50-59","Analysis","Department for Work and Pensions","95","90","53240","55220"
"In post","2022","50-59","Analysis","Department of Health and Social Care","55","50","60830","61390"
"In post","2022","50-59","Analysis","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","50-59","Analysis","Foreign, Commonwealth and Development Office","15","15","66750","73010"
"In post","2022","50-59","Analysis","HM Land Registry","5","5","[c]","[c]"
"In post","2022","50-59","Analysis","HM Revenue and Customs","100","95","52820","54160"
"In post","2022","50-59","Analysis","HM Treasury","10","10","103860","69420"
"In post","2022","50-59","Analysis","Ministry of Defence","125","120","43770","45290"
"In post","2022","50-59","Analysis","Ministry of Justice","75","75","49930","45900"
"In post","2022","50-59","Analysis","Office for Standards in Education, Children's Services and Skills","25","25","45860","39850"
"In post","2022","50-59","Analysis","Office of Gas and Electricity Markets","15","15","67680","61000"
"In post","2022","50-59","Analysis","Office of Rail and Road","5","5","[c]","[c]"
"In post","2022","50-59","Analysis","Scottish Government","5","5","[c]","[c]"
"In post","2022","50-59","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","UK Statistics Authority","215","205","42910","37660"
"In post","2022","50-59","Analysis","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2022","50-59","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Attorney General's Departments","10","10","46400","48190"
"In post","2022","50-59","Commercial","Cabinet Office","575","570","71450","64500"
"In post","2022","50-59","Commercial","Chancellor's other departments","5","5","[c]","[c]"
"In post","2022","50-59","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Department for Business, Energy and Industrial Strategy","75","70","46040","47960"
"In post","2022","50-59","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Department for Education","50","45","43400","38090"
"In post","2022","50-59","Commercial","Department for Environment, Food and Rural Affairs","55","55","37720","36520"
"In post","2022","50-59","Commercial","Department for Levelling Up, Housing and Communities","10","10","[c]","[c]"
"In post","2022","50-59","Commercial","Department for Transport","80","75","42990","39560"
"In post","2022","50-59","Commercial","Department for Work and Pensions","15","15","43450","44540"
"In post","2022","50-59","Commercial","Department of Health and Social Care","75","75","50940","46000"
"In post","2022","50-59","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","50-59","Commercial","Foreign, Commonwealth and Development Office","55","55","46970","44640"
"In post","2022","50-59","Commercial","HM Land Registry","5","5","[c]","[c]"
"In post","2022","50-59","Commercial","HM Revenue and Customs","45","40","42200","40520"
"In post","2022","50-59","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Ministry of Defence","480","475","42440","40580"
"In post","2022","50-59","Commercial","Ministry of Justice","55","55","36850","36050"
"In post","2022","50-59","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","50-59","Commercial","Scottish Government","35","30","35920","26900"
"In post","2022","50-59","Commercial","The National Archives","15","15","34340","28460"
"In post","2022","50-59","Commercial","UK Export Finance","55","55","60310","51310"
"In post","2022","50-59","Commercial","UK Statistics Authority","10","10","[c]","[c]"
