"Status","Year","Disability","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","Heterosexual / straight","105","100","39610","40000"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scottish Government","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Export Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Statistics Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Cabinet Office","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Cabinet Office","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
