"Status","Year","Age","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","30-39","South East (England)","Outside London","Male","385","[c]","31010","27570"
"Leaver CS","2022","30-39","South West (England)","Outside London","Female","365","[c]","30920","27570"
"Leaver CS","2022","30-39","South West (England)","Outside London","Male","355","[c]","34550","33300"
"Leaver CS","2022","30-39","Unknown","Unknown","Female","150","[c]","28370","21840"
"Leaver CS","2022","30-39","Unknown","Unknown","Male","145","[c]","33170","30730"
"Leaver CS","2022","30-39","Wales","Outside London","Female","175","[c]","28170","26130"
"Leaver CS","2022","30-39","Wales","Outside London","Male","205","[c]","31050","29140"
"Leaver CS","2022","30-39","West Midlands (England)","Outside London","Female","255","[c]","30460","27570"
"Leaver CS","2022","30-39","West Midlands (England)","Outside London","Male","230","[c]","30170","27570"
"Leaver CS","2022","30-39","Yorkshire and The Humber","Outside London","Female","300","[c]","29310","27570"
"Leaver CS","2022","30-39","Yorkshire and The Humber","Outside London","Male","330","[c]","32570","27570"
"Leaver CS","2022","40-49","East Midlands (England)","Outside London","Female","190","[c]","30180","27570"
"Leaver CS","2022","40-49","East Midlands (England)","Outside London","Male","110","[c]","26970","26240"
"Leaver CS","2022","40-49","East of England","Outside London","Female","225","[c]","32690","27570"
"Leaver CS","2022","40-49","East of England","Outside London","Male","155","[c]","31340","27570"
"Leaver CS","2022","40-49","London","London","Female","815","[c]","48440","43300"
"Leaver CS","2022","40-49","London","London","Male","590","[c]","51020","48900"
"Leaver CS","2022","40-49","London","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","North East (England)","Outside London","Female","195","[c]","29280","24570"
"Leaver CS","2022","40-49","North East (England)","Outside London","Male","115","[c]","28740","24500"
"Leaver CS","2022","40-49","North West (England)","Outside London","Female","320","[c]","30160","26160"
"Leaver CS","2022","40-49","North West (England)","Outside London","Male","235","[c]","33820","27570"
"Leaver CS","2022","40-49","Northern Ireland","Outside London","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Northern Ireland","Outside London","Male","20","[c]","[c]","[c]"
