"Status","Year","Disability","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","Analysis","Welsh Government","5","5","[c]","[c]"
"In post","2022","Unknown","Commercial","Attorney General's Departments","15","15","[c]","[c]"
"In post","2022","Unknown","Commercial","Cabinet Office","1470","1450","64160","62250"
"In post","2022","Unknown","Commercial","Department for Business, Energy and Industrial Strategy","20","20","[c]","[c]"
"In post","2022","Unknown","Commercial","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2022","Unknown","Commercial","Department for Education","100","95","33630","36010"
"In post","2022","Unknown","Commercial","Department for Environment, Food and Rural Affairs","25","20","[c]","[c]"
"In post","2022","Unknown","Commercial","Department for International Trade","5","5","[c]","[c]"
"In post","2022","Unknown","Commercial","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2022","Unknown","Commercial","Department for Transport","40","35","39200","38650"
"In post","2022","Unknown","Commercial","Department of Health and Social Care","265","260","48200","49530"
"In post","2022","Unknown","Commercial","Foreign, Commonwealth and Development Office","25","25","[c]","[c]"
"In post","2022","Unknown","Commercial","HM Land Registry","5","5","[c]","[c]"
"In post","2022","Unknown","Commercial","HM Revenue and Customs","30","30","38310","40180"
"In post","2022","Unknown","Commercial","HM Treasury","10","10","[c]","[c]"
"In post","2022","Unknown","Commercial","Ministry of Defence","220","215","37340","34720"
"In post","2022","Unknown","Commercial","Ministry of Justice","25","25","[c]","[c]"
"In post","2022","Unknown","Commercial","National Crime Agency","10","10","[c]","[c]"
"In post","2022","Unknown","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","Scottish Government","80","75","30930","26900"
"In post","2022","Unknown","Commercial","The National Archives","10","10","[c]","[c]"
"In post","2022","Unknown","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Commercial","UK Statistics Authority","5","5","[c]","[c]"
"In post","2022","Unknown","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Attorney General's Departments","25","25","[c]","[c]"
"In post","2022","Unknown","Communications","Cabinet Office","110","105","47540","42000"
"In post","2022","Unknown","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Charity Commission","15","15","[c]","[c]"
"In post","2022","Unknown","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Department for Business, Energy and Industrial Strategy","60","60","43870","39290"
"In post","2022","Unknown","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Department for Education","70","70","35430","33500"
"In post","2022","Unknown","Communications","Department for Environment, Food and Rural Affairs","45","45","41890","38750"
"In post","2022","Unknown","Communications","Department for International Trade","55","55","43610","38160"
"In post","2022","Unknown","Communications","Department for Levelling Up, Housing and Communities","30","30","[c]","[c]"
"In post","2022","Unknown","Communications","Department for Transport","45","45","45270","42470"
"In post","2022","Unknown","Communications","Department for Work and Pensions","15","15","[c]","[c]"
"In post","2022","Unknown","Communications","Department of Health and Social Care","295","285","46240","44310"
"In post","2022","Unknown","Communications","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","Unknown","Communications","Foreign, Commonwealth and Development Office","35","35","46760","42200"
"In post","2022","Unknown","Communications","HM Land Registry","10","10","[c]","[c]"
"In post","2022","Unknown","Communications","HM Revenue and Customs","1560","1515","29210","26820"
"In post","2022","Unknown","Communications","HM Treasury","5","5","[c]","[c]"
"In post","2022","Unknown","Communications","Ministry of Defence","100","100","39830","35410"
"In post","2022","Unknown","Communications","Ministry of Justice","45","45","42480","38370"
"In post","2022","Unknown","Communications","National Crime Agency","20","20","[c]","[c]"
"In post","2022","Unknown","Communications","Northern Ireland Office","10","10","[c]","[c]"
"In post","2022","Unknown","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Communications","The National Archives","5","5","[c]","[c]"
"In post","2022","Unknown","Communications","UK Statistics Authority","30","30","41280","36840"
"In post","2022","Unknown","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Attorney General's Departments","60","60","51010","42720"
"In post","2022","Unknown","Counter Fraud","Cabinet Office","15","15","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Department for Business, Energy and Industrial Strategy","95","90","30160","31000"
"In post","2022","Unknown","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Department for Transport","5","5","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Department for Work and Pensions","165","155","27420","27570"
"In post","2022","Unknown","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","HM Revenue and Customs","2375","2255","32900","31020"
"In post","2022","Unknown","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Debt","Department for Work and Pensions","80","75","21760","21260"
"In post","2022","Unknown","Debt","HM Revenue and Customs","1335","1225","23220","21250"
"In post","2022","Unknown","Debt","HM Treasury","15","15","[c]","[c]"
"In post","2022","Unknown","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Attorney General's Departments","30","30","37050","30130"
"In post","2022","Unknown","Digital, Data & Technology","Cabinet Office","210","205","48790","49700"
"In post","2022","Unknown","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Charity Commission","25","25","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","160","155","41570","39510"
"In post","2022","Unknown","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Department for Education","340","335","41890","38640"
"In post","2022","Unknown","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","95","95","42690","40500"
"In post","2022","Unknown","Digital, Data & Technology","Department for International Trade","60","60","49910","51710"
"In post","2022","Unknown","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","20","20","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Department for Transport","170","170","37460","33350"
"In post","2022","Unknown","Digital, Data & Technology","Department for Work and Pensions","395","395","43390","39690"
"In post","2022","Unknown","Digital, Data & Technology","Department of Health and Social Care","235","230","43740","40550"
"In post","2022","Unknown","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Foreign, Commonwealth and Development Office","105","105","41410","38500"
"In post","2022","Unknown","Digital, Data & Technology","HM Land Registry","190","190","34130","33840"
"In post","2022","Unknown","Digital, Data & Technology","HM Revenue and Customs","795","770","41130","37930"
"In post","2022","Unknown","Digital, Data & Technology","HM Treasury","35","30","51670","50000"
"In post","2022","Unknown","Digital, Data & Technology","Ministry of Defence","415","410","36470","33300"
"In post","2022","Unknown","Digital, Data & Technology","Ministry of Justice","220","220","47920","47100"
"In post","2022","Unknown","Digital, Data & Technology","National Crime Agency","165","165","41880","36740"
"In post","2022","Unknown","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","15","15","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Office of Gas and Electricity Markets","5","5","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Scottish Government","110","110","38840","36360"
"In post","2022","Unknown","Digital, Data & Technology","The National Archives","30","25","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","UK Statistics Authority","330","325","41010","36840"
"In post","2022","Unknown","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Welsh Government","10","10","[c]","[c]"
"In post","2022","Unknown","Finance","Attorney General's Departments","25","25","[c]","[c]"
"In post","2022","Unknown","Finance","Cabinet Office","30","30","[c]","[c]"
"In post","2022","Unknown","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Charity Commission","5","5","[c]","[c]"
"In post","2022","Unknown","Finance","Department for Business, Energy and Industrial Strategy","50","45","33500","28280"
"In post","2022","Unknown","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Department for Education","260","255","36270","32300"
"In post","2022","Unknown","Finance","Department for Environment, Food and Rural Affairs","50","45","39710","36840"
"In post","2022","Unknown","Finance","Department for International Trade","25","25","[c]","[c]"
"In post","2022","Unknown","Finance","Department for Levelling Up, Housing and Communities","10","10","[c]","[c]"
"In post","2022","Unknown","Finance","Department for Transport","55","55","42110","42470"
"In post","2022","Unknown","Finance","Department for Work and Pensions","55","55","41080","36320"
"In post","2022","Unknown","Finance","Department of Health and Social Care","395","385","42110","40650"
"In post","2022","Unknown","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Foreign, Commonwealth and Development Office","80","80","42940","39410"
"In post","2022","Unknown","Finance","HM Land Registry","10","10","[c]","[c]"
"In post","2022","Unknown","Finance","HM Revenue and Customs","660","600","32240","26590"
"In post","2022","Unknown","Finance","HM Treasury","15","15","[c]","[c]"
"In post","2022","Unknown","Finance","Ministry of Defence","205","200","38660","33300"
"In post","2022","Unknown","Finance","Ministry of Justice","60","60","41460","39210"
"In post","2022","Unknown","Finance","National Crime Agency","40","40","37870","36740"
"In post","2022","Unknown","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Scottish Government","85","80","35780","35000"
"In post","2022","Unknown","Finance","UK Statistics Authority","15","15","[c]","[c]"
"In post","2022","Unknown","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Finance","Welsh Government","10","10","[c]","[c]"
"In post","2022","Unknown","Human Resources","Attorney General's Departments","50","50","37000","30130"
"In post","2022","Unknown","Human Resources","Cabinet Office","120","120","37600","32000"
"In post","2022","Unknown","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Department for Business, Energy and Industrial Strategy","25","25","[c]","[c]"
"In post","2022","Unknown","Human Resources","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Department for Education","45","45","29630","25000"
"In post","2022","Unknown","Human Resources","Department for Environment, Food and Rural Affairs","35","35","36980","32840"
"In post","2022","Unknown","Human Resources","Department for International Trade","30","30","[c]","[c]"
"In post","2022","Unknown","Human Resources","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Department for Transport","35","35","32580","30730"
"In post","2022","Unknown","Human Resources","Department for Work and Pensions","40","40","38430","32960"
"In post","2022","Unknown","Human Resources","Department of Health and Social Care","210","210","40730","36470"
"In post","2022","Unknown","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Foreign, Commonwealth and Development Office","30","30","40200","33810"
"In post","2022","Unknown","Human Resources","HM Land Registry","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","HM Revenue and Customs","345","320","32510","28920"
"In post","2022","Unknown","Human Resources","HM Treasury","10","10","[c]","[c]"
"In post","2022","Unknown","Human Resources","Ministry of Defence","255","240","31090","26450"
"In post","2022","Unknown","Human Resources","Ministry of Justice","100","95","36260","34260"
"In post","2022","Unknown","Human Resources","National Crime Agency","100","95","38950","36740"
"In post","2022","Unknown","Human Resources","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Scottish Government","120","115","34300","35000"
"In post","2022","Unknown","Human Resources","The National Archives","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","UK Statistics Authority","40","35","33460","30210"
"In post","2022","Unknown","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Welsh Government","5","5","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2022","Unknown","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","HM Revenue and Customs","5","5","[c]","[c]"
"In post","2022","Unknown","Internal Audit","HM Treasury","5","5","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Ministry of Defence","15","15","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Scottish Government","10","5","[c]","[c]"
"In post","2022","Unknown","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Attorney General's Departments","1710","1620","43360","48080"
"In post","2022","Unknown","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Charity Commission","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2022","Unknown","Legal","Department for Education","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","HM Land Registry","55","50","46740","45610"
"In post","2022","Unknown","Legal","HM Revenue and Customs","380","355","41050","33370"
"In post","2022","Unknown","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Ministry of Defence","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","National Crime Agency","40","40","52830","60060"
"In post","2022","Unknown","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Scottish Government","65","60","44990","46100"
"In post","2022","Unknown","Legal","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","No function","Attorney General's Departments","10","10","[c]","[c]"
"In post","2022","Unknown","No function","Cabinet Office","2335","2325","35470","29250"
"In post","2022","Unknown","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","No function","Charity Commission","140","130","29290","29160"
"In post","2022","Unknown","No function","Department for Business, Energy and Industrial Strategy","1730","1660","34860","30950"
"In post","2022","Unknown","No function","Department for Digital, Culture, Media and Sport","150","150","46620","51610"
"In post","2022","Unknown","No function","Department for Education","1130","1105","38690","36500"
"In post","2022","Unknown","No function","Department for Environment, Food and Rural Affairs","785","755","38910","35900"
"In post","2022","Unknown","No function","Department for International Trade","745","740","46300","40040"
"In post","2022","Unknown","No function","Department for Levelling Up, Housing and Communities","495","470","44260","39600"
"In post","2022","Unknown","No function","Department for Transport","2075","1965","28970","26350"
"In post","2022","Unknown","No function","Department for Work and Pensions","2420","2305","26930","27570"
"In post","2022","Unknown","No function","Department of Health and Social Care","4045","3855","48590","41990"
"In post","2022","Unknown","No function","Food Standards Agency","55","55","34030","30350"
"In post","2022","Unknown","No function","Foreign, Commonwealth and Development Office","405","400","50260","49420"
"In post","2022","Unknown","No function","HM Land Registry","1185","1130","24720","22600"
"In post","2022","Unknown","No function","HM Revenue and Customs","10175","9290","27680","22080"
"In post","2022","Unknown","No function","HM Treasury","45","45","50550","52500"
"In post","2022","Unknown","No function","Ministry of Defence","175","165","30400","27520"
"In post","2022","Unknown","No function","Ministry of Justice","10070","9540","26950","24800"
"In post","2022","Unknown","No function","National Crime Agency","3195","3130","39060","36740"
"In post","2022","Unknown","No function","Northern Ireland Office","35","35","44420","41750"
"In post","2022","Unknown","No function","Office for Standards in Education, Children's Services and Skills","120","110","44340","51360"
"In post","2022","Unknown","No function","Office of Gas and Electricity Markets","55","55","42990","40820"
"In post","2022","Unknown","No function","Office of Qualifications and Examinations Regulation","45","45","49600","46660"
"In post","2022","Unknown","No function","Office of the Secretary of State for Scotland","20","20","[c]","[c]"
"In post","2022","Unknown","No function","Office of the Secretary of State for Wales","10","10","[c]","[c]"
"In post","2022","Unknown","No function","Scottish Government","5085","4705","30970","30450"
"In post","2022","Unknown","No function","The National Archives","115","110","32840","28460"
"In post","2022","Unknown","No function","UK Statistics Authority","1000","815","25360","20350"
"In post","2022","Unknown","No function","Water Services Regulation Authority","15","10","[c]","[c]"
"In post","2022","Unknown","No function","Welsh Government","30","30","41170","36670"
"In post","2022","Unknown","Project Delivery","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Cabinet Office","25","20","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Charity Commission","10","10","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Competition and Markets Authority","45","45","72060","79980"
"In post","2022","Unknown","Project Delivery","Department for Business, Energy and Industrial Strategy","130","125","44480","40410"
"In post","2022","Unknown","Project Delivery","Department for Education","30","30","41780","36500"
"In post","2022","Unknown","Project Delivery","Department for Environment, Food and Rural Affairs","20","20","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Department for International Trade","25","25","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Department for Levelling Up, Housing and Communities","25","25","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Department for Transport","75","75","44590","42470"
"In post","2022","Unknown","Project Delivery","Department for Work and Pensions","20","20","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Foreign, Commonwealth and Development Office","650","635","51600","53000"
"In post","2022","Unknown","Project Delivery","HM Land Registry","50","50","35160","38550"
"In post","2022","Unknown","Project Delivery","HM Revenue and Customs","1075","1025","44480","40520"
"In post","2022","Unknown","Project Delivery","HM Treasury","5","5","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Ministry of Defence","1375","1330","37480","35010"
"In post","2022","Unknown","Project Delivery","Ministry of Justice","45","45","35970","34260"
"In post","2022","Unknown","Project Delivery","National Crime Agency","50","50","44990","40960"
"In post","2022","Unknown","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Scottish Government","15","15","[c]","[c]"
"In post","2022","Unknown","Project Delivery","UK Statistics Authority","95","90","40080","36840"
"In post","2022","Unknown","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","Unknown","Property","Cabinet Office","40","40","53250","49700"
"In post","2022","Unknown","Property","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Unknown","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","Department for Education","145","145","43840","49860"
"In post","2022","Unknown","Property","Department for Environment, Food and Rural Affairs","40","40","35790","30610"
"In post","2022","Unknown","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","Department for Transport","15","15","[c]","[c]"
"In post","2022","Unknown","Property","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2022","Unknown","Property","Department of Health and Social Care","45","45","39040","38560"
"In post","2022","Unknown","Property","Foreign, Commonwealth and Development Office","30","30","41760","34890"
"In post","2022","Unknown","Property","HM Land Registry","5","5","[c]","[c]"
"In post","2022","Unknown","Property","HM Revenue and Customs","790","765","29680","26030"
"In post","2022","Unknown","Property","Ministry of Defence","375","360","26310","20480"
"In post","2022","Unknown","Property","Ministry of Justice","55","55","44620","41100"
"In post","2022","Unknown","Property","National Crime Agency","10","10","[c]","[c]"
"In post","2022","Unknown","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","Scottish Government","235","230","31730","29900"
"In post","2022","Unknown","Property","The National Archives","5","5","[c]","[c]"
"In post","2022","Unknown","Property","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Attorney General's Departments","10","10","[c]","[c]"
"In post","2022","Unknown","Security","Cabinet Office","250","235","30690","26670"
"In post","2022","Unknown","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Unknown","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Department for Education","20","20","[c]","[c]"
"In post","2022","Unknown","Security","Department for International Trade","5","5","[c]","[c]"
"In post","2022","Unknown","Security","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Department for Transport","40","40","35090","34710"
"In post","2022","Unknown","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Foreign, Commonwealth and Development Office","50","50","43990","38080"
"In post","2022","Unknown","Security","HM Revenue and Customs","45","45","42840","40520"
"In post","2022","Unknown","Security","HM Treasury","5","5","[c]","[c]"
"In post","2022","Unknown","Security","Ministry of Defence","1675","1650","30810","27680"
"In post","2022","Unknown","Security","Ministry of Justice","70","70","37290","33460"
"In post","2022","Unknown","Security","National Crime Agency","30","30","33030","32260"
"In post","2022","Unknown","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Security","UK Statistics Authority","20","20","[c]","[c]"
"In post","2022","Unknown","Unknown","Attorney General's Departments","35","35","44860","50850"
"In post","2022","Unknown","Unknown","Cabinet Office","5","5","[c]","[c]"
"In post","2022","Unknown","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Department for Environment, Food and Rural Affairs","20","20","[c]","[c]"
"In post","2022","Unknown","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Department for Work and Pensions","125","120","39580","36650"
"In post","2022","Unknown","Unknown","Department of Health and Social Care","140","140","46360","40650"
"In post","2022","Unknown","Unknown","Foreign, Commonwealth and Development Office","15","15","[c]","[c]"
"In post","2022","Unknown","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Home Office","5720","5560","32590","27370"
"In post","2022","Unknown","Unknown","Ministry of Defence","4550","4415","35060","32550"
"In post","2022","Unknown","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Office of the Secretary of State for Scotland","40","40","46940","49860"
"In post","2022","Unknown","Unknown","Scottish Government","5180","4970","39300","33540"
"In post","2022","Unknown","Unknown","Welsh Government","315","300","38860","31210"
"Leaver CS","2022","Declared disabled","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
