"Status","Year","Age","Disability","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Unknown","UK Statistics Authority","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Attorney General's Departments","AA/AO","35","35","22230","22200"
"In post","2022","20-29","Declared disabled","Attorney General's Departments","EO","40","40","27750","26960"
"In post","2022","20-29","Declared disabled","Attorney General's Departments","G6/G7","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Attorney General's Departments","SEO/HEO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Cabinet Office","AA/AO","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Cabinet Office","EO","60","60","26300","27500"
"In post","2022","20-29","Declared disabled","Cabinet Office","G6/G7","30","30","[c]","[c]"
"In post","2022","20-29","Declared disabled","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Cabinet Office","SEO/HEO","85","85","35650","34550"
"In post","2022","20-29","Declared disabled","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Competition and Markets Authority","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","40","40","26620","27620"
"In post","2022","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","G6/G7","45","45","55040","53380"
"In post","2022","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","120","120","36660","35640"
"In post","2022","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","EO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","SEO/HEO","35","35","34610","34020"
"In post","2022","20-29","Declared disabled","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Education","EO","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Education","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Department for Education","SEO/HEO","80","80","34710","36400"
"In post","2022","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","35","30","21540","21300"
