"Status","Year","Organisation","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","AO","Unknown","50","[c]","21770","21840"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","EO","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","EO","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","G6","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","G7","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","HEO","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","SEO","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","SEO","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Licensing Agency","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","AA","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","AA","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","AA","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","AO","Heterosexual / straight","45","[c]","25000","26580"
"Leaver CS","2022","Driver and Vehicle Standards Agency","AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","AO","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","AO","Unknown","40","[c]","23850","21840"
"Leaver CS","2022","Driver and Vehicle Standards Agency","EO","Heterosexual / straight","115","[c]","27870","26780"
"Leaver CS","2022","Driver and Vehicle Standards Agency","EO","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","EO","Undeclared","65","[c]","27860","26780"
"Leaver CS","2022","Driver and Vehicle Standards Agency","EO","Unknown","95","[c]","26620","26130"
"Leaver CS","2022","Driver and Vehicle Standards Agency","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","HEO","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","HEO","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","HEO","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","SEO","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","SEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Driver and Vehicle Standards Agency","SEO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","EO","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","G6","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","G6","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","G6","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","G7","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","G7","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","HEO","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","SEO","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education and Skills Funding Agency","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","AA","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","AA","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","G6","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","G6","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","SEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Education Scotland","SEO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","G6","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","AO","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","EO","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","G7","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","HEO","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","SEO","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","SEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","FCDO Services","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","AO","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","EO","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","EO","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","HEO","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","SEO","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","SEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","AA","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","AA","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","HEO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Scotland","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","AA","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","AA","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","AO","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","AO","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","EO","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","EO","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","G6","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","G6","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","G6","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","G7","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","G7","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office (excl. agencies)","SEO","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","AA","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","AA","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","AO","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","AO","Unknown","55","[c]","25920","25940"
"Leaver CS","2022","Forestry and Land Scotland","EO","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","EO","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","HEO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Forestry and Land Scotland","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","G6","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","SEO","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Actuary's Department","SEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","G6","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","HEO","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","HEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","SEO","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","SEO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Internal Audit Agency","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","AO","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","EO","Heterosexual / straight","35","[c]","28090","27000"
"Leaver CS","2022","Government Legal Department","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","EO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","G6","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","G6","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","G6","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","G7","Heterosexual / straight","55","[c]","52380","51250"
"Leaver CS","2022","Government Legal Department","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","G7","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","HEO","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","SCS level","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","SCS level","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Legal Department","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","G6","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","G7","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Government Property Agency","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","AO","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","AO","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","EO","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","EO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","G6","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","G6","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","G7","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2022","Health and Safety Executive","G7","LGBO","[c]","[c]","[c]","[c]"
