"Status","Year","Age","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","50-59","UK Space Agency","Outside London","30","30","48080","49090"
"In post","2022","50-59","UK Statistics Authority","London","40","35","57230","53210"
"In post","2022","50-59","UK Statistics Authority","Outside London","1230","1050","32930","27570"
"In post","2022","50-59","UK Supreme Court","London","15","15","39410","30400"
"In post","2022","50-59","Valuation Office Agency","London","240","230","43870","38020"
"In post","2022","50-59","Valuation Office Agency","Outside London","1000","945","36580","33370"
"In post","2022","50-59","Vehicle Certification Agency","Outside London","35","35","42450","38860"
"In post","2022","50-59","Vehicle Certification Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Veterinary Medicines Directorate","Outside London","50","50","42280","38170"
"In post","2022","50-59","Water Services Regulation Authority","London","15","15","86230","83730"
"In post","2022","50-59","Water Services Regulation Authority","Outside London","35","35","52750","50220"
"In post","2022","50-59","Welsh Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Welsh Government (excl. agencies)","Outside London","1710","1645","45670","41980"
"In post","2022","50-59","Welsh Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Welsh Revenue Authority","Outside London","15","15","49220","47470"
"In post","2022","50-59","Wilton Park","Outside London","25","20","36460","32700"
"In post","2022","60-64","Accountant in Bankruptcy","Outside London","10","10","34210","30040"
"In post","2022","60-64","Advisory, Conciliation and Arbitration Service","London","20","15","45000","37120"
"In post","2022","60-64","Advisory, Conciliation and Arbitration Service","Outside London","75","55","34450","34500"
"In post","2022","60-64","Animal and Plant Health Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Animal and Plant Health Agency","Outside London","215","190","32430","28480"
"In post","2022","60-64","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Cabinet Office (excl. agencies)","London","150","140","61680","54700"
"In post","2022","60-64","Cabinet Office (excl. agencies)","Outside London","150","130","38160","33300"
"In post","2022","60-64","Cabinet Office (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","60-64","Centre for Environment, Fisheries and Aquaculture Science","Outside London","45","40","36710","30220"
"In post","2022","60-64","Charity Commission","London","5","5","[c]","[c]"
"In post","2022","60-64","Charity Commission","Outside London","25","25","31120","29160"
"In post","2022","60-64","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Companies House","Outside London","110","90","27470","22740"
"In post","2022","60-64","Competition and Markets Authority","London","20","20","56410","54550"
"In post","2022","60-64","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Criminal Injuries Compensation Authority","Outside London","25","20","24510","21490"
"In post","2022","60-64","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Crown Commercial Service","Outside London","20","20","47440","41660"
"In post","2022","60-64","Crown Office and Procurator Fiscal Service","Outside London","135","115","36650","30040"
"In post","2022","60-64","Crown Prosecution Service","London","130","120","47700","49290"
"In post","2022","60-64","Crown Prosecution Service","Outside London","330","275","43170","43390"
"In post","2022","60-64","Defence Electronics and Components Agency","Outside London","65","60","27860","28480"
"In post","2022","60-64","Defence Equipment and Support","London","40","40","24910","22270"
"In post","2022","60-64","Defence Equipment and Support","Outside London","875","795","38780","37730"
"In post","2022","60-64","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Defence Science and Technology Laboratory","Outside London","270","235","45360","47010"
"In post","2022","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","140","130","49320","43000"
"In post","2022","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","25","20","42620","36740"
"In post","2022","60-64","Department for Digital, Culture, Media and Sport","London","30","30","49080","42490"
"In post","2022","60-64","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Department for Education (excl. agencies)","London","80","75","49100","48410"
"In post","2022","60-64","Department for Education (excl. agencies)","Outside London","125","120","44540","40300"
"In post","2022","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","London","95","90","45540","41780"
"In post","2022","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","150","140","40810","37070"
"In post","2022","60-64","Department for International Trade","London","70","70","44050","38540"
"In post","2022","60-64","Department for International Trade","Outside London","10","10","[c]","[c]"
"In post","2022","60-64","Department for International Trade","Overseas","10","10","[c]","[c]"
"In post","2022","60-64","Department for Levelling Up, Housing and Communities (excl. agencies)","London","65","60","51830","53130"
"In post","2022","60-64","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","50","50","42620","36340"
"In post","2022","60-64","Department for Transport (excl. agencies)","London","125","110","45980","37660"
"In post","2022","60-64","Department for Transport (excl. agencies)","Outside London","25","25","55170","39040"
"In post","2022","60-64","Department for Work and Pensions (excl. agencies)","London","920","790","32690","31060"
"In post","2022","60-64","Department for Work and Pensions (excl. agencies)","Outside London","9080","7010","26530","27570"
"In post","2022","60-64","Department for Work and Pensions (excl. agencies)","Unknown","65","55","32370","27570"
"In post","2022","60-64","Department of Health and Social Care (excl. agencies)","London","65","60","52940","46000"
"In post","2022","60-64","Department of Health and Social Care (excl. agencies)","Outside London","55","50","52680","47090"
"In post","2022","60-64","Disclosure Scotland","Outside London","25","25","29800","24580"
"In post","2022","60-64","Driver and Vehicle Licensing Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Driver and Vehicle Licensing Agency","Outside London","575","420","25770","21840"
"In post","2022","60-64","Driver and Vehicle Standards Agency","London","55","50","32130","30780"
"In post","2022","60-64","Driver and Vehicle Standards Agency","Outside London","610","530","28710","26780"
"In post","2022","60-64","Education and Skills Funding Agency","London","15","15","48020","54400"
"In post","2022","60-64","Education and Skills Funding Agency","Outside London","70","65","43190","40230"
"In post","2022","60-64","Education Scotland","Outside London","30","30","63650","77340"
"In post","2022","60-64","Estyn","Outside London","10","10","67160","75480"
"In post","2022","60-64","FCDO Services","London","20","20","47130","38200"
"In post","2022","60-64","FCDO Services","Outside London","70","60","41690","41100"
"In post","2022","60-64","FCDO Services","Overseas","10","10","43140","43790"
"In post","2022","60-64","Food Standards Agency","London","10","10","45390","42130"
"In post","2022","60-64","Food Standards Agency","Outside London","100","90","31990","28800"
"In post","2022","60-64","Food Standards Scotland","Outside London","30","25","35620","30090"
"In post","2022","60-64","Foreign, Commonwealth and Development Office (excl. agencies)","London","145","140","51830","47300"
"In post","2022","60-64","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","75","65","38540","33930"
"In post","2022","60-64","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","70","70","67320","65600"
"In post","2022","60-64","Forestry and Land Scotland","Outside London","105","95","32350","31060"
"In post","2022","60-64","Government Actuary's Department","London","5","5","[c]","[c]"
"In post","2022","60-64","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Government Internal Audit Agency","London","20","15","49710","49750"
"In post","2022","60-64","Government Internal Audit Agency","Outside London","35","25","43300","43200"
"In post","2022","60-64","Government Legal Department","London","90","80","61570","66610"
"In post","2022","60-64","Government Legal Department","Outside London","5","5","[c]","[c]"
"In post","2022","60-64","Government Property Agency","London","10","10","[c]","[c]"
"In post","2022","60-64","Government Property Agency","Outside London","10","10","[c]","[c]"
"In post","2022","60-64","Health and Safety Executive","London","15","15","48560","49860"
"In post","2022","60-64","Health and Safety Executive","Outside London","210","185","44930","44820"
"In post","2022","60-64","HM Courts and Tribunals Service","London","400","365","29030","24310"
"In post","2022","60-64","HM Courts and Tribunals Service","Outside London","1230","1020","23490","20970"
"In post","2022","60-64","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","HM Land Registry","London","30","25","37850","32220"
"In post","2022","60-64","HM Land Registry","Outside London","520","375","31800","27130"
"In post","2022","60-64","HM Prison and Probation Service","London","540","475","35780","33700"
"In post","2022","60-64","HM Prison and Probation Service","Outside London","4125","3290","29490","28200"
"In post","2022","60-64","HM Prison and Probation Service","Unknown","10","10","29240","28600"
"In post","2022","60-64","HM Revenue and Customs (excl. agencies)","London","815","690","43080","40540"
"In post","2022","60-64","HM Revenue and Customs (excl. agencies)","Outside London","4545","3455","29670","26820"
"In post","2022","60-64","HM Treasury (excl. agencies)","London","30","25","52550","41700"
"In post","2022","60-64","HM Treasury (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","60-64","Home Office","London","955","845","36350","29990"
"In post","2022","60-64","Home Office","Outside London","1440","1115","27290","25310"
"In post","2022","60-64","Home Office","Overseas","10","10","[c]","[c]"
"In post","2022","60-64","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Intellectual Property Office","Outside London","70","60","36980","28750"
"In post","2022","60-64","Legal Aid Agency","London","20","15","41740","32290"
"In post","2022","60-64","Legal Aid Agency","Outside London","85","75","31100","25120"
"In post","2022","60-64","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Maritime and Coastguard Agency","Outside London","80","75","42260","40280"
"In post","2022","60-64","Maritime and Coastguard Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Medicines and Healthcare Products Regulatory Agency","London","45","40","60940","54840"
"In post","2022","60-64","Medicines and Healthcare Products Regulatory Agency","Outside London","35","30","54940","53620"
"In post","2022","60-64","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Met Office","Outside London","90","80","41520","39750"
"In post","2022","60-64","Ministry of Defence (excl. agencies)","London","335","315","39510","34320"
"In post","2022","60-64","Ministry of Defence (excl. agencies)","Outside London","4020","3755","29480","26350"
"In post","2022","60-64","Ministry of Defence (excl. agencies)","Overseas","55","55","42370","36780"
"In post","2022","60-64","Ministry of Defence (excl. agencies)","Unknown","20","20","34970","27370"
"In post","2022","60-64","Ministry of Justice (excl. agencies)","London","160","150","45430","42040"
"In post","2022","60-64","Ministry of Justice (excl. agencies)","Outside London","170","150","36400","33420"
"In post","2022","60-64","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","National Crime Agency","London","80","75","46730","43630"
"In post","2022","60-64","National Crime Agency","Outside London","230","210","39120","37590"
"In post","2022","60-64","National Crime Agency","Overseas","10","10","67610","64610"
"In post","2022","60-64","National Crime Agency","Unknown","5","5","[c]","[c]"
"In post","2022","60-64","National Records of Scotland","Outside London","40","40","35320","27990"
"In post","2022","60-64","National Savings and Investments","London","10","10","[c]","[c]"
"In post","2022","60-64","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office for Standards in Education, Children's Services and Skills","London","10","10","68750","57930"
"In post","2022","60-64","Office for Standards in Education, Children's Services and Skills","Outside London","125","115","56170","51360"
"In post","2022","60-64","Office of Gas and Electricity Markets","London","25","25","51840","46160"
"In post","2022","60-64","Office of Gas and Electricity Markets","Outside London","5","5","[c]","[c]"
"In post","2022","60-64","Office of Qualifications and Examinations Regulation","Outside London","10","10","39690","38080"
"In post","2022","60-64","Office of Rail and Road","London","15","15","63970","63520"
"In post","2022","60-64","Office of Rail and Road","Outside London","10","5","[c]","[c]"
"In post","2022","60-64","Office of the Public Guardian","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office of the Public Guardian","Outside London","85","75","23520","20970"
"In post","2022","60-64","Office of the Scottish Charity Regulator","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Planning Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Planning Inspectorate","Outside London","55","45","49870","58810"
"In post","2022","60-64","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Registers of Scotland","Outside London","75","65","32090","30840"
"In post","2022","60-64","Revenue Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Royal Fleet Auxiliary","Unknown","115","115","40070","37300"
"In post","2022","60-64","Rural Payments Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Rural Payments Agency","Outside London","195","165","26500","24920"
"In post","2022","60-64","Scottish Courts and Tribunals Service","Outside London","185","150","27290","23780"
"In post","2022","60-64","Scottish Fiscal Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Scottish Forestry","Outside London","10","10","31890","31060"
"In post","2022","60-64","Scottish Government (excl. agencies)","Outside London","420","375","46250","44010"
"In post","2022","60-64","Scottish Housing Regulator","Outside London","5","5","[c]","[c]"
"In post","2022","60-64","Scottish Prison Service","Outside London","375","250","35370","35000"
"In post","2022","60-64","Scottish Public Pensions Agency","Outside London","30","25","29300","25930"
"In post","2022","60-64","Serious Fraud Office","London","30","25","49960","41570"
"In post","2022","60-64","Social Security Scotland","Outside London","70","65","28200","24400"
"In post","2022","60-64","Standards and Testing Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Standards and Testing Agency","Outside London","5","5","[c]","[c]"
"In post","2022","60-64","Student Awards Agency for Scotland","Outside London","10","10","[c]","[c]"
"In post","2022","60-64","Submarine Delivery Agency","Outside London","120","105","48280","43490"
"In post","2022","60-64","Submarine Delivery Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Teaching Regulation Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","The Insolvency Service","London","25","25","39820","38510"
"In post","2022","60-64","The Insolvency Service","Outside London","105","90","30290","26290"
"In post","2022","60-64","The National Archives","London","45","40","34070","31840"
"In post","2022","60-64","Transport Scotland","Outside London","35","35","46440","49740"
"In post","2022","60-64","UK Debt Management Office","London","5","5","[c]","[c]"
"In post","2022","60-64","UK Export Finance","London","20","20","59130","55460"
"In post","2022","60-64","UK Export Finance","Outside London","5","5","[c]","[c]"
"In post","2022","60-64","UK Health Security Agency","London","135","125","57720","44950"
"In post","2022","60-64","UK Health Security Agency","Outside London","230","200","51640","40560"
"In post","2022","60-64","UK Health Security Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","60-64","UK Hydrographic Office","Outside London","60","50","36440","33440"
"In post","2022","60-64","UK Space Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","UK Statistics Authority","Outside London","465","345","26540","20350"
"In post","2022","60-64","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Valuation Office Agency","London","70","65","39430","34360"
"In post","2022","60-64","Valuation Office Agency","Outside London","280","230","34910","31900"
"In post","2022","60-64","Vehicle Certification Agency","Outside London","20","15","32140","27620"
"In post","2022","60-64","Vehicle Certification Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Veterinary Medicines Directorate","Outside London","10","10","[c]","[c]"
"In post","2022","60-64","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Water Services Regulation Authority","Outside London","10","5","[c]","[c]"
"In post","2022","60-64","Welsh Government (excl. agencies)","Outside London","425","365","43720","38160"
"In post","2022","60-64","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Wilton Park","Outside London","10","10","36930","26120"
"In post","2022","65+","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Advisory, Conciliation and Arbitration Service","London","5","5","[c]","[c]"
"In post","2022","65+","Advisory, Conciliation and Arbitration Service","Outside London","35","25","38210","34500"
"In post","2022","65+","Animal and Plant Health Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Animal and Plant Health Agency","Outside London","90","75","32490","27850"
"In post","2022","65+","Cabinet Office (excl. agencies)","London","45","40","57510","48730"
"In post","2022","65+","Cabinet Office (excl. agencies)","Outside London","35","25","37240","33300"
"In post","2022","65+","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Centre for Environment, Fisheries and Aquaculture Science","Outside London","5","5","[c]","[c]"
"In post","2022","65+","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Companies House","Outside London","30","25","28000","22740"
"In post","2022","65+","Competition and Markets Authority","London","10","5","[c]","[c]"
"In post","2022","65+","Criminal Injuries Compensation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Commercial Service","Outside London","5","5","[c]","[c]"
"In post","2022","65+","Crown Office and Procurator Fiscal Service","Outside London","40","30","32600","23230"
"In post","2022","65+","Crown Prosecution Service","London","45","35","44020","30110"
"In post","2022","65+","Crown Prosecution Service","Outside London","65","50","45250","55610"
"In post","2022","65+","Defence Electronics and Components Agency","Outside London","20","15","27920","28150"
"In post","2022","65+","Defence Equipment and Support","London","25","25","22490","20700"
"In post","2022","65+","Defence Equipment and Support","Outside London","255","210","37590","35700"
"In post","2022","65+","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Outside London","105","80","47680","47140"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","55","50","44590","40050"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","London","20","20","45760","43620"
"In post","2022","65+","Department for Education (excl. agencies)","Outside London","30","30","38250","32040"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","London","40","35","33340","29740"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","55","45","37550","37010"
"In post","2022","65+","Department for International Trade","London","25","20","60930","42410"
"In post","2022","65+","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","London","20","20","43740","38300"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","10","10","36190","34880"
"In post","2022","65+","Department for Transport (excl. agencies)","London","55","45","40570","33390"
"In post","2022","65+","Department for Transport (excl. agencies)","Outside London","10","5","[c]","[c]"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","London","350","270","30700","31060"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Outside London","2365","1705","25650","26120"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Unknown","15","10","27940","25110"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","London","25","20","52860","53860"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","Outside London","10","10","43900","42980"
"In post","2022","65+","Disclosure Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Outside London","160","105","23890","21840"
"In post","2022","65+","Driver and Vehicle Standards Agency","London","20","15","33310","30800"
"In post","2022","65+","Driver and Vehicle Standards Agency","Outside London","270","195","28080","26780"
"In post","2022","65+","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Education and Skills Funding Agency","Outside London","15","15","36990","36500"
"In post","2022","65+","Education Scotland","Outside London","15","10","69300","77340"
"In post","2022","65+","Estyn","Outside London","5","5","[c]","[c]"
"In post","2022","65+","FCDO Services","London","25","20","49670","45430"
"In post","2022","65+","FCDO Services","Outside London","35","20","49430","53430"
"In post","2022","65+","Food Standards Agency","London","5","5","[c]","[c]"
"In post","2022","65+","Food Standards Agency","Outside London","45","35","31430","28800"
"In post","2022","65+","Food Standards Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Foreign, Commonwealth and Development Office (excl. agencies)","London","45","40","49850","42400"
"In post","2022","65+","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","15","10","31070","26120"
"In post","2022","65+","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","15","15","47240","34650"
"In post","2022","65+","Forestry and Land Scotland","Outside London","30","25","31560","27360"
"In post","2022","65+","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Government Legal Department","London","40","30","56860","61000"
"In post","2022","65+","Government Property Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Government Property Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Health and Safety Executive","London","5","5","[c]","[c]"
"In post","2022","65+","Health and Safety Executive","Outside London","50","35","51770","45870"
"In post","2022","65+","HM Courts and Tribunals Service","London","225","190","26400","23720"
"In post","2022","65+","HM Courts and Tribunals Service","Outside London","445","335","21860","20970"
"In post","2022","65+","HM Land Registry","London","15","10","35240","30600"
"In post","2022","65+","HM Land Registry","Outside London","120","75","32500","31740"
"In post","2022","65+","HM Prison and Probation Service","London","220","175","34830","31740"
"In post","2022","65+","HM Prison and Probation Service","Outside London","1195","860","28610","27380"
"In post","2022","65+","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","HM Revenue and Customs (excl. agencies)","London","285","220","40260","33440"
"In post","2022","65+","HM Revenue and Customs (excl. agencies)","Outside London","1190","840","28850","26590"
"In post","2022","65+","HM Treasury (excl. agencies)","London","10","10","51810","57680"
"In post","2022","65+","Home Office","London","380","305","32060","29080"
"In post","2022","65+","Home Office","Outside London","450","325","26040","24880"
"In post","2022","65+","Home Office","Overseas","5","5","[c]","[c]"
"In post","2022","65+","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Intellectual Property Office","Outside London","35","20","36120","28750"
"In post","2022","65+","Legal Aid Agency","London","10","10","[c]","[c]"
"In post","2022","65+","Legal Aid Agency","Outside London","25","20","33840","21490"
"In post","2022","65+","Maritime and Coastguard Agency","Outside London","30","25","45570","46430"
"In post","2022","65+","Medicines and Healthcare Products Regulatory Agency","London","15","15","69450","76160"
"In post","2022","65+","Medicines and Healthcare Products Regulatory Agency","Outside London","10","10","43170","33990"
"In post","2022","65+","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Met Office","Outside London","35","25","44100","43150"
"In post","2022","65+","Ministry of Defence (excl. agencies)","London","130","115","36310","30560"
"In post","2022","65+","Ministry of Defence (excl. agencies)","Outside London","1405","1265","28490","23370"
"In post","2022","65+","Ministry of Defence (excl. agencies)","Overseas","10","10","[c]","[c]"
"In post","2022","65+","Ministry of Defence (excl. agencies)","Unknown","10","10","32690","31410"
"In post","2022","65+","Ministry of Justice (excl. agencies)","London","45","40","44610","45030"
"In post","2022","65+","Ministry of Justice (excl. agencies)","Outside London","40","35","32740","30450"
"In post","2022","65+","National Crime Agency","London","25","25","43300","40090"
"In post","2022","65+","National Crime Agency","Outside London","35","30","37480","36410"
"In post","2022","65+","National Records of Scotland","Outside London","15","15","28690","23230"
"In post","2022","65+","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Office for Standards in Education, Children's Services and Skills","London","10","5","[c]","[c]"
"In post","2022","65+","Office for Standards in Education, Children's Services and Skills","Outside London","30","25","50400","51360"
"In post","2022","65+","Office of Gas and Electricity Markets","London","5","5","[c]","[c]"
"In post","2022","65+","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Office of Rail and Road","London","5","5","[c]","[c]"
"In post","2022","65+","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Office of the Public Guardian","Outside London","15","10","23430","21410"
"In post","2022","65+","Office of the Scottish Charity Regulator","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Planning Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Planning Inspectorate","Outside London","55","35","56500","62040"
"In post","2022","65+","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Registers of Scotland","Outside London","25","20","31040","27950"
"In post","2022","65+","Royal Fleet Auxiliary","Unknown","20","20","38820","32700"
"In post","2022","65+","Rural Payments Agency","Outside London","65","55","24780","21300"
"In post","2022","65+","Scottish Courts and Tribunals Service","Outside London","65","45","25990","22370"
"In post","2022","65+","Scottish Forestry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Scottish Government (excl. agencies)","Outside London","130","110","39880","35240"
"In post","2022","65+","Scottish Housing Regulator","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Scottish Prison Service","Outside London","90","55","35000","35000"
"In post","2022","65+","Scottish Public Pensions Agency","Outside London","10","10","27360","25930"
"In post","2022","65+","Serious Fraud Office","London","10","10","49100","33100"
"In post","2022","65+","Social Security Scotland","Outside London","10","10","27460","23810"
"In post","2022","65+","Standards and Testing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","Student Awards Agency for Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","65+","Submarine Delivery Agency","Outside London","40","35","41910","40010"
"In post","2022","65+","Teaching Regulation Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","The Insolvency Service","London","15","15","43890","46120"
"In post","2022","65+","The Insolvency Service","Outside London","30","25","32490","26990"
"In post","2022","65+","The National Archives","London","20","20","29890","25740"
"In post","2022","65+","Transport Scotland","Outside London","10","10","[c]","[c]"
"In post","2022","65+","UK Debt Management Office","London","5","5","[c]","[c]"
"In post","2022","65+","UK Export Finance","London","10","10","53070","51220"
"In post","2022","65+","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","65+","UK Health Security Agency","London","60","50","57830","41430"
"In post","2022","65+","UK Health Security Agency","Outside London","85","60","45390","36330"
"In post","2022","65+","UK Hydrographic Office","Outside London","20","15","31840","32130"
"In post","2022","65+","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
