"Status","Year","Ethnicity","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","International Trade","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","AO","10","10","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","EO","15","15","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","G7","10","10","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","HEO","30","30","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","EO","15","15","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","HEO","15","10","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","London","EO","60","60","31030","31020"
"In post","2022","Asian","Legal","London","G6","95","90","68570","65760"
"In post","2022","Asian","Legal","London","G7","280","260","55840","53050"
"In post","2022","Asian","Legal","London","HEO","75","75","38380","37930"
"In post","2022","Asian","Legal","London","SCS level","15","10","[c]","[c]"
"In post","2022","Asian","Legal","London","SEO","35","35","44680","43810"
"In post","2022","Asian","Legal","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Asian","Legal","Outside London","EO","70","70","27030","26820"
"In post","2022","Asian","Legal","Outside London","G6","10","10","[c]","[c]"
"In post","2022","Asian","Legal","Outside London","G7","200","185","53810","52080"
"In post","2022","Asian","Legal","Outside London","HEO","95","95","34260","33370"
"In post","2022","Asian","Legal","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Outside London","SEO","85","80","42990","41750"
"In post","2022","Asian","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","London","AO","5","5","[c]","[c]"
"In post","2022","Asian","Medicine","London","EO","5","5","[c]","[c]"
"In post","2022","Asian","Medicine","London","G6","20","15","[c]","[c]"
"In post","2022","Asian","Medicine","London","G7","15","15","[c]","[c]"
"In post","2022","Asian","Medicine","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","London","SCS level","30","30","105280","99240"
"In post","2022","Asian","Medicine","London","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Medicine","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Outside London","AO","25","25","[c]","[c]"
"In post","2022","Asian","Medicine","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Outside London","G6","20","20","[c]","[c]"
"In post","2022","Asian","Medicine","Outside London","G7","15","15","[c]","[c]"
"In post","2022","Asian","Medicine","Outside London","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Medicine","Outside London","SCS level","25","20","[c]","[c]"
"In post","2022","Asian","Medicine","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Medicine","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","SCS level","[c]","[c]","[c]","[c]"
