"Status","Year","Disability","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Office of Rail and Road","Office of Rail and Road","London","190","180","56330","55430"
"In post","2022","Declared non-disabled","Office of Rail and Road","Office of Rail and Road","Outside London","125","125","51730","51310"
"In post","2022","Declared non-disabled","Office of the Public Guardian","Ministry of Justice","London","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Public Guardian","Ministry of Justice","Outside London","890","820","24230","21220"
"In post","2022","Declared non-disabled","Office of the Public Guardian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Scottish Charity Regulator","Scottish Government","Outside London","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","35","35","51190","47490"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","London","20","15","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Outside London","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Planning Inspectorate","Department for Levelling Up, Housing and Communities","London","20","15","[c]","[c]"
"In post","2022","Declared non-disabled","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","550","500","43780","41020"
"In post","2022","Declared non-disabled","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","London","40","40","41470","37540"
"In post","2022","Declared non-disabled","Registers of Scotland","Scottish Government","Outside London","600","585","35150","30840"
"In post","2022","Declared non-disabled","Revenue Scotland","Scottish Government","Outside London","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Royal Fleet Auxiliary","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Rural Payments Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","2300","2120","26020","21300"
"In post","2022","Declared non-disabled","Scottish Courts and Tribunals Service","Scottish Government","Outside London","575","550","28950","23780"
"In post","2022","Declared non-disabled","Scottish Fiscal Commission","Scottish Government","Outside London","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Forestry","Scottish Government","Outside London","170","160","35890","31060"
"In post","2022","Declared non-disabled","Scottish Government (excl. agencies)","Scottish Government","London","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Government (excl. agencies)","Scottish Government","Outside London","4955","4760","45140","40810"
"In post","2022","Declared non-disabled","Scottish Government (excl. agencies)","Scottish Government","Overseas","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Housing Regulator","Scottish Government","Outside London","30","30","55490","59680"
"In post","2022","Declared non-disabled","Scottish Prison Service","Scottish Government","Outside London","70","70","40750","35000"
"In post","2022","Declared non-disabled","Scottish Public Pensions Agency","Scottish Government","Outside London","130","120","32900","30040"
"In post","2022","Declared non-disabled","Serious Fraud Office","Attorney General's Departments","London","310","305","46660","41080"
"In post","2022","Declared non-disabled","Social Security Scotland","Scottish Government","Outside London","1255","1225","31690","27940"
"In post","2022","Declared non-disabled","Standards and Testing Agency","Department for Education","London","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Standards and Testing Agency","Department for Education","Outside London","60","55","42390","37100"
"In post","2022","Declared non-disabled","Student Awards Agency for Scotland","Scottish Government","Outside London","90","85","34010","31540"
"In post","2022","Declared non-disabled","Submarine Delivery Agency","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Submarine Delivery Agency","Ministry of Defence","Outside London","1380","1350","41130","39110"
"In post","2022","Declared non-disabled","Submarine Delivery Agency","Ministry of Defence","Overseas","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Teaching Regulation Agency","Department for Education","Outside London","45","40","34640","29730"
"In post","2022","Declared non-disabled","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","200","190","41670","38510"
"In post","2022","Declared non-disabled","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","845","795","32940","32060"
"In post","2022","Declared non-disabled","The National Archives","The National Archives","London","360","345","36680","34390"
"In post","2022","Declared non-disabled","The National Archives","The National Archives","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Transport Scotland","Scottish Government","Outside London","275","270","46550","43000"
"In post","2022","Declared non-disabled","UK Debt Management Office","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","UK Export Finance","London","405","400","53160","49000"
"In post","2022","Declared non-disabled","UK Export Finance","UK Export Finance","Outside London","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","UK Health Security Agency","Department of Health and Social Care","London","1460","1365","43190","39690"
"In post","2022","Declared non-disabled","UK Health Security Agency","Department of Health and Social Care","Outside London","2240","2050","37720","32310"
"In post","2022","Declared non-disabled","UK Health Security Agency","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Hydrographic Office","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Hydrographic Office","Ministry of Defence","Outside London","530","505","35700","33290"
"In post","2022","Declared non-disabled","UK Hydrographic Office","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","55","55","47050","40050"
"In post","2022","Declared non-disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","70","70","46080","49080"
"In post","2022","Declared non-disabled","UK Statistics Authority","UK Statistics Authority","London","145","145","48070","41340"
"In post","2022","Declared non-disabled","UK Statistics Authority","UK Statistics Authority","Outside London","2790","2480","34450","30710"
"In post","2022","Declared non-disabled","UK Supreme Court","UK Supreme Court","London","45","40","38210","31680"
"In post","2022","Declared non-disabled","Valuation Office Agency","HM Revenue and Customs","London","450","425","41950","37820"
"In post","2022","Declared non-disabled","Valuation Office Agency","HM Revenue and Customs","Outside London","2050","1900","35260","31900"
"In post","2022","Declared non-disabled","Vehicle Certification Agency","Department for Transport","Outside London","170","160","35610","34290"
"In post","2022","Declared non-disabled","Vehicle Certification Agency","Department for Transport","Overseas","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","135","130","39950","36670"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Water Services Regulation Authority","London","60","55","66220","63750"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","150","145","49990","45000"
"In post","2022","Declared non-disabled","Welsh Government (excl. agencies)","Welsh Government","London","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Welsh Government (excl. agencies)","Welsh Government","Outside London","5020","4745","42220","38160"
"In post","2022","Declared non-disabled","Welsh Government (excl. agencies)","Welsh Government","Overseas","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Welsh Revenue Authority","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","65","60","34470","30700"
"In post","2022","Undeclared","Accountant in Bankruptcy","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","30","30","31590","30950"
"In post","2022","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2022","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","135","130","31530","29180"
"In post","2022","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","London","180","180","50200","54700"
"In post","2022","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","105","100","34390","33300"
"In post","2022","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","10","10","[c]","[c]"
"In post","2022","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","10","10","[c]","[c]"
"In post","2022","Undeclared","Companies House","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","65","60","31040","26460"
"In post","2022","Undeclared","Competition and Markets Authority","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","70","65","25050","25120"
"In post","2022","Undeclared","Crown Commercial Service","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Commercial Service","Cabinet Office","Outside London","15","15","[c]","[c]"
"In post","2022","Undeclared","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","70","65","45100","41750"
"In post","2022","Undeclared","Crown Prosecution Service","Attorney General's Departments","London","10","10","[c]","[c]"
"In post","2022","Undeclared","Crown Prosecution Service","Attorney General's Departments","Outside London","15","15","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Ministry of Defence","Outside London","175","165","29360","29470"
"In post","2022","Undeclared","Defence Equipment and Support","Ministry of Defence","London","15","15","[c]","[c]"
"In post","2022","Undeclared","Defence Equipment and Support","Ministry of Defence","Outside London","720","695","38670","37400"
"In post","2022","Undeclared","Defence Equipment and Support","Ministry of Defence","Overseas","5","5","[c]","[c]"
"In post","2022","Undeclared","Defence Equipment and Support","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","290","285","49970","53380"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","35","35","43970","37490"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","75","75","46080","51730"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","20","20","[c]","[c]"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Department for Education","London","75","75","51730","53420"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Department for Education","Outside London","180","175","42150","37100"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","100","95","44580","39480"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","195","185","39740","36620"
"In post","2022","Undeclared","Department for International Trade","Department for International Trade","London","60","60","48220","51710"
"In post","2022","Undeclared","Department for International Trade","Department for International Trade","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","105","100","46650","46120"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","55","55","39930","36340"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Department for Transport","London","210","210","48420","44030"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Department for Transport","Outside London","60","60","42070","38650"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","415","395","33660","31060"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","3690","3390","27310","27570"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","25","25","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","10","10","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Disclosure Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","455","410","27560","21840"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Department for Transport","London","25","25","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Department for Transport","Outside London","255","245","29650","26780"
"In post","2022","Undeclared","Education and Skills Funding Agency","Department for Education","London","15","15","[c]","[c]"
"In post","2022","Undeclared","Education and Skills Funding Agency","Department for Education","Outside London","60","60","38530","36500"
"In post","2022","Undeclared","Education Scotland","Scottish Government","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","Estyn","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Foreign, Commonwealth and Development Office","London","5","5","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","35","35","40400","38480"
"In post","2022","Undeclared","FCDO Services","Foreign, Commonwealth and Development Office","Overseas","10","10","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Food Standards Agency","London","65","65","46050","40350"
"In post","2022","Undeclared","Food Standards Agency","Food Standards Agency","Outside London","280","275","36080","33930"
"In post","2022","Undeclared","Food Standards Scotland","Scottish Government","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","165","160","51940","45440"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","35","30","36940","33930"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","85","85","53130","54470"
"In post","2022","Undeclared","Government Internal Audit Agency","HM Treasury","London","25","25","[c]","[c]"
"In post","2022","Undeclared","Government Internal Audit Agency","HM Treasury","Outside London","25","25","[c]","[c]"
"In post","2022","Undeclared","Government Legal Department","Attorney General's Departments","London","115","105","58320","63730"
"In post","2022","Undeclared","Government Legal Department","Attorney General's Departments","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","Government Property Agency","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Property Agency","Cabinet Office","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Department for Work and Pensions","Outside London","165","160","44980","41480"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Ministry of Justice","London","295","280","31300","24310"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Ministry of Justice","Outside London","815","725","25080","20980"
"In post","2022","Undeclared","HM Land Registry","HM Land Registry","London","10","10","[c]","[c]"
"In post","2022","Undeclared","HM Land Registry","HM Land Registry","Outside London","285","250","32870","31740"
"In post","2022","Undeclared","HM Prison and Probation Service","Ministry of Justice","London","835","785","36120","35090"
"In post","2022","Undeclared","HM Prison and Probation Service","Ministry of Justice","Outside London","5870","5360","31110","31650"
"In post","2022","Undeclared","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","485","465","46540","40910"
"In post","2022","Undeclared","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","2660","2450","33070","33080"
"In post","2022","Undeclared","HM Treasury (excl. agencies)","HM Treasury","London","305","300","45570","41900"
"In post","2022","Undeclared","HM Treasury (excl. agencies)","HM Treasury","Outside London","30","30","39320","29520"
"In post","2022","Undeclared","HM Treasury (excl. agencies)","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Home Office","Home Office","London","635","600","40070","35200"
"In post","2022","Undeclared","Home Office","Home Office","Outside London","1020","935","29160","27370"
"In post","2022","Undeclared","Home Office","Home Office","Overseas","10","10","[c]","[c]"
"In post","2022","Undeclared","Institute for Apprenticeships and Technical Education","Department for Education","London","5","5","[c]","[c]"
"In post","2022","Undeclared","Institute for Apprenticeships and Technical Education","Department for Education","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","Legal Aid Agency","Ministry of Justice","London","10","10","[c]","[c]"
"In post","2022","Undeclared","Legal Aid Agency","Ministry of Justice","Outside London","80","75","29340","25120"
"In post","2022","Undeclared","Maritime and Coastguard Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Maritime and Coastguard Agency","Department for Transport","Outside London","70","70","39370","36180"
"In post","2022","Undeclared","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","25","20","[c]","[c]"
"In post","2022","Undeclared","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Outside London","15","15","[c]","[c]"
"In post","2022","Undeclared","Ministry of Defence (excl. agencies)","Ministry of Defence","London","285","280","41730","39420"
"In post","2022","Undeclared","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","2520","2430","31610","28600"
"In post","2022","Undeclared","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","45","45","40610","34390"
"In post","2022","Undeclared","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","20","15","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","London","255","250","47050","42560"
"In post","2022","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","210","205","37720","36050"
"In post","2022","Undeclared","National Infrastructure Commission","HM Treasury","London","10","10","[c]","[c]"
"In post","2022","Undeclared","National Records of Scotland","Scottish Government","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","National Savings and Investments","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","National Savings and Investments","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Northern Ireland Office","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","Office for Budget Responsibility","HM Treasury","London","5","5","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","10","10","[c]","[c]"
"In post","2022","Undeclared","Office of Rail and Road","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Public Guardian","Ministry of Justice","Outside London","90","85","23990","21220"
"In post","2022","Undeclared","Office of the Scottish Charity Regulator","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectorate","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","35","30","44610","41020"
"In post","2022","Undeclared","Registers of Scotland","Scottish Government","Outside London","50","50","36580","37710"
"In post","2022","Undeclared","Rural Payments Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","55","50","29610","25910"
"In post","2022","Undeclared","Scottish Fiscal Commission","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government (excl. agencies)","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government (excl. agencies)","Scottish Government","Outside London","150","145","43490","39660"
"In post","2022","Undeclared","Scottish Government (excl. agencies)","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Housing Regulator","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Prison Service","Scottish Government","Outside London","15","15","[c]","[c]"
"In post","2022","Undeclared","Scottish Public Pensions Agency","Scottish Government","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","Serious Fraud Office","Attorney General's Departments","London","15","15","[c]","[c]"
"In post","2022","Undeclared","Social Security Scotland","Scottish Government","Outside London","45","45","29950","27230"
"In post","2022","Undeclared","Standards and Testing Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Standards and Testing Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Submarine Delivery Agency","Ministry of Defence","Outside London","125","125","43920","41490"
"In post","2022","Undeclared","Submarine Delivery Agency","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Teaching Regulation Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2022","Undeclared","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","30","30","34320","28700"
"In post","2022","Undeclared","The National Archives","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Transport Scotland","Scottish Government","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","UK Export Finance","London","30","30","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Health Security Agency","Department of Health and Social Care","London","25","25","[c]","[c]"
"In post","2022","Undeclared","UK Health Security Agency","Department of Health and Social Care","Outside London","45","40","33920","28590"
"In post","2022","Undeclared","UK Hydrographic Office","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Hydrographic Office","Ministry of Defence","Outside London","55","55","36120","33290"
"In post","2022","Undeclared","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","UK Statistics Authority","London","5","5","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","UK Statistics Authority","Outside London","135","115","30050","26750"
"In post","2022","Undeclared","Valuation Office Agency","HM Revenue and Customs","London","75","70","41650","38000"
"In post","2022","Undeclared","Valuation Office Agency","HM Revenue and Customs","Outside London","230","205","35170","31900"
"In post","2022","Undeclared","Vehicle Certification Agency","Department for Transport","Outside London","15","15","[c]","[c]"
"In post","2022","Undeclared","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","10","10","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Outside London","185","175","42680","40100"
"In post","2022","Unknown","Accountant in Bankruptcy","Scottish Government","Outside London","35","30","32660","30040"
"In post","2022","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","90","85","38930","38670"
"In post","2022","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","320","295","30590","30950"
"In post","2022","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","5","5","[c]","[c]"
"In post","2022","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","190","175","27970","24920"
"In post","2022","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Office","Attorney General's Departments","London","30","30","55230","51900"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","London","2540","2520","46600","34550"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","1290","1265","48550","40520"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","300","295","34890","29250"
"In post","2022","Unknown","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","155","140","37820","35900"
"In post","2022","Unknown","Charity Commission","Charity Commission","London","35","30","43810","37910"
"In post","2022","Unknown","Charity Commission","Charity Commission","Outside London","180","170","30160","29160"
"In post","2022","Unknown","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","260","235","27670","22740"
"In post","2022","Unknown","Competition and Markets Authority","Competition and Markets Authority","London","70","65","73840","74650"
"In post","2022","Unknown","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","55","50","27000","25120"
"In post","2022","Unknown","Crown Commercial Service","Cabinet Office","London","40","35","53020","56160"
"In post","2022","Unknown","Crown Commercial Service","Cabinet Office","Outside London","415","405","38140","38330"
"In post","2022","Unknown","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","50","50","34570","31540"
"In post","2022","Unknown","Crown Prosecution Service","Attorney General's Departments","London","370","355","40040","31560"
"In post","2022","Unknown","Crown Prosecution Service","Attorney General's Departments","Outside London","1115","1065","38440","38000"
"In post","2022","Unknown","Crown Prosecution Service","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Defence Electronics and Components Agency","Ministry of Defence","Outside London","10","10","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Ministry of Defence","London","30","25","[c]","[c]"
"In post","2022","Unknown","Defence Equipment and Support","Ministry of Defence","Outside London","1040","1000","34800","32730"
"In post","2022","Unknown","Defence Equipment and Support","Ministry of Defence","Overseas","10","10","[c]","[c]"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","635","625","46020","40050"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","105","100","41390","36740"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","175","170","46840","51730"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","15","15","[c]","[c]"
"In post","2022","Unknown","Department for Education (excl. agencies)","Department for Education","London","555","545","46340","41120"
"In post","2022","Unknown","Department for Education (excl. agencies)","Department for Education","Outside London","1195","1170","36670","36500"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","450","440","44040","38750"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","415","395","39210","36500"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","Department for International Trade","London","920","915","45420","38800"
