"Status","Year","Organisation","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Animal and Plant Health Agency","Manchester","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Manchester","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Mid Kent","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Mid Kent","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Mid Lancashire","Outside London","Female","70","65","27770","24920"
"In post","2022","Animal and Plant Health Agency","Mid Lancashire","Outside London","Male","30","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North and West Norfolk","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North and West Norfolk","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Yorkshire CC","Outside London","Female","65","60","29050","26360"
"In post","2022","Animal and Plant Health Agency","North Yorkshire CC","Outside London","Male","65","65","34120","30080"
"In post","2022","Animal and Plant Health Agency","Northumberland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Northumberland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Norwich and East Norfolk","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Norwich and East Norfolk","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Nottingham","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Nottingham","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Oxfordshire CC","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Oxfordshire CC","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Perth and Kinross, and Stirling","Outside London","Female","25","25","[c]","[c]"
