"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","30-39","Project Delivery","AA/AO","Heterosexual / straight","40","35","21570","21260"
"In post","2022","30-39","Project Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Project Delivery","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Project Delivery","AA/AO","Unknown","25","20","[c]","[c]"
"In post","2022","30-39","Project Delivery","EO","Heterosexual / straight","405","380","24670","25750"
"In post","2022","30-39","Project Delivery","EO","LGBO","25","25","[c]","[c]"
"In post","2022","30-39","Project Delivery","EO","Undeclared","30","25","[c]","[c]"
"In post","2022","30-39","Project Delivery","EO","Unknown","105","100","25680","26550"
"In post","2022","30-39","Project Delivery","G6/G7","Heterosexual / straight","1140","1115","56000","54700"
"In post","2022","30-39","Project Delivery","G6/G7","LGBO","110","110","56840","54650"
"In post","2022","30-39","Project Delivery","G6/G7","Undeclared","90","85","55300","54540"
"In post","2022","30-39","Project Delivery","G6/G7","Unknown","395","385","54940","53610"
"In post","2022","30-39","Project Delivery","SCS level","Heterosexual / straight","40","40","84860","79960"
"In post","2022","30-39","Project Delivery","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","30-39","Project Delivery","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","30-39","Project Delivery","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Project Delivery","SEO/HEO","Heterosexual / straight","2330","2250","36230","36500"
"In post","2022","30-39","Project Delivery","SEO/HEO","LGBO","160","155","36350","36560"
"In post","2022","30-39","Project Delivery","SEO/HEO","Undeclared","220","215","36610","36520"
"In post","2022","30-39","Project Delivery","SEO/HEO","Unknown","525","510","36400","37930"
"In post","2022","30-39","Project Delivery","Unknown","Heterosexual / straight","295","285","39910","39860"
"In post","2022","30-39","Project Delivery","Unknown","LGBO","15","15","[c]","[c]"
"In post","2022","30-39","Project Delivery","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","30-39","Project Delivery","Unknown","Unknown","35","35","36390","38500"
"In post","2022","30-39","Property","AA/AO","Heterosexual / straight","125","120","21780","22010"
"In post","2022","30-39","Property","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","30-39","Property","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","30-39","Property","AA/AO","Unknown","115","105","23150","22010"
"In post","2022","30-39","Property","EO","Heterosexual / straight","195","185","26180","26350"
"In post","2022","30-39","Property","EO","LGBO","15","15","[c]","[c]"
"In post","2022","30-39","Property","EO","Undeclared","15","10","[c]","[c]"
"In post","2022","30-39","Property","EO","Unknown","80","80","27000","26520"
"In post","2022","30-39","Property","G6/G7","Heterosexual / straight","200","195","56150","54540"
"In post","2022","30-39","Property","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","30-39","Property","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2022","30-39","Property","G6/G7","Unknown","40","40","59290","57440"
"In post","2022","30-39","Property","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Property","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Property","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Property","SEO/HEO","Heterosexual / straight","495","480","36740","36050"
"In post","2022","30-39","Property","SEO/HEO","LGBO","30","30","36400","35030"
"In post","2022","30-39","Property","SEO/HEO","Undeclared","50","50","37080","36450"
"In post","2022","30-39","Property","SEO/HEO","Unknown","130","125","38050","38060"
"In post","2022","30-39","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Security","AA/AO","Heterosexual / straight","650","645","28280","25680"
"In post","2022","30-39","Security","AA/AO","LGBO","55","55","28640","26750"
"In post","2022","30-39","Security","AA/AO","Undeclared","60","60","30240","27750"
"In post","2022","30-39","Security","AA/AO","Unknown","270","270","29420","27210"
"In post","2022","30-39","Security","EO","Heterosexual / straight","175","170","31900","28990"
"In post","2022","30-39","Security","EO","LGBO","20","20","[c]","[c]"
"In post","2022","30-39","Security","EO","Undeclared","25","25","[c]","[c]"
"In post","2022","30-39","Security","EO","Unknown","45","45","30850","26670"
"In post","2022","30-39","Security","G6/G7","Heterosexual / straight","105","105","57880","57400"
"In post","2022","30-39","Security","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","30-39","Security","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2022","30-39","Security","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2022","30-39","Security","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Security","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Security","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Security","SEO/HEO","Heterosexual / straight","400","395","37750","36920"
"In post","2022","30-39","Security","SEO/HEO","LGBO","40","40","37080","36190"
"In post","2022","30-39","Security","SEO/HEO","Undeclared","60","60","39320","37640"
"In post","2022","30-39","Security","SEO/HEO","Unknown","90","90","37570","36840"
"In post","2022","30-39","Security","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","30-39","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Security","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","AA/AO","Heterosexual / straight","2340","2120","22180","21680"
"In post","2022","30-39","Unknown","AA/AO","LGBO","125","120","22050","21680"
"In post","2022","30-39","Unknown","AA/AO","Undeclared","195","175","22360","21680"
"In post","2022","30-39","Unknown","AA/AO","Unknown","560","530","22720","21680"
"In post","2022","30-39","Unknown","EO","Heterosexual / straight","3800","3580","26800","26000"
"In post","2022","30-39","Unknown","EO","LGBO","250","245","26520","25980"
"In post","2022","30-39","Unknown","EO","Undeclared","310","295","26760","25980"
"In post","2022","30-39","Unknown","EO","Unknown","835","815","27050","27230"
"In post","2022","30-39","Unknown","G6/G7","Heterosexual / straight","1720","1665","59950","57680"
"In post","2022","30-39","Unknown","G6/G7","LGBO","155","155","58810","57430"
"In post","2022","30-39","Unknown","G6/G7","Undeclared","205","200","59880","57680"
"In post","2022","30-39","Unknown","G6/G7","Unknown","430","415","59780","57430"
"In post","2022","30-39","Unknown","SCS level","Heterosexual / straight","70","70","79110","76410"
"In post","2022","30-39","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","30-39","Unknown","SCS level","Unknown","15","15","[c]","[c]"
"In post","2022","30-39","Unknown","SEO/HEO","Heterosexual / straight","4410","4270","37440","37450"
"In post","2022","30-39","Unknown","SEO/HEO","LGBO","350","345","37240","37450"
"In post","2022","30-39","Unknown","SEO/HEO","Undeclared","395","385","37890","37660"
"In post","2022","30-39","Unknown","SEO/HEO","Unknown","865","845","38170","38580"
"In post","2022","30-39","Unknown","Unknown","Heterosexual / straight","50","50","[c]","[c]"
"In post","2022","30-39","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","30-39","Unknown","Unknown","Unknown","395","395","37300","34460"
"In post","2022","40-49","Analysis","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","40-49","Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Analysis","EO","Heterosexual / straight","65","65","26260","25460"
"In post","2022","40-49","Analysis","EO","LGBO","5","5","[c]","[c]"
"In post","2022","40-49","Analysis","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","40-49","Analysis","EO","Unknown","40","35","25810","25010"
"In post","2022","40-49","Analysis","G6/G7","Heterosexual / straight","550","510","62220","60140"
"In post","2022","40-49","Analysis","G6/G7","LGBO","40","35","59410","59100"
"In post","2022","40-49","Analysis","G6/G7","Undeclared","65","60","62680","60010"
"In post","2022","40-49","Analysis","G6/G7","Unknown","160","150","55440","53210"
"In post","2022","40-49","Analysis","SCS level","Heterosexual / straight","55","55","85450","79900"
"In post","2022","40-49","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Analysis","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","40-49","Analysis","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","40-49","Analysis","SEO/HEO","Heterosexual / straight","420","390","37990","38250"
"In post","2022","40-49","Analysis","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2022","40-49","Analysis","SEO/HEO","Undeclared","50","50","39230","39840"
"In post","2022","40-49","Analysis","SEO/HEO","Unknown","160","150","36900","37960"
"In post","2022","40-49","Commercial","AA/AO","Heterosexual / straight","30","30","22450","21380"
"In post","2022","40-49","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Commercial","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","40-49","Commercial","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","40-49","Commercial","EO","Heterosexual / straight","90","85","26860","26350"
"In post","2022","40-49","Commercial","EO","LGBO","5","5","[c]","[c]"
"In post","2022","40-49","Commercial","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","40-49","Commercial","EO","Unknown","10","10","[c]","[c]"
"In post","2022","40-49","Commercial","G6/G7","Heterosexual / straight","295","290","58530","56630"
"In post","2022","40-49","Commercial","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","40-49","Commercial","G6/G7","Undeclared","40","35","58230","55730"
"In post","2022","40-49","Commercial","G6/G7","Unknown","415","410","65010","64500"
"In post","2022","40-49","Commercial","SCS level","Heterosexual / straight","60","55","105030","95800"
"In post","2022","40-49","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Commercial","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","40-49","Commercial","SCS level","Unknown","65","65","114630","114950"
"In post","2022","40-49","Commercial","SEO/HEO","Heterosexual / straight","450","435","37360","37590"
"In post","2022","40-49","Commercial","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","40-49","Commercial","SEO/HEO","Undeclared","70","65","37940","38820"
"In post","2022","40-49","Commercial","SEO/HEO","Unknown","90","85","38770","39360"
"In post","2022","40-49","Commercial","Unknown","Heterosexual / straight","30","30","41520","41170"
"In post","2022","40-49","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Communications","AA/AO","Heterosexual / straight","65","60","21720","21250"
"In post","2022","40-49","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Communications","AA/AO","Undeclared","10","5","[c]","[c]"
"In post","2022","40-49","Communications","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","40-49","Communications","EO","Heterosexual / straight","325","310","27000","26820"
"In post","2022","40-49","Communications","EO","LGBO","15","15","[c]","[c]"
"In post","2022","40-49","Communications","EO","Undeclared","35","35","27260","26820"
"In post","2022","40-49","Communications","EO","Unknown","185","175","26930","26820"
"In post","2022","40-49","Communications","G6/G7","Heterosexual / straight","290","280","58320","55470"
"In post","2022","40-49","Communications","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2022","40-49","Communications","G6/G7","Undeclared","35","30","58280","57090"
"In post","2022","40-49","Communications","G6/G7","Unknown","70","65","59250","56120"
"In post","2022","40-49","Communications","SCS level","Heterosexual / straight","40","40","91680","85810"
"In post","2022","40-49","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Communications","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","40-49","Communications","SCS level","Unknown","15","15","[c]","[c]"
"In post","2022","40-49","Communications","SEO/HEO","Heterosexual / straight","510","490","37490","36970"
"In post","2022","40-49","Communications","SEO/HEO","LGBO","30","30","38940","37710"
"In post","2022","40-49","Communications","SEO/HEO","Undeclared","40","40","36510","33910"
"In post","2022","40-49","Communications","SEO/HEO","Unknown","180","175","36600","33370"
"In post","2022","40-49","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Counter Fraud","AA/AO","Heterosexual / straight","315","275","22270","21260"
"In post","2022","40-49","Counter Fraud","AA/AO","LGBO","20","15","[c]","[c]"
"In post","2022","40-49","Counter Fraud","AA/AO","Undeclared","60","50","22290","22030"
"In post","2022","40-49","Counter Fraud","AA/AO","Unknown","145","120","22270","21260"
"In post","2022","40-49","Counter Fraud","EO","Heterosexual / straight","905","845","28010","27570"
"In post","2022","40-49","Counter Fraud","EO","LGBO","50","50","27760","27570"
"In post","2022","40-49","Counter Fraud","EO","Undeclared","120","115","28020","27570"
"In post","2022","40-49","Counter Fraud","EO","Unknown","360","340","28260","27570"
"In post","2022","40-49","Counter Fraud","G6/G7","Heterosexual / straight","240","230","59270","55210"
"In post","2022","40-49","Counter Fraud","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","40-49","Counter Fraud","G6/G7","Undeclared","40","40","59460","55410"
"In post","2022","40-49","Counter Fraud","G6/G7","Unknown","50","50","58680","55310"
"In post","2022","40-49","Counter Fraud","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","40-49","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Counter Fraud","SEO/HEO","Heterosexual / straight","940","910","36120","33680"
"In post","2022","40-49","Counter Fraud","SEO/HEO","LGBO","40","40","36270","33650"
"In post","2022","40-49","Counter Fraud","SEO/HEO","Undeclared","140","140","36410","33680"
"In post","2022","40-49","Counter Fraud","SEO/HEO","Unknown","315","310","36210","33720"
"In post","2022","40-49","Debt","AA/AO","Heterosexual / straight","580","495","21490","21260"
"In post","2022","40-49","Debt","AA/AO","LGBO","30","25","[c]","[c]"
"In post","2022","40-49","Debt","AA/AO","Undeclared","75","65","21580","21260"
"In post","2022","40-49","Debt","AA/AO","Unknown","260","225","21660","21250"
"In post","2022","40-49","Debt","EO","Heterosexual / straight","165","150","27420","27570"
"In post","2022","40-49","Debt","EO","LGBO","15","15","[c]","[c]"
"In post","2022","40-49","Debt","EO","Undeclared","20","20","[c]","[c]"
"In post","2022","40-49","Debt","EO","Unknown","70","65","28120","26820"
"In post","2022","40-49","Debt","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","40-49","Debt","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Debt","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Debt","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Debt","SEO/HEO","Heterosexual / straight","60","60","34590","33370"
"In post","2022","40-49","Debt","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Debt","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Debt","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","AA/AO","Heterosexual / straight","105","100","22050","21380"
"In post","2022","40-49","Digital, Data & Technology","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","EO","Heterosexual / straight","540","520","27700","27190"
"In post","2022","40-49","Digital, Data & Technology","EO","LGBO","25","25","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","EO","Undeclared","90","90","28270","27420"
"In post","2022","40-49","Digital, Data & Technology","EO","Unknown","140","135","27940","27570"
"In post","2022","40-49","Digital, Data & Technology","G6/G7","Heterosexual / straight","1460","1435","58260","56190"
"In post","2022","40-49","Digital, Data & Technology","G6/G7","LGBO","75","75","58540","57280"
"In post","2022","40-49","Digital, Data & Technology","G6/G7","Undeclared","180","175","57410","55170"
"In post","2022","40-49","Digital, Data & Technology","G6/G7","Unknown","350","345","58880","56120"
"In post","2022","40-49","Digital, Data & Technology","SCS level","Heterosexual / straight","105","105","94820","90680"
"In post","2022","40-49","Digital, Data & Technology","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","SCS level","Unknown","20","20","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","SEO/HEO","Heterosexual / straight","1870","1825","38030","38000"
"In post","2022","40-49","Digital, Data & Technology","SEO/HEO","LGBO","90","85","37160","36500"
"In post","2022","40-49","Digital, Data & Technology","SEO/HEO","Undeclared","330","320","38030","38450"
"In post","2022","40-49","Digital, Data & Technology","SEO/HEO","Unknown","515","505","38140","37710"
"In post","2022","40-49","Digital, Data & Technology","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","AA/AO","Heterosexual / straight","170","150","21710","21260"
"In post","2022","40-49","Finance","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","40-49","Finance","AA/AO","Undeclared","30","25","[c]","[c]"
"In post","2022","40-49","Finance","AA/AO","Unknown","95","80","22090","21250"
"In post","2022","40-49","Finance","EO","Heterosexual / straight","305","285","27210","26820"
"In post","2022","40-49","Finance","EO","LGBO","10","10","[c]","[c]"
"In post","2022","40-49","Finance","EO","Undeclared","40","40","26980","26820"
"In post","2022","40-49","Finance","EO","Unknown","70","65","27170","26820"
"In post","2022","40-49","Finance","G6/G7","Heterosexual / straight","640","625","58280","56620"
"In post","2022","40-49","Finance","G6/G7","LGBO","30","30","59320","59810"
"In post","2022","40-49","Finance","G6/G7","Undeclared","75","75","59130","56250"
"In post","2022","40-49","Finance","G6/G7","Unknown","130","125","59880","56750"
"In post","2022","40-49","Finance","SCS level","Heterosexual / straight","95","95","84170","78010"
"In post","2022","40-49","Finance","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","40-49","Finance","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","40-49","Finance","SCS level","Unknown","15","15","[c]","[c]"
"In post","2022","40-49","Finance","SEO/HEO","Heterosexual / straight","1025","985","37250","36650"
"In post","2022","40-49","Finance","SEO/HEO","LGBO","40","40","36840","36500"
"In post","2022","40-49","Finance","SEO/HEO","Undeclared","115","115","37320","36240"
"In post","2022","40-49","Finance","SEO/HEO","Unknown","225","220","37620","36910"
"In post","2022","40-49","Finance","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","AA/AO","Heterosexual / straight","140","120","21300","21300"
"In post","2022","40-49","Grants Management","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","40-49","Grants Management","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","40-49","Grants Management","AA/AO","Unknown","190","170","21300","21300"
"In post","2022","40-49","Grants Management","EO","Heterosexual / straight","95","85","25540","25320"
"In post","2022","40-49","Grants Management","EO","LGBO","5","5","[c]","[c]"
"In post","2022","40-49","Grants Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","EO","Unknown","80","70","25360","25190"
"In post","2022","40-49","Grants Management","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","40-49","Grants Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2022","40-49","Grants Management","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","SEO/HEO","Heterosexual / straight","90","85","32860","31060"
"In post","2022","40-49","Grants Management","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","SEO/HEO","Unknown","40","40","32420","31040"
"In post","2022","40-49","Human Resources","AA/AO","Heterosexual / straight","220","190","21870","21380"
"In post","2022","40-49","Human Resources","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","AA/AO","Undeclared","35","35","21680","21380"
"In post","2022","40-49","Human Resources","AA/AO","Unknown","40","35","22040","21380"
"In post","2022","40-49","Human Resources","EO","Heterosexual / straight","385","360","27270","27570"
"In post","2022","40-49","Human Resources","EO","LGBO","20","20","[c]","[c]"
"In post","2022","40-49","Human Resources","EO","Undeclared","40","40","27720","27420"
"In post","2022","40-49","Human Resources","EO","Unknown","95","90","27920","27130"
"In post","2022","40-49","Human Resources","G6/G7","Heterosexual / straight","605","580","57310","55430"
"In post","2022","40-49","Human Resources","G6/G7","LGBO","40","40","58490","58530"
"In post","2022","40-49","Human Resources","G6/G7","Undeclared","30","30","57750","55210"
"In post","2022","40-49","Human Resources","G6/G7","Unknown","65","65","56110","55210"
"In post","2022","40-49","Human Resources","SCS level","Heterosexual / straight","95","95","86610","78010"
"In post","2022","40-49","Human Resources","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","SEO/HEO","Heterosexual / straight","965","925","36900","36650"
"In post","2022","40-49","Human Resources","SEO/HEO","LGBO","50","50","35960","34060"
"In post","2022","40-49","Human Resources","SEO/HEO","Undeclared","70","70","36490","36690"
"In post","2022","40-49","Human Resources","SEO/HEO","Unknown","130","125","35720","34260"
"In post","2022","40-49","Human Resources","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","40-49","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","G6/G7","Heterosexual / straight","50","50","58670","57210"
"In post","2022","40-49","Internal Audit","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","40-49","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","SEO/HEO","Heterosexual / straight","85","85","41320","42000"
"In post","2022","40-49","Internal Audit","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","40-49","Internal Audit","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","40-49","Internal Audit","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","40-49","Legal","AA/AO","Heterosexual / straight","210","185","22800","22200"
"In post","2022","40-49","Legal","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","40-49","Legal","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","40-49","Legal","AA/AO","Unknown","85","75","22930","22200"
"In post","2022","40-49","Legal","EO","Heterosexual / straight","260","240","27950","27870"
"In post","2022","40-49","Legal","EO","LGBO","15","15","[c]","[c]"
"In post","2022","40-49","Legal","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","40-49","Legal","EO","Unknown","110","100","28310","28430"
"In post","2022","40-49","Legal","G6/G7","Heterosexual / straight","1350","1235","59100","58040"
"In post","2022","40-49","Legal","G6/G7","LGBO","60","60","60960","59200"
"In post","2022","40-49","Legal","G6/G7","Undeclared","110","100","62990","64510"
"In post","2022","40-49","Legal","G6/G7","Unknown","475","420","60770","60250"
"In post","2022","40-49","Legal","SCS level","Heterosexual / straight","110","105","83600","80290"
"In post","2022","40-49","Legal","SCS level","LGBO","15","15","[c]","[c]"
"In post","2022","40-49","Legal","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","40-49","Legal","SCS level","Unknown","35","35","86890","79760"
"In post","2022","40-49","Legal","SEO/HEO","Heterosexual / straight","345","330","39820","38180"
"In post","2022","40-49","Legal","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2022","40-49","Legal","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","40-49","Legal","SEO/HEO","Unknown","100","90","39910","38000"
"In post","2022","40-49","No function","AA/AO","Heterosexual / straight","11070","9895","23130","21260"
"In post","2022","40-49","No function","AA/AO","LGBO","595","565","23360","21260"
"In post","2022","40-49","No function","AA/AO","Undeclared","1575","1400","22770","21300"
"In post","2022","40-49","No function","AA/AO","Unknown","4585","4005","22850","21260"
"In post","2022","40-49","No function","EO","Heterosexual / straight","11300","10510","28250","27570"
"In post","2022","40-49","No function","EO","LGBO","655","635","28300","27570"
"In post","2022","40-49","No function","EO","Undeclared","1270","1190","28190","27570"
"In post","2022","40-49","No function","EO","Unknown","3440","3095","28440","27570"
"In post","2022","40-49","No function","G6/G7","Heterosexual / straight","4685","4505","59090","57110"
"In post","2022","40-49","No function","G6/G7","LGBO","345","340","59900","57510"
"In post","2022","40-49","No function","G6/G7","Undeclared","655","635","58970","55970"
"In post","2022","40-49","No function","G6/G7","Unknown","1285","1245","56940","55210"
"In post","2022","40-49","No function","SCS level","Heterosexual / straight","995","950","86590","79050"
"In post","2022","40-49","No function","SCS level","LGBO","90","90","88580","80900"
"In post","2022","40-49","No function","SCS level","Undeclared","80","80","86030","81100"
