"Status","Year","Age","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Legal","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Legal","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Operational Delivery","G7","25","25","51400","49960"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Operational Delivery","SEO","10","10","37030","36570"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Communications","G7","5","5","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Digital, Data and Technology","G7","15","15","63420","64520"
"In post","2022","40-49","Intellectual Property Office","Digital, Data and Technology","HEO","10","10","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Digital, Data and Technology","SEO","35","35","46660","47950"
"In post","2022","40-49","Intellectual Property Office","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Human Resources","G7","5","5","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Internal Audit","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","International Trade","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Legal","G7","5","5","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Legal","SEO","5","5","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Operational Delivery","AO","45","40","21600","21810"
"In post","2022","40-49","Intellectual Property Office","Operational Delivery","EO","75","65","25460","24030"
"In post","2022","40-49","Intellectual Property Office","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Operational Delivery","HEO","25","25","30830","30770"
"In post","2022","40-49","Intellectual Property Office","Operational Delivery","SCS level","5","5","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Operational Delivery","SEO","10","10","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Other","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Policy","G6","5","5","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Policy","G7","10","10","59470","59760"
"In post","2022","40-49","Intellectual Property Office","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Policy","SEO","10","10","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Science and Engineering","EO","10","10","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Science and Engineering","G6","15","15","68050","68370"
"In post","2022","40-49","Intellectual Property Office","Science and Engineering","G7","70","65","60500","60790"
"In post","2022","40-49","Intellectual Property Office","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Science and Engineering","SEO","20","20","42470","42070"
"In post","2022","40-49","Intellectual Property Office","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Intellectual Property Office","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Legal","G7","5","5","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Legal","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Operational Delivery","AA","5","5","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Operational Delivery","AO","80","75","21090","20970"
"In post","2022","40-49","Legal Aid Agency","Operational Delivery","EO","85","80","25860","25120"
"In post","2022","40-49","Legal Aid Agency","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Operational Delivery","G7","20","20","56320","54850"
"In post","2022","40-49","Legal Aid Agency","Operational Delivery","HEO","45","40","32290","32140"
"In post","2022","40-49","Legal Aid Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Operational Delivery","SEO","55","50","40190","41100"
"In post","2022","40-49","Legal Aid Agency","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Policy","SEO","5","5","[c]","[c]"
"In post","2022","40-49","Legal Aid Agency","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Digital, Data and Technology","HEO","10","10","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Digital, Data and Technology","SEO","5","5","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Human Resources","HEO","5","5","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Internal Audit","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Legal","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Operational Delivery","AO","55","50","25190","26840"
"In post","2022","40-49","Maritime and Coastguard Agency","Operational Delivery","EO","35","35","30680","31580"
"In post","2022","40-49","Maritime and Coastguard Agency","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Operational Delivery","G7","20","20","63950","67880"
"In post","2022","40-49","Maritime and Coastguard Agency","Operational Delivery","HEO","45","45","36080","36040"
"In post","2022","40-49","Maritime and Coastguard Agency","Operational Delivery","SEO","45","45","48900","45790"
"In post","2022","40-49","Maritime and Coastguard Agency","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Policy","G6","5","5","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Policy","G7","15","15","52330","49360"
"In post","2022","40-49","Maritime and Coastguard Agency","Policy","HEO","10","10","32600","31860"
"In post","2022","40-49","Maritime and Coastguard Agency","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Policy","SEO","15","15","40650","40080"
"In post","2022","40-49","Maritime and Coastguard Agency","Property","AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Maritime and Coastguard Agency","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Communications","SEO","5","5","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","G7","10","10","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","SEO","5","5","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Finance","G7","5","5","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Medicine","AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Medicine","G6","20","20","67910","67080"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Medicine","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Medicine","SCS level","20","20","82100","82210"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Medicine","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","G7","15","15","54640","53830"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","HEO","10","10","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","SEO","5","5","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Other","G6","10","10","65000","65920"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Other","G7","20","20","53120","53830"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Other","HEO","5","5","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Other","SCS level","10","10","85060","81790"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Other","SEO","10","10","40810","40850"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","G6","20","20","67020","66850"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","G7","30","25","54290","53860"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","HEO","15","15","33900","33480"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","SCS level","5","5","[c]","[c]"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","SEO","30","30","42250","41020"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Commercial","G6","15","15","60230","60490"
"In post","2022","40-49","Met Office","Commercial","G7","30","25","48010","47960"
"In post","2022","40-49","Met Office","Commercial","HEO","10","5","[c]","[c]"
"In post","2022","40-49","Met Office","Commercial","SEO","10","10","38280","38120"
"In post","2022","40-49","Met Office","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Communications","SEO","5","5","[c]","[c]"
"In post","2022","40-49","Met Office","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Digital, Data and Technology","EO","15","15","26900","27530"
"In post","2022","40-49","Met Office","Digital, Data and Technology","G6","5","5","[c]","[c]"
"In post","2022","40-49","Met Office","Digital, Data and Technology","G7","20","20","53490","53100"
"In post","2022","40-49","Met Office","Digital, Data and Technology","HEO","25","25","35060","36160"
"In post","2022","40-49","Met Office","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Digital, Data and Technology","SEO","25","25","43050","43420"
"In post","2022","40-49","Met Office","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Human Resources","G7","10","10","[c]","[c]"
"In post","2022","40-49","Met Office","Human Resources","HEO","10","10","32610","32780"
"In post","2022","40-49","Met Office","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Operational Delivery","G6","5","5","[c]","[c]"
"In post","2022","40-49","Met Office","Operational Delivery","G7","15","15","48370","47960"
"In post","2022","40-49","Met Office","Operational Delivery","HEO","10","10","34750","35530"
"In post","2022","40-49","Met Office","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Operational Delivery","SEO","15","15","41100","39650"
"In post","2022","40-49","Met Office","Other","EO","5","5","[c]","[c]"
"In post","2022","40-49","Met Office","Other","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Other","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Project Delivery","G6","5","5","[c]","[c]"
"In post","2022","40-49","Met Office","Project Delivery","G7","30","25","47460","47960"
"In post","2022","40-49","Met Office","Project Delivery","HEO","5","5","[c]","[c]"
"In post","2022","40-49","Met Office","Project Delivery","SEO","20","15","39710","39650"
"In post","2022","40-49","Met Office","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Property","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Met Office","Science and Engineering","G6","20","15","59930","60490"
"In post","2022","40-49","Met Office","Science and Engineering","G7","60","55","47950","47960"
"In post","2022","40-49","Met Office","Science and Engineering","HEO","30","25","33070","32730"
"In post","2022","40-49","Met Office","Science and Engineering","SEO","130","120","40020","39650"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Commercial","AO","10","5","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Commercial","EO","40","35","26930","26350"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Commercial","G7","15","15","54610","54540"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Commercial","HEO","55","55","34260","33300"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Commercial","SEO","65","60","41980","41500"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Communications","AO","15","15","21640","21370"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Communications","EO","35","30","27350","26670"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Communications","G7","10","10","57110","55420"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Communications","HEO","35","35","34280","33300"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Communications","SEO","20","20","41630","40580"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Digital, Data and Technology","AO","45","45","21740","21170"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Digital, Data and Technology","EO","120","120","27760","26670"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Digital, Data and Technology","G6","15","15","66220","63860"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Digital, Data and Technology","G7","35","35","55950","54540"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Digital, Data and Technology","HEO","140","140","34110","33300"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Digital, Data and Technology","SCS level","5","5","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Digital, Data and Technology","SEO","90","90","41690","40580"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Finance","AO","65","60","21490","21170"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Finance","EO","230","220","27060","26670"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Finance","G6","30","30","67700","67220"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Finance","G7","70","70","56630","56500"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Finance","HEO","245","240","34080","33300"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Finance","SCS level","20","20","85790","81510"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Finance","SEO","155","155","43190","40580"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Finance","Unknown","5","5","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Geography","AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Geography","G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Geography","HEO","5","5","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Geography","SEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Human Resources","AA","5","5","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Human Resources","AO","135","120","21510","21380"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Human Resources","EO","55","55","26940","26670"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Human Resources","G6","20","15","67440","68500"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Human Resources","G7","30","30","56780","56140"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Human Resources","HEO","80","75","34490","33300"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Human Resources","SCS level","15","15","92290","76540"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Human Resources","SEO","50","50","42890","42500"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Intelligence Analysis","EO","30","30","28420","28950"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Intelligence Analysis","G6","5","5","[c]","[c]"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Intelligence Analysis","G7","15","10","57010","56730"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Intelligence Analysis","HEO","40","40","34400","33300"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
