"Status","Year","Disability","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","London","AA/AO","AA","115","[c]","20220","20600"
"Leaver CS","2022","Unknown","London","AA/AO","AO","460","[c]","23360","23720"
"Leaver CS","2022","Unknown","London","EO","EO","595","[c]","28770","28650"
"Leaver CS","2022","Unknown","London","G6/G7","G6","180","[c]","69070","67140"
"Leaver CS","2022","Unknown","London","G6/G7","G7","415","[c]","55870","54270"
"Leaver CS","2022","Unknown","London","SCS level","SCS level","125","[c]","102030","92500"
"Leaver CS","2022","Unknown","London","SEO/HEO","HEO","580","[c]","33740","33520"
"Leaver CS","2022","Unknown","London","SEO/HEO","SEO","345","[c]","41820","41350"
"Leaver CS","2022","Unknown","London","Unknown","Unknown","110","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Outside London","AA/AO","AA","680","[c]","20330","19810"
"Leaver CS","2022","Unknown","Outside London","AA/AO","AO","3245","[c]","22450","21260"
"Leaver CS","2022","Unknown","Outside London","EO","EO","1580","[c]","27430","27570"
"Leaver CS","2022","Unknown","Outside London","G6/G7","G6","145","[c]","73790","72240"
"Leaver CS","2022","Unknown","Outside London","G6/G7","G7","345","[c]","54620","54100"
"Leaver CS","2022","Unknown","Outside London","SCS level","SCS level","60","[c]","109960","107170"
"Leaver CS","2022","Unknown","Outside London","SEO/HEO","HEO","660","[c]","33780","33000"
"Leaver CS","2022","Unknown","Outside London","SEO/HEO","SEO","505","[c]","41600","40560"
"Leaver CS","2022","Unknown","Outside London","Unknown","Unknown","370","[c]","36070","32100"
"Leaver CS","2022","Unknown","Overseas","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Overseas","SEO/HEO","HEO","35","[c]","40840","40860"
"Leaver CS","2022","Unknown","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
