"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Mixed","East Midlands (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","East Midlands (England)","SEO/HEO","HEO","45","45","33040","33080"
"In post","2022","Mixed","East Midlands (England)","SEO/HEO","SEO","35","35","41160","40180"
"In post","2022","Mixed","East Midlands (England)","Unknown","Unknown","40","40","29060","24800"
"In post","2022","Mixed","East of England","AA/AO","AA","20","20","[c]","[c]"
"In post","2022","Mixed","East of England","AA/AO","AO","115","105","25350","24250"
"In post","2022","Mixed","East of England","EO","EO","135","130","28340","27570"
"In post","2022","Mixed","East of England","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","East of England","G6/G7","G7","30","25","[c]","[c]"
"In post","2022","Mixed","East of England","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","East of England","SEO/HEO","HEO","55","55","34340","33400"
"In post","2022","Mixed","East of England","SEO/HEO","SEO","30","30","41650","40450"
"In post","2022","Mixed","East of England","Unknown","Unknown","50","50","29860","30210"
"In post","2022","Mixed","London","AA/AO","AA","40","35","23480","22460"
"In post","2022","Mixed","London","AA/AO","AO","370","350","26490","25110"
"In post","2022","Mixed","London","EO","EO","765","730","29950","30500"
"In post","2022","Mixed","London","G6/G7","G6","235","230","67750","66240"
"In post","2022","Mixed","London","G6/G7","G7","690","670","56210","54760"
"In post","2022","Mixed","London","SCS level","SCS level","105","100","85320","79390"
"In post","2022","Mixed","London","SEO/HEO","HEO","780","765","35480","34970"
"In post","2022","Mixed","London","SEO/HEO","SEO","485","475","42910","41970"
"In post","2022","Mixed","London","Unknown","Unknown","130","125","33860","33700"
"In post","2022","Mixed","North East (England)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","North East (England)","AA/AO","AO","100","90","22540","21260"
"In post","2022","Mixed","North East (England)","EO","EO","55","55","27330","27570"
"In post","2022","Mixed","North East (England)","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","North East (England)","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Mixed","North East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","North East (England)","SEO/HEO","HEO","50","50","32170","33080"
"In post","2022","Mixed","North East (England)","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Mixed","North East (England)","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Mixed","North West (England)","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Mixed","North West (England)","AA/AO","AO","275","250","21920","21260"
"In post","2022","Mixed","North West (England)","EO","EO","260","245","26750","26820"
"In post","2022","Mixed","North West (England)","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Mixed","North West (England)","G6/G7","G7","65","65","53390","53430"
"In post","2022","Mixed","North West (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","North West (England)","SEO/HEO","HEO","120","115","32730","33000"
"In post","2022","Mixed","North West (England)","SEO/HEO","SEO","65","65","40260","40180"
"In post","2022","Mixed","North West (England)","Unknown","Unknown","75","70","29210","28200"
"In post","2022","Mixed","Northern Ireland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland","EO","EO","10","10","[c]","[c]"
"In post","2022","Mixed","Northern Ireland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Mixed","Northern Ireland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Northern Ireland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","EO","EO","10","10","[c]","[c]"
"In post","2022","Mixed","Overseas","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Mixed","Overseas","G6/G7","G7","30","30","[c]","[c]"
"In post","2022","Mixed","Overseas","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Mixed","Overseas","SEO/HEO","HEO","30","30","34070","33260"
"In post","2022","Mixed","Overseas","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Mixed","Overseas","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","Scotland","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Mixed","Scotland","AA/AO","AO","65","65","22670","21260"
"In post","2022","Mixed","Scotland","EO","EO","85","85","27510","27230"
"In post","2022","Mixed","Scotland","G6/G7","G6","15","10","[c]","[c]"
"In post","2022","Mixed","Scotland","G6/G7","G7","30","30","58080","57190"
"In post","2022","Mixed","Scotland","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Mixed","Scotland","SEO/HEO","HEO","60","55","33830","33370"
"In post","2022","Mixed","Scotland","SEO/HEO","SEO","40","40","44780","41190"
"In post","2022","Mixed","Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","South East (England)","AA/AO","AA","35","30","21540","20890"
"In post","2022","Mixed","South East (England)","AA/AO","AO","210","200","25490","24250"
"In post","2022","Mixed","South East (England)","EO","EO","225","215","28400","27570"
"In post","2022","Mixed","South East (England)","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Mixed","South East (England)","G6/G7","G7","35","35","56260","54540"
"In post","2022","Mixed","South East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","South East (England)","SEO/HEO","HEO","110","105","34130","33300"
"In post","2022","Mixed","South East (England)","SEO/HEO","SEO","70","70","42270","40430"
"In post","2022","Mixed","South East (England)","Unknown","Unknown","55","55","29480","24800"
"In post","2022","Mixed","South West (England)","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","Mixed","South West (England)","AA/AO","AO","105","95","23010","21260"
"In post","2022","Mixed","South West (England)","EO","EO","135","130","27020","27570"
"In post","2022","Mixed","South West (England)","G6/G7","G6","20","15","[c]","[c]"
"In post","2022","Mixed","South West (England)","G6/G7","G7","70","70","52690","49940"
"In post","2022","Mixed","South West (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","South West (England)","SEO/HEO","HEO","155","145","31310","31600"
"In post","2022","Mixed","South West (England)","SEO/HEO","SEO","120","115","40450","40000"
"In post","2022","Mixed","South West (England)","Unknown","Unknown","45","45","29580","29330"
