"Status","Year","Age","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","50-59","Charity Commission","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Communications","5","5","[c]","[c]"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Counter Fraud","50","50","25930","24500"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","60","60","40390","39820"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Finance","15","10","29630","24730"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","10","10","44100","39870"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","145","130","26730","22740"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Other","10","10","[c]","[c]"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Policy","10","10","41620","39820"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","10","10","[c]","[c]"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Competition and Markets Authority","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Competition and Markets Authority","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","50-59","Competition and Markets Authority","Competition and Markets Authority","Economics","5","5","[c]","[c]"
"In post","2022","50-59","Competition and Markets Authority","Competition and Markets Authority","Human Resources","10","10","[c]","[c]"
"In post","2022","50-59","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","15","15","61560","58570"
"In post","2022","50-59","Competition and Markets Authority","Competition and Markets Authority","Legal","15","15","83460","81480"
"In post","2022","50-59","Competition and Markets Authority","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","90","85","69760","62230"
"In post","2022","50-59","Competition and Markets Authority","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Competition and Markets Authority","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Competition and Markets Authority","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","95","90","28770","25120"
"In post","2022","50-59","Crown Commercial Service","Cabinet Office","Commercial","75","75","38780","38980"
"In post","2022","50-59","Crown Commercial Service","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","25","25","51220","46100"
"In post","2022","50-59","Crown Commercial Service","Cabinet Office","Finance","5","5","[c]","[c]"
"In post","2022","50-59","Crown Commercial Service","Cabinet Office","Human Resources","15","15","46010","41800"
"In post","2022","50-59","Crown Commercial Service","Cabinet Office","Operational Delivery","55","55","46100","50240"
"In post","2022","50-59","Crown Commercial Service","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Crown Commercial Service","Cabinet Office","Project Delivery","10","10","[c]","[c]"
"In post","2022","50-59","Crown Office and Procurator Fiscal Service","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Crown Office and Procurator Fiscal Service","Scottish Government","Digital, Data and Technology","15","15","44890","40130"
"In post","2022","50-59","Crown Office and Procurator Fiscal Service","Scottish Government","Finance","10","5","[c]","[c]"
"In post","2022","50-59","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","10","10","[c]","[c]"
"In post","2022","50-59","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","10","10","39760","32320"
"In post","2022","50-59","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","130","120","64280","62170"
"In post","2022","50-59","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","370","340","29870","27230"
"In post","2022","50-59","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","5","5","[c]","[c]"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Commercial","10","10","43450","43280"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Communications","10","10","[c]","[c]"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","25","25","42700","39750"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Finance","50","50","32550","26600"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Human Resources","45","45","47480","39750"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","10","10","45420","31270"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Legal","1140","1070","59230","55610"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","890","820","28670","28430"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Other","5","5","[c]","[c]"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Policy","15","15","60840","56640"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Project Delivery","25","25","43830","40970"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Property","20","20","34670","32260"
"In post","2022","50-59","Crown Prosecution Service","Attorney General's Departments","Security","10","10","33160","32080"
"In post","2022","50-59","Defence Electronics and Components Agency","Ministry of Defence","Commercial","10","10","34310","30790"
"In post","2022","50-59","Defence Electronics and Components Agency","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Defence Electronics and Components Agency","Ministry of Defence","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","50-59","Defence Electronics and Components Agency","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Defence Electronics and Components Agency","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Defence Electronics and Components Agency","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Defence Electronics and Components Agency","Ministry of Defence","Medicine","10","10","[c]","[c]"
"In post","2022","50-59","Defence Electronics and Components Agency","Ministry of Defence","Operational Delivery","25","25","35180","31570"
"In post","2022","50-59","Defence Electronics and Components Agency","Ministry of Defence","Other","15","15","26700","26600"
"In post","2022","50-59","Defence Electronics and Components Agency","Ministry of Defence","Project Delivery","5","5","[c]","[c]"
"In post","2022","50-59","Defence Electronics and Components Agency","Ministry of Defence","Property","5","5","[c]","[c]"
"In post","2022","50-59","Defence Electronics and Components Agency","Ministry of Defence","Science and Engineering","105","100","30260","30460"
"In post","2022","50-59","Defence Equipment and Support","Ministry of Defence","Commercial","190","185","49500","43120"
"In post","2022","50-59","Defence Equipment and Support","Ministry of Defence","Communications","5","5","[c]","[c]"
"In post","2022","50-59","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","70","65","39210","37430"
"In post","2022","50-59","Defence Equipment and Support","Ministry of Defence","Finance","75","75","54540","53600"
"In post","2022","50-59","Defence Equipment and Support","Ministry of Defence","Human Resources","40","40","47230","40890"
"In post","2022","50-59","Defence Equipment and Support","Ministry of Defence","Knowledge and Information Management","40","40","37030","34830"
"In post","2022","50-59","Defence Equipment and Support","Ministry of Defence","Other","1170","1135","34590","30810"
"In post","2022","50-59","Defence Equipment and Support","Ministry of Defence","Policy","25","20","47470","41480"
"In post","2022","50-59","Defence Equipment and Support","Ministry of Defence","Project Delivery","570","555","47310","42880"
"In post","2022","50-59","Defence Equipment and Support","Ministry of Defence","Property","25","25","40050","36520"
"In post","2022","50-59","Defence Equipment and Support","Ministry of Defence","Science and Engineering","765","755","43010","42280"
"In post","2022","50-59","Defence Equipment and Support","Ministry of Defence","Security","20","20","40020","39510"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Commercial","20","20","39870","38070"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Communications","10","10","[c]","[c]"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Corporate Finance","15","15","41760","47010"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Digital, Data and Technology","30","30","50380","47060"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Economics","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Human Resources","25","25","40000","38070"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Knowledge and Information Management","15","15","44630","47010"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","115","115","45140","47010"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Operational Research","95","90","51850","48090"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Project Delivery","150","145","45240","47010"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Property","15","15","48530","47010"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Science and Engineering","535","525","47410","47010"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Security","20","20","39340","38070"
"In post","2022","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Communications","10","10","47340","38620"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","30","30","49620","49340"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Economics","15","15","54010","57850"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Finance","40","40","51650","47340"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Human Resources","20","20","54470","52840"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","115","115","49490","45200"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","595","580","53650","53600"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Project Delivery","25","25","59570","57210"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Statistics","5","5","[c]","[c]"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Counter Fraud","5","5","[c]","[c]"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Finance","10","10","[c]","[c]"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Human Resources","10","10","51840","45020"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Operational Delivery","5","5","[c]","[c]"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Other","20","20","41500","34360"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Planning","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Policy","90","90","49670","51730"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Project Delivery","20","20","50780","52250"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Education (excl. agencies)","Department for Education","Commercial","45","45","41160","37100"
"In post","2022","50-59","Department for Education (excl. agencies)","Department for Education","Communications","40","40","35430","29500"
"In post","2022","50-59","Department for Education (excl. agencies)","Department for Education","Digital, Data and Technology","160","155","40230","36880"
"In post","2022","50-59","Department for Education (excl. agencies)","Department for Education","Finance","100","95","45070","42580"
"In post","2022","50-59","Department for Education (excl. agencies)","Department for Education","Human Resources","20","20","39390","32300"
"In post","2022","50-59","Department for Education (excl. agencies)","Department for Education","Legal","20","20","53830","52520"
"In post","2022","50-59","Department for Education (excl. agencies)","Department for Education","Operational Delivery","155","155","43220","37100"
"In post","2022","50-59","Department for Education (excl. agencies)","Department for Education","Policy","495","475","47370","44540"
"In post","2022","50-59","Department for Education (excl. agencies)","Department for Education","Project Delivery","15","15","47660","50130"
"In post","2022","50-59","Department for Education (excl. agencies)","Department for Education","Property","175","175","55290","61010"
"In post","2022","50-59","Department for Education (excl. agencies)","Department for Education","Security","10","10","[c]","[c]"
"In post","2022","50-59","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Commercial","35","30","37350","36620"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Communications","30","30","40320","37140"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","215","215","46390","48290"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Economics","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Finance","130","130","42930","38060"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Human Resources","95","95","44390","47550"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","20","20","46510","39420"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Operational Delivery","15","15","48280","47360"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Other","15","10","34550","29510"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Policy","660","640","45500","40610"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Property","135","125","40610","36970"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Communications","10","10","[c]","[c]"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Digital, Data and Technology","20","20","50300","52100"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Economics","5","5","[c]","[c]"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Finance","20","20","46450","38600"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Human Resources","20","20","54210","51770"
"In post","2022","50-59","Department for International Trade","Department for International Trade","International Trade","220","220","53960","51970"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Operational Delivery","45","40","38700","33030"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Other","35","35","43260","33900"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Policy","20","20","46030","42160"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Project Delivery","25","25","44890","45810"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Security","10","10","[c]","[c]"
"In post","2022","50-59","Department for International Trade","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Communications","15","15","46970","45720"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","20","20","51590","53130"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Economics","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Finance","20","20","47820","42030"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Human Resources","20","20","54400","56820"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","15","15","32580","30190"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Operational Delivery","120","120","41170","36340"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Planning","20","20","53030","52300"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Policy","245","240","50420","48200"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Project Delivery","25","25","45960","48200"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Security","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Statistics","25","25","50810","53130"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Commercial","20","20","59290","65440"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Communications","5","5","[c]","[c]"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Digital, Data and Technology","30","30","44480","41740"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Economics","5","5","[c]","[c]"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Finance","50","50","52980","53370"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Human Resources","20","20","50600","50700"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","International Trade","5","5","[c]","[c]"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Operational Delivery","60","60","37680","33390"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Other","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Policy","170","165","50620","54110"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Project Delivery","75","75","61450","54760"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Property","5","5","[c]","[c]"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Science and Engineering","15","15","51420","46710"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Security","45","45","44510","42470"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Social Research","5","5","[c]","[c]"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Statistics","10","10","38570","31380"
"In post","2022","50-59","Department for Transport (excl. agencies)","Department for Transport","Unknown","160","155","59880","54620"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Commercial","205","195","35070","33170"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Communications","15","10","43250","39000"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Counter Fraud","2165","1995","28300","27570"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Digital, Data and Technology","1310","1270","42560","37300"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Finance","455","430","39900","35360"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Human Resources","295","280","38220","34290"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Knowledge and Information Management","150","140","34950","32470"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Operational Delivery","23185","20795","26650","27570"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Other","2440","2225","27300","27570"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Policy","285","275","46500","41010"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Project Delivery","660","615","36870","34290"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Property","80","75","43440","37710"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Psychology","15","15","37600","35530"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Security","195","185","40280","35710"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Statistics","25","25","54460","53180"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","95","90","40910","33180"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Commercial","45","45","51130","49530"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Communications","45","45","48680","49530"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Digital, Data and Technology","20","20","42820","37500"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Economics","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Finance","90","85","48310","47260"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Human Resources","30","30","45010","43320"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Medicine","25","25","107190","107720"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Operational Delivery","225","215","51920","50420"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Operational Research","5","5","[c]","[c]"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Other","20","20","64900","62400"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Policy","175","170","54020","53360"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Property","5","5","[c]","[c]"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Science and Engineering","5","5","[c]","[c]"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Statistics","5","5","[c]","[c]"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","30","30","50110","44100"
"In post","2022","50-59","Disclosure Scotland","Scottish Government","Unknown","65","60","31380","25930"
"In post","2022","50-59","Driver and Vehicle Licensing Agency","Department for Transport","Commercial","35","30","33660","30730"
"In post","2022","50-59","Driver and Vehicle Licensing Agency","Department for Transport","Communications","10","10","[c]","[c]"
"In post","2022","50-59","Driver and Vehicle Licensing Agency","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Driver and Vehicle Licensing Agency","Department for Transport","Digital, Data and Technology","190","185","44950","41230"
"In post","2022","50-59","Driver and Vehicle Licensing Agency","Department for Transport","Finance","45","45","36290","33350"
