"Status","Year","Disability","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Ministry of Justice","Planning","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Policy","AA","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Policy","EO","15","15","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Policy","G6","5","5","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Policy","G7","10","10","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Policy","HEO","5","5","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Policy","SCS level","5","5","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Policy","SEO","15","15","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Project Delivery","SEO","5","5","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Property","AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Property","G7","5","5","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Property","HEO","5","5","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Property","SEO","20","20","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Psychology","AO","5","5","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Psychology","EO","35","30","27100","27380"
"In post","2022","Undeclared","Ministry of Justice","Psychology","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Psychology","G7","5","5","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Psychology","HEO","35","35","30610","31180"
"In post","2022","Undeclared","Ministry of Justice","Psychology","SEO","45","40","47140","48260"
"In post","2022","Undeclared","Ministry of Justice","Security","AO","10","10","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Security","EO","25","25","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Security","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Security","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Security","HEO","55","55","36380","36480"
"In post","2022","Undeclared","Ministry of Justice","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Security","SEO","35","30","54310","55300"
"In post","2022","Undeclared","Ministry of Justice","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Social Research","G7","5","5","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Social Research","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Ministry of Justice","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Northern Ireland Office","Property","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Rail and Road","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Legal","G7","10","10","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Legal","SEO","20","15","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Operational Delivery","AO","25","25","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Operational Delivery","EO","20","20","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Operational Delivery","HEO","20","20","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Operational Delivery","SEO","5","5","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Other","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Unknown","AA","30","25","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Unknown","AO","15","15","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Unknown","EO","35","35","28340","27230"
"In post","2022","Undeclared","Scottish Government","Unknown","G6","15","15","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Unknown","G7","40","40","57860","60690"
"In post","2022","Undeclared","Scottish Government","Unknown","HEO","45","45","33730","33070"
"In post","2022","Undeclared","Scottish Government","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","Unknown","SEO","55","55","43580","40810"
"In post","2022","Undeclared","The National Archives","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Legal","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Operational Delivery","G7","5","5","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","Security","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Operational Delivery","AA","10","5","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Operational Delivery","AO","45","30","20370","20350"
"In post","2022","Undeclared","UK Statistics Authority","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Operational Delivery","HEO","10","10","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Operational Delivery","SEO","10","10","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Social Research","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Social Research","HEO","5","5","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Social Research","SEO","5","5","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Statistics","HEO","5","5","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","Legal","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Finance","SEO","5","5","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Legal","G7","5","5","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Legal","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Medicine","AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Medicine","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Medicine","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Medicine","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Operational Delivery","AO","15","10","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Operational Delivery","G7","5","5","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Operational Delivery","SEO","15","15","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Other","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Other","HEO","5","5","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Other","SEO","10","10","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Planning","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Policy","AO","5","5","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Policy","EO","10","10","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Policy","G7","5","5","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Policy","HEO","15","15","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Policy","SEO","10","10","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Commercial","SEO","5","5","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Communications","EO","5","5","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Communications","HEO","10","10","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Communications","SEO","5","5","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Counter Fraud","EO","10","5","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Counter Fraud","G6","10","10","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Counter Fraud","G7","15","15","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Counter Fraud","HEO","10","10","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Counter Fraud","SEO","15","15","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Digital, Data and Technology","HEO","10","10","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Finance","AO","10","10","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Finance","EO","10","10","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Human Resources","AO","10","10","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Human Resources","EO","10","10","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Human Resources","HEO","20","15","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Human Resources","SEO","5","5","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Legal","EO","55","55","26760","26090"
"In post","2022","Unknown","Attorney General's Departments","Legal","G6","165","150","69250","67370"
"In post","2022","Unknown","Attorney General's Departments","Legal","G7","670","630","53700","53050"
"In post","2022","Unknown","Attorney General's Departments","Legal","HEO","105","105","38900","38000"
"In post","2022","Unknown","Attorney General's Departments","Legal","SCS level","35","35","91280","81440"
"In post","2022","Unknown","Attorney General's Departments","Legal","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Operational Delivery","AO","350","335","22980","23720"
"In post","2022","Unknown","Attorney General's Departments","Operational Delivery","EO","205","195","27170","26970"
"In post","2022","Unknown","Attorney General's Departments","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Operational Delivery","HEO","20","20","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Operational Delivery","SEO","10","10","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Other","AO","10","5","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Other","EO","40","35","27420","27160"
"In post","2022","Unknown","Attorney General's Departments","Other","G6","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Other","G7","10","10","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Other","HEO","15","15","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Other","SEO","5","5","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Policy","G6","5","5","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Policy","G7","15","15","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","Policy","SEO","[c]","[c]","[c]","[c]"
