"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Black","Department for Environment, Food and Rural Affairs","EO","55","55","28550","28270"
"In post","2022","Black","Department for Environment, Food and Rural Affairs","G6/G7","45","45","53030","52290"
"In post","2022","Black","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for Environment, Food and Rural Affairs","SEO/HEO","110","110","35170","35240"
"In post","2022","Black","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for International Trade","EO","35","35","27860","27260"
"In post","2022","Black","Department for International Trade","G6/G7","35","35","54340","51970"
"In post","2022","Black","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for International Trade","SEO/HEO","60","60","36440","38160"
"In post","2022","Black","Department for Levelling Up, Housing and Communities","AA/AO","10","10","[c]","[c]"
"In post","2022","Black","Department for Levelling Up, Housing and Communities","EO","35","35","28070","27850"
"In post","2022","Black","Department for Levelling Up, Housing and Communities","G6/G7","50","50","55670","53130"
"In post","2022","Black","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for Levelling Up, Housing and Communities","SEO/HEO","105","105","35970","34870"
"In post","2022","Black","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for Transport","AA/AO","35","30","25320","21840"
"In post","2022","Black","Department for Transport","EO","75","75","29400","30270"
"In post","2022","Black","Department for Transport","G6/G7","50","50","55850","54110"
"In post","2022","Black","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for Transport","SEO/HEO","110","110","38170","37660"
"In post","2022","Black","Department for Work and Pensions","AA/AO","875","790","22820","21790"
"In post","2022","Black","Department for Work and Pensions","EO","2780","2645","29830","31060"
"In post","2022","Black","Department for Work and Pensions","G6/G7","65","60","57780","54750"
"In post","2022","Black","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for Work and Pensions","SEO/HEO","360","350","37630","36650"
"In post","2022","Black","Department of Health and Social Care","AA/AO","65","60","22690","23570"
"In post","2022","Black","Department of Health and Social Care","EO","150","140","27030","27140"
"In post","2022","Black","Department of Health and Social Care","G6/G7","105","105","57080","53860"
"In post","2022","Black","Department of Health and Social Care","SCS level","20","20","[c]","[c]"
"In post","2022","Black","Department of Health and Social Care","SEO/HEO","315","300","36420","36330"
"In post","2022","Black","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Food Standards Agency","EO","25","25","[c]","[c]"
"In post","2022","Black","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2022","Black","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Food Standards Agency","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Black","Foreign, Commonwealth and Development Office","AA/AO","50","50","27030","28250"
"In post","2022","Black","Foreign, Commonwealth and Development Office","EO","60","60","30820","30630"
"In post","2022","Black","Foreign, Commonwealth and Development Office","G6/G7","55","55","57070","56110"
"In post","2022","Black","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Foreign, Commonwealth and Development Office","SEO/HEO","100","100","37800","37840"
"In post","2022","Black","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","HM Land Registry","AA/AO","20","20","[c]","[c]"
"In post","2022","Black","HM Land Registry","EO","25","20","[c]","[c]"
"In post","2022","Black","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","HM Land Registry","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Black","HM Revenue and Customs","AA/AO","445","410","22680","21250"
"In post","2022","Black","HM Revenue and Customs","EO","535","520","29130","29550"
"In post","2022","Black","HM Revenue and Customs","G6/G7","155","155","61000","62120"
"In post","2022","Black","HM Revenue and Customs","SCS level","5","5","[c]","[c]"
"In post","2022","Black","HM Revenue and Customs","SEO/HEO","750","740","37840","37930"
"In post","2022","Black","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","HM Treasury","EO","25","25","[c]","[c]"
"In post","2022","Black","HM Treasury","G6/G7","25","25","[c]","[c]"
