"Status","Year","Age","Disability","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","50-59","Declared non-disabled","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Internal Audit","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Legal","AA/AO","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Legal","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Legal","G6/G7","45","[c]","61930","62590"
"Leaver CS","2022","50-59","Declared non-disabled","Legal","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Legal","SEO/HEO","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","No function","AA/AO","905","[c]","21090","21150"
"Leaver CS","2022","50-59","Declared non-disabled","No function","EO","870","[c]","27750","27570"
"Leaver CS","2022","50-59","Declared non-disabled","No function","G6/G7","320","[c]","60510","58790"
"Leaver CS","2022","50-59","Declared non-disabled","No function","SCS level","80","[c]","94970","95140"
"Leaver CS","2022","50-59","Declared non-disabled","No function","SEO/HEO","435","[c]","38060","36840"
"Leaver CS","2022","50-59","Declared non-disabled","No function","Unknown","145","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Project Delivery","EO","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Project Delivery","G6/G7","40","[c]","58600","57490"
"Leaver CS","2022","50-59","Declared non-disabled","Project Delivery","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Project Delivery","SEO/HEO","75","[c]","36630","37930"
"Leaver CS","2022","50-59","Declared non-disabled","Project Delivery","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Property","AA/AO","30","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Property","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Property","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Property","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Property","SEO/HEO","30","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Security","AA/AO","70","[c]","30310","26610"
"Leaver CS","2022","50-59","Declared non-disabled","Security","EO","25","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Security","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Security","SEO/HEO","20","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Unknown","AA/AO","480","[c]","21490","21260"
"Leaver CS","2022","50-59","Declared non-disabled","Unknown","EO","380","[c]","28430","27570"
"Leaver CS","2022","50-59","Declared non-disabled","Unknown","G6/G7","150","[c]","63050","61030"
"Leaver CS","2022","50-59","Declared non-disabled","Unknown","SCS level","30","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Unknown","SEO/HEO","265","[c]","38130","37000"
"Leaver CS","2022","50-59","Declared non-disabled","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Debt","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Digital, Data & Technology","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Digital, Data & Technology","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Legal","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","No function","AA/AO","155","[c]","21070","21010"
"Leaver CS","2022","50-59","Undeclared","No function","EO","70","[c]","28010","27570"
"Leaver CS","2022","50-59","Undeclared","No function","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","No function","SCS level","[c]","[c]","[c]","[c]"
