"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Policy","EO","EO","1085","1075","27340","27680"
"In post","2022","20-29","Policy","G6/G7","G6","115","115","65170","64700"
"In post","2022","20-29","Policy","G6/G7","G7","1795","1785","53990","53380"
"In post","2022","20-29","Policy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Policy","SEO/HEO","HEO","3675","3665","33580","33570"
"In post","2022","20-29","Policy","SEO/HEO","SEO","1795","1790","40400","40050"
"In post","2022","20-29","Policy","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Project Delivery","AA/AO","AO","65","65","22090","21510"
"In post","2022","20-29","Project Delivery","EO","EO","420","415","26020","26180"
"In post","2022","20-29","Project Delivery","G6/G7","G6","10","10","66270","65440"
"In post","2022","20-29","Project Delivery","G6/G7","G7","160","160","53850","54070"
"In post","2022","20-29","Project Delivery","SEO/HEO","HEO","880","875","32630","33080"
"In post","2022","20-29","Project Delivery","SEO/HEO","SEO","415","415","40100","40180"
"In post","2022","20-29","Project Delivery","Unknown","Unknown","75","75","29660","29750"
"In post","2022","20-29","Property","AA/AO","AA","50","50","18880","19010"
"In post","2022","20-29","Property","AA/AO","AO","50","45","22090","21840"
"In post","2022","20-29","Property","EO","EO","320","310","26540","26030"
"In post","2022","20-29","Property","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","G6/G7","G7","25","25","52230","52290"
"In post","2022","20-29","Property","SEO/HEO","HEO","275","270","31650","31900"
"In post","2022","20-29","Property","SEO/HEO","SEO","100","100","41990","42000"
"In post","2022","20-29","Property","Unknown","Unknown","30","30","24200","24080"
"In post","2022","20-29","Psychology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Psychology","AA/AO","AO","40","35","21290","20740"
"In post","2022","20-29","Psychology","EO","EO","150","145","26180","25830"
"In post","2022","20-29","Psychology","SEO/HEO","HEO","195","195","29410","29060"
"In post","2022","20-29","Psychology","SEO/HEO","SEO","15","15","39320","38150"
"In post","2022","20-29","Science and Engineering","AA/AO","AA","80","80","19380","18330"
"In post","2022","20-29","Science and Engineering","AA/AO","AO","245","245","21870","21510"
"In post","2022","20-29","Science and Engineering","EO","EO","815","815","25730","26370"
"In post","2022","20-29","Science and Engineering","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Science and Engineering","G6/G7","G7","25","25","51870","52610"
"In post","2022","20-29","Science and Engineering","SEO/HEO","HEO","1105","1095","30590","29610"
"In post","2022","20-29","Science and Engineering","SEO/HEO","SEO","360","360","39710","39370"
"In post","2022","20-29","Science and Engineering","Unknown","Unknown","265","260","28850","27540"
"In post","2022","20-29","Security","AA/AO","AA","240","240","21220","19810"
"In post","2022","20-29","Security","AA/AO","AO","550","550","27310","26610"
"In post","2022","20-29","Security","EO","EO","105","105","28090","26670"
"In post","2022","20-29","Security","G6/G7","G7","10","10","56050","56530"
"In post","2022","20-29","Security","SEO/HEO","HEO","135","135","33170","33000"
"In post","2022","20-29","Security","SEO/HEO","SEO","55","55","41410","41750"
"In post","2022","20-29","Security","Unknown","Unknown","25","25","26240","26000"
"In post","2022","20-29","Social Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Social Research","AA/AO","AO","10","10","23280","23310"
"In post","2022","20-29","Social Research","EO","EO","45","45","31050","33650"
"In post","2022","20-29","Social Research","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Social Research","G6/G7","G7","35","35","53450","53130"
"In post","2022","20-29","Social Research","SEO/HEO","HEO","310","305","32450","30710"
"In post","2022","20-29","Social Research","SEO/HEO","SEO","155","155","40380","39550"
"In post","2022","20-29","Statistics","AA/AO","AA","40","40","22010","22460"
"In post","2022","20-29","Statistics","AA/AO","AO","25","20","22610","21410"
"In post","2022","20-29","Statistics","EO","EO","135","130","27800","27850"
"In post","2022","20-29","Statistics","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Statistics","G6/G7","G7","80","80","54570","53360"
"In post","2022","20-29","Statistics","SEO/HEO","HEO","360","360","33640","33300"
"In post","2022","20-29","Statistics","SEO/HEO","SEO","195","190","40450","40180"
"In post","2022","20-29","Tax","AA/AO","AO","1395","1330","21270","21250"
"In post","2022","20-29","Tax","EO","EO","1415","1410","26740","26590"
"In post","2022","20-29","Tax","G6/G7","G6","15","15","67570","67910"
"In post","2022","20-29","Tax","G6/G7","G7","245","245","56130","55210"
"In post","2022","20-29","Tax","SEO/HEO","HEO","1020","1015","33760","33370"
"In post","2022","20-29","Tax","SEO/HEO","SEO","105","105","40240","40180"
"In post","2022","20-29","Unknown","AA/AO","AA","550","530","21830","21050"
"In post","2022","20-29","Unknown","AA/AO","AO","960","940","22790","21260"
"In post","2022","20-29","Unknown","EO","EO","1820","1810","27490","27230"
"In post","2022","20-29","Unknown","G6/G7","G6","80","80","66350","64500"
"In post","2022","20-29","Unknown","G6/G7","G7","655","655","55410","54700"
"In post","2022","20-29","Unknown","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","SEO/HEO","HEO","3255","3245","31760","32000"
"In post","2022","20-29","Unknown","SEO/HEO","SEO","725","720","40840","40600"
"In post","2022","20-29","Veterinarian","AA/AO","AO","5","5","[c]","[c]"
