"Status","Year","Age","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","40-49","Unknown","South West (England)","890","835","36980","32750"
"In post","2022","40-49","Unknown","Unknown","410","405","41270","35380"
"In post","2022","40-49","Unknown","Wales","780","730","33190","27380"
"In post","2022","40-49","Unknown","West Midlands (England)","845","790","33170","27570"
"In post","2022","40-49","Unknown","Yorkshire and The Humber","1010","955","36150","30220"
"In post","2022","40-49","White","East Midlands (England)","3685","3430","33150","28580"
"In post","2022","40-49","White","East of England","4010","3725","33010","29560"
"In post","2022","40-49","White","London","11850","11270","53830","53770"
"In post","2022","40-49","White","North East (England)","6545","6045","31780","27570"
"In post","2022","40-49","White","North West (England)","11550","10795","32450","27570"
"In post","2022","40-49","White","Northern Ireland","875","835","30690","26820"
"In post","2022","40-49","White","Overseas","760","755","53470","54470"
"In post","2022","40-49","White","Scotland","8505","8020","37220","31990"
"In post","2022","40-49","White","South East (England)","7045","6610","34660","31020"
"In post","2022","40-49","White","South West (England)","8505","7990","37720","34120"
"In post","2022","40-49","White","Unknown","190","185","36510","31220"
"In post","2022","40-49","White","Wales","7705","7200","34560","29430"
"In post","2022","40-49","White","West Midlands (England)","4755","4450","34590","30320"
"In post","2022","40-49","White","Yorkshire and The Humber","6640","6180","34920","31180"
"In post","2022","50-59","Asian","East Midlands (England)","480","430","29140","26910"
"In post","2022","50-59","Asian","East of England","245","230","35240","29290"
"In post","2022","50-59","Asian","London","2865","2720","38080","31880"
"In post","2022","50-59","Asian","North East (England)","75","65","29690","26120"
"In post","2022","50-59","Asian","North West (England)","420","385","30200","26820"
"In post","2022","50-59","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Asian","Overseas","25","25","[c]","[c]"
"In post","2022","50-59","Asian","Scotland","105","100","32730","27570"
"In post","2022","50-59","Asian","South East (England)","385","360","31160","28550"
"In post","2022","50-59","Asian","South West (England)","140","135","37030","33080"
"In post","2022","50-59","Asian","Unknown","45","40","29370","30330"
"In post","2022","50-59","Asian","Wales","75","70","35040","28500"
"In post","2022","50-59","Asian","West Midlands (England)","855","790","29400","27570"
"In post","2022","50-59","Asian","Yorkshire and The Humber","350","325","32290","27570"
"In post","2022","50-59","Black","East Midlands (England)","200","190","29900","27570"
"In post","2022","50-59","Black","East of England","230","225","31860","29290"
"In post","2022","50-59","Black","London","3680","3575","35850","31880"
"In post","2022","50-59","Black","North East (England)","30","30","31880","26910"
"In post","2022","50-59","Black","North West (England)","200","195","30960","27570"
"In post","2022","50-59","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Black","Overseas","15","15","[c]","[c]"
"In post","2022","50-59","Black","Scotland","40","40","34680","27750"
"In post","2022","50-59","Black","South East (England)","295","280","31620","29290"
