"Status","Year","Function_of_post","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Lincolnshire CC","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire CC","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Liverpool","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Liverpool","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Liverpool","Outside London","G6/G7","25","25","55920","55210"
"In post","2022","Analysis","Liverpool","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Liverpool","Outside London","SEO/HEO","60","55","36320","33370"
"In post","2022","Analysis","Luton","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Manchester","Outside London","AA/AO","10","10","21260","21260"
"In post","2022","Analysis","Manchester","Outside London","EO","15","15","26530","26820"
"In post","2022","Analysis","Manchester","Outside London","G6/G7","65","60","55740","55210"
"In post","2022","Analysis","Manchester","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Manchester","Outside London","SEO/HEO","190","190","35580","33370"
"In post","2022","Analysis","Medway","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medway","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medway","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Merton, Kingston upon Thames and Sutton","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Mid Kent","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Mid Lancashire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Mid Lancashire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Milton Keynes","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Monmouthshire and Newport","Outside London","AA/AO","60","55","20080","19860"
