"Status","Year","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Department for Environment, Food and Rural Affairs","EO","Unknown","545","505","25710","25190"
"In post","2022","Department for Environment, Food and Rural Affairs","G6","Heterosexual / straight","480","465","62650","61900"
"In post","2022","Department for Environment, Food and Rural Affairs","G6","LGBO","30","30","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","G6","Undeclared","50","45","62760","62420"
"In post","2022","Department for Environment, Food and Rural Affairs","G6","Unknown","105","100","63180","63490"
"In post","2022","Department for Environment, Food and Rural Affairs","G7","Heterosexual / straight","1425","1375","51540","51480"
"In post","2022","Department for Environment, Food and Rural Affairs","G7","LGBO","120","115","51330","52290"
"In post","2022","Department for Environment, Food and Rural Affairs","G7","Undeclared","175","165","51820","52290"
"In post","2022","Department for Environment, Food and Rural Affairs","G7","Unknown","315","305","51520","51750"
"In post","2022","Department for Environment, Food and Rural Affairs","HEO","Heterosexual / straight","1710","1650","31410","30590"
"In post","2022","Department for Environment, Food and Rural Affairs","HEO","LGBO","170","165","31490","32100"
"In post","2022","Department for Environment, Food and Rural Affairs","HEO","Undeclared","225","215","31440","31230"
"In post","2022","Department for Environment, Food and Rural Affairs","HEO","Unknown","490","470","31140","30230"
"In post","2022","Department for Environment, Food and Rural Affairs","SCS level","Heterosexual / straight","165","160","83360","77450"
"In post","2022","Department for Environment, Food and Rural Affairs","SCS level","LGBO","15","15","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","SCS level","Unknown","30","30","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","SEO","Heterosexual / straight","1760","1685","38600","37480"
"In post","2022","Department for Environment, Food and Rural Affairs","SEO","LGBO","125","125","38250","37360"
"In post","2022","Department for Environment, Food and Rural Affairs","SEO","Undeclared","230","220","38800","37680"
"In post","2022","Department for Environment, Food and Rural Affairs","SEO","Unknown","430","410","38750","37520"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Unknown","30","25","[c]","[c]"
"In post","2022","Department for International Trade","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Department for International Trade","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","AO","Unknown","5","5","[c]","[c]"
"In post","2022","Department for International Trade","EO","Heterosexual / straight","155","155","27370","26510"
"In post","2022","Department for International Trade","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Department for International Trade","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Department for International Trade","EO","Unknown","85","85","27940","26510"
"In post","2022","Department for International Trade","G6","Heterosexual / straight","205","200","64390","63020"
