"Status","Year","Ethnicity","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","Government Legal Department","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Legal Department","Attorney General's Departments","Human Resources","15","15","[c]","[c]"
"In post","2022","Unknown","Government Legal Department","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Legal Department","Attorney General's Departments","Legal","245","225","65050","65680"
"In post","2022","Unknown","Government Legal Department","Attorney General's Departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Legal Department","Attorney General's Departments","Other","50","45","36330","29430"
"In post","2022","Unknown","Government Property Agency","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Property Agency","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Property Agency","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Property Agency","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Property Agency","Cabinet Office","Project Delivery","10","10","[c]","[c]"
"In post","2022","Unknown","Government Property Agency","Cabinet Office","Property","15","15","[c]","[c]"
"In post","2022","Unknown","Government Property Agency","Cabinet Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Government Property Agency","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","Human Resources","5","5","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","Operational Delivery","200","185","42060","39330"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","Project Delivery","5","5","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","Property","5","5","[c]","[c]"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","Science and Engineering","45","45","46210","45870"
"In post","2022","Unknown","Health and Safety Executive","Department for Work and Pensions","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","Digital, Data and Technology","45","45","37500","35300"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","Finance","10","10","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","Human Resources","5","5","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","Legal","175","175","36240","34260"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","Operational Delivery","1585","1495","23480","20970"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","Policy","5","5","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Ministry of Justice","Property","10","10","[c]","[c]"
"In post","2022","Unknown","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Legal","10","10","[c]","[c]"
"In post","2022","Unknown","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","HM Land Registry","Communications","5","5","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","HM Land Registry","Digital, Data and Technology","130","130","34580","33840"
"In post","2022","Unknown","HM Land Registry","HM Land Registry","Finance","15","15","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","HM Land Registry","Human Resources","5","5","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","HM Land Registry","Legal","40","35","46260","38550"
"In post","2022","Unknown","HM Land Registry","HM Land Registry","Operational Delivery","805","765","25120","22600"
"In post","2022","Unknown","HM Land Registry","HM Land Registry","Other","5","5","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","HM Land Registry","Project Delivery","20","20","[c]","[c]"
"In post","2022","Unknown","HM Land Registry","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Ministry of Justice","Commercial","25","25","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Ministry of Justice","Human Resources","5","5","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Ministry of Justice","Intelligence Analysis","15","15","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Ministry of Justice","Operational Delivery","8560","8045","27410","25870"
"In post","2022","Unknown","HM Prison and Probation Service","Ministry of Justice","Policy","30","30","[c]","[c]"
"In post","2022","Unknown","HM Prison and Probation Service","Ministry of Justice","Psychology","115","105","30250","27700"
"In post","2022","Unknown","HM Prison and Probation Service","Ministry of Justice","Security","70","70","36510","32930"
"In post","2022","Unknown","HM Prison and Probation Service","Ministry of Justice","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Commercial","10","10","[c]","[c]"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Communications","30","30","45660","43810"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Digital, Data and Technology","405","395","40170","35630"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Economics","15","15","[c]","[c]"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Finance","170","155","36470","33370"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Human Resources","80","80","37540","33370"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Intelligence Analysis","45","45","34020","33080"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Internal Audit","5","5","[c]","[c]"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","International Trade","30","30","[c]","[c]"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Legal","775","745","34620","33080"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","6235","5640","25250","22080"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Research","20","15","[c]","[c]"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Other","60","55","42640","40180"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Policy","145","135","54240","55210"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Project Delivery","365","355","44810","40520"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Property","60","60","39080","37770"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Security","35","30","40370","40180"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Social Research","10","10","[c]","[c]"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Statistics","25","25","[c]","[c]"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","4565","4370","29860","26820"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","1645","1595","34230","31020"
"In post","2022","Unknown","HM Treasury (excl. agencies)","HM Treasury","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Treasury (excl. agencies)","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Treasury (excl. agencies)","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Treasury (excl. agencies)","HM Treasury","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Treasury (excl. agencies)","HM Treasury","Policy","35","30","48230","52500"
"In post","2022","Unknown","HM Treasury (excl. agencies)","HM Treasury","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Home Office","Home Office","Commercial","20","20","[c]","[c]"
"In post","2022","Unknown","Home Office","Home Office","Communications","35","35","45270","42710"
"In post","2022","Unknown","Home Office","Home Office","Counter Fraud","5","5","[c]","[c]"
"In post","2022","Unknown","Home Office","Home Office","Digital, Data and Technology","380","380","47740","42470"
"In post","2022","Unknown","Home Office","Home Office","Economics","60","60","38560","35050"
"In post","2022","Unknown","Home Office","Home Office","Finance","30","30","48400","41950"
"In post","2022","Unknown","Home Office","Home Office","Human Resources","65","65","44990","37450"
"In post","2022","Unknown","Home Office","Home Office","Intelligence Analysis","75","75","28680","25320"
"In post","2022","Unknown","Home Office","Home Office","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","Unknown","Home Office","Home Office","Operational Delivery","2580","2460","26190","24880"
"In post","2022","Unknown","Home Office","Home Office","Operational Research","25","25","[c]","[c]"
"In post","2022","Unknown","Home Office","Home Office","Other","150","150","33690","28650"
"In post","2022","Unknown","Home Office","Home Office","Policy","435","430","46190","41950"
"In post","2022","Unknown","Home Office","Home Office","Project Delivery","225","220","40600","35050"
"In post","2022","Unknown","Home Office","Home Office","Science and Engineering","5","5","[c]","[c]"
"In post","2022","Unknown","Home Office","Home Office","Security","15","15","[c]","[c]"
"In post","2022","Unknown","Home Office","Home Office","Social Research","45","45","38420","33650"
"In post","2022","Unknown","Home Office","Home Office","Statistics","60","55","28590","22460"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Communications","5","5","[c]","[c]"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Operational Delivery","25","20","[c]","[c]"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Policy","15","15","[c]","[c]"
"In post","2022","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Communications","5","5","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","55","55","42230","40020"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Finance","5","5","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Human Resources","5","5","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Legal","10","10","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","185","175","25550","24030"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Policy","25","25","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Project Delivery","15","15","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","85","80","46960","42480"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal Aid Agency","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal Aid Agency","Ministry of Justice","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal Aid Agency","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal Aid Agency","Ministry of Justice","Operational Delivery","110","105","25590","20970"
"In post","2022","Unknown","Maritime and Coastguard Agency","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Maritime and Coastguard Agency","Department for Transport","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","Unknown","Maritime and Coastguard Agency","Department for Transport","Finance","5","5","[c]","[c]"
"In post","2022","Unknown","Maritime and Coastguard Agency","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Maritime and Coastguard Agency","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Maritime and Coastguard Agency","Department for Transport","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Maritime and Coastguard Agency","Department for Transport","Operational Delivery","80","80","30140","26840"
"In post","2022","Unknown","Maritime and Coastguard Agency","Department for Transport","Policy","10","10","[c]","[c]"
"In post","2022","Unknown","Maritime and Coastguard Agency","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Commercial","5","5","[c]","[c]"
"In post","2022","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","30","30","35200","36160"
"In post","2022","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","10","10","[c]","[c]"
"In post","2022","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Project Delivery","10","10","[c]","[c]"
"In post","2022","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","60","50","38820","39650"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Commercial","70","70","34370","33000"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Communications","55","55","40650","37000"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Digital, Data and Technology","135","130","35500","33000"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Finance","205","200","36600","33300"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Geography","5","5","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Human Resources","115","110","32900","26670"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Intelligence Analysis","75","75","36280","36730"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Knowledge and Information Management","35","35","31680","26350"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Legal","5","5","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Medicine","330","280","45070","39030"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Other","835","810","29780","26350"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Policy","155","155","45010","44500"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Project Delivery","170","165","43450","40580"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Property","180","175","25770","20770"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Science and Engineering","120","120","32370","28000"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Security","845","835","29310","26610"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Statistics","15","15","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","30","30","37360","36910"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Commercial","15","15","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Communications","45","40","41400","34260"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Digital, Data and Technology","175","175","50850","50430"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Economics","15","15","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Finance","70","70","40920","39210"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Human Resources","80","80","36590","34260"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Knowledge and Information Management","20","20","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Legal","15","15","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","280","275","36160","34260"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Research","20","20","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Policy","150","150","44290","41750"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Project Delivery","35","35","38260","34260"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Property","55","55","43240","40550"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Security","10","10","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Social Research","10","10","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Statistics","20","20","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","National Crime Agency","Digital, Data and Technology","25","25","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","National Crime Agency","Finance","10","5","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","National Crime Agency","Human Resources","10","10","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","National Crime Agency","Legal","5","5","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","National Crime Agency","Operational Delivery","495","480","41070","39820"
"In post","2022","Unknown","National Crime Agency","National Crime Agency","Project Delivery","5","5","[c]","[c]"
"In post","2022","Unknown","National Crime Agency","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Infrastructure Commission","HM Treasury","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Records of Scotland","Scottish Government","Unknown","110","105","34330","28990"
"In post","2022","Unknown","National Savings and Investments","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Northern Ireland Office","Communications","10","10","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Northern Ireland Office","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Northern Ireland Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Northern Ireland Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Northern Ireland Office","Other","5","5","[c]","[c]"
"In post","2022","Unknown","Northern Ireland Office","Northern Ireland Office","Policy","30","30","44280","41750"
"In post","2022","Unknown","Northern Ireland Office","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Budget Responsibility","HM Treasury","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","25","25","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Operational Delivery","10","5","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Other","10","10","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Communications","5","5","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Economics","5","5","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Operational Delivery","15","15","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Other","55","55","46660","35990"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Policy","10","10","[c]","[c]"
"In post","2022","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Rail and Road","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Rail and Road","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of Rail and Road","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Public Guardian","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Public Guardian","Ministry of Justice","Operational Delivery","270","250","22130","20970"
"In post","2022","Unknown","Office of the Public Guardian","Ministry of Justice","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Public Guardian","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Scottish Charity Regulator","Scottish Government","Unknown","5","5","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Operational Delivery","10","10","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Policy","10","10","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Unknown","20","20","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Other","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Policy","10","10","[c]","[c]"
"In post","2022","Unknown","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Finance","[c]","[c]","[c]","[c]"
