"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","SEO/HEO","SEO","30","25","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","EO","EO","45","45","26540","25750"
"In post","2022","Asian","Office of Gas and Electricity Markets","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","G6/G7","G7","40","40","58170","57750"
"In post","2022","Asian","Office of Gas and Electricity Markets","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Gas and Electricity Markets","SEO/HEO","HEO","30","30","34510","34050"
"In post","2022","Asian","Office of Gas and Electricity Markets","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Government","AA/AO","AA","35","30","21680","21050"
"In post","2022","Asian","Scottish Government","AA/AO","AO","45","40","24100","24400"
"In post","2022","Asian","Scottish Government","EO","EO","55","50","28690","27580"
"In post","2022","Asian","Scottish Government","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Asian","Scottish Government","G6/G7","G7","25","25","[c]","[c]"
"In post","2022","Asian","Scottish Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Government","SEO/HEO","HEO","60","60","33470","31540"
"In post","2022","Asian","Scottish Government","SEO/HEO","SEO","65","65","45040","41750"
"In post","2022","Asian","The National Archives","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Asian","The National Archives","EO","EO","5","5","[c]","[c]"
"In post","2022","Asian","The National Archives","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Asian","The National Archives","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Asian","The National Archives","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Asian","UK Export Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","EO","EO","20","20","[c]","[c]"
"In post","2022","Asian","UK Export Finance","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Asian","UK Export Finance","G6/G7","G7","20","20","[c]","[c]"
