"Status","Year","Disability","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Coventry","Heterosexual / straight","195","180","34350","30090"
"In post","2022","Declared disabled","Coventry","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Coventry","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Coventry","Unknown","30","25","[c]","[c]"
"In post","2022","Declared disabled","Croydon","Heterosexual / straight","770","720","38260","35050"
"In post","2022","Declared disabled","Croydon","LGBO","80","75","41360","35200"
"In post","2022","Declared disabled","Croydon","Undeclared","125","115","37520","34250"
"In post","2022","Declared disabled","Croydon","Unknown","55","50","36220","31740"
"In post","2022","Declared disabled","Darlington","Heterosexual / straight","120","115","35690","30770"
"In post","2022","Declared disabled","Darlington","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Darlington","Undeclared","15","10","[c]","[c]"
"In post","2022","Declared disabled","Darlington","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Derby","Heterosexual / straight","130","115","26290","24090"
"In post","2022","Declared disabled","Derby","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Derby","Undeclared","20","15","[c]","[c]"
"In post","2022","Declared disabled","Derby","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Derry City and Strabane","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Derry City and Strabane","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Derry City and Strabane","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Derry City and Strabane","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Devon CC","Heterosexual / straight","465","415","29640","27570"
"In post","2022","Declared disabled","Devon CC","LGBO","50","45","28750","27570"
"In post","2022","Declared disabled","Devon CC","Undeclared","60","50","29700","27570"
"In post","2022","Declared disabled","Devon CC","Unknown","40","35","28190","25450"
"In post","2022","Declared disabled","Dorset","Heterosexual / straight","195","180","29800","27570"
"In post","2022","Declared disabled","Dorset","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Dorset","Undeclared","30","30","29690","27570"
"In post","2022","Declared disabled","Dorset","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Dudley","Heterosexual / straight","125","110","25840","25630"
"In post","2022","Declared disabled","Dudley","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Dudley","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","Dudley","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Dumfries and Galloway","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Dumfries and Galloway","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Dumfries and Galloway","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Dumfries and Galloway","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Durham","Heterosexual / straight","490","435","27360","25710"
"In post","2022","Declared disabled","Durham","LGBO","30","30","26490","22600"
"In post","2022","Declared disabled","Durham","Undeclared","45","40","28760","27130"
"In post","2022","Declared disabled","Durham","Unknown","45","35","25790","26870"
"In post","2022","Declared disabled","Ealing","Heterosexual / straight","65","60","33390","31060"
"In post","2022","Declared disabled","Ealing","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Ealing","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Ealing","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","80","70","25260","27230"
"In post","2022","Declared disabled","East Ayrshire and North Ayrshire mainland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Ayrshire and North Ayrshire mainland","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Ayrshire and North Ayrshire mainland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Cumbria","Heterosexual / straight","90","85","29630","27190"
"In post","2022","Declared disabled","East Cumbria","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Cumbria","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Derbyshire","Heterosexual / straight","65","55","26810","27570"
"In post","2022","Declared disabled","East Derbyshire","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Derbyshire","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Derbyshire","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Heterosexual / straight","125","110","30490","27570"
"In post","2022","Declared disabled","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","East Kent","Heterosexual / straight","355","325","28720","27370"
"In post","2022","Declared disabled","East Kent","LGBO","35","35","28430","28070"
"In post","2022","Declared disabled","East Kent","Undeclared","60","55","29360","27370"
"In post","2022","Declared disabled","East Kent","Unknown","25","20","[c]","[c]"
"In post","2022","Declared disabled","East Lancashire","Heterosexual / straight","80","75","26610","27570"
"In post","2022","Declared disabled","East Lancashire","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Lancashire","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Lancashire","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","East Lothian and Midlothian","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","East Lothian and Midlothian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Lothian and Midlothian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Lothian and Midlothian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Merseyside","Heterosexual / straight","160","140","28240","27570"
"In post","2022","Declared disabled","East Merseyside","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Merseyside","Undeclared","15","10","[c]","[c]"
"In post","2022","Declared disabled","East Merseyside","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","East Riding of Yorkshire","Heterosexual / straight","145","135","29150","27380"
"In post","2022","Declared disabled","East Riding of Yorkshire","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Riding of Yorkshire","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","East Riding of Yorkshire","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Surrey","Heterosexual / straight","80","70","32400","31020"
"In post","2022","Declared disabled","East Surrey","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Surrey","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Surrey","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Sussex CC","Heterosexual / straight","215","185","26300","26660"
"In post","2022","Declared disabled","East Sussex CC","LGBO","30","25","[c]","[c]"
"In post","2022","Declared disabled","East Sussex CC","Undeclared","35","30","26330","26780"
"In post","2022","Declared disabled","East Sussex CC","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Enfield","Heterosexual / straight","40","35","33550","31060"
"In post","2022","Declared disabled","Enfield","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Enfield","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Enfield","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Essex Haven Gateway","Heterosexual / straight","85","75","29370","29290"
"In post","2022","Declared disabled","Essex Haven Gateway","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Essex Haven Gateway","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Essex Haven Gateway","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Essex Thames Gateway","Heterosexual / straight","125","110","27720","28200"
"In post","2022","Declared disabled","Essex Thames Gateway","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Essex Thames Gateway","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Essex Thames Gateway","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Falkirk","Heterosexual / straight","135","115","28350","27570"
"In post","2022","Declared disabled","Falkirk","LGBO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Falkirk","Undeclared","15","10","[c]","[c]"
"In post","2022","Declared disabled","Falkirk","Unknown","40","35","30780","35000"
"In post","2022","Declared disabled","Fermanagh and Omagh","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Fermanagh and Omagh","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Fermanagh and Omagh","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Fermanagh and Omagh","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Flintshire and Wrexham","Heterosexual / straight","165","150","27820","26610"
"In post","2022","Declared disabled","Flintshire and Wrexham","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Flintshire and Wrexham","Undeclared","40","40","28070","27120"
"In post","2022","Declared disabled","Flintshire and Wrexham","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Glasgow City","Heterosexual / straight","980","900","30170","27570"
"In post","2022","Declared disabled","Glasgow City","LGBO","175","170","30020","27230"
"In post","2022","Declared disabled","Glasgow City","Undeclared","130","120","29080","27570"
"In post","2022","Declared disabled","Glasgow City","Unknown","100","90","31270","27570"
"In post","2022","Declared disabled","Gloucestershire CC","Heterosexual / straight","145","130","29360","27570"
"In post","2022","Declared disabled","Gloucestershire CC","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Gloucestershire CC","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Gloucestershire CC","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Greater Manchester North East","Heterosexual / straight","135","125","27610","27570"
"In post","2022","Declared disabled","Greater Manchester North East","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Greater Manchester North East","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","Greater Manchester North East","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Greater Manchester North West","Heterosexual / straight","235","210","26280","25160"
"In post","2022","Declared disabled","Greater Manchester North West","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Greater Manchester North West","Undeclared","40","35","24940","22510"
"In post","2022","Declared disabled","Greater Manchester North West","Unknown","25","20","[c]","[c]"
"In post","2022","Declared disabled","Greater Manchester South East","Heterosexual / straight","120","110","25440","22510"
"In post","2022","Declared disabled","Greater Manchester South East","LGBO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Greater Manchester South East","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Greater Manchester South East","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Greater Manchester South West","Heterosexual / straight","450","420","32200","27570"
"In post","2022","Declared disabled","Greater Manchester South West","LGBO","80","75","30780","27780"
"In post","2022","Declared disabled","Greater Manchester South West","Undeclared","60","55","31010","27570"
"In post","2022","Declared disabled","Greater Manchester South West","Unknown","55","50","30810","26820"
"In post","2022","Declared disabled","Gwent Valleys","Heterosexual / straight","115","100","27350","27570"
"In post","2022","Declared disabled","Gwent Valleys","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Gwent Valleys","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Gwent Valleys","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Gwynedd","Heterosexual / straight","75","70","24380","21690"
"In post","2022","Declared disabled","Gwynedd","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Gwynedd","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Gwynedd","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Hackney and Newham","Heterosexual / straight","510","475","38410","33440"
"In post","2022","Declared disabled","Hackney and Newham","LGBO","50","45","40360","33020"
"In post","2022","Declared disabled","Hackney and Newham","Undeclared","70","65","36860","31060"
"In post","2022","Declared disabled","Hackney and Newham","Unknown","85","75","33960","31070"
"In post","2022","Declared disabled","Haringey and Islington","Heterosexual / straight","150","145","32320","31060"
"In post","2022","Declared disabled","Haringey and Islington","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Haringey and Islington","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Haringey and Islington","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Harrow and Hillingdon","Heterosexual / straight","250","230","31390","30180"
"In post","2022","Declared disabled","Harrow and Hillingdon","LGBO","10","10","[c]","[c]"
