"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Highlands and Islands","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inner London - East","AA","30","30","22860","22020"
"In post","2022","Asian","Inner London - East","AO","460","395","25290","25110"
"In post","2022","Asian","Inner London - East","EO","1045","980","30730","31060"
"In post","2022","Asian","Inner London - East","G6","110","105","72750","71760"
"In post","2022","Asian","Inner London - East","G7","355","345","58580","59160"
"In post","2022","Asian","Inner London - East","HEO","630","615","36880","37610"
"In post","2022","Asian","Inner London - East","SCS level","50","50","94890","90980"
"In post","2022","Asian","Inner London - East","SEO","370","360","43530","43430"
"In post","2022","Asian","Inner London - East","Unknown","60","60","34100","32090"
"In post","2022","Asian","Inner London - West","AA","75","70","22740","22460"
"In post","2022","Asian","Inner London - West","AO","525","480","25750","24370"
"In post","2022","Asian","Inner London - West","EO","1120","1080","29280","29040"
"In post","2022","Asian","Inner London - West","G6","435","420","68160","66230"
"In post","2022","Asian","Inner London - West","G7","1340","1310","56080","54700"
"In post","2022","Asian","Inner London - West","HEO","1530","1505","35270","34710"
"In post","2022","Asian","Inner London - West","SCS level","165","160","86830","78760"
"In post","2022","Asian","Inner London - West","SEO","1140","1115","42510","41950"
"In post","2022","Asian","Inner London - West","Unknown","25","20","[c]","[c]"
"In post","2022","Asian","Kent","AA","10","10","[c]","[c]"
"In post","2022","Asian","Kent","AO","55","50","24800","23720"
"In post","2022","Asian","Kent","EO","85","80","29420","29290"
"In post","2022","Asian","Kent","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Kent","G7","5","5","[c]","[c]"
"In post","2022","Asian","Kent","HEO","20","20","[c]","[c]"
"In post","2022","Asian","Kent","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Kent","SEO","10","5","[c]","[c]"
"In post","2022","Asian","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lancashire","AA","15","10","[c]","[c]"
"In post","2022","Asian","Lancashire","AO","525","455","21330","21260"
"In post","2022","Asian","Lancashire","EO","315","295","27290","27570"
"In post","2022","Asian","Lancashire","G6","10","10","[c]","[c]"
"In post","2022","Asian","Lancashire","G7","20","20","[c]","[c]"
"In post","2022","Asian","Lancashire","HEO","65","60","33430","33080"
"In post","2022","Asian","Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Lancashire","SEO","40","35","40690","40490"
"In post","2022","Asian","Lancashire","Unknown","40","40","27500","24800"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","AA","30","25","[c]","[c]"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","AO","485","420","21470","21260"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","EO","350","325","27190","27570"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","G7","30","25","[c]","[c]"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","HEO","65","55","32660","32700"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Leicestershire, Rutland and Northamptonshire","SEO","40","40","41360","40520"
