"Status","Year","Disability","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","London","Croydon","7100","6750","39920","35200"
"In post","2022","Declared non-disabled","London","Ealing","345","325","32670","31060"
"In post","2022","Declared non-disabled","London","Enfield","260","240","31930","31060"
"In post","2022","Declared non-disabled","London","Hackney and Newham","4080","3870","40030","37610"
"In post","2022","Declared non-disabled","London","Haringey and Islington","985","935","32540","31060"
"In post","2022","Declared non-disabled","London","Harrow and Hillingdon","2425","2225","31610","29450"
"In post","2022","Declared non-disabled","London","Hounslow and Richmond upon Thames","1980","1875","33390","31060"
"In post","2022","Declared non-disabled","London","Kensington & Chelsea and Hammersmith & Fulham","620","595","33060","31850"
"In post","2022","Declared non-disabled","London","Lambeth","1745","1675","42850","37120"
"In post","2022","Declared non-disabled","London","Lewisham and Southwark","920","885","34100","31060"
"In post","2022","Declared non-disabled","London","Merton, Kingston upon Thames and Sutton","440","415","32930","31060"
"In post","2022","Declared non-disabled","London","Redbridge and Waltham Forest","900","825","30260","31060"
"In post","2022","Declared non-disabled","London","Tower Hamlets","4180","4050","50080","46420"
"In post","2022","Declared non-disabled","London","Wandsworth","585","560","32860","31090"
"In post","2022","Declared non-disabled","London","Westminster","35765","34750","49460","46350"
"In post","2022","Declared non-disabled","North East (England)","Darlington","830","790","37410","36370"
"In post","2022","Declared non-disabled","North East (England)","Durham","3845","3460","28190","26330"
"In post","2022","Declared non-disabled","North East (England)","Hartlepool and Stockton-on-Tees","1170","1075","27700","27470"
"In post","2022","Declared non-disabled","North East (England)","Northumberland","345","315","30110","27570"
"In post","2022","Declared non-disabled","North East (England)","South Teesside","805","725","27380","26120"
"In post","2022","Declared non-disabled","North East (England)","Sunderland","2820","2405","26300","22080"
"In post","2022","Declared non-disabled","North East (England)","Tyneside","12200","11235","31620","27570"
"In post","2022","Declared non-disabled","North West (England)","Blackburn with Darwen","355","315","27570","27570"
"In post","2022","Declared non-disabled","North West (England)","Blackpool","4180","3850","30130","27570"
"In post","2022","Declared non-disabled","North West (England)","Cheshire East","875","815","30230","26730"
"In post","2022","Declared non-disabled","North West (England)","Cheshire West and Chester","345","320","28520","27570"
"In post","2022","Declared non-disabled","North West (England)","Chorley and West Lancashire","935","865","30500","27380"
"In post","2022","Declared non-disabled","North West (England)","East Cumbria","785","720","28480","25120"
"In post","2022","Declared non-disabled","North West (England)","East Lancashire","380","340","27350","27570"
"In post","2022","Declared non-disabled","North West (England)","East Merseyside","820","735","28710","27570"
"In post","2022","Declared non-disabled","North West (England)","Greater Manchester North East","830","770","28520","27570"
"In post","2022","Declared non-disabled","North West (England)","Greater Manchester North West","1545","1395","25930","24800"
"In post","2022","Declared non-disabled","North West (England)","Greater Manchester South East","770","705","26000","24170"
"In post","2022","Declared non-disabled","North West (England)","Greater Manchester South West","4325","4105","32970","29180"
"In post","2022","Declared non-disabled","North West (England)","Lancaster and Wyre","720","665","29930","26950"
"In post","2022","Declared non-disabled","North West (England)","Liverpool","8290","7730","29640","26160"
"In post","2022","Declared non-disabled","North West (England)","Manchester","6445","6140","35110","31420"
"In post","2022","Declared non-disabled","North West (England)","Mid Lancashire","3675","3320","29280","26820"
"In post","2022","Declared non-disabled","North West (England)","Sefton","3630","3355","31460","27570"
"In post","2022","Declared non-disabled","North West (England)","Warrington","1280","1195","33130","30640"
"In post","2022","Declared non-disabled","North West (England)","West Cumbria","1005","920","28420","24920"
"In post","2022","Declared non-disabled","North West (England)","Wirral","1550","1355","27330","27130"
"In post","2022","Declared non-disabled","Northern Ireland","Antrim and Newtownabbey","135","135","26280","21430"
"In post","2022","Declared non-disabled","Northern Ireland","Ards and North Down","150","140","28210","21920"
"In post","2022","Declared non-disabled","Northern Ireland","Armagh City, Banbridge and Craigavon","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland","Belfast","1830","1725","31390","26820"
"In post","2022","Declared non-disabled","Northern Ireland","Causeway Coast and Glens","50","50","22460","20560"
"In post","2022","Declared non-disabled","Northern Ireland","Derry City and Strabane","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland","Fermanagh and Omagh","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland","Lisburn and Castlereagh","300","290","28530","24890"
"In post","2022","Declared non-disabled","Northern Ireland","Mid and East Antrim","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland","Mid Ulster","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland","Newry, Mourne and Down","45","45","23340","20560"
"In post","2022","Declared non-disabled","Overseas","Overseas","2350","2340","49080","47470"
"In post","2022","Declared non-disabled","Scotland","Aberdeen City and Aberdeenshire","1120","1050","38920","31540"
"In post","2022","Declared non-disabled","Scotland","Angus and Dundee City","1285","1205","27590","27230"
"In post","2022","Declared non-disabled","Scotland","Caithness and Sutherland, and Ross and Cromarty","150","140","30530","27570"
"In post","2022","Declared non-disabled","Scotland","City of Edinburgh","7360","7060","40230","35240"
"In post","2022","Declared non-disabled","Scotland","Clackmannanshire and Fife","660","615","30210","27570"
"In post","2022","Declared non-disabled","Scotland","Dumfries and Galloway","335","310","30160","27570"
"In post","2022","Declared non-disabled","Scotland","East Ayrshire and North Ayrshire mainland","770","705","27240","26890"
"In post","2022","Declared non-disabled","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","1400","1330","30860","27570"
"In post","2022","Declared non-disabled","Scotland","East Lothian and Midlothian","80","70","30300","27570"
"In post","2022","Declared non-disabled","Scotland","Falkirk","1005","875","26630","25930"
"In post","2022","Declared non-disabled","Scotland","Glasgow City","8240","7750","33300","27570"
"In post","2022","Declared non-disabled","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","630","565","30110","27570"
"In post","2022","Declared non-disabled","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","805","765","30200","27570"
"In post","2022","Declared non-disabled","Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","270","255","29700","27570"
"In post","2022","Declared non-disabled","Scotland","Na h-Eileanan Siar","130","120","27520","27570"
"In post","2022","Declared non-disabled","Scotland","North Lanarkshire","1720","1510","27420","26590"
"In post","2022","Declared non-disabled","Scotland","Orkney Islands","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Scotland","Perth and Kinross, and Stirling","495","465","31960","27930"
"In post","2022","Declared non-disabled","Scotland","Scottish Borders","285","265","32120","28980"
"In post","2022","Declared non-disabled","Scotland","Shetland Islands","45","45","30130","27570"
