"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Commercial","Unknown","Unknown","120","120","40230","37450"
"In post","2022","Declared non-disabled","Communications","AA/AO","AA","15","10","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","AA/AO","AO","260","235","21930","21290"
"In post","2022","Declared non-disabled","Communications","EO","EO","1745","1685","26950","26820"
"In post","2022","Declared non-disabled","Communications","G6/G7","G6","215","210","67670","66440"
"In post","2022","Declared non-disabled","Communications","G6/G7","G7","520","500","54990","54760"
"In post","2022","Declared non-disabled","Communications","SCS level","SCS level","90","90","92320","84240"
"In post","2022","Declared non-disabled","Communications","SEO/HEO","HEO","1280","1245","33670","33370"
"In post","2022","Declared non-disabled","Communications","SEO/HEO","SEO","875","845","41190","40520"
"In post","2022","Declared non-disabled","Communications","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","AA/AO","AA","15","10","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","AA/AO","AO","1880","1625","22350","21260"
"In post","2022","Declared non-disabled","Counter Fraud","EO","EO","4785","4380","28160","27570"
"In post","2022","Declared non-disabled","Counter Fraud","G6/G7","G6","220","215","69270","67910"
"In post","2022","Declared non-disabled","Counter Fraud","G6/G7","G7","670","645","56550","55210"
"In post","2022","Declared non-disabled","Counter Fraud","SCS level","SCS level","35","35","80860","79530"
"In post","2022","Declared non-disabled","Counter Fraud","SEO/HEO","HEO","2620","2490","34300","33370"
"In post","2022","Declared non-disabled","Counter Fraud","SEO/HEO","SEO","1135","1090","41030","40520"
"In post","2022","Declared non-disabled","Debt","AA/AO","AA","30","25","20440","20480"
"In post","2022","Declared non-disabled","Debt","AA/AO","AO","3105","2705","21640","21260"
"In post","2022","Declared non-disabled","Debt","EO","EO","805","725","27730","27570"
"In post","2022","Declared non-disabled","Debt","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","G6/G7","G7","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","SEO/HEO","HEO","210","190","33290","33370"
"In post","2022","Declared non-disabled","Debt","SEO/HEO","SEO","70","65","39910","40520"
"In post","2022","Declared non-disabled","Digital, Data & Technology","AA/AO","AA","55","55","18960","18750"
"In post","2022","Declared non-disabled","Digital, Data & Technology","AA/AO","AO","545","525","22110","21430"
"In post","2022","Declared non-disabled","Digital, Data & Technology","EO","EO","2385","2270","27540","27270"
"In post","2022","Declared non-disabled","Digital, Data & Technology","G6/G7","G6","995","975","67460","66520"
"In post","2022","Declared non-disabled","Digital, Data & Technology","G6/G7","G7","3170","3100","54600","54540"
"In post","2022","Declared non-disabled","Digital, Data & Technology","SCS level","SCS level","235","230","91090","85000"
