"Status","Year","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","HM Treasury","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Female","Heterosexual / straight","14285","12915","32070","28650"
"In post","2022","Home Office","Female","LGBO","500","480","32440","26850"
"In post","2022","Home Office","Female","Undeclared","1880","1675","32080","28650"
"In post","2022","Home Office","Female","Unknown","2205","2135","32000","27370"
"In post","2022","Home Office","Male","Heterosexual / straight","12730","12285","33160","28670"
"In post","2022","Home Office","Male","LGBO","685","665","34820","30820"
"In post","2022","Home Office","Male","Undeclared","2025","1920","34280","30150"
"In post","2022","Home Office","Male","Unknown","2230","2150","32680","27370"
"In post","2022","Home Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Female","Heterosexual / straight","16830","15865","32580","29000"
"In post","2022","Ministry of Defence","Female","LGBO","685","670","31810","29000"
"In post","2022","Ministry of Defence","Female","Undeclared","2210","2090","33420","32200"
"In post","2022","Ministry of Defence","Female","Unknown","3290","3080","35210","33000"
"In post","2022","Ministry of Defence","Male","Heterosexual / straight","23485","23070","35230","33200"
"In post","2022","Ministry of Defence","Male","LGBO","770","760","35150","33200"
"In post","2022","Ministry of Defence","Male","Undeclared","3695","3600","36630","34310"
"In post","2022","Ministry of Defence","Male","Unknown","6865","6760","37570","36220"
"In post","2022","Ministry of Defence","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice","Female","Heterosexual / straight","35170","32345","29840","26400"
"In post","2022","Ministry of Justice","Female","LGBO","2750","2675","29880","27120"
"In post","2022","Ministry of Justice","Female","Undeclared","3710","3375","30300","26900"
"In post","2022","Ministry of Justice","Female","Unknown","7960","7305","28290","25190"
"In post","2022","Ministry of Justice","Male","Heterosexual / straight","25565","24655","31780","29430"
"In post","2022","Ministry of Justice","Male","LGBO","1495","1460","32740","29060"
