"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","EO","380","345","27790","27570"
"In post","2022","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","G6/G7","55","50","60320","55210"
"In post","2022","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","SEO/HEO","230","215","37800","36300"
"In post","2022","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","Unknown","100","90","30750","28660"
"In post","2022","Declared disabled","West Midlands (England)","West Midlands","AA/AO","650","570","21420","21260"
"In post","2022","Declared disabled","West Midlands (England)","West Midlands","EO","815","725","27070","27570"
"In post","2022","Declared disabled","West Midlands (England)","West Midlands","G6/G7","180","170","55400","53530"
"In post","2022","Declared disabled","West Midlands (England)","West Midlands","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","West Midlands (England)","West Midlands","SEO/HEO","525","495","35000","33370"
"In post","2022","Declared disabled","West Midlands (England)","West Midlands","Unknown","205","190","30220","28200"
"In post","2022","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AA/AO","205","175","23140","21260"
"In post","2022","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","EO","210","190","27510","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SEO/HEO","60","55","35730","33840"
"In post","2022","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Unknown","60","55","29780","28320"
"In post","2022","Declared disabled","Yorkshire and The Humber","North Yorkshire","AA/AO","115","105","21730","21260"
"In post","2022","Declared disabled","Yorkshire and The Humber","North Yorkshire","EO","130","120","26800","26670"
"In post","2022","Declared disabled","Yorkshire and The Humber","North Yorkshire","G6/G7","60","55","54600","51160"
"In post","2022","Declared disabled","Yorkshire and The Humber","North Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Yorkshire and The Humber","North Yorkshire","SEO/HEO","145","140","34740","33300"
"In post","2022","Declared disabled","Yorkshire and The Humber","North Yorkshire","Unknown","35","30","29350","28200"
"In post","2022","Declared disabled","Yorkshire and The Humber","South Yorkshire","AA/AO","370","320","21740","21260"
"In post","2022","Declared disabled","Yorkshire and The Humber","South Yorkshire","EO","380","335","27020","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","South Yorkshire","G6/G7","120","115","55670","52280"
"In post","2022","Declared disabled","Yorkshire and The Humber","South Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Yorkshire and The Humber","South Yorkshire","SEO/HEO","335","310","35140","34290"
"In post","2022","Declared disabled","Yorkshire and The Humber","South Yorkshire","Unknown","100","90","30410","28200"
"In post","2022","Declared disabled","Yorkshire and The Humber","West Yorkshire","AA/AO","520","445","22050","21260"
"In post","2022","Declared disabled","Yorkshire and The Humber","West Yorkshire","EO","635","575","27260","27570"
