"Status","Year","Age","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","50-59","G6/G7","G7","Female","365","[c]","53580","52750"
"Leaver Dept.","2022","50-59","G6/G7","G7","Male","300","[c]","54340","54070"
"Leaver Dept.","2022","50-59","SCS level","SCS level","Female","145","[c]","107470","107720"
"Leaver Dept.","2022","50-59","SCS level","SCS level","Male","135","[c]","104970","103220"
"Leaver Dept.","2022","50-59","SEO/HEO","HEO","Female","360","[c]","32620","32330"
"Leaver Dept.","2022","50-59","SEO/HEO","HEO","Male","215","[c]","33270","33100"
"Leaver Dept.","2022","50-59","SEO/HEO","SEO","Female","360","[c]","40310","40070"
"Leaver Dept.","2022","50-59","SEO/HEO","SEO","Male","245","[c]","40760","40570"
"Leaver Dept.","2022","50-59","Unknown","Unknown","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Unknown","Unknown","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","AA/AO","AA","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","AA/AO","AA","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","AA/AO","AO","Female","55","[c]","21610","21680"
"Leaver Dept.","2022","60-64","AA/AO","AO","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","EO","EO","Female","75","[c]","26960","27570"
"Leaver Dept.","2022","60-64","EO","EO","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","G6/G7","G6","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","G6/G7","G6","Male","45","[c]","71360","69790"
"Leaver Dept.","2022","60-64","G6/G7","G7","Female","55","[c]","53670","53230"
"Leaver Dept.","2022","60-64","G6/G7","G7","Male","45","[c]","54660","54620"
"Leaver Dept.","2022","60-64","SCS level","SCS level","Female","35","[c]","120070","114000"
"Leaver Dept.","2022","60-64","SCS level","SCS level","Male","40","[c]","119860","118280"
"Leaver Dept.","2022","60-64","SEO/HEO","HEO","Female","65","[c]","33680","33800"
"Leaver Dept.","2022","60-64","SEO/HEO","HEO","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","SEO/HEO","SEO","Female","55","[c]","40170","40060"
"Leaver Dept.","2022","60-64","SEO/HEO","SEO","Male","40","[c]","41320","41350"
"Leaver Dept.","2022","60-64","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Unknown","Unknown","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","AA/AO","AA","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","AA/AO","AO","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","AA/AO","AO","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","EO","EO","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","EO","EO","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","G6/G7","G6","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","G6/G7","G6","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","G6/G7","G7","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","G6/G7","G7","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","SCS level","SCS level","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","SCS level","SCS level","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","SEO/HEO","HEO","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","SEO/HEO","HEO","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","SEO/HEO","SEO","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","SEO/HEO","SEO","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","EO","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","EO","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","AA/AO","AA","Female","100","[c]","19550","19900"
"New entrant CS","2022","16-19","AA/AO","AA","Male","100","[c]","19730","20710"
"New entrant CS","2022","16-19","AA/AO","AO","Female","305","[c]","22190","21260"
"New entrant CS","2022","16-19","AA/AO","AO","Male","260","[c]","22060","21260"
"New entrant CS","2022","16-19","EO","EO","Female","85","[c]","25520","25500"
"New entrant CS","2022","16-19","EO","EO","Male","125","[c]","21910","23850"
"New entrant CS","2022","16-19","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Unknown","Unknown","Female","10","[c]","[c]","[c]"
"New entrant CS","2022","16-19","Unknown","Unknown","Male","20","[c]","[c]","[c]"
"New entrant CS","2022","20-29","AA/AO","AA","Female","925","[c]","20570","20890"
"New entrant CS","2022","20-29","AA/AO","AA","Male","700","[c]","20460","20890"
"New entrant CS","2022","20-29","AA/AO","AO","Female","5685","[c]","22260","21260"
"New entrant CS","2022","20-29","AA/AO","AO","Male","4335","[c]","22410","21260"
"New entrant CS","2022","20-29","EO","EO","Female","4325","[c]","26980","27230"
"New entrant CS","2022","20-29","EO","EO","Male","3115","[c]","26730","26750"
"New entrant CS","2022","20-29","G6/G7","G6","Female","15","[c]","[c]","[c]"
"New entrant CS","2022","20-29","G6/G7","G6","Male","15","[c]","[c]","[c]"
"New entrant CS","2022","20-29","G6/G7","G7","Female","250","[c]","53100","53130"
"New entrant CS","2022","20-29","G6/G7","G7","Male","220","[c]","53790","53360"
"New entrant CS","2022","20-29","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","SEO/HEO","HEO","Female","2745","[c]","31870","32000"
"New entrant CS","2022","20-29","SEO/HEO","HEO","Male","2340","[c]","31840","32330"
"New entrant CS","2022","20-29","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","SEO/HEO","SEO","Female","635","[c]","39780","39980"
"New entrant CS","2022","20-29","SEO/HEO","SEO","Male","515","[c]","39620","39660"
"New entrant CS","2022","20-29","Unknown","Unknown","Female","1705","[c]","23760","23170"
"New entrant CS","2022","20-29","Unknown","Unknown","Male","435","[c]","24160","23170"
"New entrant CS","2022","30-39","AA/AO","AA","Female","405","[c]","20750","20890"
"New entrant CS","2022","30-39","AA/AO","AA","Male","290","[c]","21310","21050"
"New entrant CS","2022","30-39","AA/AO","AO","Female","2330","[c]","22130","21260"
"New entrant CS","2022","30-39","AA/AO","AO","Male","2200","[c]","22830","21300"
"New entrant CS","2022","30-39","EO","EO","Female","2080","[c]","27170","27570"
"New entrant CS","2022","30-39","EO","EO","Male","1825","[c]","27230","27230"
"New entrant CS","2022","30-39","G6/G7","G6","Female","135","[c]","67590","65440"
"New entrant CS","2022","30-39","G6/G7","G6","Male","125","[c]","67710","65440"
"New entrant CS","2022","30-39","G6/G7","G7","Female","705","[c]","53130","52500"
"New entrant CS","2022","30-39","G6/G7","G7","Male","645","[c]","53990","53000"
"New entrant CS","2022","30-39","SCS level","SCS level","Female","40","[c]","85410","84560"
"New entrant CS","2022","30-39","SCS level","SCS level","Male","40","[c]","83920","84560"
"New entrant CS","2022","30-39","SEO/HEO","HEO","Female","1300","[c]","32480","32330"
"New entrant CS","2022","30-39","SEO/HEO","HEO","Male","1180","[c]","32720","33000"
"New entrant CS","2022","30-39","SEO/HEO","SEO","Female","995","[c]","39980","39830"
"New entrant CS","2022","30-39","SEO/HEO","SEO","Male","825","[c]","40160","40000"
"New entrant CS","2022","30-39","Unknown","Unknown","Female","1485","[c]","27080","24800"
"New entrant CS","2022","30-39","Unknown","Unknown","Male","465","[c]","27570","24800"
"New entrant CS","2022","40-49","AA/AO","AA","Female","295","[c]","20720","20890"
"New entrant CS","2022","40-49","AA/AO","AA","Male","200","[c]","21450","21050"
"New entrant CS","2022","40-49","AA/AO","AO","Female","1555","[c]","21900","21260"
"New entrant CS","2022","40-49","AA/AO","AO","Male","1090","[c]","22860","21260"
"New entrant CS","2022","40-49","EO","EO","Female","1315","[c]","27260","27570"
"New entrant CS","2022","40-49","EO","EO","Male","1010","[c]","27230","27230"
"New entrant CS","2022","40-49","G6/G7","G6","Female","165","[c]","67180","65280"
"New entrant CS","2022","40-49","G6/G7","G6","Male","170","[c]","69100","66250"
"New entrant CS","2022","40-49","G6/G7","G7","Female","565","[c]","53700","52080"
"New entrant CS","2022","40-49","G6/G7","G7","Male","525","[c]","54850","53380"
"New entrant CS","2022","40-49","SCS level","SCS level","Female","70","[c]","88930","84560"
"New entrant CS","2022","40-49","SCS level","SCS level","Male","90","[c]","100490","90000"
"New entrant CS","2022","40-49","SEO/HEO","HEO","Female","725","[c]","32530","32200"
"New entrant CS","2022","40-49","SEO/HEO","HEO","Male","590","[c]","32720","33000"
"New entrant CS","2022","40-49","SEO/HEO","SEO","Female","635","[c]","40250","39730"
"New entrant CS","2022","40-49","SEO/HEO","SEO","Male","540","[c]","41290","40100"
"New entrant CS","2022","40-49","Unknown","Unknown","Female","1405","[c]","31100","28200"
"New entrant CS","2022","40-49","Unknown","Unknown","Male","495","[c]","32800","28970"
"New entrant CS","2022","50-59","AA/AO","AA","Female","265","[c]","20570","20890"
"New entrant CS","2022","50-59","AA/AO","AA","Male","280","[c]","21190","20890"
"New entrant CS","2022","50-59","AA/AO","AO","Female","1325","[c]","21640","21260"
"New entrant CS","2022","50-59","AA/AO","AO","Male","780","[c]","22530","21260"
"New entrant CS","2022","50-59","EO","EO","Female","990","[c]","27550","27570"
"New entrant CS","2022","50-59","EO","EO","Male","995","[c]","28370","27570"
"New entrant CS","2022","50-59","G6/G7","G6","Female","90","[c]","68100","65280"
"New entrant CS","2022","50-59","G6/G7","G6","Male","125","[c]","69720","66760"
"New entrant CS","2022","50-59","G6/G7","G7","Female","305","[c]","54130","52000"
"New entrant CS","2022","50-59","G6/G7","G7","Male","360","[c]","55770","54000"
"New entrant CS","2022","50-59","SCS level","SCS level","Female","50","[c]","99130","93000"
"New entrant CS","2022","50-59","SCS level","SCS level","Male","55","[c]","116430","110000"
"New entrant CS","2022","50-59","SEO/HEO","HEO","Female","365","[c]","32320","32000"
"New entrant CS","2022","50-59","SEO/HEO","HEO","Male","415","[c]","33310","33000"
"New entrant CS","2022","50-59","SEO/HEO","SEO","Female","360","[c]","40980","40060"
"New entrant CS","2022","50-59","SEO/HEO","SEO","Male","395","[c]","41310","40050"
"New entrant CS","2022","50-59","Unknown","Unknown","Female","1360","[c]","30340","28200"
"New entrant CS","2022","50-59","Unknown","Unknown","Male","775","[c]","32060","28620"
"New entrant CS","2022","60-64","AA/AO","AA","Female","80","[c]","20030","19810"
"New entrant CS","2022","60-64","AA/AO","AA","Male","70","[c]","21200","20890"
"New entrant CS","2022","60-64","AA/AO","AO","Female","245","[c]","21420","21260"
"New entrant CS","2022","60-64","AA/AO","AO","Male","190","[c]","21680","21260"
"New entrant CS","2022","60-64","EO","EO","Female","130","[c]","27660","27570"
"New entrant CS","2022","60-64","EO","EO","Male","160","[c]","28650","27570"
"New entrant CS","2022","60-64","G6/G7","G6","Female","10","[c]","[c]","[c]"
"New entrant CS","2022","60-64","G6/G7","G6","Male","20","[c]","[c]","[c]"
"New entrant CS","2022","60-64","G6/G7","G7","Female","25","[c]","[c]","[c]"
"New entrant CS","2022","60-64","G6/G7","G7","Male","55","[c]","55270","54480"
"New entrant CS","2022","60-64","SCS level","SCS level","Female","5","[c]","[c]","[c]"
"New entrant CS","2022","60-64","SCS level","SCS level","Male","15","[c]","[c]","[c]"
"New entrant CS","2022","60-64","SEO/HEO","HEO","Female","60","[c]","32330","32310"
"New entrant CS","2022","60-64","SEO/HEO","HEO","Male","65","[c]","32820","33000"
"New entrant CS","2022","60-64","SEO/HEO","SEO","Female","45","[c]","40170","40060"
"New entrant CS","2022","60-64","SEO/HEO","SEO","Male","65","[c]","41120","40000"
"New entrant CS","2022","60-64","Unknown","Unknown","Female","445","[c]","29010","28200"
"New entrant CS","2022","60-64","Unknown","Unknown","Male","330","[c]","31860","28820"
"New entrant CS","2022","65+","AA/AO","AA","Female","5","[c]","[c]","[c]"
"New entrant CS","2022","65+","AA/AO","AA","Male","20","[c]","[c]","[c]"
"New entrant CS","2022","65+","AA/AO","AO","Female","40","[c]","21580","21260"
"New entrant CS","2022","65+","AA/AO","AO","Male","45","[c]","21510","21260"
"New entrant CS","2022","65+","EO","EO","Female","20","[c]","[c]","[c]"
"New entrant CS","2022","65+","EO","EO","Male","45","[c]","28370","27230"
"New entrant CS","2022","65+","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","G6/G7","G6","Male","5","[c]","[c]","[c]"
"New entrant CS","2022","65+","G6/G7","G7","Female","5","[c]","[c]","[c]"
"New entrant CS","2022","65+","G6/G7","G7","Male","15","[c]","[c]","[c]"
"New entrant CS","2022","65+","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","65+","SEO/HEO","HEO","Female","5","[c]","[c]","[c]"
"New entrant CS","2022","65+","SEO/HEO","HEO","Male","15","[c]","[c]","[c]"
"New entrant CS","2022","65+","SEO/HEO","SEO","Female","10","[c]","[c]","[c]"
"New entrant CS","2022","65+","SEO/HEO","SEO","Male","20","[c]","[c]","[c]"
"New entrant CS","2022","65+","Unknown","Unknown","Female","165","[c]","31090","28200"
"New entrant CS","2022","65+","Unknown","Unknown","Male","150","[c]","32130","28620"
"New entrant CS","2022","Unknown","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","EO","EO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","EO","EO","Male","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","","",""
"Version","Generated on 2023-02-15, with GIT 71a76ea.","","","","","","","",""
"Data column","Description","","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","","","",""
"Responsibility_level_ungrouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","","",""
"","Responsibility_level_ungrouped shows the mapped grades at a higher level of detail, however not all Government Departments / bodies have distinct grades that map exactly to these levels so figures should be considered as approximations and treated with caution.","","","","","","","",""
"Sex","Self reported sex.","","","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","","",""
