"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","60-64","Finance","Unknown","10","10","[c]","[c]"
"In post","2022","60-64","Geography","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Geography","EO","15","10","28930","29290"
"In post","2022","60-64","Geography","SEO/HEO","25","20","36600","35340"
"In post","2022","60-64","Human Resources","AA/AO","125","105","22010","21830"
"In post","2022","60-64","Human Resources","EO","120","100","28050","27570"
"In post","2022","60-64","Human Resources","G6/G7","85","75","59380","57900"
"In post","2022","60-64","Human Resources","SCS level","10","10","98950","92410"
"In post","2022","60-64","Human Resources","SEO/HEO","280","235","37770","36970"
"In post","2022","60-64","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Inspector of Education and Training","G6/G7","65","60","76930","75500"
"In post","2022","60-64","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Inspector of Education and Training","SEO/HEO","30","25","51020","51360"
"In post","2022","60-64","Intelligence Analysis","AA/AO","15","15","23380","21680"
"In post","2022","60-64","Intelligence Analysis","EO","90","70","28570","28350"
"In post","2022","60-64","Intelligence Analysis","G6/G7","10","10","64110","63640"
"In post","2022","60-64","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Intelligence Analysis","SEO/HEO","55","45","39380","39420"
"In post","2022","60-64","Internal Audit","AA/AO","5","5","[c]","[c]"
"In post","2022","60-64","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Internal Audit","G6/G7","15","10","61580","60520"
"In post","2022","60-64","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Internal Audit","SEO/HEO","50","45","41430","42720"
"In post","2022","60-64","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","International Trade","G6/G7","25","25","61860","61860"
"In post","2022","60-64","International Trade","SCS level","5","5","[c]","[c]"
"In post","2022","60-64","International Trade","SEO/HEO","20","15","39640","39110"
"In post","2022","60-64","Knowledge and Information Management","AA/AO","60","55","22410","21380"
"In post","2022","60-64","Knowledge and Information Management","EO","60","55","28550","27570"
"In post","2022","60-64","Knowledge and Information Management","G6/G7","20","20","61760","61210"
"In post","2022","60-64","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Knowledge and Information Management","SEO/HEO","80","75","38320","37970"
"In post","2022","60-64","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Legal","AA/AO","30","25","23450","22080"
"In post","2022","60-64","Legal","EO","95","70","28950","28920"
"In post","2022","60-64","Legal","G6/G7","365","310","62780","62550"
"In post","2022","60-64","Legal","SCS level","25","25","90950","87780"
"In post","2022","60-64","Legal","SEO/HEO","200","160","42450","41250"
"In post","2022","60-64","Medicine","AA/AO","25","20","22300","23280"
"In post","2022","60-64","Medicine","EO","30","25","34520","31530"
"In post","2022","60-64","Medicine","G6/G7","60","50","79260","81410"
"In post","2022","60-64","Medicine","SCS level","45","40","123700","118510"
"In post","2022","60-64","Medicine","SEO/HEO","55","50","40390","39030"
"In post","2022","60-64","Operational Delivery","AA/AO","10970","8615","22460","21260"
"In post","2022","60-64","Operational Delivery","EO","7770","6070","28500","27570"
"In post","2022","60-64","Operational Delivery","G6/G7","490","440","61140","59150"
"In post","2022","60-64","Operational Delivery","SCS level","55","50","108450","103000"
"In post","2022","60-64","Operational Delivery","SEO/HEO","2750","2235","37870","36130"
"In post","2022","60-64","Operational Delivery","Unknown","1670","1445","30940","28200"
"In post","2022","60-64","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Operational Research","G6/G7","25","25","56350","56850"
"In post","2022","60-64","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Operational Research","SEO/HEO","10","5","[c]","[c]"
"In post","2022","60-64","Other","AA/AO","1555","1405","21280","21260"
"In post","2022","60-64","Other","EO","945","845","27440","27570"
"In post","2022","60-64","Other","G6/G7","145","130","61530","57910"
"In post","2022","60-64","Other","SCS level","30","30","106720","93500"
"In post","2022","60-64","Other","SEO/HEO","680","625","37070","35960"
"In post","2022","60-64","Other","Unknown","120","120","39790","37140"
"In post","2022","60-64","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Planning Inspectors","G6/G7","35","30","61230","58810"
"In post","2022","60-64","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Policy","AA/AO","60","55","24010","24370"
"In post","2022","60-64","Policy","EO","155","140","29240","29430"
"In post","2022","60-64","Policy","G6/G7","380","350","62300","61440"
"In post","2022","60-64","Policy","SCS level","85","80","94630","85730"
"In post","2022","60-64","Policy","SEO/HEO","425","385","39190","38370"
"In post","2022","60-64","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Project Delivery","AA/AO","65","55","22100","21260"
"In post","2022","60-64","Project Delivery","EO","95","80","28250","27570"
"In post","2022","60-64","Project Delivery","G6/G7","270","235","58640","56220"
"In post","2022","60-64","Project Delivery","SCS level","20","15","95420","82460"
"In post","2022","60-64","Project Delivery","SEO/HEO","565","480","38340","38790"
"In post","2022","60-64","Project Delivery","Unknown","30","25","53620","55000"
"In post","2022","60-64","Property","AA/AO","190","175","19620","18230"
"In post","2022","60-64","Property","EO","150","130","28000","27000"
"In post","2022","60-64","Property","G6/G7","165","150","60490","58780"
"In post","2022","60-64","Property","SCS level","10","10","[c]","[c]"
"In post","2022","60-64","Property","SEO/HEO","375","335","39200","38330"
"In post","2022","60-64","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Psychology","EO","10","10","27020","27380"
"In post","2022","60-64","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Psychology","SEO/HEO","5","5","[c]","[c]"
"In post","2022","60-64","Science and Engineering","AA/AO","140","135","22330","22750"
"In post","2022","60-64","Science and Engineering","EO","165","150","27200","26930"
"In post","2022","60-64","Science and Engineering","G6/G7","250","220","58260","57480"
"In post","2022","60-64","Science and Engineering","SCS level","10","10","104570","107600"
"In post","2022","60-64","Science and Engineering","SEO/HEO","475","425","39360","39650"
"In post","2022","60-64","Science and Engineering","Unknown","50","40","45340","44180"
"In post","2022","60-64","Security","AA/AO","615","555","24030","20560"
"In post","2022","60-64","Security","EO","65","60","30470","28660"
"In post","2022","60-64","Security","G6/G7","35","35","60550","59730"
"In post","2022","60-64","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Security","SEO/HEO","140","125","39880","37320"
"In post","2022","60-64","Security","Unknown","10","10","[c]","[c]"
"In post","2022","60-64","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Social Research","G6/G7","10","10","57590","54120"
"In post","2022","60-64","Social Research","SEO/HEO","10","5","[c]","[c]"
"In post","2022","60-64","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Statistics","EO","10","10","28680","29140"
"In post","2022","60-64","Statistics","G6/G7","15","15","63250","61440"
"In post","2022","60-64","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Statistics","SEO/HEO","20","20","39310","39670"
"In post","2022","60-64","Tax","AA/AO","135","110","21670","21250"
"In post","2022","60-64","Tax","EO","300","225","28920","28920"
"In post","2022","60-64","Tax","G6/G7","225","170","63420","62120"
"In post","2022","60-64","Tax","SCS level","10","5","[c]","[c]"
"In post","2022","60-64","Tax","SEO/HEO","610","485","37890","37930"
"In post","2022","60-64","Unknown","AA/AO","370","330","23970","23230"
"In post","2022","60-64","Unknown","EO","210","190","29570","30040"
"In post","2022","60-64","Unknown","G6/G7","275","250","66160","64500"
"In post","2022","60-64","Unknown","SCS level","70","65","106910","97320"
"In post","2022","60-64","Unknown","SEO/HEO","405","360","40660","39520"
"In post","2022","60-64","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Veterinarian","G6/G7","15","10","59290","56070"
"In post","2022","60-64","Veterinarian","SEO/HEO","15","10","43330","49270"
"In post","2022","65+","Commercial","AA/AO","15","10","22320","21660"
"In post","2022","65+","Commercial","EO","15","10","27700","26780"
"In post","2022","65+","Commercial","G6/G7","10","10","66880","64640"
"In post","2022","65+","Commercial","SEO/HEO","45","40","39640","39570"
"In post","2022","65+","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Communications","AA/AO","10","10","22280","21600"
"In post","2022","65+","Communications","EO","15","10","28780","29200"
"In post","2022","65+","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Communications","SEO/HEO","20","15","38580","38110"
"In post","2022","65+","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Counter Fraud","AA/AO","85","60","22760","22260"
"In post","2022","65+","Counter Fraud","EO","165","115","28250","27570"
"In post","2022","65+","Counter Fraud","G6/G7","5","5","[c]","[c]"
"In post","2022","65+","Counter Fraud","SEO/HEO","40","30","37340","36060"
"In post","2022","65+","Digital, Data and Technology","AA/AO","35","30","23160","22330"
"In post","2022","65+","Digital, Data and Technology","EO","85","65","28580","27570"
"In post","2022","65+","Digital, Data and Technology","G6/G7","55","50","60480","59840"
"In post","2022","65+","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Digital, Data and Technology","SEO/HEO","150","125","39880","38700"
"In post","2022","65+","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Economics","G6/G7","5","5","[c]","[c]"
"In post","2022","65+","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Finance","AA/AO","50","40","23060","22530"
"In post","2022","65+","Finance","EO","70","60","29350","28840"
"In post","2022","65+","Finance","G6/G7","25","20","59750","58870"
"In post","2022","65+","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Finance","SEO/HEO","125","115","38700","37480"
"In post","2022","65+","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Geography","EO","5","5","[c]","[c]"
"In post","2022","65+","Geography","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Human Resources","AA/AO","45","35","22010","21830"
"In post","2022","65+","Human Resources","EO","30","20","28520","28170"
"In post","2022","65+","Human Resources","G6/G7","20","15","59440","59730"
"In post","2022","65+","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Human Resources","SEO/HEO","55","40","38410","36560"
"In post","2022","65+","Inspector of Education and Training","G6/G7","15","10","76680","75500"
"In post","2022","65+","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Inspector of Education and Training","SEO/HEO","5","5","[c]","[c]"
"In post","2022","65+","Intelligence Analysis","AA/AO","10","5","23860","24600"
"In post","2022","65+","Intelligence Analysis","EO","35","25","29330","29250"
"In post","2022","65+","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Intelligence Analysis","SEO/HEO","20","15","40270","39420"
"In post","2022","65+","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Internal Audit","SEO/HEO","10","5","[c]","[c]"
"In post","2022","65+","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","65+","International Trade","G6/G7","5","5","[c]","[c]"
"In post","2022","65+","International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Knowledge and Information Management","AA/AO","20","15","23480","23100"
"In post","2022","65+","Knowledge and Information Management","EO","20","15","27450","27570"
"In post","2022","65+","Knowledge and Information Management","G6/G7","5","5","[c]","[c]"
"In post","2022","65+","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Knowledge and Information Management","SEO/HEO","20","15","37980","36460"
"In post","2022","65+","Legal","AA/AO","25","20","22650","21250"
"In post","2022","65+","Legal","EO","30","20","29330","28920"
"In post","2022","65+","Legal","G6/G7","135","100","63810","62340"
"In post","2022","65+","Legal","SCS level","5","5","[c]","[c]"
"In post","2022","65+","Legal","SEO/HEO","60","40","42400","41950"
"In post","2022","65+","Medicine","AA/AO","10","10","23520","23280"
"In post","2022","65+","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Medicine","G6/G7","20","20","81870","83620"
"In post","2022","65+","Medicine","SCS level","25","15","113850","112850"
"In post","2022","65+","Medicine","SEO/HEO","15","10","39480","39030"
"In post","2022","65+","Operational Delivery","AA/AO","3830","2840","22300","21260"
"In post","2022","65+","Operational Delivery","EO","2150","1545","28570","27570"
"In post","2022","65+","Operational Delivery","G6/G7","105","90","63810","61440"
"In post","2022","65+","Operational Delivery","SCS level","10","10","116980","97860"
"In post","2022","65+","Operational Delivery","SEO/HEO","660","495","38590","36480"
"In post","2022","65+","Operational Delivery","Unknown","575","440","31120","28200"
"In post","2022","65+","Operational Research","G6/G7","10","10","58380","57410"
"In post","2022","65+","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Operational Research","SEO/HEO","5","5","[c]","[c]"
"In post","2022","65+","Other","AA/AO","570","495","21300","21260"
"In post","2022","65+","Other","EO","290","250","27200","27570"
"In post","2022","65+","Other","G6/G7","30","25","61640","60250"
"In post","2022","65+","Other","SCS level","5","5","[c]","[c]"
"In post","2022","65+","Other","SEO/HEO","200","170","38440","36460"
"In post","2022","65+","Other","Unknown","25","25","37650","32700"
"In post","2022","65+","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Planning Inspectors","G6/G7","45","25","66810","65270"
"In post","2022","65+","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Policy","AA/AO","40","35","24070","24370"
"In post","2022","65+","Policy","EO","50","45","29220","29420"
"In post","2022","65+","Policy","G6/G7","95","70","62340","61440"
"In post","2022","65+","Policy","SCS level","15","15","97670","96650"
"In post","2022","65+","Policy","SEO/HEO","125","100","38720","38160"
"In post","2022","65+","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Project Delivery","AA/AO","30","20","22510","21260"
"In post","2022","65+","Project Delivery","EO","25","20","28610","27570"
"In post","2022","65+","Project Delivery","G6/G7","60","45","60370","59640"
"In post","2022","65+","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Project Delivery","SEO/HEO","130","105","39000","39170"
"In post","2022","65+","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Property","AA/AO","100","85","19250","17480"
"In post","2022","65+","Property","EO","60","55","28100","27000"
"In post","2022","65+","Property","G6/G7","35","30","59780","59750"
"In post","2022","65+","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Property","SEO/HEO","125","105","39610","38000"
"In post","2022","65+","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Psychology","SEO/HEO","5","5","[c]","[c]"
"In post","2022","65+","Science and Engineering","AA/AO","75","65","22450","22750"
"In post","2022","65+","Science and Engineering","EO","60","50","26970","26670"
"In post","2022","65+","Science and Engineering","G6/G7","95","70","59790","58380"
"In post","2022","65+","Science and Engineering","SCS level","5","5","[c]","[c]"
"In post","2022","65+","Science and Engineering","SEO/HEO","160","130","38370","38690"
"In post","2022","65+","Science and Engineering","Unknown","25","25","46370","41240"
"In post","2022","65+","Security","AA/AO","200","180","23300","21170"
"In post","2022","65+","Security","EO","25","20","30060","28160"
"In post","2022","65+","Security","G6/G7","10","10","[c]","[c]"
"In post","2022","65+","Security","SEO/HEO","45","35","39400","37530"
"In post","2022","65+","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Statistics","EO","5","5","[c]","[c]"
"In post","2022","65+","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","65+","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Statistics","SEO/HEO","5","5","[c]","[c]"
"In post","2022","65+","Tax","AA/AO","35","30","21910","21250"
"In post","2022","65+","Tax","EO","105","70","29590","28920"
"In post","2022","65+","Tax","G6/G7","45","30","62400","58710"
"In post","2022","65+","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Tax","SEO/HEO","160","105","39240","40350"
"In post","2022","65+","Unknown","AA/AO","135","120","25010","24020"
"In post","2022","65+","Unknown","EO","60","50","29560","30040"
"In post","2022","65+","Unknown","G6/G7","65","55","66950","64890"
"In post","2022","65+","Unknown","SCS level","10","10","126320","119170"
"In post","2022","65+","Unknown","SEO/HEO","90","75","40160","39660"
"In post","2022","65+","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Veterinarian","G6/G7","5","5","[c]","[c]"
"In post","2022","65+","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Veterinarian","SEO/HEO","15","10","47400","50660"
"In post","2022","Unknown","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Operational Delivery","AA/AO","100","[c]","20400","21010"
"Leaver CS","2022","16-19","Operational Delivery","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Other","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Other","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Policy","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Policy","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Science and Engineering","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","AA/AO","40","[c]","21910","21260"
"Leaver CS","2022","16-19","Unknown","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Commercial","AA/AO","10","[c]","20740","21260"
"Leaver CS","2022","20-29","Commercial","EO","30","[c]","24430","25000"
"Leaver CS","2022","20-29","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Commercial","SEO/HEO","55","[c]","33720","33420"
"Leaver CS","2022","20-29","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Communications","AA/AO","20","[c]","21810","21520"
"Leaver CS","2022","20-29","Communications","EO","50","[c]","27400","27680"
"Leaver CS","2022","20-29","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Communications","SEO/HEO","60","[c]","35270","36340"
"Leaver CS","2022","20-29","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Counter Fraud","AA/AO","10","[c]","21630","21260"
"Leaver CS","2022","20-29","Counter Fraud","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Counter Fraud","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Digital, Data and Technology","AA/AO","60","[c]","20780","21170"
"Leaver CS","2022","20-29","Digital, Data and Technology","EO","80","[c]","26080","26350"
"Leaver CS","2022","20-29","Digital, Data and Technology","G6/G7","30","[c]","56430","54640"
"Leaver CS","2022","20-29","Digital, Data and Technology","SEO/HEO","160","[c]","36690","36780"
"Leaver CS","2022","20-29","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Economics","AA/AO","75","[c]","21300","19610"
"Leaver CS","2022","20-29","Economics","EO","15","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Economics","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Economics","SEO/HEO","40","[c]","34400","34570"
"Leaver CS","2022","20-29","Finance","AA/AO","15","[c]","21400","21260"
"Leaver CS","2022","20-29","Finance","EO","50","[c]","23320","25000"
"Leaver CS","2022","20-29","Finance","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Finance","SEO/HEO","40","[c]","36370","36150"
"Leaver CS","2022","20-29","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Geography","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Geography","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Human Resources","AA/AO","40","[c]","21960","21170"
"Leaver CS","2022","20-29","Human Resources","EO","55","[c]","23870","26010"
"Leaver CS","2022","20-29","Human Resources","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Human Resources","SEO/HEO","35","[c]","34100","33110"
"Leaver CS","2022","20-29","Intelligence Analysis","EO","15","[c]","27680","27750"
"Leaver CS","2022","20-29","Intelligence Analysis","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","International Trade","EO","30","[c]","[c]","[c]"
"Leaver CS","2022","20-29","International Trade","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","International Trade","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Knowledge and Information Management","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Knowledge and Information Management","EO","15","[c]","25270","24730"
"Leaver CS","2022","20-29","Knowledge and Information Management","SEO/HEO","35","[c]","32320","30230"
"Leaver CS","2022","20-29","Legal","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Legal","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Legal","G6/G7","15","[c]","52790","53050"
"Leaver CS","2022","20-29","Legal","SEO/HEO","25","[c]","39330","38000"
"Leaver CS","2022","20-29","Medicine","AA/AO","10","[c]","22950","23280"
"Leaver CS","2022","20-29","Medicine","EO","15","[c]","28120","27140"
"Leaver CS","2022","20-29","Medicine","SEO/HEO","10","[c]","34380","34170"
"Leaver CS","2022","20-29","Operational Delivery","AA/AO","3565","[c]","21240","21260"
"Leaver CS","2022","20-29","Operational Delivery","EO","1165","[c]","27640","27570"
"Leaver CS","2022","20-29","Operational Delivery","G6/G7","35","[c]","53040","53170"
"Leaver CS","2022","20-29","Operational Delivery","SEO/HEO","280","[c]","34130","32790"
"Leaver CS","2022","20-29","Operational Delivery","Unknown","380","[c]","21730","22430"
"Leaver CS","2022","20-29","Operational Research","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Operational Research","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Operational Research","SEO/HEO","10","[c]","32070","29260"
"Leaver CS","2022","20-29","Other","AA/AO","215","[c]","21300","21260"
"Leaver CS","2022","20-29","Other","EO","205","[c]","24670","26810"
"Leaver CS","2022","20-29","Other","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Other","SEO/HEO","70","[c]","34650","35050"
"Leaver CS","2022","20-29","Other","Unknown","55","[c]","28110","28980"
"Leaver CS","2022","20-29","Planning","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Planning","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Policy","AA/AO","70","[c]","21710","21260"
"Leaver CS","2022","20-29","Policy","EO","135","[c]","27050","27680"
"Leaver CS","2022","20-29","Policy","G6/G7","60","[c]","53400","53380"
"Leaver CS","2022","20-29","Policy","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Policy","SEO/HEO","325","[c]","35370","34020"
"Leaver CS","2022","20-29","Project Delivery","AA/AO","15","[c]","23010","23110"
"Leaver CS","2022","20-29","Project Delivery","EO","40","[c]","24780","25310"
"Leaver CS","2022","20-29","Project Delivery","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Project Delivery","SEO/HEO","80","[c]","32520","33000"
"Leaver CS","2022","20-29","Project Delivery","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Property","AA/AO","20","[c]","19320","19010"
"Leaver CS","2022","20-29","Property","EO","30","[c]","25550","25000"
"Leaver CS","2022","20-29","Property","SEO/HEO","15","[c]","38760","39970"
"Leaver CS","2022","20-29","Psychology","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Psychology","EO","25","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Science and Engineering","AA/AO","95","[c]","19480","19100"
