"Status","Year","Function_of_post","Region_ITL1","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Communications","West Midlands (England)","Outside London","Heterosexual / straight","330","325","31440","29200"
"In post","2022","Communications","West Midlands (England)","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Communications","West Midlands (England)","Outside London","Undeclared","30","30","33280","33080"
"In post","2022","Communications","West Midlands (England)","Outside London","Unknown","245","240","29400","26820"
"In post","2022","Communications","Yorkshire and The Humber","Outside London","Heterosexual / straight","390","380","34380","33080"
"In post","2022","Communications","Yorkshire and The Humber","Outside London","LGBO","40","40","33520","32870"
"In post","2022","Communications","Yorkshire and The Humber","Outside London","Undeclared","40","40","40620","33370"
"In post","2022","Communications","Yorkshire and The Humber","Outside London","Unknown","275","270","30100","26820"
"In post","2022","Counter Fraud","East Midlands (England)","Outside London","Heterosexual / straight","585","540","33630","31990"
"In post","2022","Counter Fraud","East Midlands (England)","Outside London","LGBO","35","30","31740","27570"
"In post","2022","Counter Fraud","East Midlands (England)","Outside London","Undeclared","90","85","34250","33080"
"In post","2022","Counter Fraud","East Midlands (England)","Outside London","Unknown","205","190","31250","27570"
"In post","2022","Counter Fraud","East of England","Outside London","Heterosexual / straight","435","400","29770","28920"
"In post","2022","Counter Fraud","East of England","Outside London","LGBO","35","30","29220","27570"
"In post","2022","Counter Fraud","East of England","Outside London","Undeclared","70","65","29980","28920"
"In post","2022","Counter Fraud","East of England","Outside London","Unknown","185","170","28800","27570"
"In post","2022","Counter Fraud","London","London","Heterosexual / straight","2140","2030","38390","34730"
"In post","2022","Counter Fraud","London","London","LGBO","125","120","37930","33440"
"In post","2022","Counter Fraud","London","London","Undeclared","355","330","37990","36650"
"In post","2022","Counter Fraud","London","London","Unknown","980","920","35750","32780"
"In post","2022","Counter Fraud","North East (England)","Outside London","Heterosexual / straight","760","710","31030","27570"
"In post","2022","Counter Fraud","North East (England)","Outside London","LGBO","35","35","32220","33080"
"In post","2022","Counter Fraud","North East (England)","Outside London","Undeclared","95","85","31960","27570"
"In post","2022","Counter Fraud","North East (England)","Outside London","Unknown","250","230","30170","27570"
"In post","2022","Counter Fraud","North West (England)","Outside London","Heterosexual / straight","1585","1485","33750","31990"
"In post","2022","Counter Fraud","North West (England)","Outside London","LGBO","75","70","34130","27570"
"In post","2022","Counter Fraud","North West (England)","Outside London","Undeclared","215","195","34200","33080"
"In post","2022","Counter Fraud","North West (England)","Outside London","Unknown","710","660","30610","27570"
"In post","2022","Counter Fraud","Northern Ireland","Outside London","Heterosexual / straight","300","285","33530","33080"
"In post","2022","Counter Fraud","Northern Ireland","Outside London","LGBO","20","15","[c]","[c]"
"In post","2022","Counter Fraud","Northern Ireland","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Counter Fraud","Northern Ireland","Outside London","Unknown","110","105","31480","28920"
"In post","2022","Counter Fraud","Scotland","Outside London","Heterosexual / straight","1225","1120","29270","27570"
"In post","2022","Counter Fraud","Scotland","Outside London","LGBO","75","70","28610","27570"
"In post","2022","Counter Fraud","Scotland","Outside London","Undeclared","155","140","28780","27570"
"In post","2022","Counter Fraud","Scotland","Outside London","Unknown","375","340","28650","27570"
"In post","2022","Counter Fraud","South East (England)","Outside London","Heterosexual / straight","780","710","29130","27570"
"In post","2022","Counter Fraud","South East (England)","Outside London","LGBO","60","55","29890","27570"
"In post","2022","Counter Fraud","South East (England)","Outside London","Undeclared","130","120","30050","27570"
"In post","2022","Counter Fraud","South East (England)","Outside London","Unknown","240","215","30120","28820"
"In post","2022","Counter Fraud","South West (England)","Outside London","Heterosexual / straight","495","450","32100","27570"
"In post","2022","Counter Fraud","South West (England)","Outside London","LGBO","35","30","34240","27570"
"In post","2022","Counter Fraud","South West (England)","Outside London","Undeclared","85","75","36970","31990"
"In post","2022","Counter Fraud","South West (England)","Outside London","Unknown","175","155","31370","27570"
"In post","2022","Counter Fraud","Unknown","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Wales","Outside London","Heterosexual / straight","685","630","29470","27570"
"In post","2022","Counter Fraud","Wales","Outside London","LGBO","45","45","29230","27570"
"In post","2022","Counter Fraud","Wales","Outside London","Undeclared","110","100","28800","27340"
"In post","2022","Counter Fraud","Wales","Outside London","Unknown","205","190","28580","27570"
"In post","2022","Counter Fraud","West Midlands (England)","Outside London","Heterosexual / straight","820","750","31570","27570"
"In post","2022","Counter Fraud","West Midlands (England)","Outside London","LGBO","25","25","[c]","[c]"
"In post","2022","Counter Fraud","West Midlands (England)","Outside London","Undeclared","110","95","30860","27570"
"In post","2022","Counter Fraud","West Midlands (England)","Outside London","Unknown","350","315","30580","27570"
"In post","2022","Counter Fraud","Yorkshire and The Humber","Outside London","Heterosexual / straight","895","825","32400","28860"
"In post","2022","Counter Fraud","Yorkshire and The Humber","Outside London","LGBO","55","50","31040","27570"
"In post","2022","Counter Fraud","Yorkshire and The Humber","Outside London","Undeclared","125","115","33570","31990"
"In post","2022","Counter Fraud","Yorkshire and The Humber","Outside London","Unknown","345","320","30140","27570"
"In post","2022","Debt","East Midlands (England)","Outside London","Heterosexual / straight","295","250","22960","21260"
"In post","2022","Debt","East Midlands (England)","Outside London","LGBO","25","25","[c]","[c]"
"In post","2022","Debt","East Midlands (England)","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2022","Debt","East Midlands (England)","Outside London","Unknown","160","145","22090","21250"
"In post","2022","Debt","East of England","Outside London","Heterosexual / straight","90","80","25540","24250"
"In post","2022","Debt","East of England","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","East of England","Outside London","Undeclared","20","15","[c]","[c]"
"In post","2022","Debt","East of England","Outside London","Unknown","45","35","25730","25110"
"In post","2022","Debt","London","London","Heterosexual / straight","240","215","29530","26400"
"In post","2022","Debt","London","London","LGBO","15","15","[c]","[c]"
"In post","2022","Debt","London","London","Undeclared","55","45","28750","26400"
"In post","2022","Debt","London","London","Unknown","190","170","30800","26400"
"In post","2022","Debt","North East (England)","Outside London","Heterosexual / straight","550","480","22820","21260"
"In post","2022","Debt","North East (England)","Outside London","LGBO","45","45","22670","21250"
"In post","2022","Debt","North East (England)","Outside London","Undeclared","45","40","22360","21260"
"In post","2022","Debt","North East (England)","Outside London","Unknown","320","290","22120","21250"
"In post","2022","Debt","North West (England)","Outside London","Heterosexual / straight","420","380","23780","21260"
"In post","2022","Debt","North West (England)","Outside London","LGBO","45","40","23720","21260"
"In post","2022","Debt","North West (England)","Outside London","Undeclared","55","50","23760","21260"
"In post","2022","Debt","North West (England)","Outside London","Unknown","225","200","22970","21260"
"In post","2022","Debt","Northern Ireland","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Debt","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Northern Ireland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Northern Ireland","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Debt","Scotland","Outside London","Heterosexual / straight","760","680","23610","21250"
"In post","2022","Debt","Scotland","Outside London","LGBO","65","65","23360","21250"
"In post","2022","Debt","Scotland","Outside London","Undeclared","80","65","23540","22080"
"In post","2022","Debt","Scotland","Outside London","Unknown","450","415","22420","21250"
"In post","2022","Debt","South East (England)","Outside London","Heterosexual / straight","35","25","30680","28920"
"In post","2022","Debt","South East (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","South East (England)","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Debt","South East (England)","Outside London","Unknown","30","25","27080","28640"
"In post","2022","Debt","South West (England)","Outside London","Heterosexual / straight","115","100","22850","21260"
"In post","2022","Debt","South West (England)","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Debt","South West (England)","Outside London","Undeclared","20","15","[c]","[c]"
"In post","2022","Debt","South West (England)","Outside London","Unknown","15","10","[c]","[c]"
"In post","2022","Debt","Unknown","Unknown","Heterosexual / straight","40","35","26170","25110"
"In post","2022","Debt","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Debt","Unknown","Unknown","Unknown","20","15","[c]","[c]"
"In post","2022","Debt","Wales","Outside London","Heterosexual / straight","265","245","23960","21250"
"In post","2022","Debt","Wales","Outside London","LGBO","25","25","[c]","[c]"
"In post","2022","Debt","Wales","Outside London","Undeclared","25","20","[c]","[c]"
"In post","2022","Debt","Wales","Outside London","Unknown","145","135","23500","21250"
"In post","2022","Debt","West Midlands (England)","Outside London","Heterosexual / straight","570","505","23140","21260"
"In post","2022","Debt","West Midlands (England)","Outside London","LGBO","35","30","22460","21260"
"In post","2022","Debt","West Midlands (England)","Outside London","Undeclared","85","70","22300","21260"
"In post","2022","Debt","West Midlands (England)","Outside London","Unknown","175","155","22660","21250"
"In post","2022","Debt","Yorkshire and The Humber","Outside London","Heterosexual / straight","620","535","23840","21260"
"In post","2022","Debt","Yorkshire and The Humber","Outside London","LGBO","30","30","23960","21260"
"In post","2022","Debt","Yorkshire and The Humber","Outside London","Undeclared","70","60","23290","21260"
"In post","2022","Debt","Yorkshire and The Humber","Outside London","Unknown","240","215","22860","21250"
"In post","2022","Digital, Data & Technology","East Midlands (England)","Outside London","Heterosexual / straight","295","290","37040","33350"
"In post","2022","Digital, Data & Technology","East Midlands (England)","Outside London","LGBO","25","25","[c]","[c]"
"In post","2022","Digital, Data & Technology","East Midlands (England)","Outside London","Undeclared","65","65","34450","32510"
"In post","2022","Digital, Data & Technology","East Midlands (England)","Outside London","Unknown","70","70","36130","33080"
"In post","2022","Digital, Data & Technology","East of England","Outside London","Heterosexual / straight","550","530","35900","33430"
"In post","2022","Digital, Data & Technology","East of England","Outside London","LGBO","30","25","[c]","[c]"
"In post","2022","Digital, Data & Technology","East of England","Outside London","Undeclared","100","100","35600","35620"
"In post","2022","Digital, Data & Technology","East of England","Outside London","Unknown","140","135","35570","33370"
"In post","2022","Digital, Data & Technology","London","London","Heterosexual / straight","2770","2720","48690","45240"
"In post","2022","Digital, Data & Technology","London","London","LGBO","290","285","49450","53240"
"In post","2022","Digital, Data & Technology","London","London","Undeclared","410","405","48430","45080"
"In post","2022","Digital, Data & Technology","London","London","Unknown","840","825","48650","44130"
"In post","2022","Digital, Data & Technology","North East (England)","Outside London","Heterosexual / straight","1555","1495","42060","38450"
"In post","2022","Digital, Data & Technology","North East (England)","Outside London","LGBO","90","90","39610","35310"
"In post","2022","Digital, Data & Technology","North East (England)","Outside London","Undeclared","185","180","43190","40300"
