"Status","Year","Region_ITL2","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cheshire","AA/AO","Male","Unknown","150","140","25360","23550"
"In post","2022","Cheshire","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","EO","Female","Heterosexual / straight","585","550","29190","27570"
"In post","2022","Cheshire","EO","Female","LGBO","40","40","29770","27570"
"In post","2022","Cheshire","EO","Female","Undeclared","60","55","28820","27570"
"In post","2022","Cheshire","EO","Female","Unknown","95","85","28870","27570"
"In post","2022","Cheshire","EO","Male","Heterosexual / straight","410","400","30800","30640"
"In post","2022","Cheshire","EO","Male","LGBO","30","30","29270","28200"
"In post","2022","Cheshire","EO","Male","Undeclared","65","65","30780","30140"
"In post","2022","Cheshire","EO","Male","Unknown","75","70","29920","27570"
"In post","2022","Cheshire","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","G6/G7","Female","Heterosexual / straight","125","120","57520","55740"
"In post","2022","Cheshire","G6/G7","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Cheshire","G6/G7","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Cheshire","G6/G7","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Cheshire","G6/G7","Male","Heterosexual / straight","110","105","57630","54920"
"In post","2022","Cheshire","G6/G7","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","G6/G7","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Cheshire","G6/G7","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Cheshire","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","SCS level","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Cheshire","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","SCS level","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Cheshire","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
