"Status","Year","Age","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Scotland","Perth and Kinross, and Stirling","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Perth and Kinross, and Stirling","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Perth and Kinross, and Stirling","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Scottish Borders","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Scottish Borders","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Scottish Borders","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Shetland Islands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Shetland Islands","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Shetland Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","South Lanarkshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Scotland","South Lanarkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","South Lanarkshire","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Scotland","West Lothian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","West Lothian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Berkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Brighton and Hove","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Brighton and Hove","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Buckinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Buckinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Buckinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Central Hampshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Central Hampshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Central Hampshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Central Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","East Kent","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","South East (England)","East Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","East Kent","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","South East (England)","East Surrey","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","East Surrey","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","East Surrey","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","East Sussex CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","East Sussex CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","East Sussex CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Kent Thames Gateway","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Kent Thames Gateway","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Kent Thames Gateway","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Medway","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Medway","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Medway","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Milton Keynes","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","South East (England)","Milton Keynes","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","South East (England)","Milton Keynes","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Milton Keynes","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Oxfordshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Oxfordshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Oxfordshire CC","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","South East (England)","Portsmouth","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Portsmouth","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Portsmouth","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","South Hampshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","South East (England)","South Hampshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","South Hampshire","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","South East (England)","Southampton","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Southampton","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Southampton","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","West Surrey","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","South East (England)","West Surrey","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","West Surrey","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","West Sussex (South West)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","West Sussex (South West)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","West Sussex (South West)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","55","55","19460","19460"
"In post","2022","16-19","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","40","40","17490","17140"
"In post","2022","16-19","South West (England)","Bristol, City of","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","South West (England)","Bristol, City of","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Bristol, City of","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","South West (England)","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Devon CC","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","South West (England)","Devon CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Devon CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Devon CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Dorset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Dorset","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Dorset","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Plymouth","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","South West (England)","Plymouth","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Plymouth","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Plymouth","Unknown","5","5","[c]","[c]"
