"Status","Year","Ethnicity","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Other ethnicity","Ministry of Justice (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Justice (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Justice (excl. agencies)","G7","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Justice (excl. agencies)","HEO","10","5","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Justice (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Justice (excl. agencies)","SEO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Crime Agency","EO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","National Crime Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Crime Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Crime Agency","HEO","15","10","[c]","[c]"
"In post","2022","Other ethnicity","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Crime Agency","SEO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","National Infrastructure Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Infrastructure Commission","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Infrastructure Commission","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Infrastructure Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Infrastructure Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Infrastructure Commission","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Records of Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Records of Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Records of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Records of Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Records of Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Records of Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Records of Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Records of Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Savings and Investments","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Savings and Investments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Savings and Investments","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Savings and Investments","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Savings and Investments","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Savings and Investments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","National Savings and Investments","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Northern Ireland Office","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Budget Responsibility","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Budget Responsibility","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Budget Responsibility","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Budget Responsibility","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Budget Responsibility","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Budget Responsibility","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Standards in Education, Children's Services and Skills","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Standards in Education, Children's Services and Skills","EO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Office for Standards in Education, Children's Services and Skills","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Standards in Education, Children's Services and Skills","G7","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Office for Standards in Education, Children's Services and Skills","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office for Standards in Education, Children's Services and Skills","SEO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Gas and Electricity Markets","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Gas and Electricity Markets","G7","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Office of Gas and Electricity Markets","HEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Gas and Electricity Markets","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Qualifications and Examinations Regulation","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Qualifications and Examinations Regulation","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Qualifications and Examinations Regulation","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Qualifications and Examinations Regulation","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Qualifications and Examinations Regulation","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Rail and Road","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Rail and Road","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Rail and Road","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of Rail and Road","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Public Guardian","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Public Guardian","AO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Public Guardian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Public Guardian","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Public Guardian","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Public Guardian","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Public Guardian","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Public Guardian","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Scottish Charity Regulator","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Scottish Charity Regulator","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Scottish Charity Regulator","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Scottish Charity Regulator","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Scottish Charity Regulator","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Scottish Charity Regulator","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Scottish Charity Regulator","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Scottish Charity Regulator","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Wales","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Wales","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Wales","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Wales","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Office of the Secretary of State for Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectorate","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectorate","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectorate","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectorate","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectorate","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectorate","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectorate","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Queen Elizabeth II Centre","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Queen Elizabeth II Centre","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Queen Elizabeth II Centre","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Queen Elizabeth II Centre","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Queen Elizabeth II Centre","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Queen Elizabeth II Centre","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Registers of Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Registers of Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Registers of Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Registers of Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Registers of Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Registers of Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Registers of Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Revenue Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Revenue Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Revenue Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Revenue Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Revenue Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Revenue Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Revenue Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Rural Payments Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Rural Payments Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Rural Payments Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Rural Payments Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Rural Payments Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Rural Payments Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Rural Payments Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Courts and Tribunals Service","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Courts and Tribunals Service","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Courts and Tribunals Service","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Courts and Tribunals Service","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Courts and Tribunals Service","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Courts and Tribunals Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Courts and Tribunals Service","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Fiscal Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Fiscal Commission","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Fiscal Commission","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Fiscal Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Fiscal Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Fiscal Commission","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Forestry","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Forestry","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Forestry","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Forestry","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Forestry","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Forestry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Forestry","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Government (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Government (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Government (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Government (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Government (excl. agencies)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Government (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Government (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Government (excl. agencies)","SEO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Housing Regulator","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Housing Regulator","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Housing Regulator","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Housing Regulator","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Housing Regulator","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Housing Regulator","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Housing Regulator","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Prison Service","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Prison Service","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Prison Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Prison Service","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Prison Service","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Prison Service","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Prison Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Prison Service","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Public Pensions Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Public Pensions Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Public Pensions Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Public Pensions Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Public Pensions Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Public Pensions Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Scottish Public Pensions Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Serious Fraud Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Serious Fraud Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Serious Fraud Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Serious Fraud Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Serious Fraud Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Serious Fraud Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Serious Fraud Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Serious Fraud Office","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Security Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Security Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Security Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Security Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Security Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Security Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Security Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Security Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Standards and Testing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Standards and Testing Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Standards and Testing Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Standards and Testing Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Standards and Testing Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Standards and Testing Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Student Awards Agency for Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Student Awards Agency for Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Student Awards Agency for Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Student Awards Agency for Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Student Awards Agency for Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Student Awards Agency for Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Student Awards Agency for Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Teaching Regulation Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Teaching Regulation Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Teaching Regulation Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Teaching Regulation Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Teaching Regulation Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Teaching Regulation Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Teaching Regulation Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The Insolvency Service","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The Insolvency Service","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The Insolvency Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The Insolvency Service","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The Insolvency Service","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The Insolvency Service","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The Insolvency Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The Insolvency Service","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The National Archives","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The National Archives","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The National Archives","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The National Archives","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","The National Archives","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Transport Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Transport Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Transport Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Transport Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Transport Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Transport Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Transport Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Transport Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Debt Management Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Debt Management Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Debt Management Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Debt Management Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Debt Management Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Debt Management Office","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Export Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Export Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Export Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Export Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Export Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Export Finance","SEO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","UK Health Security Agency","AA","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Health Security Agency","AO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","UK Health Security Agency","EO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","UK Health Security Agency","G6","5","5","[c]","[c]"
"In post","2022","Other ethnicity","UK Health Security Agency","G7","5","5","[c]","[c]"
"In post","2022","Other ethnicity","UK Health Security Agency","HEO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","UK Health Security Agency","SCS level","5","5","[c]","[c]"
"In post","2022","Other ethnicity","UK Health Security Agency","SEO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","UK Hydrographic Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Hydrographic Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Hydrographic Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Hydrographic Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Hydrographic Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Hydrographic Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Hydrographic Office","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Space Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Space Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Space Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Space Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Space Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","UK Space Agency","SCS level","[c]","[c]","[c]","[c]"
