"Status","Year","Disability","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Debt","Tax","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","Tax","SEO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","Unknown","AO","45","40","21370","21250"
"In post","2022","Declared non-disabled","Debt","Unknown","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Communications","HEO","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Digital, Data and Technology","AA","50","50","18840","17900"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Digital, Data and Technology","AO","335","325","22150","21510"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Digital, Data and Technology","EO","2035","1935","27660","27570"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Digital, Data and Technology","G6","745","740","68180","67190"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Digital, Data and Technology","G7","2375","2330","54940","54160"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Digital, Data and Technology","HEO","2720","2635","33770","33300"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Digital, Data and Technology","SCS level","175","170","89590","84930"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Digital, Data and Technology","SEO","2830","2765","41360","40520"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Digital, Data and Technology","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Knowledge and Information Management","AA","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Knowledge and Information Management","AO","130","125","22290","21380"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Knowledge and Information Management","EO","145","140","27030","26670"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Knowledge and Information Management","G6","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Knowledge and Information Management","G7","40","40","54050","54540"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Knowledge and Information Management","HEO","155","150","32980","33300"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Knowledge and Information Management","SEO","90","90","39780","40340"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Knowledge and Information Management","Unknown","25","20","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Legal","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Medicine","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Medicine","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Medicine","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Medicine","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Operational Delivery","AO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Operational Delivery","EO","60","55","27310","26820"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Operational Delivery","G6","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Operational Delivery","G7","40","40","54350","54270"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Operational Delivery","HEO","105","105","33040","33370"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Operational Delivery","SEO","115","110","40060","40520"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Operational Research","G7","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Operational Research","SEO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Other","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Other","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Other","HEO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Other","SEO","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Policy","EO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Policy","G6","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Policy","G7","45","45","52730","52420"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Policy","HEO","25","20","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Policy","SCS level","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Policy","SEO","40","40","38380","37100"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Project Delivery","EO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Project Delivery","G6","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Project Delivery","G7","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Project Delivery","HEO","55","50","32670","32170"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Project Delivery","SEO","45","45","39860","40030"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Science and Engineering","AO","55","55","21310","21430"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Science and Engineering","EO","45","40","25500","24910"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Science and Engineering","G6","60","55","61090","60490"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Science and Engineering","G7","145","135","48200","47960"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Science and Engineering","HEO","220","215","32540","32730"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Science and Engineering","SEO","385","355","39580","39650"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Security","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Security","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Security","HEO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Tax","EO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Tax","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Tax","G7","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Tax","HEO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Tax","SEO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","AO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","EO","65","65","26920","27500"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","G6","130","130","66800","66270"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","G7","470","460","55180","54700"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","HEO","175","170","33950","33370"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","SCS level","40","40","99670","92240"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","SEO","165","165","40090","40600"
"In post","2022","Declared non-disabled","Finance","Commercial","AO","50","45","21210","21260"
"In post","2022","Declared non-disabled","Finance","Commercial","EO","55","50","27680","27570"
"In post","2022","Declared non-disabled","Finance","Commercial","G6","35","35","63200","61180"
"In post","2022","Declared non-disabled","Finance","Commercial","G7","70","65","51700","50130"
"In post","2022","Declared non-disabled","Finance","Commercial","HEO","150","145","32920","31990"
"In post","2022","Declared non-disabled","Finance","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Commercial","SEO","100","95","37810","36780"
"In post","2022","Declared non-disabled","Finance","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Corporate Finance","EO","15","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Corporate Finance","G6","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Corporate Finance","G7","30","25","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Corporate Finance","HEO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Corporate Finance","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Corporate Finance","SEO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Digital, Data and Technology","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Digital, Data and Technology","G6","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Digital, Data and Technology","G7","45","45","51010","50400"
"In post","2022","Declared non-disabled","Finance","Digital, Data and Technology","HEO","45","40","30790","30200"
"In post","2022","Declared non-disabled","Finance","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Digital, Data and Technology","SEO","60","55","38000","36960"
"In post","2022","Declared non-disabled","Finance","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Economics","G7","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Finance","AA","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Finance","AO","450","400","21880","21380"
"In post","2022","Declared non-disabled","Finance","Finance","EO","1065","1010","26810","26670"
"In post","2022","Declared non-disabled","Finance","Finance","G6","465","455","67890","67450"
"In post","2022","Declared non-disabled","Finance","Finance","G7","1090","1060","55100","54800"
"In post","2022","Declared non-disabled","Finance","Finance","HEO","1300","1245","33720","33300"
"In post","2022","Declared non-disabled","Finance","Finance","SCS level","180","175","86870","79520"
"In post","2022","Declared non-disabled","Finance","Finance","SEO","1500","1450","41220","40520"
"In post","2022","Declared non-disabled","Finance","Finance","Unknown","45","45","49710","41340"
"In post","2022","Declared non-disabled","Finance","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Operational Delivery","AA","25","20","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Operational Delivery","AO","465","375","21780","21250"
"In post","2022","Declared non-disabled","Finance","Operational Delivery","EO","180","165","27450","26820"
"In post","2022","Declared non-disabled","Finance","Operational Delivery","G6","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Operational Delivery","G7","35","35","55030","55000"
"In post","2022","Declared non-disabled","Finance","Operational Delivery","HEO","120","120","33560","33370"
"In post","2022","Declared non-disabled","Finance","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Operational Delivery","SEO","100","95","41060","40520"
"In post","2022","Declared non-disabled","Finance","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Other","EO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Other","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Other","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Other","HEO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Policy","EO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Policy","G7","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Policy","HEO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Policy","SEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Project Delivery","G6","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Project Delivery","G7","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Project Delivery","HEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Project Delivery","SEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Property","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Property","EO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Property","G6","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Property","G7","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Property","HEO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Property","SEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Security","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Security","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Security","G6","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Security","G7","50","50","54440","54070"
"In post","2022","Declared non-disabled","Finance","Security","HEO","65","65","33750","31990"
"In post","2022","Declared non-disabled","Finance","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Security","SEO","80","80","37900","37590"
"In post","2022","Declared non-disabled","Finance","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Tax","AO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Tax","EO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Tax","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Tax","G7","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Tax","HEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Tax","SEO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Unknown","AO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Unknown","EO","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Unknown","G6","20","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Unknown","G7","55","55","55310","55210"
"In post","2022","Declared non-disabled","Finance","Unknown","HEO","40","40","34760","34550"
"In post","2022","Declared non-disabled","Finance","Unknown","SCS level","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Unknown","SEO","35","35","40990","40520"
"In post","2022","Declared non-disabled","Grants Management","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","Operational Delivery","AO","1170","1070","21280","21300"
"In post","2022","Declared non-disabled","Grants Management","Operational Delivery","EO","540","495","25420","25190"
"In post","2022","Declared non-disabled","Grants Management","Operational Delivery","G6","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","Operational Delivery","G7","40","40","49230","48680"
"In post","2022","Declared non-disabled","Grants Management","Operational Delivery","HEO","210","195","30330","30230"
"In post","2022","Declared non-disabled","Grants Management","Operational Delivery","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","Operational Delivery","SEO","100","95","37290","36840"
"In post","2022","Declared non-disabled","Grants Management","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Human Resources","AA","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Human Resources","AO","710","645","21850","21380"
"In post","2022","Declared non-disabled","Human Resources","Human Resources","EO","960","890","27050","26820"
"In post","2022","Declared non-disabled","Human Resources","Human Resources","G6","370","360","66970","66680"
"In post","2022","Declared non-disabled","Human Resources","Human Resources","G7","945","910","54130","54170"
"In post","2022","Declared non-disabled","Human Resources","Human Resources","HEO","1460","1385","33200","33080"
"In post","2022","Declared non-disabled","Human Resources","Human Resources","SCS level","140","135","86740","78970"
"In post","2022","Declared non-disabled","Human Resources","Human Resources","SEO","1035","990","40910","40520"
"In post","2022","Declared non-disabled","Human Resources","Human Resources","Unknown","30","30","42740","41040"
"In post","2022","Declared non-disabled","Human Resources","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Legal","G7","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Operational Delivery","AO","165","145","21770","21260"
"In post","2022","Declared non-disabled","Human Resources","Operational Delivery","EO","530","500","27730","27570"
"In post","2022","Declared non-disabled","Human Resources","Operational Delivery","G6","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Operational Delivery","G7","60","60","53370","53600"
"In post","2022","Declared non-disabled","Human Resources","Operational Delivery","HEO","190","175","33170","33370"
"In post","2022","Declared non-disabled","Human Resources","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Operational Delivery","SEO","110","105","38690","39330"
"In post","2022","Declared non-disabled","Human Resources","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Other","EO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Other","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Other","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Other","HEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Other","SEO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Policy","G7","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Policy","SEO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Project Delivery","G7","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Project Delivery","HEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Property","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Security","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Tax","AO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Tax","EO","35","30","27260","26820"
"In post","2022","Declared non-disabled","Human Resources","Tax","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Tax","G7","20","15","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Tax","HEO","40","35","32890","33370"
