"Status","Year","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","National Crime Agency","Outside London","60","[c]","39410","36740"
"Leaver Dept.","2022","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland Office","London","15","[c]","52930","52850"
"Leaver Dept.","2022","Northern Ireland Office","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","London","15","[c]","44060","42850"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Outside London","35","[c]","40260","32010"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","London","50","[c]","41750","36710"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","Outside London","55","[c]","32860","26340"
"Leaver Dept.","2022","Office of Qualifications and Examinations Regulation","Outside London","20","[c]","39520","38380"
"Leaver Dept.","2022","Office of Rail and Road","London","10","[c]","51980","44470"
"Leaver Dept.","2022","Office of Rail and Road","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of the Secretary of State for Scotland","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of the Secretary of State for Wales","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of the Secretary of State for Wales","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Outside London","135","[c]","38110","31540"
"Leaver Dept.","2022","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","The National Archives","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Export Finance","London","15","[c]","43760","41000"
"Leaver Dept.","2022","UK Statistics Authority","London","50","[c]","43320","33710"
"Leaver Dept.","2022","UK Statistics Authority","Outside London","185","[c]","33430","30210"
"Leaver Dept.","2022","Water Services Regulation Authority","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Outside London","60","[c]","40680","37410"
"New entrant CS","2022","Attorney General's Departments","London","550","[c]","37210","29280"
"New entrant CS","2022","Attorney General's Departments","Outside London","500","[c]","31260","25480"
"New entrant CS","2022","Cabinet Office","London","980","[c]","38280","28000"
"New entrant CS","2022","Cabinet Office","Outside London","805","[c]","39450","32000"
"New entrant CS","2022","Cabinet Office","Unknown","180","[c]","36760","28000"
"New entrant CS","2022","Chancellor's other departments","London","50","[c]","44880","44610"
"New entrant CS","2022","Chancellor's other departments","Outside London","15","[c]","44140","43600"
"New entrant CS","2022","Charity Commission","London","15","[c]","36510","37910"
"New entrant CS","2022","Charity Commission","Outside London","75","[c]","26450","24440"
"New entrant CS","2022","Competition and Markets Authority","London","125","[c]","45020","35850"
"New entrant CS","2022","Competition and Markets Authority","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2022","Department for Business, Energy and Industrial Strategy","London","550","[c]","37580","33570"
"New entrant CS","2022","Department for Business, Energy and Industrial Strategy","Outside London","910","[c]","30110","24570"
"New entrant CS","2022","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Digital, Culture, Media and Sport","London","320","[c]","35230","34020"
"New entrant CS","2022","Department for Digital, Culture, Media and Sport","Outside London","75","[c]","36590","33240"
"New entrant CS","2022","Department for Education","London","190","[c]","37310","32940"
"New entrant CS","2022","Department for Education","Outside London","900","[c]","34040","29360"
"New entrant CS","2022","Department for Environment, Food and Rural Affairs","London","795","[c]","38410","32560"
"New entrant CS","2022","Department for Environment, Food and Rural Affairs","Outside London","2135","[c]","30120","25250"
"New entrant CS","2022","Department for Environment, Food and Rural Affairs","Unknown","15","[c]","30390","24920"
"New entrant CS","2022","Department for International Trade","London","385","[c]","36030","31800"
"New entrant CS","2022","Department for International Trade","Outside London","50","[c]","40690","35910"
"New entrant CS","2022","Department for Levelling Up, Housing and Communities","London","365","[c]","36540","33210"
"New entrant CS","2022","Department for Levelling Up, Housing and Communities","Outside London","320","[c]","33480","30190"
"New entrant CS","2022","Department for Levelling Up, Housing and Communities","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2022","Department for Transport","London","555","[c]","42640","42470"
"New entrant CS","2022","Department for Transport","Outside London","1650","[c]","26830","26130"
"New entrant CS","2022","Department for Transport","Unknown","45","[c]","21340","21840"
"New entrant CS","2022","Department for Work and Pensions","London","1230","[c]","31630","31060"
"New entrant CS","2022","Department for Work and Pensions","Outside London","9245","[c]","25720","27570"
"New entrant CS","2022","Department for Work and Pensions","Unknown","90","[c]","31340","29290"
"New entrant CS","2022","Department of Health and Social Care","London","1815","[c]","39070","32790"
"New entrant CS","2022","Department of Health and Social Care","Outside London","1465","[c]","35410","30020"
"New entrant CS","2022","Department of Health and Social Care","Unknown","55","[c]","[c]","[c]"
"New entrant CS","2022","Estyn","Outside London","10","[c]","69480","66900"
"New entrant CS","2022","Food Standards Agency","London","30","[c]","36730","32350"
"New entrant CS","2022","Food Standards Agency","Outside London","165","[c]","32810","30350"
"New entrant CS","2022","Foreign, Commonwealth and Development Office","Outside London","15","[c]","30340","24300"
"New entrant CS","2022","HM Land Registry","London","50","[c]","33870","30600"
"New entrant CS","2022","HM Land Registry","Outside London","460","[c]","26390","22600"
"New entrant CS","2022","HM Revenue and Customs","London","770","[c]","36200","37610"
"New entrant CS","2022","HM Revenue and Customs","Outside London","7735","[c]","26050","25000"
"New entrant CS","2022","HM Revenue and Customs","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2022","HM Treasury","London","270","[c]","35540","28500"
"New entrant CS","2022","HM Treasury","Outside London","90","[c]","35160","29320"
"New entrant CS","2022","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Home Office","London","870","[c]","34820","28650"
"New entrant CS","2022","Home Office","Outside London","1695","[c]","27270","24880"
"New entrant CS","2022","Home Office","Overseas","5","[c]","[c]","[c]"
"New entrant CS","2022","Ministry of Defence","London","310","[c]","35650","33000"
"New entrant CS","2022","Ministry of Defence","Outside London","4460","[c]","30090","26350"
"New entrant CS","2022","Ministry of Defence","Overseas","40","[c]","38990","36960"
"New entrant CS","2022","Ministry of Defence","Unknown","175","[c]","23230","16190"
"New entrant CS","2022","Ministry of Justice","London","2730","[c]","32560","30520"
"New entrant CS","2022","Ministry of Justice","Outside London","15150","[c]","25930","23170"
"New entrant CS","2022","Ministry of Justice","Unknown","300","[c]","27180","24520"
"New entrant CS","2022","National Crime Agency","London","170","[c]","41180","37560"
"New entrant CS","2022","National Crime Agency","Outside London","340","[c]","34550","34140"
"New entrant CS","2022","National Crime Agency","Overseas","5","[c]","[c]","[c]"
"New entrant CS","2022","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland Office","London","10","[c]","41120","41750"
"New entrant CS","2022","Northern Ireland Office","Outside London","30","[c]","38660","36050"
"New entrant CS","2022","Office for Standards in Education, Children's Services and Skills","London","45","[c]","45640","46360"
"New entrant CS","2022","Office for Standards in Education, Children's Services and Skills","Outside London","195","[c]","49940","46360"
"New entrant CS","2022","Office of Gas and Electricity Markets","London","245","[c]","39240","32320"
"New entrant CS","2022","Office of Gas and Electricity Markets","Outside London","210","[c]","32150","25000"
"New entrant CS","2022","Office of Qualifications and Examinations Regulation","Outside London","65","[c]","37000","38000"
"New entrant CS","2022","Office of Rail and Road","London","20","[c]","42500","42670"
"New entrant CS","2022","Office of Rail and Road","Outside London","25","[c]","44890","42500"
"New entrant CS","2022","Office of the Secretary of State for Scotland","London","5","[c]","[c]","[c]"
"New entrant CS","2022","Office of the Secretary of State for Scotland","Outside London","10","[c]","37650","41700"
"New entrant CS","2022","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Office of the Secretary of State for Wales","Outside London","10","[c]","[c]","[c]"
"New entrant CS","2022","Scottish Government","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Scottish Government","Outside London","4505","[c]","29740","27230"
"New entrant CS","2022","The National Archives","London","100","[c]","31970","28040"
"New entrant CS","2022","UK Export Finance","London","115","[c]","43100","37000"
"New entrant CS","2022","UK Export Finance","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2022","UK Statistics Authority","London","35","[c]","46400","39840"
"New entrant CS","2022","UK Statistics Authority","Outside London","975","[c]","28580","30210"
"New entrant CS","2022","UK Supreme Court","London","15","[c]","33290","37230"
"New entrant CS","2022","Water Services Regulation Authority","London","25","[c]","48650","42000"
"New entrant CS","2022","Water Services Regulation Authority","Outside London","30","[c]","39820","36390"
"New entrant CS","2022","Welsh Government","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Welsh Government","Outside London","365","[c]","34640","31210"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
