"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Geography","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","West Midlands (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Geography","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Human Resources","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Yorkshire and The Humber","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Human Resources","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","South East (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","South East (England)","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Wales","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Wales","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
