"Status","Year","Parent_department","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Male","Heterosexual / straight","215","210","38860","33300"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Male","LGBO","25","25","[c]","[c]"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Male","Undeclared","30","30","[c]","[c]"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Male","Unknown","155","150","43960","33300"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","London","Female","Heterosexual / straight","120","110","56190","48950"
"In post","2022","Chancellor's other departments","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","London","Female","Undeclared","25","25","[c]","[c]"
"In post","2022","Chancellor's other departments","London","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","London","Male","Heterosexual / straight","135","130","67320","57250"
"In post","2022","Chancellor's other departments","London","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","London","Male","Undeclared","40","40","65030","53640"
"In post","2022","Chancellor's other departments","London","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Chancellor's other departments","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North East (England)","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North East (England)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North East (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North East (England)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North East (England)","Male","Heterosexual / straight","10","10","[c]","[c]"
