"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Wales","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","Heterosexual / straight","40","40","36060","32050"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","East Midlands (England)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","East of England","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","London","Heterosexual / straight","55","55","36280","31560"
"In post","2022","Attorney General's Departments","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","London","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","North West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","South East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","South West (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Yorkshire and The Humber","Heterosexual / straight","50","45","30790","25920"
"In post","2022","Attorney General's Departments","Finance","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
