"Status","Year","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Internal Audit","Defence Science and Technology Laboratory","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Food Standards Agency","Internal Audit","10","10","[c]","[c]"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","45","45","43500","39840"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Government Internal Audit Agency","Internal Audit","335","320","50630","48780"
"In post","2022","Internal Audit","Government Internal Audit Agency","Other","30","25","32380","30040"
"In post","2022","Internal Audit","HM Land Registry","Internal Audit","10","10","[c]","[c]"
"In post","2022","Internal Audit","HM Prison and Probation Service","Internal Audit","60","60","48200","48410"
"In post","2022","Internal Audit","HM Revenue and Customs (excl. agencies)","Internal Audit","65","65","47280","43430"
"In post","2022","Internal Audit","Institute for Apprenticeships and Technical Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Intellectual Property Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Maritime and Coastguard Agency","Internal Audit","20","20","38080","35410"
"In post","2022","Internal Audit","Met Office","Internal Audit","5","5","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Defence (excl. agencies)","Internal Audit","140","135","39050","36460"
"In post","2022","Internal Audit","Registers of Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Registers of Scotland","Security","5","5","[c]","[c]"
"In post","2022","Internal Audit","Scottish Prison Service","Internal Audit","5","5","[c]","[c]"
"In post","2022","Internal Audit","UK Debt Management Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Export Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Hydrographic Office","Internal Audit","10","10","39960","42510"
"In post","2022","Internal Audit","UK Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Vehicle Certification Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Attorney General's Office","Legal","15","15","69960","65180"
"In post","2022","Legal","Attorney General's Office","Other","10","10","35120","30950"
"In post","2022","Legal","Attorney General's Office","Policy","10","10","[c]","[c]"
"In post","2022","Legal","Cabinet Office (excl. agencies)","Unknown","60","55","79770","79760"
"In post","2022","Legal","Charity Commission","Legal","25","25","52960","51070"
"In post","2022","Legal","Companies House","Legal","5","5","[c]","[c]"
"In post","2022","Legal","Competition and Markets Authority","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","Legal","Competition and Markets Authority","Legal","145","140","68780","71370"
"In post","2022","Legal","Competition and Markets Authority","Policy","15","15","66270","72430"
"In post","2022","Legal","Crown Office and Procurator Fiscal Service","Legal","725","685","54240","53490"
"In post","2022","Legal","Crown Prosecution Service","Communications","25","25","36370","39750"
"In post","2022","Legal","Crown Prosecution Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Crown Prosecution Service","Finance","80","75","27060","26220"
"In post","2022","Legal","Crown Prosecution Service","Human Resources","30","25","32460","31560"
"In post","2022","Legal","Crown Prosecution Service","Legal","3295","3065","54800","55000"
"In post","2022","Legal","Crown Prosecution Service","Operational Delivery","2820","2610","26760","25480"
"In post","2022","Legal","Crown Prosecution Service","Other","15","15","28070","28100"
"In post","2022","Legal","Crown Prosecution Service","Policy","10","10","54310","54760"
"In post","2022","Legal","Crown Prosecution Service","Project Delivery","25","25","35490","33120"
"In post","2022","Legal","Crown Prosecution Service","Property","5","5","[c]","[c]"
"In post","2022","Legal","Crown Prosecution Service","Security","10","10","31390","31420"
"In post","2022","Legal","Defence Science and Technology Laboratory","Legal","10","10","62090","74000"
"In post","2022","Legal","Department for Education (excl. agencies)","Legal","55","50","56370","61010"
"In post","2022","Legal","Department for Education (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Education (excl. agencies)","Policy","10","10","38410","36500"
"In post","2022","Legal","Department for Education (excl. agencies)","Property","5","5","[c]","[c]"
"In post","2022","Legal","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","60","55","29680","27570"
"In post","2022","Legal","Driver and Vehicle Standards Agency","Policy","10","10","[c]","[c]"
"In post","2022","Legal","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","FCDO Services","Legal","60","40","50380","53430"
"In post","2022","Legal","Food Standards Agency","Legal","25","25","51310","56130"
"In post","2022","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","70","70","62850","67480"
"In post","2022","Legal","Government Legal Department","Knowledge and Information Management","15","10","47560","50500"
"In post","2022","Legal","Government Legal Department","Legal","2035","1880","59820","60870"
"In post","2022","Legal","Government Legal Department","Other","395","375","32080","27580"
"In post","2022","Legal","Government Legal Department","Policy","25","20","33360","29880"
"In post","2022","Legal","Health and Safety Executive","Legal","20","20","51960","55700"
"In post","2022","Legal","HM Courts and Tribunals Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","HM Crown Prosecution Service Inspectorate","Legal","20","20","66540","59380"
"In post","2022","Legal","HM Crown Prosecution Service Inspectorate","Other","10","10","[c]","[c]"
"In post","2022","Legal","HM Land Registry","Legal","270","250","49180","56750"
"In post","2022","Legal","HM Revenue and Customs (excl. agencies)","Legal","430","410","51770","52780"
"In post","2022","Legal","HM Revenue and Customs (excl. agencies)","Operational Delivery","405","375","29400","26820"
"In post","2022","Legal","HM Revenue and Customs (excl. agencies)","Other","20","15","67520","67910"
"In post","2022","Legal","HM Revenue and Customs (excl. agencies)","Tax","345","325","41560","37930"
"In post","2022","Legal","HM Revenue and Customs (excl. agencies)","Unknown","165","160","51340","52080"
"In post","2022","Legal","HM Treasury (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Institute for Apprenticeships and Technical Education","Legal","10","10","[c]","[c]"
"In post","2022","Legal","Intellectual Property Office","Legal","50","45","47330","41760"
"In post","2022","Legal","Legal Aid Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Maritime and Coastguard Agency","Legal","5","5","[c]","[c]"
"In post","2022","Legal","Medicines and Healthcare Products Regulatory Agency","Other","15","15","37970","35030"
"In post","2022","Legal","Medicines and Healthcare Products Regulatory Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Met Office","Legal","10","10","42060","45150"
"In post","2022","Legal","Ministry of Defence (excl. agencies)","Legal","45","45","53930","53500"
"In post","2022","Legal","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","National Crime Agency","Legal","55","50","55030","60960"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","Legal","20","15","60340","62810"
"In post","2022","Legal","Office of Gas and Electricity Markets","Legal","85","80","63140","64000"
"In post","2022","Legal","Office of Gas and Electricity Markets","Other","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","Legal","15","15","55150","50050"
"In post","2022","Legal","Office of Rail and Road","Legal","15","15","66100","67750"
"In post","2022","Legal","Registers of Scotland","Legal","10","10","[c]","[c]"
"In post","2022","Legal","Registers of Scotland","Policy","15","15","51880","47490"
"In post","2022","Legal","Scottish Courts and Tribunals Service","Legal","35","30","46000","46100"
"In post","2022","Legal","Scottish Prison Service","Legal","10","10","35330","35000"
"In post","2022","Legal","Serious Fraud Office","Legal","60","55","58930","55170"
"In post","2022","Legal","The Insolvency Service","Legal","60","55","49150","47890"
"In post","2022","Legal","The National Archives","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Debt Management Office","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Debt Management Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Export Finance","Legal","30","30","67510","75000"
"In post","2022","Legal","UK Health Security Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Statistics Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","Legal","10","10","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","Operational Delivery","20","20","37540","30400"
"In post","2022","Legal","UK Supreme Court","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Water Services Regulation Authority","Legal","15","15","69470","70000"
"In post","2022","Legal","Welsh Revenue Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","No function","Advisory, Conciliation and Arbitration Service","Operational Delivery","805","745","31040","30950"
"In post","2022","No function","Animal and Plant Health Agency","Operational Delivery","1800","1705","27680","25100"
"In post","2022","No function","Animal and Plant Health Agency","Other","25","25","36190","33790"
"In post","2022","No function","Animal and Plant Health Agency","Science and Engineering","550","525","32170","28270"
"In post","2022","No function","Animal and Plant Health Agency","Veterinarian","335","315","42970","38340"
"In post","2022","No function","Cabinet Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","No function","Cabinet Office (excl. agencies)","Other","15","15","44310","40600"
"In post","2022","No function","Cabinet Office (excl. agencies)","Policy","15","15","50170","40600"
"In post","2022","No function","Cabinet Office (excl. agencies)","Unknown","3980","3945","41000","32000"
"In post","2022","No function","Centre for Environment, Fisheries and Aquaculture Science","Other","15","15","34570","29270"
"In post","2022","No function","Charity Commission","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","No function","Charity Commission","Operational Delivery","290","270","31150","29160"
"In post","2022","No function","Charity Commission","Policy","10","10","40620","37910"
"In post","2022","No function","Companies House","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","No function","Companies House","Operational Delivery","480","435","24880","22740"
"In post","2022","No function","Companies House","Other","25","25","49860","40170"
"In post","2022","No function","Companies House","Policy","30","25","41980","39820"
"In post","2022","No function","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","No function","Criminal Injuries Compensation Authority","Operational Delivery","315","295","27290","25120"
"In post","2022","No function","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","No function","Crown Commercial Service","Operational Delivery","185","180","41190","38980"
"In post","2022","No function","Crown Commercial Service","Policy","15","15","50620","51100"
"In post","2022","No function","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","No function","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","25","20","40880","34600"
"In post","2022","No function","Crown Office and Procurator Fiscal Service","Operational Delivery","1445","1345","27500","23230"
"In post","2022","No function","Crown Office and Procurator Fiscal Service","Policy","20","20","48460","56920"
"In post","2022","No function","Defence Electronics and Components Agency","Medicine","15","15","31110","29470"
"In post","2022","No function","Defence Electronics and Components Agency","Operational Delivery","60","55","31670","29470"
"In post","2022","No function","Defence Electronics and Components Agency","Other","30","25","26360","26600"
"In post","2022","No function","Defence Electronics and Components Agency","Project Delivery","10","10","[c]","[c]"
"In post","2022","No function","Defence Electronics and Components Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","No function","Defence Electronics and Components Agency","Science and Engineering","250","240","27670","29470"
"In post","2022","No function","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2022","No function","Defence Equipment and Support","Finance","[c]","[c]","[c]","[c]"
"In post","2022","No function","Defence Equipment and Support","Other","45","40","32240","27610"
"In post","2022","No function","Defence Equipment and Support","Project Delivery","70","70","41010","38630"
"In post","2022","No function","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2022","No function","Defence Science and Technology Laboratory","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","No function","Defence Science and Technology Laboratory","Economics","[c]","[c]","[c]","[c]"
"In post","2022","No function","Defence Science and Technology Laboratory","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","No function","Defence Science and Technology Laboratory","Operational Delivery","25","25","37810","29230"
"In post","2022","No function","Defence Science and Technology Laboratory","Operational Research","225","215","44940","47010"
"In post","2022","No function","Defence Science and Technology Laboratory","Other","60","60","36650","29230"
"In post","2022","No function","Defence Science and Technology Laboratory","Project Delivery","15","15","30500","29230"
"In post","2022","No function","Defence Science and Technology Laboratory","Psychology","15","15","51610","47660"
"In post","2022","No function","Defence Science and Technology Laboratory","Science and Engineering","2385","2315","40910","38110"
"In post","2022","No function","Defence Science and Technology Laboratory","Security","[c]","[c]","[c]","[c]"
"In post","2022","No function","Defence Science and Technology Laboratory","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","5","5","[c]","[c]"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","25","25","40260","40050"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","80","75","58650","57850"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","15","15","48240","43580"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","25","25","49930","53380"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","535","520","46270","40120"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","4345","4255","49290","52170"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","55","55","52330","53380"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","10","10","46110","45200"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","5","5","[c]","[c]"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","10","10","[c]","[c]"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","Communications","30","25","47920","51730"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","International Trade","25","25","47670","51730"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","Operational Delivery","30","30","46770","39050"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","Other","105","100","42740","34360"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","Planning","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","Policy","1170","1150","46770","51730"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","Project Delivery","210","205","47120","51730"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","Science and Engineering","10","10","55360","51730"
"In post","2022","No function","Department for Education (excl. agencies)","Commercial","10","10","44620","36640"
"In post","2022","No function","Department for Education (excl. agencies)","Communications","30","30","33800","29360"
"In post","2022","No function","Department for Education (excl. agencies)","Digital, Data and Technology","35","35","41000","36960"
"In post","2022","No function","Department for Education (excl. agencies)","Finance","85","80","46210","40260"
"In post","2022","No function","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Education (excl. agencies)","Operational Delivery","555","535","42450","36930"
"In post","2022","No function","Department for Education (excl. agencies)","Policy","2550","2435","45730","41990"
"In post","2022","No function","Department for Education (excl. agencies)","Project Delivery","10","5","[c]","[c]"
"In post","2022","No function","Department for Education (excl. agencies)","Property","25","25","44750","40230"
"In post","2022","No function","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","55","55","43260","38750"
"In post","2022","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","50","50","45310","46070"
"In post","2022","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Other","85","85","39270","32620"
"In post","2022","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","3915","3785","42360","38750"
"In post","2022","No function","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for International Trade","Communications","20","20","43870","40050"
"In post","2022","No function","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for International Trade","International Trade","1455","1440","48120","49370"
"In post","2022","No function","Department for International Trade","Knowledge and Information Management","15","15","39440","36620"
"In post","2022","No function","Department for International Trade","Operational Delivery","145","140","40190","32120"
"In post","2022","No function","Department for International Trade","Other","110","105","48910","48920"
"In post","2022","No function","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for International Trade","Policy","215","215","45520","38540"
"In post","2022","No function","Department for International Trade","Project Delivery","45","45","43430","40190"
"In post","2022","No function","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","465","450","38300","36340"
"In post","2022","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Planning","110","110","44050","40000"
"In post","2022","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","1860","1820","47280","46820"
"In post","2022","No function","Department for Transport (excl. agencies)","Corporate Finance","15","15","72650","66230"
"In post","2022","No function","Department for Transport (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Transport (excl. agencies)","Digital, Data and Technology","20","20","45580","43530"
"In post","2022","No function","Department for Transport (excl. agencies)","Human Resources","20","20","49490","48770"
"In post","2022","No function","Department for Transport (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Transport (excl. agencies)","International Trade","15","15","56500","54110"
"In post","2022","No function","Department for Transport (excl. agencies)","Knowledge and Information Management","15","15","39120","40450"
"In post","2022","No function","Department for Transport (excl. agencies)","Operational Delivery","200","185","37400","33390"
"In post","2022","No function","Department for Transport (excl. agencies)","Policy","1115","1090","49330","48770"
"In post","2022","No function","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Transport (excl. agencies)","Science and Engineering","60","60","51750","49240"
"In post","2022","No function","Department for Transport (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","No function","Department for Transport (excl. agencies)","Unknown","640","620","50470","40850"
"In post","2022","No function","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","290","275","36400","31990"
"In post","2022","No function","Department for Work and Pensions (excl. agencies)","Operational Delivery","65195","57975","26300","27570"
"In post","2022","No function","Department for Work and Pensions (excl. agencies)","Other","5200","4855","28310","27570"
"In post","2022","No function","Department for Work and Pensions (excl. agencies)","Psychology","55","55","35120","34340"
"In post","2022","No function","Department of Health and Social Care (excl. agencies)","Commercial","30","30","45630","40650"
"In post","2022","No function","Department of Health and Social Care (excl. agencies)","Communications","5","5","[c]","[c]"
"In post","2022","No function","Department of Health and Social Care (excl. agencies)","Human Resources","15","15","39500","32790"
"In post","2022","No function","Department of Health and Social Care (excl. agencies)","Medicine","60","60","91380","95140"
"In post","2022","No function","Department of Health and Social Care (excl. agencies)","Operational Delivery","800","755","47280","45170"
"In post","2022","No function","Department of Health and Social Care (excl. agencies)","Operational Research","10","10","59190","55510"
"In post","2022","No function","Department of Health and Social Care (excl. agencies)","Other","55","55","56310","53360"
"In post","2022","No function","Department of Health and Social Care (excl. agencies)","Policy","910","880","47870","45290"
"In post","2022","No function","Driver and Vehicle Licensing Agency","Medicine","50","45","78170","86300"
"In post","2022","No function","Driver and Vehicle Licensing Agency","Operational Delivery","4540","3910","22040","21840"
"In post","2022","No function","Driver and Vehicle Licensing Agency","Policy","145","135","30820","28760"
"In post","2022","No function","Driver and Vehicle Standards Agency","Operational Delivery","3985","3740","28160","26780"
"In post","2022","No function","Driver and Vehicle Standards Agency","Other","20","20","47370","34070"
"In post","2022","No function","Driver and Vehicle Standards Agency","Policy","80","75","37300","34800"
"In post","2022","No function","Driver and Vehicle Standards Agency","Project Delivery","10","10","41300","40280"
"In post","2022","No function","Education and Skills Funding Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","No function","Education and Skills Funding Agency","Communications","85","80","42890","40300"
"In post","2022","No function","Education and Skills Funding Agency","Digital, Data and Technology","20","20","43000","42100"
"In post","2022","No function","Education and Skills Funding Agency","Finance","35","30","49250","50130"
"In post","2022","No function","Education and Skills Funding Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","No function","Education and Skills Funding Agency","Operational Delivery","725","700","41140","36960"
"In post","2022","No function","Education and Skills Funding Agency","Policy","220","210","45940","40230"
"In post","2022","No function","Education and Skills Funding Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","No function","Food Standards Agency","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","No function","Food Standards Agency","Operational Delivery","615","595","32200","28800"
"In post","2022","No function","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","No function","Food Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2022","No function","Food Standards Agency","Planning","[c]","[c]","[c]","[c]"
"In post","2022","No function","Food Standards Agency","Policy","260","255","41000","37350"
"In post","2022","No function","Food Standards Agency","Science and Engineering","120","115","40080","37350"
"In post","2022","No function","Food Standards Agency","Veterinarian","60","60","44370","39090"
"In post","2022","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","55","55","45820","40790"
"In post","2022","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Knowledge and Information Management","105","105","45760","38230"
"In post","2022","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","300","285","31860","28080"
"In post","2022","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","3135","3100","50020","43840"
"In post","2022","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","No function","Government Actuary's Department","Other","[c]","[c]","[c]","[c]"
"In post","2022","No function","Government Internal Audit Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","No function","Government Internal Audit Agency","Policy","10","10","61260","62580"
"In post","2022","No function","Health and Safety Executive","Knowledge and Information Management","25","25","31160","29750"
"In post","2022","No function","Health and Safety Executive","Operational Delivery","1680","1590","44180","41480"
"In post","2022","No function","Health and Safety Executive","Policy","80","75","50280","47650"
"In post","2022","No function","Health and Safety Executive","Science and Engineering","460","430","38470","35910"
"In post","2022","No function","HM Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","No function","HM Courts and Tribunals Service","Communications","10","10","33720","30450"
"In post","2022","No function","HM Courts and Tribunals Service","Digital, Data and Technology","10","10","32230","34260"
"In post","2022","No function","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","No function","HM Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","No function","HM Courts and Tribunals Service","Knowledge and Information Management","10","10","30600","25120"
"In post","2022","No function","HM Courts and Tribunals Service","Legal","1200","1090","43240","43020"
"In post","2022","No function","HM Courts and Tribunals Service","Operational Delivery","14025","12645","24490","21490"
"In post","2022","No function","HM Courts and Tribunals Service","Planning","[c]","[c]","[c]","[c]"
"In post","2022","No function","HM Courts and Tribunals Service","Policy","25","25","40230","35630"
"In post","2022","No function","HM Land Registry","Operational Delivery","5185","4665","28580","27130"
"In post","2022","No function","HM Land Registry","Other","30","30","43670","37290"
"In post","2022","No function","HM Prison and Probation Service","Commercial","460","445","48670","46550"
"In post","2022","No function","HM Prison and Probation Service","Intelligence Analysis","420","405","30420","27540"
"In post","2022","No function","HM Prison and Probation Service","Knowledge and Information Management","10","10","43700","46360"
"In post","2022","No function","HM Prison and Probation Service","Operational Delivery","58210","54760","29830","28200"
"In post","2022","No function","HM Prison and Probation Service","Policy","195","190","42590","42000"
"In post","2022","No function","HM Prison and Probation Service","Psychology","1375","1315","35400","30450"
"In post","2022","No function","HM Revenue and Customs (excl. agencies)","Economics","10","10","63820","66050"
"In post","2022","No function","HM Revenue and Customs (excl. agencies)","International Trade","125","120","36540","33370"
"In post","2022","No function","HM Revenue and Customs (excl. agencies)","Operational Delivery","17595","15510","26240","22080"
"In post","2022","No function","HM Revenue and Customs (excl. agencies)","Operational Research","10","10","40940","37930"
"In post","2022","No function","HM Revenue and Customs (excl. agencies)","Other","35","35","66050","67910"
"In post","2022","No function","HM Revenue and Customs (excl. agencies)","Tax","12885","12220","35920","33370"
"In post","2022","No function","HM Revenue and Customs (excl. agencies)","Unknown","3150","3045","32700","31020"
"In post","2022","No function","HM Treasury (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","No function","HM Treasury (excl. agencies)","Economics","165","165","44480","37900"
"In post","2022","No function","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","No function","HM Treasury (excl. agencies)","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","No function","HM Treasury (excl. agencies)","Operational Delivery","125","120","30030","28610"
"In post","2022","No function","HM Treasury (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","No function","HM Treasury (excl. agencies)","Policy","1415","1390","49160","52500"
"In post","2022","No function","HM Treasury (excl. agencies)","Statistics","15","15","45770","41140"
"In post","2022","No function","HM Treasury (excl. agencies)","Tax","50","50","61550","60060"
"In post","2022","No function","Institute for Apprenticeships and Technical Education","Operational Delivery","135","135","48950","49960"
"In post","2022","No function","Institute for Apprenticeships and Technical Education","Policy","40","40","48190","49960"
"In post","2022","No function","Intellectual Property Office","International Trade","10","10","[c]","[c]"
"In post","2022","No function","Intellectual Property Office","Legal","[c]","[c]","[c]","[c]"
"In post","2022","No function","Intellectual Property Office","Operational Delivery","660","615","27050","24030"
"In post","2022","No function","Intellectual Property Office","Other","20","20","43770","40140"
"In post","2022","No function","Intellectual Property Office","Policy","105","100","47370","42200"
"In post","2022","No function","Intellectual Property Office","Science and Engineering","375","355","48770","43740"
"In post","2022","No function","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Legal Aid Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","No function","Legal Aid Agency","Knowledge and Information Management","10","10","[c]","[c]"
