"Status","Year","Age","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","40-49","No function","Department for Business, Energy and Industrial Strategy","Outside London","1015","945","35900","30770"
"In post","2022","40-49","No function","Department for Digital, Culture, Media and Sport","London","205","195","58350","56000"
"In post","2022","40-49","No function","Department for Digital, Culture, Media and Sport","Outside London","30","25","50820","51730"
"In post","2022","40-49","No function","Department for Education","London","415","380","58160","54400"
"In post","2022","40-49","No function","Department for Education","Outside London","840","790","44100","40140"
"In post","2022","40-49","No function","Department for Environment, Food and Rural Affairs","London","500","470","52540","53870"
"In post","2022","40-49","No function","Department for Environment, Food and Rural Affairs","Outside London","1050","990","36670","35900"
"In post","2022","40-49","No function","Department for Environment, Food and Rural Affairs","Unknown","10","10","[c]","[c]"
"In post","2022","40-49","No function","Department for International Trade","London","250","245","54140","51970"
"In post","2022","40-49","No function","Department for International Trade","Outside London","35","35","47110","48220"
"In post","2022","40-49","No function","Department for International Trade","Overseas","45","45","63240","60710"
"In post","2022","40-49","No function","Department for Levelling Up, Housing and Communities","London","295","285","58450","54480"
"In post","2022","40-49","No function","Department for Levelling Up, Housing and Communities","Outside London","405","385","41980","40720"
"In post","2022","40-49","No function","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","No function","Department for Transport","London","430","415","53630","54650"
"In post","2022","40-49","No function","Department for Transport","Outside London","2385","2210","28320","26350"
"In post","2022","40-49","No function","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","No function","Department for Work and Pensions","London","1455","1350","32740","31060"
"In post","2022","40-49","No function","Department for Work and Pensions","Outside London","15285","13660","26780","27570"
"In post","2022","40-49","No function","Department for Work and Pensions","Unknown","95","90","29660","27570"
"In post","2022","40-49","No function","Department of Health and Social Care","London","945","890","55370","53360"
"In post","2022","40-49","No function","Department of Health and Social Care","Outside London","1180","1090","45510","41010"
"In post","2022","40-49","No function","Food Standards Agency","London","50","50","47010","40960"
"In post","2022","40-49","No function","Food Standards Agency","Outside London","220","215","39240","37350"
"In post","2022","40-49","No function","Foreign, Commonwealth and Development Office","London","485","465","53610","55430"
"In post","2022","40-49","No function","Foreign, Commonwealth and Development Office","Outside London","40","35","34370","27890"
"In post","2022","40-49","No function","Foreign, Commonwealth and Development Office","Overseas","470","470","55020","56040"
"In post","2022","40-49","No function","HM Land Registry","London","35","35","38070","34180"
"In post","2022","40-49","No function","HM Land Registry","Outside London","860","790","29160","27130"
"In post","2022","40-49","No function","HM Revenue and Customs","London","525","505","44080","37930"
"In post","2022","40-49","No function","HM Revenue and Customs","Outside London","6555","6050","30430","26820"
"In post","2022","40-49","No function","HM Treasury","London","180","170","64360","65000"
"In post","2022","40-49","No function","HM Treasury","Outside London","15","15","57040","49630"
"In post","2022","40-49","No function","Ministry of Defence","Outside London","795","760","43230","47010"
"In post","2022","40-49","No function","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","No function","Ministry of Justice","London","2720","2590","37740","34260"
"In post","2022","40-49","No function","Ministry of Justice","Outside London","14570","13625","30500","28200"
"In post","2022","40-49","No function","Ministry of Justice","Unknown","25","25","31290","27210"
"In post","2022","40-49","No function","National Crime Agency","London","315","300","46360","43810"
"In post","2022","40-49","No function","National Crime Agency","Outside London","770","745","39790","38540"
"In post","2022","40-49","No function","National Crime Agency","Overseas","35","35","64610","62970"
"In post","2022","40-49","No function","National Crime Agency","Unknown","10","10","47420","45760"
"In post","2022","40-49","No function","Northern Ireland Office","London","5","5","[c]","[c]"
"In post","2022","40-49","No function","Northern Ireland Office","Outside London","10","10","44340","45360"
"In post","2022","40-49","No function","Office for Standards in Education, Children's Services and Skills","London","50","50","54580","51360"
"In post","2022","40-49","No function","Office for Standards in Education, Children's Services and Skills","Outside London","385","375","53820","51360"
"In post","2022","40-49","No function","Office of Gas and Electricity Markets","London","90","90","61400","56500"
"In post","2022","40-49","No function","Office of Gas and Electricity Markets","Outside London","85","85","39010","35390"
"In post","2022","40-49","No function","Office of Qualifications and Examinations Regulation","Outside London","80","80","50530","46930"
"In post","2022","40-49","No function","Office of Rail and Road","London","35","35","62800","58660"
"In post","2022","40-49","No function","Office of Rail and Road","Outside London","30","25","50630","51310"
"In post","2022","40-49","No function","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","No function","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","No function","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","No function","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","No function","Scottish Government","Outside London","1460","1390","31810","30840"
"In post","2022","40-49","No function","The National Archives","London","85","80","38750","34580"
"In post","2022","40-49","No function","UK Statistics Authority","London","5","5","[c]","[c]"
"In post","2022","40-49","No function","UK Statistics Authority","Outside London","435","375","29810","24250"
"In post","2022","40-49","No function","Water Services Regulation Authority","London","15","15","76410","72380"
"In post","2022","40-49","No function","Water Services Regulation Authority","Outside London","25","25","52390","50880"
"In post","2022","40-49","No function","Welsh Government","Outside London","15","15","44460","40100"
"In post","2022","40-49","Project Delivery","Attorney General's Departments","London","10","10","50090","50500"
"In post","2022","40-49","Project Delivery","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Cabinet Office","London","40","40","66550","61770"
"In post","2022","40-49","Project Delivery","Cabinet Office","Outside London","10","10","[c]","[c]"
"In post","2022","40-49","Project Delivery","Chancellor's other departments","London","5","5","[c]","[c]"
"In post","2022","40-49","Project Delivery","Chancellor's other departments","Outside London","5","5","[c]","[c]"
"In post","2022","40-49","Project Delivery","Charity Commission","Outside London","5","5","[c]","[c]"
"In post","2022","40-49","Project Delivery","Competition and Markets Authority","London","90","85","76370","75140"
"In post","2022","40-49","Project Delivery","Competition and Markets Authority","Outside London","15","15","64280","63950"
"In post","2022","40-49","Project Delivery","Department for Business, Energy and Industrial Strategy","London","35","35","53620","53490"
"In post","2022","40-49","Project Delivery","Department for Business, Energy and Industrial Strategy","Outside London","170","160","45110","45150"
"In post","2022","40-49","Project Delivery","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Department for Education","London","10","10","[c]","[c]"
"In post","2022","40-49","Project Delivery","Department for Education","Outside London","15","15","45370","49860"
"In post","2022","40-49","Project Delivery","Department for Environment, Food and Rural Affairs","Outside London","95","90","34980","35900"
"In post","2022","40-49","Project Delivery","Department for International Trade","London","15","15","56240","54800"
"In post","2022","40-49","Project Delivery","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Department for Levelling Up, Housing and Communities","London","25","25","51280","53130"
"In post","2022","40-49","Project Delivery","Department for Levelling Up, Housing and Communities","Outside London","20","20","49230","48810"
"In post","2022","40-49","Project Delivery","Department for Transport","London","95","95","58200","54850"
"In post","2022","40-49","Project Delivery","Department for Transport","Outside London","65","65","38800","38650"
"In post","2022","40-49","Project Delivery","Department for Work and Pensions","London","70","60","39900","36650"
"In post","2022","40-49","Project Delivery","Department for Work and Pensions","Outside London","275","250","34300","32130"
"In post","2022","40-49","Project Delivery","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Estyn","Outside London","25","25","61460","75480"
"In post","2022","40-49","Project Delivery","Food Standards Agency","Outside London","10","10","39200","34080"
"In post","2022","40-49","Project Delivery","Foreign, Commonwealth and Development Office","London","245","230","59870","60370"
"In post","2022","40-49","Project Delivery","Foreign, Commonwealth and Development Office","Outside London","120","110","47710","50490"
"In post","2022","40-49","Project Delivery","Foreign, Commonwealth and Development Office","Overseas","155","155","61330","60720"
"In post","2022","40-49","Project Delivery","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","HM Land Registry","Outside London","40","40","40990","38550"
"In post","2022","40-49","Project Delivery","HM Revenue and Customs","London","290","280","58280","62120"
"In post","2022","40-49","Project Delivery","HM Revenue and Customs","Outside London","1040","1005","44150","40520"
"In post","2022","40-49","Project Delivery","HM Treasury","London","10","10","[c]","[c]"
"In post","2022","40-49","Project Delivery","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Ministry of Defence","London","70","65","57570","59720"
"In post","2022","40-49","Project Delivery","Ministry of Defence","Outside London","2920","2830","42410","40580"
"In post","2022","40-49","Project Delivery","Ministry of Defence","Overseas","25","25","42480","39940"
"In post","2022","40-49","Project Delivery","Ministry of Justice","London","30","30","47000","41750"
"In post","2022","40-49","Project Delivery","Ministry of Justice","Outside London","40","40","42440","36630"
"In post","2022","40-49","Project Delivery","National Crime Agency","London","15","15","53370","48900"
"In post","2022","40-49","Project Delivery","National Crime Agency","Outside London","25","20","47520","45480"
"In post","2022","40-49","Project Delivery","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Office for Standards in Education, Children's Services and Skills","Outside London","15","10","43190","39850"
"In post","2022","40-49","Project Delivery","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","Scottish Government","Outside London","10","10","[c]","[c]"
"In post","2022","40-49","Project Delivery","UK Export Finance","London","5","5","[c]","[c]"
"In post","2022","40-49","Project Delivery","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Project Delivery","UK Statistics Authority","Outside London","70","65","41940","36840"
"In post","2022","40-49","Project Delivery","Water Services Regulation Authority","Outside London","5","5","[c]","[c]"
"In post","2022","40-49","Project Delivery","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Cabinet Office","London","45","45","58130","57380"
"In post","2022","40-49","Property","Cabinet Office","Outside London","75","75","51000","50000"
"In post","2022","40-49","Property","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Department for Business, Energy and Industrial Strategy","Outside London","20","20","36490","34420"
"In post","2022","40-49","Property","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Department for Education","London","35","35","56170","56250"
"In post","2022","40-49","Property","Department for Education","Outside London","130","130","54330","53760"
"In post","2022","40-49","Property","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2022","40-49","Property","Department for Environment, Food and Rural Affairs","Outside London","110","110","40940","36970"
"In post","2022","40-49","Property","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Department for Transport","Outside London","30","25","33980","32560"
"In post","2022","40-49","Property","Department for Work and Pensions","London","5","5","[c]","[c]"
"In post","2022","40-49","Property","Department for Work and Pensions","Outside London","30","25","45990","38000"
"In post","2022","40-49","Property","Department for Work and Pensions","Unknown","15","15","42630","41920"
"In post","2022","40-49","Property","Department of Health and Social Care","London","10","10","35600","37030"
"In post","2022","40-49","Property","Department of Health and Social Care","Outside London","10","10","44750","38080"
"In post","2022","40-49","Property","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Foreign, Commonwealth and Development Office","London","20","20","59160","61440"
"In post","2022","40-49","Property","Foreign, Commonwealth and Development Office","Outside London","30","25","38650","37290"
"In post","2022","40-49","Property","Foreign, Commonwealth and Development Office","Overseas","40","40","38050","37820"
"In post","2022","40-49","Property","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","HM Revenue and Customs","London","135","125","40400","37820"
"In post","2022","40-49","Property","HM Revenue and Customs","Outside London","655","615","33850","31000"
"In post","2022","40-49","Property","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Ministry of Defence","London","30","30","27170","22010"
"In post","2022","40-49","Property","Ministry of Defence","Outside London","435","425","33660","33300"
"In post","2022","40-49","Property","Ministry of Defence","Overseas","15","15","35870","33300"
"In post","2022","40-49","Property","Ministry of Justice","London","65","60","47950","44640"
"In post","2022","40-49","Property","Ministry of Justice","Outside London","75","75","38590","36050"
"In post","2022","40-49","Property","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","National Crime Agency","Outside London","5","5","[c]","[c]"
"In post","2022","40-49","Property","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Scottish Government","Outside London","40","40","33420","30450"
"In post","2022","40-49","Property","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Attorney General's Departments","London","10","10","[c]","[c]"
"In post","2022","40-49","Security","Attorney General's Departments","Outside London","10","10","30780","28430"
"In post","2022","40-49","Security","Cabinet Office","London","45","45","54400","54700"
"In post","2022","40-49","Security","Cabinet Office","Outside London","150","140","34560","33300"
"In post","2022","40-49","Security","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2022","40-49","Security","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2022","40-49","Security","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Department for Education","Outside London","10","10","42960","43180"
"In post","2022","40-49","Security","Department for International Trade","London","5","5","[c]","[c]"
"In post","2022","40-49","Security","Department for Transport","London","35","35","49550","44480"
"In post","2022","40-49","Security","Department for Transport","Outside London","35","30","31540","26780"
"In post","2022","40-49","Security","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Department for Work and Pensions","Outside London","30","30","30590","29780"
"In post","2022","40-49","Security","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Foreign, Commonwealth and Development Office","London","55","55","51190","54370"
"In post","2022","40-49","Security","Foreign, Commonwealth and Development Office","Outside London","50","50","34350","31710"
"In post","2022","40-49","Security","Foreign, Commonwealth and Development Office","Overseas","25","25","44130","34610"
"In post","2022","40-49","Security","HM Revenue and Customs","London","10","10","58130","62120"
"In post","2022","40-49","Security","HM Revenue and Customs","Outside London","45","45","44800","40520"
"In post","2022","40-49","Security","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Ministry of Defence","London","160","155","41160","42950"
"In post","2022","40-49","Security","Ministry of Defence","Outside London","1210","1200","31310","30890"
"In post","2022","40-49","Security","Ministry of Defence","Overseas","10","10","[c]","[c]"
"In post","2022","40-49","Security","Ministry of Defence","Unknown","15","15","29110","27370"
"In post","2022","40-49","Security","Ministry of Justice","London","60","60","51140","47160"
"In post","2022","40-49","Security","Ministry of Justice","Outside London","150","150","37690","37280"
"In post","2022","40-49","Security","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","National Crime Agency","Outside London","10","10","32790","32430"
"In post","2022","40-49","Security","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","UK Statistics Authority","Outside London","10","10","42670","43520"
"In post","2022","40-49","Security","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Attorney General's Departments","London","20","15","55680","55460"
"In post","2022","40-49","Unknown","Attorney General's Departments","Outside London","35","35","43430","39750"
"In post","2022","40-49","Unknown","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Department for Business, Energy and Industrial Strategy","Outside London","10","10","[c]","[c]"
"In post","2022","40-49","Unknown","Department for Environment, Food and Rural Affairs","Outside London","50","50","44710","52290"
"In post","2022","40-49","Unknown","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Department for Work and Pensions","London","115","105","50900","45400"
"In post","2022","40-49","Unknown","Department for Work and Pensions","Outside London","275","260","36710","31990"
"In post","2022","40-49","Unknown","Department for Work and Pensions","Unknown","5","5","[c]","[c]"
"In post","2022","40-49","Unknown","Department of Health and Social Care","London","20","20","58540","54260"
"In post","2022","40-49","Unknown","Department of Health and Social Care","Outside London","20","20","57530","50620"
"In post","2022","40-49","Unknown","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Foreign, Commonwealth and Development Office","London","30","30","52890","46930"
"In post","2022","40-49","Unknown","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Foreign, Commonwealth and Development Office","Overseas","5","5","[c]","[c]"
"In post","2022","40-49","Unknown","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Home Office","London","3485","3305","42700","36300"
"In post","2022","40-49","Unknown","Home Office","Outside London","5635","5280","29620","25770"
"In post","2022","40-49","Unknown","Home Office","Overseas","110","105","30140","27370"
"In post","2022","40-49","Unknown","Ministry of Defence","London","285","275","49070","44500"
"In post","2022","40-49","Unknown","Ministry of Defence","Outside London","3055","2905","31590","26670"
"In post","2022","40-49","Unknown","Ministry of Defence","Overseas","155","155","46300","41600"
"In post","2022","40-49","Unknown","Ministry of Defence","Unknown","385","385","40730","35380"
"In post","2022","40-49","Unknown","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Office of the Secretary of State for Scotland","Outside London","10","10","56860","62170"
"In post","2022","40-49","Unknown","Scottish Government","London","5","5","[c]","[c]"
"In post","2022","40-49","Unknown","Scottish Government","Outside London","3910","3730","44740","40130"
"In post","2022","40-49","Unknown","Scottish Government","Overseas","10","5","[c]","[c]"
"In post","2022","40-49","Unknown","Welsh Government","London","5","5","[c]","[c]"
"In post","2022","40-49","Unknown","Welsh Government","Outside London","1760","1675","44510","40100"
"In post","2022","40-49","Unknown","Welsh Government","Overseas","5","5","[c]","[c]"
"In post","2022","50-59","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Chancellor's other departments","London","20","15","92820","91870"
"In post","2022","50-59","Analysis","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Competition and Markets Authority","London","20","20","71390","59540"
"In post","2022","50-59","Analysis","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Department for Business, Energy and Industrial Strategy","London","25","25","51880","53660"
"In post","2022","50-59","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","20","20","35720","36440"
"In post","2022","50-59","Analysis","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Department for Education","London","10","10","[c]","[c]"
"In post","2022","50-59","Analysis","Department for Education","Outside London","20","15","46300","48020"
"In post","2022","50-59","Analysis","Department for Environment, Food and Rural Affairs","Outside London","110","105","39750","37280"
"In post","2022","50-59","Analysis","Department for International Trade","London","15","15","53600","51970"
"In post","2022","50-59","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Department for Levelling Up, Housing and Communities","London","20","20","54010","59730"
"In post","2022","50-59","Analysis","Department for Levelling Up, Housing and Communities","Outside London","5","5","[c]","[c]"
"In post","2022","50-59","Analysis","Department for Transport","London","25","20","55880","59540"
"In post","2022","50-59","Analysis","Department for Transport","Outside London","25","25","29870","26700"
"In post","2022","50-59","Analysis","Department for Work and Pensions","London","35","30","59420","61340"
"In post","2022","50-59","Analysis","Department for Work and Pensions","Outside London","60","55","49900","52150"
"In post","2022","50-59","Analysis","Department of Health and Social Care","London","40","40","63050","62290"
"In post","2022","50-59","Analysis","Department of Health and Social Care","Outside London","10","10","51590","53370"
"In post","2022","50-59","Analysis","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Foreign, Commonwealth and Development Office","London","15","15","66750","73010"
"In post","2022","50-59","Analysis","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","HM Land Registry","Outside London","5","5","[c]","[c]"
"In post","2022","50-59","Analysis","HM Revenue and Customs","London","60","60","56720","58050"
"In post","2022","50-59","Analysis","HM Revenue and Customs","Outside London","35","35","46390","42750"
"In post","2022","50-59","Analysis","HM Treasury","London","10","10","103860","69420"
"In post","2022","50-59","Analysis","Ministry of Defence","London","10","10","[c]","[c]"
"In post","2022","50-59","Analysis","Ministry of Defence","Outside London","115","110","43030","43000"
"In post","2022","50-59","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Ministry of Justice","London","55","55","54350","54850"
"In post","2022","50-59","Analysis","Ministry of Justice","Outside London","20","20","37330","36330"
"In post","2022","50-59","Analysis","Office for Standards in Education, Children's Services and Skills","London","5","5","[c]","[c]"
"In post","2022","50-59","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","20","20","45190","39850"
"In post","2022","50-59","Analysis","Office of Gas and Electricity Markets","London","15","15","68970","63960"
"In post","2022","50-59","Analysis","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Scottish Government","Outside London","5","5","[c]","[c]"
"In post","2022","50-59","Analysis","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","UK Statistics Authority","London","10","10","75380","64160"
"In post","2022","50-59","Analysis","UK Statistics Authority","Outside London","205","195","41160","36840"
"In post","2022","50-59","Analysis","Water Services Regulation Authority","London","5","5","[c]","[c]"
"In post","2022","50-59","Analysis","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Analysis","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Attorney General's Departments","London","5","5","[c]","[c]"
"In post","2022","50-59","Commercial","Attorney General's Departments","Outside London","5","5","[c]","[c]"
"In post","2022","50-59","Commercial","Cabinet Office","London","235","235","82380","69080"
"In post","2022","50-59","Commercial","Cabinet Office","Outside London","330","325","63650","62010"
"In post","2022","50-59","Commercial","Cabinet Office","Unknown","10","10","70070","64500"
"In post","2022","50-59","Commercial","Chancellor's other departments","London","5","5","[c]","[c]"
"In post","2022","50-59","Commercial","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Department for Business, Energy and Industrial Strategy","London","10","10","45090","46580"
"In post","2022","50-59","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","60","60","45970","47960"
"In post","2022","50-59","Commercial","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Department for Education","Outside London","45","45","41940","37580"
"In post","2022","50-59","Commercial","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Department for Environment, Food and Rural Affairs","Outside London","50","50","37770","36380"
"In post","2022","50-59","Commercial","Department for Levelling Up, Housing and Communities","London","5","5","[c]","[c]"
"In post","2022","50-59","Commercial","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Department for Transport","London","15","15","63290","66090"
"In post","2022","50-59","Commercial","Department for Transport","Outside London","65","60","37510","38650"
"In post","2022","50-59","Commercial","Department for Work and Pensions","Outside London","15","15","43450","44540"
"In post","2022","50-59","Commercial","Department of Health and Social Care","London","45","40","51150","53360"
"In post","2022","50-59","Commercial","Department of Health and Social Care","Outside London","30","30","50650","42120"
"In post","2022","50-59","Commercial","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Food Standards Agency","Outside London","5","5","[c]","[c]"
"In post","2022","50-59","Commercial","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","Foreign, Commonwealth and Development Office","Outside London","50","50","45350","43600"
"In post","2022","50-59","Commercial","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","HM Land Registry","London","[c]","[c]","[c]","[c]"
