"Status","Year","Disability","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","Outside London","SEO/HEO","1165","[c]","37410","36840"
"Leaver CS","2022","Unknown","Outside London","Unknown","370","[c]","36070","32100"
"Leaver CS","2022","Unknown","Overseas","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Overseas","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Overseas","SEO/HEO","40","[c]","41820","41600"
"Leaver CS","2022","Unknown","Overseas","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","AA/AO","100","[c]","20440","21590"
"Leaver CS","2022","Unknown","Unknown","EO","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","G6/G7","45","[c]","64820","64500"
"Leaver CS","2022","Unknown","Unknown","SCS level","15","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","SEO/HEO","65","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","445","[c]","36010","33270"
"Leaver Dept.","2022","Declared disabled","London","AA/AO","40","[c]","23560","23720"
"Leaver Dept.","2022","Declared disabled","London","EO","145","[c]","28840","28670"
"Leaver Dept.","2022","Declared disabled","London","G6/G7","185","[c]","57940","56340"
"Leaver Dept.","2022","Declared disabled","London","SCS level","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","London","SEO/HEO","305","[c]","37200","36650"
"Leaver Dept.","2022","Declared disabled","London","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Outside London","AA/AO","235","[c]","20910","21170"
"Leaver Dept.","2022","Declared disabled","Outside London","EO","350","[c]","26600","27570"
"Leaver Dept.","2022","Declared disabled","Outside London","G6/G7","100","[c]","55720","52280"
"Leaver Dept.","2022","Declared disabled","Outside London","SCS level","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Outside London","SEO/HEO","370","[c]","34190","33240"
"Leaver Dept.","2022","Declared disabled","Outside London","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","G6/G7","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","SEO/HEO","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","London","AA/AO","295","[c]","23680","23780"
"Leaver Dept.","2022","Declared non-disabled","London","EO","1030","[c]","28570","28170"
"Leaver Dept.","2022","Declared non-disabled","London","G6/G7","1705","[c]","58930","55930"
"Leaver Dept.","2022","Declared non-disabled","London","SCS level","335","[c]","92350","88530"
"Leaver Dept.","2022","Declared non-disabled","London","SEO/HEO","2590","[c]","36940","36330"
"Leaver Dept.","2022","Declared non-disabled","London","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Outside London","AA/AO","1810","[c]","21050","21260"
"Leaver Dept.","2022","Declared non-disabled","Outside London","EO","2480","[c]","26290","27570"
