"Status","Year","Age","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","20-29","Declared disabled","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Barnet","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Barnsley, Doncaster and Rotherham","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","20","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Bedford","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Belfast","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Berkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Birmingham","15","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Blackpool","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Bradford","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Brent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Brighton and Hove","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Bristol, City of","20","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Bromley","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Buckinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Cambridgeshire CC","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Camden and City of London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Cardiff and Vale of Glamorgan","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Central Bedfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Central Hampshire","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Central Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Cheshire East","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","City of Edinburgh","15","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Coventry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Croydon","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Darlington","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Derby","[c]","[c]","[c]","[c]"
