"Status","Year","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","North East (England)","Hartlepool and Stockton-on-Tees","AA/AO","Male","380","360","24950","23670"
"In post","2022","North East (England)","Hartlepool and Stockton-on-Tees","EO","Female","305","265","27750","27570"
"In post","2022","North East (England)","Hartlepool and Stockton-on-Tees","EO","Male","200","195","28580","27570"
"In post","2022","North East (England)","Hartlepool and Stockton-on-Tees","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","North East (England)","Hartlepool and Stockton-on-Tees","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","North East (England)","Hartlepool and Stockton-on-Tees","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Hartlepool and Stockton-on-Tees","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Hartlepool and Stockton-on-Tees","SEO/HEO","Female","95","90","36780","34290"
"In post","2022","North East (England)","Hartlepool and Stockton-on-Tees","SEO/HEO","Male","70","70","39230","38090"
"In post","2022","North East (England)","Hartlepool and Stockton-on-Tees","Unknown","Female","125","120","30280","28290"
"In post","2022","North East (England)","Hartlepool and Stockton-on-Tees","Unknown","Male","40","40","32320","28900"
"In post","2022","North East (England)","Northumberland","AA/AO","Female","55","45","21100","21170"
"In post","2022","North East (England)","Northumberland","AA/AO","Male","45","45","20610","20970"
"In post","2022","North East (England)","Northumberland","EO","Female","140","120","27520","27570"
"In post","2022","North East (England)","Northumberland","EO","Male","70","70","27060","27570"
"In post","2022","North East (England)","Northumberland","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","North East (England)","Northumberland","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","North East (England)","Northumberland","SEO/HEO","Female","40","35","35000","34290"
"In post","2022","North East (England)","Northumberland","SEO/HEO","Male","35","35","37460","36780"
"In post","2022","North East (England)","Northumberland","Unknown","Female","45","40","31340","31420"
"In post","2022","North East (England)","Northumberland","Unknown","Male","15","15","[c]","[c]"
"In post","2022","North East (England)","South Teesside","AA/AO","Female","265","225","21110","21260"
"In post","2022","North East (England)","South Teesside","AA/AO","Male","155","150","21100","21260"
"In post","2022","North East (England)","South Teesside","EO","Female","285","245","27040","27570"
"In post","2022","North East (England)","South Teesside","EO","Male","135","130","26850","27570"
"In post","2022","North East (England)","South Teesside","G6/G7","Female","35","30","53670","55610"
"In post","2022","North East (England)","South Teesside","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","North East (England)","South Teesside","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","South Teesside","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","South Teesside","SEO/HEO","Female","75","70","35320","32270"
"In post","2022","North East (England)","South Teesside","SEO/HEO","Male","40","40","34280","32540"
"In post","2022","North East (England)","South Teesside","Unknown","Female","120","110","29170","28200"
"In post","2022","North East (England)","South Teesside","Unknown","Male","35","35","28850","25980"
"In post","2022","North East (England)","Sunderland","AA/AO","Female","1675","1280","21460","21260"
"In post","2022","North East (England)","Sunderland","AA/AO","Male","585","535","21360","21260"
"In post","2022","North East (England)","Sunderland","EO","Female","910","785","27450","27570"
"In post","2022","North East (England)","Sunderland","EO","Male","445","420","27780","27570"
"In post","2022","North East (England)","Sunderland","G6/G7","Female","55","55","57390","55210"
"In post","2022","North East (England)","Sunderland","G6/G7","Male","50","50","57920","55210"
"In post","2022","North East (England)","Sunderland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Sunderland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Sunderland","SEO/HEO","Female","295","270","34860","33370"
"In post","2022","North East (England)","Sunderland","SEO/HEO","Male","205","200","36220","33400"
"In post","2022","North East (England)","Sunderland","Unknown","Female","75","75","28600","27600"
"In post","2022","North East (England)","Sunderland","Unknown","Male","15","15","[c]","[c]"
"In post","2022","North East (England)","Tyneside","AA/AO","Female","3825","3105","21340","21260"
"In post","2022","North East (England)","Tyneside","AA/AO","Male","2490","2350","21320","21260"
"In post","2022","North East (England)","Tyneside","EO","Female","2530","2260","26750","26820"
"In post","2022","North East (England)","Tyneside","EO","Male","1870","1800","26780","26820"
"In post","2022","North East (England)","Tyneside","G6/G7","Female","840","800","55760","55210"
"In post","2022","North East (England)","Tyneside","G6/G7","Male","1185","1165","56750","55210"
"In post","2022","North East (England)","Tyneside","SCS level","Female","45","45","83230","75600"
"In post","2022","North East (England)","Tyneside","SCS level","Male","50","50","90910","86790"
"In post","2022","North East (England)","Tyneside","SEO/HEO","Female","2620","2460","35240","33370"
"In post","2022","North East (England)","Tyneside","SEO/HEO","Male","2555","2500","35710","33370"
"In post","2022","North East (England)","Tyneside","Unknown","Female","320","295","28430","26310"
"In post","2022","North East (England)","Tyneside","Unknown","Male","110","110","31560","28320"
"In post","2022","North West (England)","Blackburn with Darwen","AA/AO","Female","90","75","20910","21260"
"In post","2022","North West (England)","Blackburn with Darwen","AA/AO","Male","50","50","22130","21260"
"In post","2022","North West (England)","Blackburn with Darwen","EO","Female","105","85","27440","27570"
"In post","2022","North West (England)","Blackburn with Darwen","EO","Male","95","90","27730","27570"
"In post","2022","North West (England)","Blackburn with Darwen","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","North West (England)","Blackburn with Darwen","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Blackburn with Darwen","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Blackburn with Darwen","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Blackburn with Darwen","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2022","North West (England)","Blackburn with Darwen","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2022","North West (England)","Blackburn with Darwen","Unknown","Female","65","60","29430","26310"
"In post","2022","North West (England)","Blackburn with Darwen","Unknown","Male","20","20","[c]","[c]"
"In post","2022","North West (England)","Blackpool","AA/AO","Female","1165","1005","21090","21260"
"In post","2022","North West (England)","Blackpool","AA/AO","Male","665","645","21180","21260"
"In post","2022","North West (England)","Blackpool","EO","Female","1210","1060","27440","27570"
"In post","2022","North West (England)","Blackpool","EO","Male","705","680","27530","27570"
"In post","2022","North West (England)","Blackpool","G6/G7","Female","255","240","54310","49700"
"In post","2022","North West (England)","Blackpool","G6/G7","Male","290","280","58210","57060"
"In post","2022","North West (England)","Blackpool","SCS level","Female","10","10","[c]","[c]"
"In post","2022","North West (England)","Blackpool","SCS level","Male","5","5","[c]","[c]"
"In post","2022","North West (England)","Blackpool","SEO/HEO","Female","680","635","34500","34290"
"In post","2022","North West (England)","Blackpool","SEO/HEO","Male","470","455","35850","35310"
"In post","2022","North West (England)","Blackpool","Unknown","Female","75","75","28380","24800"
"In post","2022","North West (England)","Blackpool","Unknown","Male","25","25","[c]","[c]"
"In post","2022","North West (England)","Cheshire East","AA/AO","Female","305","275","22870","21300"
"In post","2022","North West (England)","Cheshire East","AA/AO","Male","190","180","22870","21300"
"In post","2022","North West (England)","Cheshire East","EO","Female","170","155","27250","27570"
"In post","2022","North West (England)","Cheshire East","EO","Male","115","110","27570","27570"
"In post","2022","North West (England)","Cheshire East","G6/G7","Female","55","50","59220","57760"
"In post","2022","North West (England)","Cheshire East","G6/G7","Male","35","35","56530","54540"
"In post","2022","North West (England)","Cheshire East","SCS level","Female","5","5","[c]","[c]"
"In post","2022","North West (England)","Cheshire East","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Cheshire East","SEO/HEO","Female","145","135","36840","33300"
"In post","2022","North West (England)","Cheshire East","SEO/HEO","Male","115","110","36880","35900"
"In post","2022","North West (England)","Cheshire East","Unknown","Female","65","60","29190","27110"
"In post","2022","North West (England)","Cheshire East","Unknown","Male","30","25","28420","25890"
"In post","2022","North West (England)","Cheshire West and Chester","AA/AO","Female","70","65","21020","21260"
"In post","2022","North West (England)","Cheshire West and Chester","AA/AO","Male","60","55","21190","21260"
"In post","2022","North West (England)","Cheshire West and Chester","EO","Female","115","100","27110","27570"
"In post","2022","North West (England)","Cheshire West and Chester","EO","Male","65","60","27280","27570"
"In post","2022","North West (England)","Cheshire West and Chester","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","North West (England)","Cheshire West and Chester","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","North West (England)","Cheshire West and Chester","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Cheshire West and Chester","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Cheshire West and Chester","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2022","North West (England)","Cheshire West and Chester","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2022","North West (England)","Cheshire West and Chester","Unknown","Female","105","95","28630","26780"
"In post","2022","North West (England)","Cheshire West and Chester","Unknown","Male","25","25","[c]","[c]"
"In post","2022","North West (England)","Chorley and West Lancashire","AA/AO","Female","350","315","23940","23140"
"In post","2022","North West (England)","Chorley and West Lancashire","AA/AO","Male","430","400","26840","26610"
"In post","2022","North West (England)","Chorley and West Lancashire","EO","Female","150","140","28620","27570"
"In post","2022","North West (England)","Chorley and West Lancashire","EO","Male","150","135","31030","32040"
"In post","2022","North West (England)","Chorley and West Lancashire","G6/G7","Female","20","15","[c]","[c]"
"In post","2022","North West (England)","Chorley and West Lancashire","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","North West (England)","Chorley and West Lancashire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Chorley and West Lancashire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Chorley and West Lancashire","SEO/HEO","Female","130","125","38360","37280"
"In post","2022","North West (England)","Chorley and West Lancashire","SEO/HEO","Male","115","105","39760","38160"
"In post","2022","North West (England)","Chorley and West Lancashire","Unknown","Female","60","55","31170","32690"
"In post","2022","North West (England)","Chorley and West Lancashire","Unknown","Male","10","10","[c]","[c]"
"In post","2022","North West (England)","East Cumbria","AA/AO","Female","195","170","21370","21300"
"In post","2022","North West (England)","East Cumbria","AA/AO","Male","150","145","22430","21300"
"In post","2022","North West (England)","East Cumbria","EO","Female","175","155","25840","25980"
"In post","2022","North West (England)","East Cumbria","EO","Male","140","140","25260","25100"
"In post","2022","North West (England)","East Cumbria","G6/G7","Female","35","35","56100","51770"
"In post","2022","North West (England)","East Cumbria","G6/G7","Male","30","30","54530","53110"
"In post","2022","North West (England)","East Cumbria","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","East Cumbria","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","East Cumbria","SEO/HEO","Female","105","95","34630","32640"
"In post","2022","North West (England)","East Cumbria","SEO/HEO","Male","85","85","34420","32780"
"In post","2022","North West (England)","East Cumbria","Unknown","Female","55","50","30250","28200"
"In post","2022","North West (England)","East Cumbria","Unknown","Male","35","30","30100","28200"
"In post","2022","North West (England)","East Lancashire","AA/AO","Female","95","75","20890","21260"
"In post","2022","North West (England)","East Lancashire","AA/AO","Male","40","35","20850","21260"
"In post","2022","North West (England)","East Lancashire","EO","Female","135","115","27380","27570"
"In post","2022","North West (England)","East Lancashire","EO","Male","100","95","27300","27570"
"In post","2022","North West (England)","East Lancashire","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","North West (England)","East Lancashire","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","North West (England)","East Lancashire","SEO/HEO","Female","30","30","[c]","[c]"
"In post","2022","North West (England)","East Lancashire","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","North West (England)","East Lancashire","Unknown","Female","95","90","27760","24800"
"In post","2022","North West (England)","East Lancashire","Unknown","Male","30","25","[c]","[c]"
"In post","2022","North West (England)","East Merseyside","AA/AO","Female","215","175","20920","20970"
"In post","2022","North West (England)","East Merseyside","AA/AO","Male","65","65","22000","21260"
"In post","2022","North West (England)","East Merseyside","EO","Female","325","280","27460","27570"
"In post","2022","North West (England)","East Merseyside","EO","Male","165","155","27850","27570"
"In post","2022","North West (England)","East Merseyside","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","North West (England)","East Merseyside","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","North West (England)","East Merseyside","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","East Merseyside","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","East Merseyside","SEO/HEO","Female","90","80","35730","34290"
"In post","2022","North West (England)","East Merseyside","SEO/HEO","Male","50","45","35930","35310"
"In post","2022","North West (England)","East Merseyside","Unknown","Female","165","155","30490","28200"
"In post","2022","North West (England)","East Merseyside","Unknown","Male","30","30","28150","26310"
"In post","2022","North West (England)","Greater Manchester North East","AA/AO","Female","200","175","22410","21260"
"In post","2022","North West (England)","Greater Manchester North East","AA/AO","Male","145","140","24270","22550"
"In post","2022","North West (England)","Greater Manchester North East","EO","Female","320","290","27470","27570"
"In post","2022","North West (England)","Greater Manchester North East","EO","Male","215","205","27940","27570"
"In post","2022","North West (England)","Greater Manchester North East","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","North West (England)","Greater Manchester North East","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","North West (England)","Greater Manchester North East","SEO/HEO","Female","85","80","36080","34290"
"In post","2022","North West (England)","Greater Manchester North East","SEO/HEO","Male","50","50","37400","36070"
"In post","2022","North West (England)","Greater Manchester North East","Unknown","Female","150","140","28940","28200"
"In post","2022","North West (England)","Greater Manchester North East","Unknown","Male","55","50","28390","24800"
"In post","2022","North West (England)","Greater Manchester North West","AA/AO","Female","720","620","21290","21260"
"In post","2022","North West (England)","Greater Manchester North West","AA/AO","Male","355","340","23070","21260"
"In post","2022","North West (England)","Greater Manchester North West","EO","Female","435","370","27280","27570"
"In post","2022","North West (England)","Greater Manchester North West","EO","Male","230","225","27840","27570"
"In post","2022","North West (England)","Greater Manchester North West","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","North West (England)","Greater Manchester North West","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","North West (England)","Greater Manchester North West","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Greater Manchester North West","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Greater Manchester North West","SEO/HEO","Female","100","95","36120","34290"
"In post","2022","North West (England)","Greater Manchester North West","SEO/HEO","Male","60","55","38080","36480"
"In post","2022","North West (England)","Greater Manchester North West","Unknown","Female","165","155","29360","28200"
"In post","2022","North West (England)","Greater Manchester North West","Unknown","Male","45","40","29570","28200"
"In post","2022","North West (England)","Greater Manchester South East","AA/AO","Female","310","260","20940","21260"
"In post","2022","North West (England)","Greater Manchester South East","AA/AO","Male","175","170","21450","21260"
"In post","2022","North West (England)","Greater Manchester South East","EO","Female","205","185","27320","27570"
"In post","2022","North West (England)","Greater Manchester South East","EO","Male","140","135","27390","27570"
"In post","2022","North West (England)","Greater Manchester South East","G6/G7","Female","15","10","[c]","[c]"
"In post","2022","North West (England)","Greater Manchester South East","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","North West (England)","Greater Manchester South East","SEO/HEO","Female","50","45","35930","33300"
"In post","2022","North West (England)","Greater Manchester South East","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","North West (England)","Greater Manchester South East","Unknown","Female","120","110","29540","28200"
"In post","2022","North West (England)","Greater Manchester South East","Unknown","Male","25","25","[c]","[c]"
"In post","2022","North West (England)","Greater Manchester South West","AA/AO","Female","950","820","21320","21250"
"In post","2022","North West (England)","Greater Manchester South West","AA/AO","Male","790","750","21260","21250"
"In post","2022","North West (England)","Greater Manchester South West","EO","Female","935","865","26540","26820"
"In post","2022","North West (England)","Greater Manchester South West","EO","Male","940","920","26480","26820"
"In post","2022","North West (England)","Greater Manchester South West","G6/G7","Female","390","375","57120","55210"
"In post","2022","North West (England)","Greater Manchester South West","G6/G7","Male","475","470","57840","55210"
"In post","2022","North West (England)","Greater Manchester South West","SCS level","Female","20","20","[c]","[c]"
"In post","2022","North West (England)","Greater Manchester South West","SCS level","Male","25","25","[c]","[c]"
"In post","2022","North West (England)","Greater Manchester South West","SEO/HEO","Female","1145","1095","35200","33370"
"In post","2022","North West (England)","Greater Manchester South West","SEO/HEO","Male","1345","1320","35200","33370"
"In post","2022","North West (England)","Greater Manchester South West","Unknown","Female","175","165","29490","26990"
"In post","2022","North West (England)","Greater Manchester South West","Unknown","Male","65","60","31340","26310"
"In post","2022","North West (England)","Lancaster and Wyre","AA/AO","Female","260","230","22400","21260"
"In post","2022","North West (England)","Lancaster and Wyre","AA/AO","Male","210","200","23860","21280"
"In post","2022","North West (England)","Lancaster and Wyre","EO","Female","230","205","27250","26930"
"In post","2022","North West (England)","Lancaster and Wyre","EO","Male","145","140","28010","27570"
"In post","2022","North West (England)","Lancaster and Wyre","G6/G7","Female","30","25","[c]","[c]"
"In post","2022","North West (England)","Lancaster and Wyre","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","North West (England)","Lancaster and Wyre","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Lancaster and Wyre","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Lancaster and Wyre","SEO/HEO","Female","90","85","36590","33630"
"In post","2022","North West (England)","Lancaster and Wyre","SEO/HEO","Male","70","65","38540","38160"
"In post","2022","North West (England)","Lancaster and Wyre","Unknown","Female","30","30","29180","27260"
"In post","2022","North West (England)","Lancaster and Wyre","Unknown","Male","10","10","[c]","[c]"
"In post","2022","North West (England)","Liverpool","AA/AO","Female","2665","2290","21550","21490"
"In post","2022","North West (England)","Liverpool","AA/AO","Male","1755","1680","22090","21680"
"In post","2022","North West (England)","Liverpool","EO","Female","2155","1955","26090","26120"
"In post","2022","North West (England)","Liverpool","EO","Male","1415","1370","26230","26330"
"In post","2022","North West (England)","Liverpool","G6/G7","Female","540","515","56180","55210"
"In post","2022","North West (England)","Liverpool","G6/G7","Male","485","475","57010","55210"
"In post","2022","North West (England)","Liverpool","SCS level","Female","25","25","[c]","[c]"
"In post","2022","North West (England)","Liverpool","SCS level","Male","25","25","[c]","[c]"
"In post","2022","North West (England)","Liverpool","SEO/HEO","Female","1710","1630","34750","33370"
"In post","2022","North West (England)","Liverpool","SEO/HEO","Male","1350","1330","35200","33370"
"In post","2022","North West (England)","Liverpool","Unknown","Female","280","265","28130","25480"
"In post","2022","North West (England)","Liverpool","Unknown","Male","90","85","30050","28200"
"In post","2022","North West (England)","Manchester","AA/AO","Female","990","885","21600","21260"
"In post","2022","North West (England)","Manchester","AA/AO","Male","875","840","22850","21260"
"In post","2022","North West (England)","Manchester","EO","Female","1330","1245","26560","26820"
"In post","2022","North West (England)","Manchester","EO","Male","1250","1210","27120","26820"
"In post","2022","North West (England)","Manchester","G6/G7","Female","790","750","55710","54730"
"In post","2022","North West (England)","Manchester","G6/G7","Male","845","830","57720","55210"
"In post","2022","North West (England)","Manchester","SCS level","Female","45","40","87130","82500"
"In post","2022","North West (England)","Manchester","SCS level","Male","45","45","91740","87400"
"In post","2022","North West (England)","Manchester","SEO/HEO","Female","1695","1605","35190","33820"
"In post","2022","North West (England)","Manchester","SEO/HEO","Male","1635","1605","35600","34020"
"In post","2022","North West (England)","Manchester","Unknown","Female","260","240","29250","26310"
"In post","2022","North West (England)","Manchester","Unknown","Male","130","130","30270","28200"
"In post","2022","North West (England)","Mid Lancashire","AA/AO","Female","1480","1230","21600","21260"
"In post","2022","North West (England)","Mid Lancashire","AA/AO","Male","1180","1105","22530","21260"
"In post","2022","North West (England)","Mid Lancashire","EO","Female","840","735","27270","27570"
"In post","2022","North West (England)","Mid Lancashire","EO","Male","575","550","27750","27570"
"In post","2022","North West (England)","Mid Lancashire","G6/G7","Female","180","170","56980","55210"
"In post","2022","North West (England)","Mid Lancashire","G6/G7","Male","160","155","59160","55410"
"In post","2022","North West (England)","Mid Lancashire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Mid Lancashire","SCS level","Female","15","15","[c]","[c]"
"In post","2022","North West (England)","Mid Lancashire","SCS level","Male","5","5","[c]","[c]"
"In post","2022","North West (England)","Mid Lancashire","SEO/HEO","Female","555","510","36300","33840"
"In post","2022","North West (England)","Mid Lancashire","SEO/HEO","Male","435","410","37240","35980"
"In post","2022","North West (England)","Mid Lancashire","Unknown","Female","185","170","29710","26310"
"In post","2022","North West (England)","Mid Lancashire","Unknown","Male","50","45","32070","30980"
"In post","2022","North West (England)","Sefton","AA/AO","Female","870","720","21140","21680"
"In post","2022","North West (England)","Sefton","AA/AO","Male","515","485","21000","21260"
"In post","2022","North West (England)","Sefton","EO","Female","1120","1005","26650","26820"
"In post","2022","North West (England)","Sefton","EO","Male","750","730","26600","26820"
"In post","2022","North West (England)","Sefton","G6/G7","Female","220","210","56230","55210"
"In post","2022","North West (England)","Sefton","G6/G7","Male","230","225","59470","55410"
"In post","2022","North West (England)","Sefton","SCS level","Female","10","10","[c]","[c]"
"In post","2022","North West (England)","Sefton","SCS level","Male","15","15","[c]","[c]"
"In post","2022","North West (England)","Sefton","SEO/HEO","Female","745","700","35410","33370"
"In post","2022","North West (England)","Sefton","SEO/HEO","Male","690","680","37250","34880"
"In post","2022","North West (England)","Sefton","Unknown","Female","85","80","27740","24800"
"In post","2022","North West (England)","Sefton","Unknown","Male","30","30","30900","28880"
"In post","2022","North West (England)","Warrington","AA/AO","Female","420","365","22520","21260"
"In post","2022","North West (England)","Warrington","AA/AO","Male","305","295","25500","24730"
"In post","2022","North West (England)","Warrington","EO","Female","500","475","30260","30480"
"In post","2022","North West (England)","Warrington","EO","Male","405","395","32000","32770"
"In post","2022","North West (England)","Warrington","G6/G7","Female","90","90","56400","55740"
"In post","2022","North West (England)","Warrington","G6/G7","Male","95","95","57330","54860"
"In post","2022","North West (England)","Warrington","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Warrington","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Warrington","SEO/HEO","Female","355","340","38410","36970"
"In post","2022","North West (England)","Warrington","SEO/HEO","Male","400","395","40900","40210"
"In post","2022","North West (England)","Warrington","Unknown","Female","55","55","29630","29540"
"In post","2022","North West (England)","Warrington","Unknown","Male","10","10","[c]","[c]"
"In post","2022","North West (England)","West Cumbria","AA/AO","Female","380","320","21750","21300"
"In post","2022","North West (England)","West Cumbria","AA/AO","Male","225","220","23870","21300"
"In post","2022","North West (England)","West Cumbria","EO","Female","195","170","26580","26350"
"In post","2022","North West (England)","West Cumbria","EO","Male","90","90","28130","27380"
"In post","2022","North West (England)","West Cumbria","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","North West (England)","West Cumbria","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","North West (England)","West Cumbria","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","West Cumbria","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","West Cumbria","SEO/HEO","Female","85","80","33440","31990"
"In post","2022","North West (England)","West Cumbria","SEO/HEO","Male","65","65","36340","35900"
"In post","2022","North West (England)","West Cumbria","Unknown","Female","90","85","33380","31500"
"In post","2022","North West (England)","West Cumbria","Unknown","Male","130","130","43640","41920"
"In post","2022","North West (England)","Wirral","AA/AO","Female","695","570","21280","21260"
"In post","2022","North West (England)","Wirral","AA/AO","Male","330","310","21450","21260"
"In post","2022","North West (England)","Wirral","EO","Female","515","435","27340","27570"
"In post","2022","North West (England)","Wirral","EO","Male","225","215","27390","27570"
"In post","2022","North West (England)","Wirral","G6/G7","Female","45","45","59430","55310"
"In post","2022","North West (England)","Wirral","G6/G7","Male","30","30","56650","54610"
"In post","2022","North West (England)","Wirral","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Wirral","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Wirral","SEO/HEO","Female","195","175","35170","33840"
"In post","2022","North West (England)","Wirral","SEO/HEO","Male","115","110","36580","33990"
"In post","2022","North West (England)","Wirral","Unknown","Female","105","100","28150","25610"
"In post","2022","North West (England)","Wirral","Unknown","Male","25","25","[c]","[c]"
"In post","2022","Northern Ireland","Antrim and Newtownabbey","AA/AO","Female","40","40","21280","20560"
"In post","2022","Northern Ireland","Antrim and Newtownabbey","AA/AO","Male","105","105","20750","20560"
"In post","2022","Northern Ireland","Antrim and Newtownabbey","EO","Female","5","5","[c]","[c]"
"In post","2022","Northern Ireland","Antrim and Newtownabbey","EO","Male","15","15","[c]","[c]"
"In post","2022","Northern Ireland","Antrim and Newtownabbey","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Northern Ireland","Antrim and Newtownabbey","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Antrim and Newtownabbey","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Antrim and Newtownabbey","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Antrim and Newtownabbey","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","Northern Ireland","Antrim and Newtownabbey","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2022","Northern Ireland","Ards and North Down","AA/AO","Female","35","30","22400","21920"
"In post","2022","Northern Ireland","Ards and North Down","AA/AO","Male","135","130","21350","20560"
"In post","2022","Northern Ireland","Ards and North Down","EO","Female","15","15","[c]","[c]"
"In post","2022","Northern Ireland","Ards and North Down","EO","Male","15","15","[c]","[c]"
"In post","2022","Northern Ireland","Ards and North Down","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Ards and North Down","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Northern Ireland","Ards and North Down","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Ards and North Down","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Ards and North Down","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","Northern Ireland","Ards and North Down","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2022","Northern Ireland","Armagh City, Banbridge and Craigavon","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Northern Ireland","Armagh City, Banbridge and Craigavon","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Armagh City, Banbridge and Craigavon","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Armagh City, Banbridge and Craigavon","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Armagh City, Banbridge and Craigavon","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Armagh City, Banbridge and Craigavon","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Armagh City, Banbridge and Craigavon","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Armagh City, Banbridge and Craigavon","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Belfast","AA/AO","Female","495","420","21440","21250"
"In post","2022","Northern Ireland","Belfast","AA/AO","Male","475","455","21350","21250"
"In post","2022","Northern Ireland","Belfast","EO","Female","475","430","26890","26820"
"In post","2022","Northern Ireland","Belfast","EO","Male","435","430","26800","26590"
"In post","2022","Northern Ireland","Belfast","G6/G7","Female","115","110","56370","55210"
"In post","2022","Northern Ireland","Belfast","G6/G7","Male","140","135","57580","55210"
"In post","2022","Northern Ireland","Belfast","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Northern Ireland","Belfast","SCS level","Male","5","5","[c]","[c]"
