"Status","Year","Parent_department","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Chancellor's other departments","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G7","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Chancellor's other departments","G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G7","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","G7","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G7","Male","Heterosexual / straight","35","35","56690","57250"
"In post","2022","Chancellor's other departments","G7","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G7","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Chancellor's other departments","G7","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","HEO","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Chancellor's other departments","HEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","HEO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","HEO","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Chancellor's other departments","HEO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","HEO","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","HEO","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO","Female","Heterosexual / straight","30","30","45120","44800"
"In post","2022","Chancellor's other departments","SEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","AO","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","AO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","AO","Female","Unknown","15","10","[c]","[c]"
"In post","2022","Charity Commission","AO","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Charity Commission","AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","AO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","AO","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Charity Commission","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","EO","Female","Heterosexual / straight","35","30","24900","24440"
"In post","2022","Charity Commission","EO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","EO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","EO","Female","Unknown","35","35","25260","24440"
"In post","2022","Charity Commission","EO","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Charity Commission","EO","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Charity Commission","EO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","EO","Male","Unknown","20","15","[c]","[c]"
"In post","2022","Charity Commission","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G6","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Charity Commission","G6","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G6","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G6","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G6","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G6","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G6","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G6","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Charity Commission","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G7","Female","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Charity Commission","G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G7","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G7","Female","Unknown","15","15","[c]","[c]"
