"Status","Year","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","White","National Infrastructure Commission","35","35","59920","53600"
"In post","2022","White","National Records of Scotland","335","315","36700","34600"
"In post","2022","White","National Savings and Investments","135","135","51420","45700"
"In post","2022","White","Northern Ireland Office","115","115","46000","41750"
"In post","2022","White","Office for Budget Responsibility","25","25","[c]","[c]"
"In post","2022","White","Office for Standards in Education, Children's Services and Skills","1560","1505","51430","51360"
"In post","2022","White","Office of Gas and Electricity Markets","930","915","44150","37580"
"In post","2022","White","Office of Qualifications and Examinations Regulation","225","220","46500","42000"
"In post","2022","White","Office of Rail and Road","250","240","55990","55430"
"In post","2022","White","Office of the Public Guardian","550","510","26170","25120"
"In post","2022","White","Office of the Scottish Charity Regulator","35","35","39560","31540"
"In post","2022","White","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","65","65","51600","53240"
"In post","2022","White","Office of the Secretary of State for Wales","30","30","49500","49010"
"In post","2022","White","Planning Inspectorate","645","585","44210","43740"
"In post","2022","White","Queen Elizabeth II Centre","35","35","42300","37470"
"In post","2022","White","Registers of Scotland","960","915","34380","30840"
"In post","2022","White","Revenue Scotland","45","45","38260","35360"
"In post","2022","White","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","White","Rural Payments Agency","1480","1335","27090","24920"
"In post","2022","White","Scottish Courts and Tribunals Service","515","485","30790","25840"
"In post","2022","White","Scottish Fiscal Commission","20","15","[c]","[c]"
"In post","2022","White","Scottish Forestry","180","170","36110","31060"
"In post","2022","White","Scottish Government (excl. agencies)","6795","6520","44980","40810"
"In post","2022","White","Scottish Housing Regulator","40","40","53920","50670"
"In post","2022","White","Scottish Prison Service","1615","1505","35170","35000"
"In post","2022","White","Scottish Public Pensions Agency","210","190","31160","27230"
"In post","2022","White","Serious Fraud Office","265","260","48080","41580"
"In post","2022","White","Social Security Scotland","1615","1570","31820","27940"
"In post","2022","White","Standards and Testing Agency","90","85","43130","41990"
"In post","2022","White","Student Awards Agency for Scotland","120","115","34730","31540"
"In post","2022","White","Submarine Delivery Agency","1620","1580","41350","39860"
"In post","2022","White","Teaching Regulation Agency","50","50","33410","29730"
"In post","2022","White","The Insolvency Service","935","890","35350","33720"
"In post","2022","White","The National Archives","365","350","36680","34260"
"In post","2022","White","Transport Scotland","390","380","46720","43000"
"In post","2022","White","UK Debt Management Office","70","70","64320","57130"
"In post","2022","White","UK Export Finance","310","305","56020","52500"
"In post","2022","White","UK Health Security Agency","3720","3435","42610","37190"
"In post","2022","White","UK Hydrographic Office","620","595","35660","33290"
"In post","2022","White","UK Space Agency","145","140","47790","49080"
"In post","2022","White","UK Statistics Authority","4465","4005","34280","30710"
"In post","2022","White","UK Supreme Court","35","35","42280","37230"
"In post","2022","White","Valuation Office Agency","2400","2245","36240","32850"
"In post","2022","White","Vehicle Certification Agency","165","160","36080","34290"
"In post","2022","White","Veterinary Medicines Directorate","125","120","40460","38750"
"In post","2022","White","Water Services Regulation Authority","190","185","59410","54890"
"In post","2022","White","Welsh Government (excl. agencies)","5350","5050","41990","38160"
"In post","2022","White","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","White","Wilton Park","75","70","35180","30700"
"Leaver CS","2022","Asian","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Cabinet Office (excl. agencies)","40","[c]","53070","54700"
"Leaver CS","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Competition and Markets Authority","15","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Crown Commercial Service","10","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Crown Prosecution Service","30","[c]","30640","24180"
"Leaver CS","2022","Asian","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Defence Equipment and Support","25","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Defence Science and Technology Laboratory","10","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","35","[c]","39510","33640"
"Leaver CS","2022","Asian","Department for Digital, Culture, Media and Sport","15","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Education (excl. agencies)","25","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","40","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for International Trade","15","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","15","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Transport (excl. agencies)","20","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Department for Work and Pensions (excl. agencies)","585","[c]","27870","27570"
"Leaver CS","2022","Asian","Department of Health and Social Care (excl. agencies)","25","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Driver and Vehicle Licensing Agency","10","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Driver and Vehicle Standards Agency","15","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Education and Skills Funding Agency","5","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","FCDO Services","5","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Food Standards Agency","5","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","30","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Government Internal Audit Agency","5","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Government Legal Department","20","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Health and Safety Executive","5","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Courts and Tribunals Service","130","[c]","25620","23500"
"Leaver CS","2022","Asian","HM Land Registry","35","[c]","33050","27130"
"Leaver CS","2022","Asian","HM Prison and Probation Service","170","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Revenue and Customs (excl. agencies)","285","[c]","[c]","[c]"
"Leaver CS","2022","Asian","HM Treasury (excl. agencies)","40","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Home Office","175","[c]","30900","28650"
"Leaver CS","2022","Asian","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Maritime and Coastguard Agency","10","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Medicines and Healthcare Products Regulatory Agency","70","[c]","39160","32960"
"Leaver CS","2022","Asian","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Ministry of Defence (excl. agencies)","70","[c]","32550","29200"
"Leaver CS","2022","Asian","Ministry of Justice (excl. agencies)","30","[c]","37980","34260"
"Leaver CS","2022","Asian","National Crime Agency","10","[c]","[c]","[c]"
"Leaver CS","2022","Asian","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office for Standards in Education, Children's Services and Skills","15","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Gas and Electricity Markets","30","[c]","46270","40000"
"Leaver CS","2022","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of the Public Guardian","5","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Public Health England","130","[c]","45130","36330"
"Leaver CS","2022","Asian","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Serious Fraud Office","5","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","The National Archives","10","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","UK Export Finance","5","[c]","[c]","[c]"
"Leaver CS","2022","Asian","UK Health Security Agency","75","[c]","37020","32330"
"Leaver CS","2022","Asian","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","UK Statistics Authority","35","[c]","25960","23340"
"Leaver CS","2022","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Valuation Office Agency","15","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Water Services Regulation Authority","5","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Cabinet Office (excl. agencies)","20","[c]","[c]","[c]"
"Leaver CS","2022","Black","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Competition and Markets Authority","5","[c]","[c]","[c]"
"Leaver CS","2022","Black","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Crown Prosecution Service","15","[c]","[c]","[c]"
"Leaver CS","2022","Black","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Defence Equipment and Support","20","[c]","[c]","[c]"
"Leaver CS","2022","Black","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","15","[c]","[c]","[c]"
"Leaver CS","2022","Black","Department for Digital, Culture, Media and Sport","15","[c]","[c]","[c]"
"Leaver CS","2022","Black","Department for Education (excl. agencies)","20","[c]","[c]","[c]"
"Leaver CS","2022","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","25","[c]","[c]","[c]"
"Leaver CS","2022","Black","Department for International Trade","10","[c]","[c]","[c]"
"Leaver CS","2022","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","10","[c]","[c]","[c]"
"Leaver CS","2022","Black","Department for Transport (excl. agencies)","10","[c]","[c]","[c]"
"Leaver CS","2022","Black","Department for Work and Pensions (excl. agencies)","415","[c]","28770","29510"
"Leaver CS","2022","Black","Department of Health and Social Care (excl. agencies)","15","[c]","[c]","[c]"
"Leaver CS","2022","Black","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Education and Skills Funding Agency","5","[c]","[c]","[c]"
"Leaver CS","2022","Black","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Foreign, Commonwealth and Development Office (excl. agencies)","10","[c]","[c]","[c]"
"Leaver CS","2022","Black","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Government Legal Department","15","[c]","[c]","[c]"
"Leaver CS","2022","Black","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","HM Courts and Tribunals Service","95","[c]","25710","23720"
"Leaver CS","2022","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","HM Prison and Probation Service","215","[c]","[c]","[c]"
"Leaver CS","2022","Black","HM Revenue and Customs (excl. agencies)","90","[c]","[c]","[c]"
"Leaver CS","2022","Black","HM Treasury (excl. agencies)","5","[c]","[c]","[c]"
"Leaver CS","2022","Black","Home Office","80","[c]","32290","28670"
"Leaver CS","2022","Black","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Medicines and Healthcare Products Regulatory Agency","25","[c]","[c]","[c]"
"Leaver CS","2022","Black","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Ministry of Defence (excl. agencies)","45","[c]","30420","26670"
"Leaver CS","2022","Black","Ministry of Justice (excl. agencies)","20","[c]","[c]","[c]"
"Leaver CS","2022","Black","National Crime Agency","5","[c]","[c]","[c]"
"Leaver CS","2022","Black","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Office for Standards in Education, Children's Services and Skills","5","[c]","[c]","[c]"
"Leaver CS","2022","Black","Office of Gas and Electricity Markets","10","[c]","[c]","[c]"
"Leaver CS","2022","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Public Health England","100","[c]","39120","32450"
"Leaver CS","2022","Black","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Export Finance","5","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Health Security Agency","65","[c]","32720","28590"
"Leaver CS","2022","Black","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Valuation Office Agency","5","[c]","[c]","[c]"
"Leaver CS","2022","Black","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Cabinet Office (excl. agencies)","15","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Competition and Markets Authority","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Crown Prosecution Service","15","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Defence Equipment and Support","15","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Digital, Culture, Media and Sport","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Education (excl. agencies)","15","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","20","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for International Trade","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Levelling Up, Housing and Communities (excl. agencies)","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Transport (excl. agencies)","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Work and Pensions (excl. agencies)","235","[c]","27220","27570"
"Leaver CS","2022","Mixed","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Driver and Vehicle Standards Agency","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Food Standards Agency","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Foreign, Commonwealth and Development Office (excl. agencies)","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Government Legal Department","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","HM Courts and Tribunals Service","40","[c]","24510","21650"
"Leaver CS","2022","Mixed","HM Land Registry","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","HM Prison and Probation Service","135","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","HM Revenue and Customs (excl. agencies)","50","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","HM Treasury (excl. agencies)","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Home Office","40","[c]","32980","28660"
"Leaver CS","2022","Mixed","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Medicines and Healthcare Products Regulatory Agency","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Ministry of Defence (excl. agencies)","40","[c]","34070","31530"
"Leaver CS","2022","Mixed","Ministry of Justice (excl. agencies)","15","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","National Crime Agency","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Office of Gas and Electricity Markets","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Public Health England","30","[c]","[c]","[c]"
