"Status","Year","Disability","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","No function","Driver and Vehicle Licensing Agency","Department for Transport","80","[c]","21410","21590"
"Leaver CS","2022","Unknown","No function","Driver and Vehicle Standards Agency","Department for Transport","115","[c]","26370","26130"
"Leaver CS","2022","Unknown","No function","Education and Skills Funding Agency","Department for Education","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Health and Safety Executive","Department for Work and Pensions","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","HM Courts and Tribunals Service","Ministry of Justice","585","[c]","22220","20970"
"Leaver CS","2022","Unknown","No function","HM Land Registry","HM Land Registry","70","[c]","24250","22600"
"Leaver CS","2022","Unknown","No function","HM Prison and Probation Service","Ministry of Justice","1735","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","15","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","HM Treasury (excl. agencies)","HM Treasury","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Legal Aid Agency","Ministry of Justice","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Maritime and Coastguard Agency","Department for Transport","45","[c]","27380","26590"
"Leaver CS","2022","Unknown","No function","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","135","[c]","46780","40450"
"Leaver CS","2022","Unknown","No function","Ministry of Justice (excl. agencies)","Ministry of Justice","110","[c]","36240","32870"
"Leaver CS","2022","Unknown","No function","National Crime Agency","National Crime Agency","175","[c]","40730","38440"
"Leaver CS","2022","Unknown","No function","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","15","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Office of the Public Guardian","Ministry of Justice","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Planning Inspectorate","Department for Levelling Up, Housing and Communities","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Public Health England","Department of Health and Social Care","290","[c]","48910","42120"
"Leaver CS","2022","Unknown","No function","Registers of Scotland","Scottish Government","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Scottish Courts and Tribunals Service","Scottish Government","105","[c]","27390","23780"
"Leaver CS","2022","Unknown","No function","Scottish Prison Service","Scottish Government","250","[c]","31580","32170"
"Leaver CS","2022","Unknown","No function","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","The Insolvency Service","Department for Business, Energy and Industrial Strategy","40","[c]","23670","21130"
"Leaver CS","2022","Unknown","No function","The National Archives","The National Archives","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","UK Health Security Agency","Department of Health and Social Care","250","[c]","48150","40650"
"Leaver CS","2022","Unknown","No function","UK Hydrographic Office","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","UK Statistics Authority","UK Statistics Authority","110","[c]","21420","19610"
"Leaver CS","2022","Unknown","No function","Water Services Regulation Authority","Water Services Regulation Authority","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Defence Equipment and Support","Ministry of Defence","75","[c]","30650","29000"
"Leaver CS","2022","Unknown","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","30","[c]","52970","53000"
"Leaver CS","2022","Unknown","Project Delivery","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Ministry of Defence (excl. agencies)","Ministry of Defence","15","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","National Crime Agency","National Crime Agency","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Submarine Delivery Agency","Ministry of Defence","15","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","UK Space Agency","Department for Business, Energy and Industrial Strategy","45","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","UK Statistics Authority","UK Statistics Authority","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Project Delivery","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Department for Education (excl. agencies)","Department for Education","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Government Property Agency","Cabinet Office","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Ministry of Defence (excl. agencies)","Ministry of Defence","45","[c]","23270","19010"
"Leaver CS","2022","Unknown","Property","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Scottish Prison Service","Scottish Government","20","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","UK Health Security Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Property","Valuation Office Agency","HM Revenue and Customs","70","[c]","25770","22040"
"Leaver CS","2022","Unknown","Security","Cabinet Office (excl. agencies)","Cabinet Office","35","[c]","29620","27500"
"Leaver CS","2022","Unknown","Security","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Ministry of Defence (excl. agencies)","Ministry of Defence","175","[c]","30830","26750"
"Leaver CS","2022","Unknown","Security","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Security","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","570","[c]","26080","27570"
"Leaver CS","2022","Unknown","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","60","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Disclosure Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Education Scotland","Scottish Government","20","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Food Standards Scotland","Scottish Government","15","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","45","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Forestry and Land Scotland","Scottish Government","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1560","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Home Office","Home Office","375","[c]","31400","28330"
"Leaver CS","2022","Unknown","Unknown","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","370","[c]","31860","27200"
"Leaver CS","2022","Unknown","Unknown","National Records of Scotland","Scottish Government","25","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Planning Inspectorate","Department for Levelling Up, Housing and Communities","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Royal Fleet Auxiliary","Ministry of Defence","235","[c]","36010","33270"
"Leaver CS","2022","Unknown","Unknown","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Scottish Government (excl. agencies)","Scottish Government","200","[c]","37390","31540"
"Leaver CS","2022","Unknown","Unknown","Scottish Prison Service","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Scottish Public Pensions Agency","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Social Security Scotland","Scottish Government","15","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Student Awards Agency for Scotland","Scottish Government","20","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Transport Scotland","Scottish Government","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","UK Space Agency","Department for Business, Energy and Industrial Strategy","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Welsh Government (excl. agencies)","Welsh Government","25","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Estyn","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","UK Statistics Authority","UK Statistics Authority","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","UK Health Security Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
