"Status","Year","Disability","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Department for International Trade","SEO/HEO","HEO","320","315","32720","31800"
"In post","2022","Declared non-disabled","Department for International Trade","SEO/HEO","SEO","325","320","39670","38540"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AO","30","30","25150","26870"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","EO","200","195","27860","27850"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G6","270","265","64530","63470"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G7","710","690","52930","53130"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","SCS level","130","125","84520","76660"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","HEO","505","495","32820","33210"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","SEO","465","455","39450","39600"
"In post","2022","Declared non-disabled","Department for Transport (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Transport (excl. agencies)","AA/AO","AO","60","55","25570","25730"
"In post","2022","Declared non-disabled","Department for Transport (excl. agencies)","EO","EO","235","225","28520","29970"
"In post","2022","Declared non-disabled","Department for Transport (excl. agencies)","G6/G7","G6","340","330","67680","66090"
"In post","2022","Declared non-disabled","Department for Transport (excl. agencies)","G6/G7","G7","705","685","55990","54650"
"In post","2022","Declared non-disabled","Department for Transport (excl. agencies)","SCS level","SCS level","195","185","88340","79850"
"In post","2022","Declared non-disabled","Department for Transport (excl. agencies)","SEO/HEO","HEO","460","450","34370","34710"
"In post","2022","Declared non-disabled","Department for Transport (excl. agencies)","SEO/HEO","SEO","505","500","42370","42470"
"In post","2022","Declared non-disabled","Department for Work and Pensions (excl. agencies)","AA/AO","AA","200","165","20420","20480"
"In post","2022","Declared non-disabled","Department for Work and Pensions (excl. agencies)","AA/AO","AO","21305","18325","21410","21260"
"In post","2022","Declared non-disabled","Department for Work and Pensions (excl. agencies)","EO","EO","35445","32050","28120","27570"
"In post","2022","Declared non-disabled","Department for Work and Pensions (excl. agencies)","G6/G7","G6","785","760","66480","66250"
"In post","2022","Declared non-disabled","Department for Work and Pensions (excl. agencies)","G6/G7","G7","2020","1945","52800","51500"
"In post","2022","Declared non-disabled","Department for Work and Pensions (excl. agencies)","SCS level","SCS level","205","200","86800","78710"
"In post","2022","Declared non-disabled","Department for Work and Pensions (excl. agencies)","SEO/HEO","HEO","5575","5235","33510","32280"
"In post","2022","Declared non-disabled","Department for Work and Pensions (excl. agencies)","SEO/HEO","SEO","2700","2580","38090","36910"
"In post","2022","Declared non-disabled","Department of Health and Social Care (excl. agencies)","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Department of Health and Social Care (excl. agencies)","EO","EO","90","85","27340","27270"
"In post","2022","Declared non-disabled","Department of Health and Social Care (excl. agencies)","G6/G7","G6","150","145","66680","66230"
"In post","2022","Declared non-disabled","Department of Health and Social Care (excl. agencies)","G6/G7","G7","295","275","53350","53360"
"In post","2022","Declared non-disabled","Department of Health and Social Care (excl. agencies)","SCS level","SCS level","115","115","81020","76030"
"In post","2022","Declared non-disabled","Department of Health and Social Care (excl. agencies)","SEO/HEO","HEO","175","170","32300","32790"
"In post","2022","Declared non-disabled","Department of Health and Social Care (excl. agencies)","SEO/HEO","SEO","195","185","40010","40650"
"In post","2022","Declared non-disabled","Disclosure Scotland","AA/AO","AA","85","80","21960","21050"
"In post","2022","Declared non-disabled","Disclosure Scotland","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Disclosure Scotland","EO","EO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Disclosure Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Disclosure Scotland","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Disclosure Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Disclosure Scotland","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Disclosure Scotland","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Driver and Vehicle Licensing Agency","AA/AO","AA","765","610","18650","18310"
"In post","2022","Declared non-disabled","Driver and Vehicle Licensing Agency","AA/AO","AO","2000","1745","21940","21840"
"In post","2022","Declared non-disabled","Driver and Vehicle Licensing Agency","EO","EO","730","690","26620","26470"
"In post","2022","Declared non-disabled","Driver and Vehicle Licensing Agency","G6/G7","G6","70","65","77500","79410"
"In post","2022","Declared non-disabled","Driver and Vehicle Licensing Agency","G6/G7","G7","155","150","56320","52960"
"In post","2022","Declared non-disabled","Driver and Vehicle Licensing Agency","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Driver and Vehicle Licensing Agency","SEO/HEO","HEO","435","420","32720","31850"
"In post","2022","Declared non-disabled","Driver and Vehicle Licensing Agency","SEO/HEO","SEO","340","330","42380","41090"
"In post","2022","Declared non-disabled","Driver and Vehicle Standards Agency","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Driver and Vehicle Standards Agency","AA/AO","AO","700","645","24870","24240"
"In post","2022","Declared non-disabled","Driver and Vehicle Standards Agency","EO","EO","1700","1575","28400","26780"
"In post","2022","Declared non-disabled","Driver and Vehicle Standards Agency","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Driver and Vehicle Standards Agency","G6/G7","G7","85","80","52780","51350"
"In post","2022","Declared non-disabled","Driver and Vehicle Standards Agency","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Driver and Vehicle Standards Agency","SEO/HEO","HEO","525","510","32970","32180"
"In post","2022","Declared non-disabled","Driver and Vehicle Standards Agency","SEO/HEO","SEO","220","215","41020","40210"
"In post","2022","Declared non-disabled","Education and Skills Funding Agency","AA/AO","AO","15","10","[c]","[c]"
"In post","2022","Declared non-disabled","Education and Skills Funding Agency","EO","EO","80","75","26060","26000"
"In post","2022","Declared non-disabled","Education and Skills Funding Agency","G6/G7","G6","135","130","64590","62450"
"In post","2022","Declared non-disabled","Education and Skills Funding Agency","G6/G7","G7","340","330","51560","50630"
"In post","2022","Declared non-disabled","Education and Skills Funding Agency","SCS level","SCS level","35","35","82690","76160"
"In post","2022","Declared non-disabled","Education and Skills Funding Agency","SEO/HEO","HEO","295","280","30900","30090"
"In post","2022","Declared non-disabled","Education and Skills Funding Agency","SEO/HEO","SEO","400","385","38250","36960"
"In post","2022","Declared non-disabled","Education Scotland","AA/AO","AA","15","10","[c]","[c]"
"In post","2022","Declared non-disabled","Education Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Education Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Education Scotland","G6/G7","G6","75","75","73180","75340"
"In post","2022","Declared non-disabled","Education Scotland","G6/G7","G7","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Education Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Education Scotland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Education Scotland","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","AA/AO","AO","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","EO","EO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","G6/G7","G6","55","55","75040","75480"
"In post","2022","Declared non-disabled","Estyn","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","FCDO Services","AA/AO","AO","110","110","25020","23700"
"In post","2022","Declared non-disabled","FCDO Services","EO","EO","160","155","28610","28170"
"In post","2022","Declared non-disabled","FCDO Services","G6/G7","G6","35","35","76300","72290"
"In post","2022","Declared non-disabled","FCDO Services","G6/G7","G7","155","135","59420","57750"
"In post","2022","Declared non-disabled","FCDO Services","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","FCDO Services","SEO/HEO","HEO","195","185","36300","35390"
"In post","2022","Declared non-disabled","FCDO Services","SEO/HEO","SEO","195","190","45140","44640"
"In post","2022","Declared non-disabled","FCDO Services","Unknown","Unknown","60","60","21990","21600"
"In post","2022","Declared non-disabled","Food Standards Agency","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","EO","EO","305","290","27250","26750"
"In post","2022","Declared non-disabled","Food Standards Agency","G6/G7","G6","40","35","63060","61210"
"In post","2022","Declared non-disabled","Food Standards Agency","G6/G7","G7","140","135","53700","52070"
"In post","2022","Declared non-disabled","Food Standards Agency","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","SEO/HEO","HEO","205","200","31580","30810"
"In post","2022","Declared non-disabled","Food Standards Agency","SEO/HEO","SEO","210","210","39730","39300"
"In post","2022","Declared non-disabled","Food Standards Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Scotland","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Scotland","EO","EO","50","50","28710","27940"
"In post","2022","Declared non-disabled","Food Standards Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Scotland","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Scotland","SEO/HEO","HEO","45","40","32540","31540"
"In post","2022","Declared non-disabled","Food Standards Scotland","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","AO","235","225","26330","25000"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","EO","EO","400","390","30200","30430"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","G6","700","685","67260","66980"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","G7","1245","1220","55750","55620"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","SCS level","385","380","85990","78000"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","HEO","1290","1275","35750","35090"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","SEO","435","430","43210","43300"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","AA/AO","AO","405","390","26230","25940"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","EO","EO","240","235","32000","31060"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","G6/G7","G7","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","SEO/HEO","HEO","145","135","38420","38580"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","SEO/HEO","SEO","85","80","46070","47250"
"In post","2022","Declared non-disabled","Government Actuary's Department","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Government Actuary's Department","EO","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Government Actuary's Department","G6/G7","G6","75","70","95790","89720"
"In post","2022","Declared non-disabled","Government Actuary's Department","G6/G7","G7","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Government Actuary's Department","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Government Actuary's Department","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Government Actuary's Department","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Government Internal Audit Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Government Internal Audit Agency","EO","EO","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Government Internal Audit Agency","G6/G7","G6","50","50","64470","63830"
"In post","2022","Declared non-disabled","Government Internal Audit Agency","G6/G7","G7","85","80","52990","53070"
"In post","2022","Declared non-disabled","Government Internal Audit Agency","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Government Internal Audit Agency","SEO/HEO","HEO","65","60","33970","33420"
"In post","2022","Declared non-disabled","Government Internal Audit Agency","SEO/HEO","SEO","125","110","43860","43320"
"In post","2022","Declared non-disabled","Government Legal Department","AA/AO","AO","45","40","23850","23920"
"In post","2022","Declared non-disabled","Government Legal Department","EO","EO","255","245","28260","27350"
"In post","2022","Declared non-disabled","Government Legal Department","G6/G7","G6","595","540","66660","65630"
"In post","2022","Declared non-disabled","Government Legal Department","G6/G7","G7","715","655","51780","51250"
"In post","2022","Declared non-disabled","Government Legal Department","SCS level","SCS level","145","140","83240","79330"
"In post","2022","Declared non-disabled","Government Legal Department","SEO/HEO","HEO","160","155","37590","35000"
"In post","2022","Declared non-disabled","Government Legal Department","SEO/HEO","SEO","40","40","38950","38290"
"In post","2022","Declared non-disabled","Government Property Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Government Property Agency","EO","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Government Property Agency","G6/G7","G6","45","45","67180","66000"
"In post","2022","Declared non-disabled","Government Property Agency","G6/G7","G7","70","70","54670","54700"
"In post","2022","Declared non-disabled","Government Property Agency","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Government Property Agency","SEO/HEO","HEO","35","35","34050","32000"
"In post","2022","Declared non-disabled","Government Property Agency","SEO/HEO","SEO","45","45","39440","37460"
"In post","2022","Declared non-disabled","Health and Safety Executive","AA/AO","AO","210","190","22250","22410"
"In post","2022","Declared non-disabled","Health and Safety Executive","EO","EO","365","345","27520","26410"
"In post","2022","Declared non-disabled","Health and Safety Executive","G6/G7","G6","90","85","68930","66740"
"In post","2022","Declared non-disabled","Health and Safety Executive","G6/G7","G7","370","355","58450","55000"
"In post","2022","Declared non-disabled","Health and Safety Executive","SCS level","SCS level","30","30","86320","83580"
"In post","2022","Declared non-disabled","Health and Safety Executive","SEO/HEO","HEO","320","305","33090","31710"
"In post","2022","Declared non-disabled","Health and Safety Executive","SEO/HEO","SEO","735","695","49280","45100"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","AA/AO","AA","1145","980","19720","19200"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","AA/AO","AO","5445","4735","21700","20970"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","EO","EO","2015","1895","26240","25120"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","G6/G7","G6","170","165","64370","63410"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","G6/G7","G7","390","380","54590","54270"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","SCS level","SCS level","55","55","82300","77000"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","SEO/HEO","HEO","1010","980","31960","30450"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","SEO/HEO","SEO","1055","965","41390","41750"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","HM Crown Prosecution Service Inspectorate","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Crown Prosecution Service Inspectorate","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Crown Prosecution Service Inspectorate","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","HM Crown Prosecution Service Inspectorate","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Crown Prosecution Service Inspectorate","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Land Registry","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","HM Land Registry","AA/AO","AO","640","595","22750","22600"
"In post","2022","Declared non-disabled","HM Land Registry","EO","EO","1575","1375","27430","27130"
"In post","2022","Declared non-disabled","HM Land Registry","G6/G7","G6","45","45","72160","72000"
"In post","2022","Declared non-disabled","HM Land Registry","G6/G7","G7","165","155","59430","59280"
"In post","2022","Declared non-disabled","HM Land Registry","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","HM Land Registry","SEO/HEO","HEO","1050","920","34470","33840"
"In post","2022","Declared non-disabled","HM Land Registry","SEO/HEO","SEO","640","600","41810","40860"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","AA/AO","AA","3560","3335","21560","20890"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","AA/AO","AO","14690","14000","27440","26950"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","EO","EO","4370","4205","30830","31610"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","G6/G7","G6","270","265","82220","84390"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","G6/G7","G7","370","360","65410","65520"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","SCS level","SCS level","65","65","97120","97400"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","SEO/HEO","HEO","3075","2925","35400","36480"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","SEO/HEO","SEO","1760","1705","49850","50990"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","Unknown","Unknown","11745","10940","30530","28200"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","AA/AO","AA","325","240","21290","21250"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","AA/AO","AO","9215","8070","21710","21250"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","EO","EO","8965","8350","27420","26820"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","G6/G7","G6","1565","1500","69970","67910"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","G6/G7","G7","4070","3945","56120","55210"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","SCS level","SCS level","380","370","84920","78880"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","SEO/HEO","HEO","9550","9140","34060","33370"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","SEO/HEO","SEO","5285","5095","40860","40520"
"In post","2022","Declared non-disabled","HM Treasury (excl. agencies)","AA/AO","AO","40","40","22460","22750"
"In post","2022","Declared non-disabled","HM Treasury (excl. agencies)","EO","EO","165","160","26720","26750"
"In post","2022","Declared non-disabled","HM Treasury (excl. agencies)","G6/G7","G6","210","205","65990","63920"
"In post","2022","Declared non-disabled","HM Treasury (excl. agencies)","G6/G7","G7","435","425","54770","52840"
"In post","2022","Declared non-disabled","HM Treasury (excl. agencies)","SCS level","SCS level","130","125","86840","78000"
"In post","2022","Declared non-disabled","HM Treasury (excl. agencies)","SEO/HEO","HEO","515","510","34350","32320"
"In post","2022","Declared non-disabled","Home Office","AA/AO","AA","555","470","19810","18240"
"In post","2022","Declared non-disabled","Home Office","AA/AO","AO","4780","4205","22520","21680"
"In post","2022","Declared non-disabled","Home Office","EO","EO","10515","9680","26900","25760"
"In post","2022","Declared non-disabled","Home Office","G6/G7","G6","770","745","69500","68720"
"In post","2022","Declared non-disabled","Home Office","G6/G7","G7","1985","1940","57230","57460"
"In post","2022","Declared non-disabled","Home Office","SCS level","SCS level","240","235","88380","82050"
"In post","2022","Declared non-disabled","Home Office","SEO/HEO","HEO","4310","4155","33060","31960"
"In post","2022","Declared non-disabled","Home Office","SEO/HEO","SEO","2955","2875","41020","41950"
"In post","2022","Declared non-disabled","Home Office","Unknown","Unknown","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Institute for Apprenticeships and Technical Education","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Institute for Apprenticeships and Technical Education","EO","EO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Institute for Apprenticeships and Technical Education","G6/G7","G6","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Institute for Apprenticeships and Technical Education","G6/G7","G7","80","80","51870","50530"
"In post","2022","Declared non-disabled","Institute for Apprenticeships and Technical Education","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Institute for Apprenticeships and Technical Education","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Institute for Apprenticeships and Technical Education","SEO/HEO","SEO","45","45","37790","36570"
"In post","2022","Declared non-disabled","Intellectual Property Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Intellectual Property Office","AA/AO","AO","160","145","21650","21810"
"In post","2022","Declared non-disabled","Intellectual Property Office","EO","EO","305","285","26400","24030"
"In post","2022","Declared non-disabled","Intellectual Property Office","G6/G7","G6","45","40","68220","67670"
"In post","2022","Declared non-disabled","Intellectual Property Office","G6/G7","G7","260","245","60090","60790"
"In post","2022","Declared non-disabled","Intellectual Property Office","SCS level","SCS level","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Intellectual Property Office","SEO/HEO","HEO","150","145","32160","30780"
"In post","2022","Declared non-disabled","Intellectual Property Office","SEO/HEO","SEO","260","250","42590","41580"
"In post","2022","Declared non-disabled","Legal Aid Agency","AA/AO","AA","20","15","[c]","[c]"
"In post","2022","Declared non-disabled","Legal Aid Agency","AA/AO","AO","265","245","21190","20970"
"In post","2022","Declared non-disabled","Legal Aid Agency","EO","EO","255","235","25800","25120"
"In post","2022","Declared non-disabled","Legal Aid Agency","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Legal Aid Agency","G6/G7","G7","60","60","58020","56440"
"In post","2022","Declared non-disabled","Legal Aid Agency","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Legal Aid Agency","SEO/HEO","HEO","110","105","32210","31230"
"In post","2022","Declared non-disabled","Legal Aid Agency","SEO/HEO","SEO","135","135","40690","41100"
"In post","2022","Declared non-disabled","Legal Aid Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","AA/AO","AO","140","130","24530","26840"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","EO","EO","140","135","28400","26780"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","G6/G7","G7","120","115","58150","55320"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","SEO/HEO","HEO","200","195","34360","35040"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","SEO/HEO","SEO","215","210","45820","42650"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","EO","EO","35","30","27720","27400"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","G6/G7","G6","85","85","67960","66850"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","G6/G7","G7","100","95","53780","53830"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","SCS level","SCS level","55","55","84090","83110"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","HEO","50","50","33370","33090"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","SEO","95","90","41750","41010"
"In post","2022","Declared non-disabled","Met Office","AA/AO","AA","35","35","17850","17900"
"In post","2022","Declared non-disabled","Met Office","AA/AO","AO","60","60","21290","21430"
"In post","2022","Declared non-disabled","Met Office","EO","EO","195","190","25750","25510"
"In post","2022","Declared non-disabled","Met Office","G6/G7","G6","160","150","61210","60490"
"In post","2022","Declared non-disabled","Met Office","G6/G7","G7","430","405","48380","47960"
"In post","2022","Declared non-disabled","Met Office","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Met Office","SEO/HEO","HEO","505","485","33500","32810"
"In post","2022","Declared non-disabled","Met Office","SEO/HEO","SEO","650","605","40130","39650"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","AA/AO","AA","3085","2990","19890","19810"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","AA/AO","AO","6550","6255","24250","21780"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","EO","EO","4785","4645","28540","26670"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","G6/G7","G6","610","570","71870","68500"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","G6/G7","G7","1395","1360","57650","55500"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","SCS level","SCS level","260","250","89690","82480"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","SEO/HEO","HEO","4900","4770","35030","33300"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","SEO/HEO","SEO","3425","3335","43020","40980"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","Unknown","Unknown","105","100","33130","27370"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","AA/AO","AO","185","175","22100","21310"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","EO","EO","480","465","27460","28310"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","G6/G7","G6","235","230","67800","67650"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","G6/G7","G7","1000","975","57570","56990"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","SCS level","SCS level","115","110","87620","82580"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","SEO/HEO","HEO","920","900","33350","34260"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","SEO/HEO","SEO","1150","1125","41770","41750"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","Unknown","Unknown","15","15","[c]","[c]"
