"Status","Year","Age","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","50-59","Intelligence Analysis","Outside London","G7","10","10","55830","55210"
"In post","2022","50-59","Intelligence Analysis","Outside London","HEO","130","130","33180","33300"
"In post","2022","50-59","Intelligence Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Intelligence Analysis","Outside London","SEO","45","45","40430","40520"
"In post","2022","50-59","Intelligence Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Intelligence Analysis","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Intelligence Analysis","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Intelligence Analysis","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Intelligence Analysis","Overseas","HEO","5","5","[c]","[c]"
"In post","2022","50-59","Intelligence Analysis","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Intelligence Analysis","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Internal Audit","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Internal Audit","London","G6","15","15","74050","70780"
"In post","2022","50-59","Internal Audit","London","G7","15","15","56750","55070"
"In post","2022","50-59","Internal Audit","London","HEO","10","10","[c]","[c]"
"In post","2022","50-59","Internal Audit","London","SCS level","10","10","[c]","[c]"
"In post","2022","50-59","Internal Audit","London","SEO","30","25","48960","49520"
"In post","2022","50-59","Internal Audit","Outside London","AO","5","5","[c]","[c]"
"In post","2022","50-59","Internal Audit","Outside London","EO","10","10","28060","27190"
"In post","2022","50-59","Internal Audit","Outside London","G6","30","30","65280","63830"
"In post","2022","50-59","Internal Audit","Outside London","G7","40","35","53150","53850"
"In post","2022","50-59","Internal Audit","Outside London","HEO","35","35","34060","33630"
"In post","2022","50-59","Internal Audit","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","50-59","Internal Audit","Outside London","SEO","100","95","43650","42900"
"In post","2022","50-59","Internal Audit","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","International Trade","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","International Trade","London","EO","15","15","29310","29970"
"In post","2022","50-59","International Trade","London","G6","25","25","66000","65550"
"In post","2022","50-59","International Trade","London","G7","50","45","55320","54600"
"In post","2022","50-59","International Trade","London","HEO","25","25","35260","35540"
"In post","2022","50-59","International Trade","London","SCS level","30","30","91100","82090"
"In post","2022","50-59","International Trade","London","SEO","35","35","39920","39430"
"In post","2022","50-59","International Trade","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","International Trade","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","50-59","International Trade","Outside London","G7","15","15","49410","48220"
"In post","2022","50-59","International Trade","Outside London","HEO","20","20","32340","33370"
"In post","2022","50-59","International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","International Trade","Outside London","SEO","20","20","38700","40180"
"In post","2022","50-59","International Trade","Overseas","G6","5","5","[c]","[c]"
"In post","2022","50-59","International Trade","Overseas","G7","5","5","[c]","[c]"
"In post","2022","50-59","International Trade","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","International Trade","Overseas","SEO","5","5","[c]","[c]"
"In post","2022","50-59","Knowledge and Information Management","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Knowledge and Information Management","London","AO","30","30","24860","25070"
"In post","2022","50-59","Knowledge and Information Management","London","EO","55","50","30260","30530"
"In post","2022","50-59","Knowledge and Information Management","London","G6","15","15","72110","69930"
"In post","2022","50-59","Knowledge and Information Management","London","G7","35","35","55950","54850"
"In post","2022","50-59","Knowledge and Information Management","London","HEO","55","55","36860","36650"
"In post","2022","50-59","Knowledge and Information Management","London","SCS level","10","10","[c]","[c]"
"In post","2022","50-59","Knowledge and Information Management","London","SEO","40","40","43600","43520"
"In post","2022","50-59","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Knowledge and Information Management","Outside London","AA","5","5","[c]","[c]"
"In post","2022","50-59","Knowledge and Information Management","Outside London","AO","90","85","21740","21380"
"In post","2022","50-59","Knowledge and Information Management","Outside London","EO","130","125","27520","27570"
"In post","2022","50-59","Knowledge and Information Management","Outside London","G6","10","10","64280","65030"
"In post","2022","50-59","Knowledge and Information Management","Outside London","G7","40","40","53930","53470"
"In post","2022","50-59","Knowledge and Information Management","Outside London","HEO","155","155","33800","33300"
"In post","2022","50-59","Knowledge and Information Management","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Knowledge and Information Management","Outside London","SEO","85","85","41040","40580"
"In post","2022","50-59","Knowledge and Information Management","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","50-59","Legal","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Legal","London","AO","15","10","25620","26400"
"In post","2022","50-59","Legal","London","EO","105","100","31970","31290"
"In post","2022","50-59","Legal","London","G6","305","285","72160","72580"
"In post","2022","50-59","Legal","London","G7","390","370","60620","61520"
"In post","2022","50-59","Legal","London","HEO","145","145","38390","37930"
"In post","2022","50-59","Legal","London","SCS level","135","135","89830","83220"
"In post","2022","50-59","Legal","London","SEO","135","130","46260","45550"
"In post","2022","50-59","Legal","Outside London","AO","90","80","21860","22080"
"In post","2022","50-59","Legal","Outside London","EO","245","230","27730","27130"
"In post","2022","50-59","Legal","Outside London","G6","155","155","71800","70360"
"In post","2022","50-59","Legal","Outside London","G7","925","860","57260","55610"
"In post","2022","50-59","Legal","Outside London","HEO","390","380","34040","33370"
"In post","2022","50-59","Legal","Outside London","SCS level","50","50","90910","84160"
"In post","2022","50-59","Legal","Outside London","SEO","515","470","44690","44030"
"In post","2022","50-59","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Legal","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Legal","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Medicine","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Medicine","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Medicine","London","G6","25","25","76960","70410"
"In post","2022","50-59","Medicine","London","G7","5","5","[c]","[c]"
"In post","2022","50-59","Medicine","London","HEO","5","5","[c]","[c]"
"In post","2022","50-59","Medicine","London","SCS level","50","45","105860","102770"
"In post","2022","50-59","Medicine","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Medicine","Outside London","AA","15","15","19200","19030"
"In post","2022","50-59","Medicine","Outside London","AO","45","40","23500","23280"
"In post","2022","50-59","Medicine","Outside London","EO","90","85","32350","31530"
"In post","2022","50-59","Medicine","Outside London","G6","125","105","84890","89050"
"In post","2022","50-59","Medicine","Outside London","G7","70","65","63080","60850"
"In post","2022","50-59","Medicine","Outside London","HEO","125","120","38250","39030"
"In post","2022","50-59","Medicine","Outside London","SCS level","75","70","117510","114000"
"In post","2022","50-59","Medicine","Outside London","SEO","60","55","45420","45840"
"In post","2022","50-59","Medicine","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Medicine","Overseas","G6","5","5","[c]","[c]"
"In post","2022","50-59","Medicine","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Medicine","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Medicine","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Medicine","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Medicine","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Medicine","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Medicine","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Operational Delivery","London","AA","340","315","23660","22460"
"In post","2022","50-59","Operational Delivery","London","AO","2140","1995","26440","25330"
"In post","2022","50-59","Operational Delivery","London","EO","3570","3360","30740","30780"
"In post","2022","50-59","Operational Delivery","London","G6","255","255","72320","69460"
"In post","2022","50-59","Operational Delivery","London","G7","515","505","58840","57680"
"In post","2022","50-59","Operational Delivery","London","HEO","1250","1220","37110","36650"
"In post","2022","50-59","Operational Delivery","London","SCS level","165","165","100110","93000"
"In post","2022","50-59","Operational Delivery","London","SEO","810","795","45310","43810"
"In post","2022","50-59","Operational Delivery","London","Unknown","570","550","36810","35310"
"In post","2022","50-59","Operational Delivery","Outside London","AA","2905","2590","20610","20890"
"In post","2022","50-59","Operational Delivery","Outside London","AO","22940","20150","22960","21300"
"In post","2022","50-59","Operational Delivery","Outside London","EO","23135","21200","28010","27570"
"In post","2022","50-59","Operational Delivery","Outside London","G6","690","685","69600","67000"
"In post","2022","50-59","Operational Delivery","Outside London","G7","1650","1630","54740","53140"
"In post","2022","50-59","Operational Delivery","Outside London","HEO","7080","6755","34250","33370"
"In post","2022","50-59","Operational Delivery","Outside London","SCS level","230","225","88400","82600"
"In post","2022","50-59","Operational Delivery","Outside London","SEO","3545","3445","43210","40520"
"In post","2022","50-59","Operational Delivery","Outside London","Unknown","4105","3820","31010","28200"
"In post","2022","50-59","Operational Delivery","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Operational Delivery","Overseas","EO","40","40","27980","27370"
"In post","2022","50-59","Operational Delivery","Overseas","G6","5","5","[c]","[c]"
"In post","2022","50-59","Operational Delivery","Overseas","G7","10","10","71870","75820"
"In post","2022","50-59","Operational Delivery","Overseas","HEO","15","15","45990","45870"
"In post","2022","50-59","Operational Delivery","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Operational Delivery","Overseas","SEO","40","40","65620","66720"
"In post","2022","50-59","Operational Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Operational Delivery","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Operational Delivery","Unknown","AO","20","20","21080","21260"
"In post","2022","50-59","Operational Delivery","Unknown","EO","95","90","28960","27570"
"In post","2022","50-59","Operational Delivery","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Operational Delivery","Unknown","G7","5","5","[c]","[c]"
"In post","2022","50-59","Operational Delivery","Unknown","HEO","35","35","39020","39000"
"In post","2022","50-59","Operational Delivery","Unknown","SEO","5","5","[c]","[c]"
"In post","2022","50-59","Operational Delivery","Unknown","Unknown","10","5","26980","26310"
"In post","2022","50-59","Operational Research","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Operational Research","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Operational Research","London","G6","10","10","73030","73450"
"In post","2022","50-59","Operational Research","London","G7","10","10","64690","65590"
"In post","2022","50-59","Operational Research","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Operational Research","London","SCS level","5","5","[c]","[c]"
"In post","2022","50-59","Operational Research","London","SEO","10","10","44860","44700"
"In post","2022","50-59","Operational Research","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Operational Research","Outside London","AO","10","10","21840","21840"
"In post","2022","50-59","Operational Research","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Operational Research","Outside London","G6","10","10","69150","67780"
"In post","2022","50-59","Operational Research","Outside London","G7","80","75","52550","50400"
"In post","2022","50-59","Operational Research","Outside London","HEO","10","10","34130","33350"
"In post","2022","50-59","Operational Research","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Operational Research","Outside London","SEO","20","20","40220","40160"
"In post","2022","50-59","Other","London","AA","50","50","22580","22050"
"In post","2022","50-59","Other","London","AO","155","150","24880","24840"
"In post","2022","50-59","Other","London","EO","350","340","29360","30390"
"In post","2022","50-59","Other","London","G6","80","75","78520","73070"
"In post","2022","50-59","Other","London","G7","100","100","56430","56080"
"In post","2022","50-59","Other","London","HEO","180","175","35090","35200"
"In post","2022","50-59","Other","London","SCS level","65","60","107030","94930"
"In post","2022","50-59","Other","London","SEO","110","110","42750","42410"
"In post","2022","50-59","Other","Outside London","AA","770","740","19490","19050"
"In post","2022","50-59","Other","Outside London","AO","2855","2680","21610","21260"
"In post","2022","50-59","Other","Outside London","EO","2470","2350","27250","27570"
"In post","2022","50-59","Other","Outside London","G6","130","130","69180","67910"
"In post","2022","50-59","Other","Outside London","G7","285","280","54040","54170"
"In post","2022","50-59","Other","Outside London","HEO","1200","1170","33230","33300"
"In post","2022","50-59","Other","Outside London","SCS level","60","60","95800","87040"
"In post","2022","50-59","Other","Outside London","SEO","685","670","41520","40580"
"In post","2022","50-59","Other","Outside London","Unknown","10","10","36530","31470"
"In post","2022","50-59","Other","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Other","Overseas","AO","5","5","[c]","[c]"
"In post","2022","50-59","Other","Overseas","EO","10","10","28250","26670"
"In post","2022","50-59","Other","Overseas","G6","15","15","70450","70500"
"In post","2022","50-59","Other","Overseas","G7","10","10","[c]","[c]"
"In post","2022","50-59","Other","Overseas","HEO","55","55","42850","46600"
"In post","2022","50-59","Other","Overseas","SCS level","10","10","77680","77990"
"In post","2022","50-59","Other","Overseas","SEO","5","5","[c]","[c]"
"In post","2022","50-59","Other","Overseas","Unknown","45","45","[c]","[c]"
"In post","2022","50-59","Other","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Other","Unknown","AO","30","30","24140","25110"
"In post","2022","50-59","Other","Unknown","EO","20","20","28020","27570"
"In post","2022","50-59","Other","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Other","Unknown","HEO","15","15","40520","46600"
"In post","2022","50-59","Other","Unknown","SEO","5","5","[c]","[c]"
"In post","2022","50-59","Other","Unknown","Unknown","485","485","42550","37300"
"In post","2022","50-59","Planning","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Planning","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Planning","London","G7","5","5","[c]","[c]"
"In post","2022","50-59","Planning","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Planning","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Planning","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Planning","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Planning","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Planning","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Planning","Outside London","G7","10","10","58400","61440"
"In post","2022","50-59","Planning","Outside London","HEO","10","5","[c]","[c]"
"In post","2022","50-59","Planning","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Planning","Outside London","SEO","10","10","[c]","[c]"
"In post","2022","50-59","Planning Inspectors","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Planning Inspectors","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Planning Inspectors","Outside London","G6","80","70","63800","58810"
"In post","2022","50-59","Planning Inspectors","Outside London","G7","40","40","47140","47660"
"In post","2022","50-59","Planning Inspectors","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Policy","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Policy","London","AO","100","95","26050","25210"
"In post","2022","50-59","Policy","London","EO","350","340","30470","30300"
"In post","2022","50-59","Policy","London","G6","530","515","69730","68980"
"In post","2022","50-59","Policy","London","G7","895","870","57750","57460"
"In post","2022","50-59","Policy","London","HEO","485","475","36590","36360"
"In post","2022","50-59","Policy","London","SCS level","320","310","92650","82040"
"In post","2022","50-59","Policy","London","SEO","555","540","43090","42470"
"In post","2022","50-59","Policy","London","Unknown","5","5","[c]","[c]"
"In post","2022","50-59","Policy","Outside London","AA","5","5","[c]","[c]"
"In post","2022","50-59","Policy","Outside London","AO","85","80","22620","21840"
"In post","2022","50-59","Policy","Outside London","EO","235","220","27330","26780"
"In post","2022","50-59","Policy","Outside London","G6","195","185","65560","64860"
"In post","2022","50-59","Policy","Outside London","G7","600","590","53540","52340"
"In post","2022","50-59","Policy","Outside London","HEO","485","460","33400","32740"
"In post","2022","50-59","Policy","Outside London","SCS level","100","100","90260","81530"
"In post","2022","50-59","Policy","Outside London","SEO","655","630","40850","40180"
"In post","2022","50-59","Policy","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","50-59","Policy","Overseas","AO","10","10","[c]","[c]"
"In post","2022","50-59","Policy","Overseas","EO","15","15","28380","28680"
"In post","2022","50-59","Policy","Overseas","G6","90","90","66420","65210"
"In post","2022","50-59","Policy","Overseas","G7","95","95","56040","56090"
"In post","2022","50-59","Policy","Overseas","HEO","50","50","34620","34770"
"In post","2022","50-59","Policy","Overseas","SCS level","85","85","89390","80170"
"In post","2022","50-59","Policy","Overseas","SEO","45","45","41260","41140"
"In post","2022","50-59","Policy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Policy","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Policy","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Policy","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Project Delivery","London","AO","40","35","24200","23460"
"In post","2022","50-59","Project Delivery","London","EO","60","60","30280","30620"
"In post","2022","50-59","Project Delivery","London","G6","140","135","71430","70600"
"In post","2022","50-59","Project Delivery","London","G7","255","255","58320","57680"
"In post","2022","50-59","Project Delivery","London","HEO","160","155","36920","37000"
"In post","2022","50-59","Project Delivery","London","SCS level","75","75","102770","97750"
"In post","2022","50-59","Project Delivery","London","SEO","185","185","43490","42890"
"In post","2022","50-59","Project Delivery","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Project Delivery","Outside London","AO","120","100","21220","21260"
"In post","2022","50-59","Project Delivery","Outside London","EO","255","230","27320","27370"
"In post","2022","50-59","Project Delivery","Outside London","G6","365","360","65810","66610"
"In post","2022","50-59","Project Delivery","Outside London","G7","895","880","53360","54540"
"In post","2022","50-59","Project Delivery","Outside London","HEO","730","700","33140","33300"
"In post","2022","50-59","Project Delivery","Outside London","SCS level","95","95","86250","79110"
"In post","2022","50-59","Project Delivery","Outside London","SEO","1200","1165","40400","40520"
"In post","2022","50-59","Project Delivery","Outside London","Unknown","130","130","53680","54190"
"In post","2022","50-59","Project Delivery","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Project Delivery","Overseas","G6","5","5","[c]","[c]"
"In post","2022","50-59","Project Delivery","Overseas","G7","15","15","57770","56110"
"In post","2022","50-59","Project Delivery","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Project Delivery","Overseas","SEO","5","5","[c]","[c]"
"In post","2022","50-59","Project Delivery","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Project Delivery","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Project Delivery","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Project Delivery","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Project Delivery","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Property","London","AA","10","10","18980","18980"
"In post","2022","50-59","Property","London","AO","30","25","25830","25750"
"In post","2022","50-59","Property","London","EO","95","90","30920","30620"
"In post","2022","50-59","Property","London","G6","55","55","71050","70700"
"In post","2022","50-59","Property","London","G7","90","90","59920","61340"
"In post","2022","50-59","Property","London","HEO","60","60","37410","37610"
"In post","2022","50-59","Property","London","SCS level","15","15","94370","98570"
"In post","2022","50-59","Property","London","SEO","80","75","46570","46280"
"In post","2022","50-59","Property","Outside London","AA","175","170","18130","17480"
"In post","2022","50-59","Property","Outside London","AO","130","120","22030","21840"
"In post","2022","50-59","Property","Outside London","EO","385","370","26960","26950"
"In post","2022","50-59","Property","Outside London","G6","155","155","66090","65370"
"In post","2022","50-59","Property","Outside London","G7","330","325","54290","54540"
"In post","2022","50-59","Property","Outside London","HEO","495","480","33250","33300"
"In post","2022","50-59","Property","Outside London","SCS level","30","30","84910","75980"
"In post","2022","50-59","Property","Outside London","SEO","500","485","42730","42520"
"In post","2022","50-59","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Property","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Property","Overseas","EO","10","10","[c]","[c]"
"In post","2022","50-59","Property","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Property","Overseas","G7","10","10","[c]","[c]"
"In post","2022","50-59","Property","Overseas","HEO","25","25","36540","34690"
"In post","2022","50-59","Property","Overseas","SEO","20","20","45250","44430"
"In post","2022","50-59","Property","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Property","Unknown","HEO","10","10","40000","39270"
"In post","2022","50-59","Property","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Psychology","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Psychology","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Psychology","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Psychology","London","SEO","5","5","[c]","[c]"
"In post","2022","50-59","Psychology","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Psychology","Outside London","AO","15","10","22160","21960"
"In post","2022","50-59","Psychology","Outside London","EO","45","45","27150","27380"
"In post","2022","50-59","Psychology","Outside London","G6","5","5","[c]","[c]"
"In post","2022","50-59","Psychology","Outside London","G7","20","20","64370","65710"
"In post","2022","50-59","Psychology","Outside London","HEO","30","30","31970","31180"
"In post","2022","50-59","Psychology","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Psychology","Outside London","SEO","30","30","47640","50350"
"In post","2022","50-59","Psychology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Science and Engineering","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Science and Engineering","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Science and Engineering","London","EO","10","10","27940","28120"
"In post","2022","50-59","Science and Engineering","London","G6","40","35","71640","69800"
"In post","2022","50-59","Science and Engineering","London","G7","65","65","56900","55130"
"In post","2022","50-59","Science and Engineering","London","HEO","30","30","37180","36500"
"In post","2022","50-59","Science and Engineering","London","SCS level","25","25","96850","94740"
"In post","2022","50-59","Science and Engineering","London","SEO","50","50","44730","44950"
"In post","2022","50-59","Science and Engineering","Outside London","AA","20","20","19340","19050"
"In post","2022","50-59","Science and Engineering","Outside London","AO","250","250","22450","22750"
"In post","2022","50-59","Science and Engineering","Outside London","EO","350","345","26900","26640"
"In post","2022","50-59","Science and Engineering","Outside London","G6","210","200","68990","68190"
"In post","2022","50-59","Science and Engineering","Outside London","G7","775","750","53470","53190"
"In post","2022","50-59","Science and Engineering","Outside London","HEO","535","515","33840","33300"
"In post","2022","50-59","Science and Engineering","Outside London","SCS level","20","20","103300","95590"
"In post","2022","50-59","Science and Engineering","Outside London","SEO","880","850","42100","41820"
"In post","2022","50-59","Science and Engineering","Outside London","Unknown","155","155","54530","50190"
"In post","2022","50-59","Science and Engineering","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Science and Engineering","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Science and Engineering","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Science and Engineering","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Science and Engineering","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Science and Engineering","Overseas","SEO","10","10","45290","43550"
"In post","2022","50-59","Science and Engineering","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Science and Engineering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Security","London","AA","70","65","22020","22460"
"In post","2022","50-59","Security","London","AO","65","65","29850","25640"
"In post","2022","50-59","Security","London","EO","60","60","33140","30750"
"In post","2022","50-59","Security","London","G6","20","20","71710","69690"
"In post","2022","50-59","Security","London","G7","55","55","59460","57680"
"In post","2022","50-59","Security","London","HEO","100","100","37690","36830"
"In post","2022","50-59","Security","London","SCS level","10","10","[c]","[c]"
"In post","2022","50-59","Security","London","SEO","80","80","46870","44250"
"In post","2022","50-59","Security","London","Unknown","10","5","[c]","[c]"
"In post","2022","50-59","Security","Outside London","AA","935","925","20440","19810"
"In post","2022","50-59","Security","Outside London","AO","835","825","34530","39070"
"In post","2022","50-59","Security","Outside London","EO","360","355","35980","41110"
"In post","2022","50-59","Security","Outside London","G6","25","25","69390","67910"
"In post","2022","50-59","Security","Outside London","G7","100","100","54660","54480"
"In post","2022","50-59","Security","Outside London","HEO","280","275","39310","33540"
"In post","2022","50-59","Security","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","50-59","Security","Outside London","SEO","220","215","44530","40580"
"In post","2022","50-59","Security","Outside London","Unknown","25","20","37780","37170"
"In post","2022","50-59","Security","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Security","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Security","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Security","Overseas","HEO","35","35","33490","34220"
"In post","2022","50-59","Security","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Security","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Security","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Security","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Security","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Security","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Security","Unknown","Unknown","25","25","27760","27370"
"In post","2022","50-59","Social Research","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Social Research","London","G6","10","10","[c]","[c]"
"In post","2022","50-59","Social Research","London","G7","15","15","59670","59650"
"In post","2022","50-59","Social Research","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Social Research","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Social Research","London","SEO","5","5","[c]","[c]"
"In post","2022","50-59","Social Research","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Social Research","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Social Research","Outside London","G6","10","5","[c]","[c]"
"In post","2022","50-59","Social Research","Outside London","G7","15","15","56030","55840"
"In post","2022","50-59","Social Research","Outside London","HEO","10","5","[c]","[c]"
"In post","2022","50-59","Social Research","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Social Research","Outside London","SEO","20","20","40590","39850"
"In post","2022","50-59","Statistics","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Statistics","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Statistics","London","EO","15","15","31170","30720"
"In post","2022","50-59","Statistics","London","G6","15","15","73180","73990"
"In post","2022","50-59","Statistics","London","G7","40","40","61320","62120"
"In post","2022","50-59","Statistics","London","HEO","20","20","37590","37930"
"In post","2022","50-59","Statistics","London","SCS level","10","10","[c]","[c]"
"In post","2022","50-59","Statistics","London","SEO","25","25","45430","45220"
